,ID,Relation,Source,Target,AL
0,L01_1,hypernyms - animals,allosaurus,,allosaurus
1,,,,dinosaur,dinozaur
2,,,,reptile,zvarranik
3,,,,bird,zog
4,,,,archosaur,arkosaur
5,,,,archosaurian,arkosaurian
6,,,,archosaurian_reptile,zvarranik_arkosaurian
8,L01_2,hypernyms - animals,anaconda,,anakondë
9,,,,snake,gjarpër
10,,,,reptile,zvarranik
11,,,,boa,boa
12,,,,serpent,DUPLICATE_gjarpër
13,,,,ophidian,ofidian
15,L01_3,hypernyms - animals,ant,,milingona
16,,,,insect,insekt
17,,,,invertebrate,jo_vertebror
18,,,,creature,krijesë
19,,,,beast,bishë
20,,,,hymenopteran,himenopteran
21,,,,being,gjallesë
22,,,,animal,kafshë
23,,,,organism,organizëm
24,,,,fauna,faunë
25,,,,arthropod,artropod
26,,,,hymenopterous_insect,insekt_himenopteroz
27,,,,animate_being,qenie_e_gjallë
28,,,,physical_hymenopteron,himenopteron_fizik
29,,,,physical_entity,entitet_fizik
30,,,,hymenopter,himenopter
31,,,,living_thing,gjë_e_gjallë
33,L01_4,hypernyms - animals,beaver,,kastor
34,,,,rodent,brejtës
35,,,,vertebrate,vertebror
36,,,,creature,krijesë
37,,,,beast,bishë
38,,,,animal,kafshë
39,,,,organism,organizëm
40,,,,fauna,faunë
41,,,,placental,placental
42,,,,chordate,kordatë
43,,,,eutherian,euterik
44,,,,mammal,gjitar
45,,,,mammalian,DUPLICATE_gjitar
46,,,,eutherian_mammal,gjitar_euterik
47,,,,gnawer,gllabërues
48,,,,animate_being,qenie_e_gjallë
49,,,,living_thing,gjë_e_gjallë
50,,,,placental_mammal,gjitar_placental
51,,,,craniate,kafkë
53,L01_5,hypernyms - animals,bee,,bleta
54,,,,insect,insekt
55,,,,invertebrate,jo_vertebror
56,,,,creature,krijesë
57,,,,beast,bishë
58,,,,hymenopteran,himenopterian
59,,,,being,gjallesë
60,,,,animal,kafshë
61,,,,organism,organizëm
62,,,,fauna,faunë
63,,,,arthropod,artropod
64,,,,hymenopterous_insect,insekt_himenopterian
65,,,,animate_being,qenie_e_gjallë
66,,,,hymenopteron,DUPLICATE_himenopterian
67,,,,hymenopter,himenopter
68,,,,living_thing,gjë_e_gjallë
71,L01_6,hypernyms - animals,beetle,,brumbulli
72,,,,insect,insekt
73,,,,invertebrate,jo_vertebror
74,,,,creature,krijesë
75,,,,beast,bishë
76,,,,being,gjallesë
77,,,,animal,kafshë
78,,,,organism,organizëm
79,,,,fauna,faunë
80,,,,arthropod,artropod
81,,,,animate_being,qenie_e_gjallë
82,,,,living_thing,gjë_e_gjallë
84,L01_7,hypernyms - animals,buffalo,,buall
85,,,,bovid,gjedh
86,,,,mammal,gjitar
87,,,,bison,bizon
88,,,,cow,lopë
89,,,,vertebrate,vertebror
90,,,,creature,krijesë
91,,,,ungulate,thundrakë
92,,,,beast,bishë
93,,,,being,gjallesë
94,,,,animal,kafshë
95,,,,organism,organizëm
96,,,,fauna,faunë
97,,,,placental,placental
98,,,,artiodactyl,artiodaktil
99,,,,ruminant,ripërtypës
100,,,,chordate,kordatë
101,,,,eutherian,euterian
102,,,,mammalian,DUPLICATE_gjitar
103,,,,bovine,DUPLICATE_gjedh
104,,,,animate_being,qenie_e_gjallë
