,ID,Relation,Source,Target,AL
0,L02_1,hypernyms - misc,armchair,,kolltuk
1,,,,chair,karrige
2,,,,seat,vend_me_u_ul
3,,,,piece_of_furniture,copë_mobilie
4,,,,article_of_furniture,artikull_i_moblieve
5,,,,furnishing,mobilim
6,,,,artifact,artefakt
7,,,,artefact,DUPLICATE_artefakt
8,,,,unit,njësi
9,,,,object,objekt
10,,,,physical_object,objekt_fizik
11,,,,physical_entity,entitet_fizik
12,,,,entity,entitet
14,L02_2,hypernyms - misc,blender,,blender
15,,,,appliance,pajisje
16,,,,mixer,mikser
17,,,,kitchen_utensil,pajisje_e_kuzhinës
18,,,,utensil,vegël
19,,,,implement,DUPLICATE_vegël
20,,,,artifact,artefakt
21,,,,artefact,DUPLICATE_artefakt
22,,,,unit,njësi
23,,,,object,objekt
24,,,,physical_object,objekt_fizik
25,,,,physical_entity,entitet_fizik
26,,,,entity,entitet
28,L02_3,hypernyms - misc,bracelet,,byzylyk
29,,,,jewelry,bizhuteri
30,,,,band,shirit
31,,,,strip,rrip
32,,,,slip,rrëshqitëse
33,,,,artifact,artefakt
34,,,,artefact,DUPLICATE_artefakt
35,,,,unit,njësi
36,,,,object,objekt
37,,,,physical_object,objekt_fizik
38,,,,physical_entity,entitet_fizik
39,,,,entity,entitet
40,,,,jewellery,stoli
41,,,,adornment,stolisje
42,,,,decoration,dekorim
43,,,,ornament,DUPLICATE_stoli
44,,,,ornamentation,zbukurim
46,L02_4,hypernyms - misc,brooch,,brosh
47,,,,jewelry,bizhuteri
48,,,,jewellery,stoli
49,,,,adornment,stolisje
50,,,,decoration,dekorim
51,,,,ornament,DUPLICATE_stoli
52,,,,ornamentation,zbukurim
53,,,,artifact,artefakt
54,,,,artefact,DUPLICATE_artefakt
55,,,,unit,njësi
56,,,,object,objekt
57,,,,physical_object,objekt_fizik
59,L02_5,hypernyms - misc,cake,,tortë
60,,,,dessert,dezert
61,,,,baked_goods,pjekurina
62,,,,food,ushqim
63,,,,solid_food,ushqim_i_fortë
64,,,,course,pjatë_ushqimore
65,,,,nutriment,lëndë_ushqyese
66,,,,nourishment,DUPLICATE_ushqim
67,,,,nutrition,të_ushqyer
68,,,,sustenance,DUPLICATE_ushqim
69,,,,aliment,DUPLICATE_ushqim
70,,,,alimentation,DUPLICATE_ushqim
71,,,,victuals,ushqime
72,,,,nutrient,DUPLICATE_lëndë_ushqyese
73,,,,substance,substancë
74,,,,matter,lëndë
75,,,,physical_entity,entitet_fizik
76,,,,entity,entitet
78,L02_6,hypernyms - misc,computer,,kompjuter
79,,,,device,pajisje
80,,,,machine,makinë
81,,,,gadget,vegël
82,,,,artifact,artefakt
83,,,,artefact,DUPLICATE_artefakt
84,,,,unit,njësi
85,,,,object,objekt
86,,,,physical_object,objekt_fizik
87,,,,physical_entity,entitet_fizik
88,,,,entity,entitet
89,,,,expert,ekspert
90,,,,person,person
91,,,,individual,individ
92,,,,someone,dikush
93,,,,somebody,DUPLICATE_dikush
94,,,,mortal,i_vdekshëm
95,,,,soul,shpirt
96,,,,causal_agent,agjent_shkaksor
97,,,,cause,shkak
98,,,,causal_agency,agjenci_shkaksore
99,,,,organism,organizëm
100,,,,being,qenie
101,,,,living_thing,gjë_e_gjallë
102,,,,animate_thing,DUPLICATE_gjë_e_gjallë
