,ID,Relation,Source,Target,AL
0,L03_1,hyponyms - misc,backpack,,çantë_shpine
1,,,,daypack,çantë_dite
2,,,,kitbag,çantë_e_veglave
3,,,,kit_bag,çantë_veglash
5,L03_2,hyponyms - misc,bag,,çantë
6,,,,pouch,çantë_postieri
7,,,,backpack,çantë_shpine
8,,,,knapsack,DUPLICATE_çantë_shpine
9,,,,packsack,DUPLICATE_çantë
10,,,,rucksack,DUPLICATE_çantë_shpine
11,,,,haversack,çantë_e_madhe
12,,,,beanbag,DUPLICATE_çantë
13,,,,bladder,qeskë
14,,,,carryall,mbartëse
15,,,,holdall,çantë_udhetimi
16,,,,tote,ngarkesë
17,,,,drawstring,çantë_me_lidhëse
18,,,,dust,pluhur
19,,,,vacuum,fshesë_elektrike
20,,,,envelope,zarf
21,,,,gasbag,qese_gazi
22,,,,gamebag,çantë_për_lojra
23,,,,golf,golf
24,,,,gunnysack,çantë_armësh
25,,,,gunny,pëlhurë
26,,,,burlap,NO_TRANSLATION
27,,,,ice,akull
28,,,,mailbag,çantë_poste
29,,,,postbag,DUPLICATE_çantë_poste
30,,,,nosebag,qese_hunde
31,,,,feedbag,qese_ushqimi
32,,,,pannier,shportë
33,,,,plastic,plastikë
34,,,,purse,çantë_dore
35,,,,ragbag,qese_leckash
36,,,,rosin,DUPLICATE_NO_TRANSLATION
37,,,,sachet,DUPLICATE_qeskë
38,,,,sack,thes
39,,,,poke,DUPLICATE_thes
40,,,,paper,letër
41,,,,carrier,bartëse
42,,,,saddlebag,çantë_shale
43,,,,sandbag,thes_me_rërë
44,,,,schoolbag,çantë_shkolle
45,,,,shopping,pazar
46,,,,sick_bag,qese_për_vjellje
47,,,,sickbag,DUPLICATE_qese_për_vjellje
48,,,,skin,lëkurë
49,,,,sleeping,fjetur
50,,,,sweat,djersitje
51,,,,tea,çaj
52,,,,toilet,tualet
53,,,,sponge,sfungjer
54,,,,tool,vegël
55,,,,tucker-bag,çantë_lidhëse
57,L03_3,hyponyms - misc,bed,,shtrat
58,,,,bunk,krevat_marinari
59,,,,berth,shtrat
60,,,,built,i_ndërtuar
61,,,,built-in,DUPLICATE_i_ndërtuar
62,,,,cot,krevat_fëmijësh
63,,,,camp,kamp
64,,,,couch,divan
65,,,,deathbed,shtrat_i_vdekjes
66,,,,double,dysh
67,,,,four-poster,kater_poster
68,,,,hammock,shtrat_i_varur
69,,,,sack,thes
70,,,,marriage_bed,shtrat_martesor
71,,,,murphy,murfi
72,,,,plank-bed,shtrat_me_dërrasë
73,,,,platform,platformë
74,,,,sickbed,shtrat_i_sëmundjes
75,,,,single_bed,shtrat_njësh
76,,,,sleigh,sajë
77,,,,trundle,rrokullisëse
78,,,,truckle,kamionçinë
79,,,,twin,dyshe
80,,,,water,ujë
81,,,,semi-double,gjysëm_dyshe
82,,,,semidouble,DUPLICATE_gjysëm_dyshe
84,L03_4,hyponyms - misc,boat,,anije
85,,,,ferry,traget
86,,,,ark,arkë
87,,,,barge,varkë
88,,,,flatboat,varkë_e_rrafshtë
89,,,,hoy,NO_TRANSLATION
90,,,,lighter,maunë
91,,,,bumboat,bumbokë
92,,,,canal_boat,varkë_kanali
93,,,,narrow_boat,varkë_e_ngushtë
94,,,,narrowboat,DUPLICATE_varkë_e_ngushtë
95,,,,ferryboat,DUPLICATE_traget
96,,,,fireboat,DUPLICATE_varkë
97,,,,gondola,gondolë
