,ID,Relation,Source,Target,AL
0,L06_1,meronyms - part,academia,,akademi
1,,,,college,"gjimnaz,_shkollë_e_mesme"
2,,,,university,universitet
3,,,,institute,institut
5,L06_2,meronyms - part,apartment,,apartament
6,,,,bedroom,dhomë_gjumi
7,,,,room,dhomë
8,,,,bathroom,"banjë,_tualet"
9,,,,kitchen,kuzhinë
10,,,,kitchenette,aneks_kuzhine
11,,,,living_room,dhomë_ndenje
12,,,,pantry,"qilar,_dollap_ushqimesh"
13,,,,toilet,"DUPLICATE_banjë,_DUPLICATE_tualet"
14,,,,shower_room,kabinë_dushi
16,L06_3,meronyms - part,bird,,zog
17,,,,feathers,"pendë,_pupël"
18,,,,plume,"xhufkë,_tufë"
19,,,,preen,NO_TRANSLATION
20,,,,croup,gushë
21,,,,calamus,rrënjë_pende
22,,,,fowl,shpendë
23,,,,drumstick,DUPLICATE_NO_TRANSLATION
24,,,,syrinx,DUPLICATE_NO_TRANSLATION
25,,,,bill,sqep
26,,,,rump,fundshpinë
27,,,,vane,DUPLICATE_NO_TRANSLATION
28,,,,barb,DUPLICATE_NO_TRANSLATION
29,,,,quill,thërrmë
30,,,,shaft,DUPLICATE_rrënjë_pende
31,,,,pecker,DUPLICATE_sqep
32,,,,pennon,krahë_zogu
33,,,,feet,këmbë
34,,,,giblets,stomakë_zogu
35,,,,alula,DUPLICATE_NO_TRANSLATION
36,,,,talon,kthetra
37,,,,foot,këmba
38,,,,pinion,kraharor
39,,,,wing,DUPLICATE_krahë_zogu
40,,,,wishbone,jadec
41,,,,nib,majë_pende
42,,,,sac,"qese,_dhomë"
43,,,,giblet,stomak
44,,,,furcula,DUPLICATE_jadec
45,,,,bird,zog
46,,,,neb,majë_sqepi
47,,,,feather,pupël
48,,,,gland,gjendër
49,,,,oyster,ostrike
50,,,,thigh,trakofshë
51,,,,plumage,gunë
52,,,,web,DUPLICATE_NO_TRANSLATION
53,,,,hindquarters,vithe
54,,,,beak,DUPLICATE_sqep
55,,,,parson's_nose,prapanicë
56,,,,wishing_bone,DUPLICATE_jadec
57,,,,pope's_nose,DUPLICATE_prapanicë
58,,,,spurious_wing,DUPLICATE_NO_TRANSLATION
59,,,,bastard_wing,DUPLICATE_NO_TRANSLATION
60,,,,croupe,parastomak
61,,,,air_sac,dhomë_ajri
62,,,,quill_feather,stilolaps_pendë
63,,,,uropygium,bisht
64,,,,bird's_foot,këmbë_zogu
65,,,,uropygial,DUPLICATE_NO_TRANSLATION
66,,,,second_joint,DUPLICATE_NO_TRANSLATION
67,,,,uropygial_gland,gjëndër_vaji
68,,,,preen_gland,DUPLICATE_gjëndër_vaji
