,ID,Relation,Source,Target,AL
0,L07_1,synonyms - intensity,afraid,,frikë
1,,,,terrified,i_tmerruar
2,,,,horrified,DUPLICATE_i_tmerruar
3,,,,scared,i_frikësuar
4,,,,stiff,i_ngrirë
5,,,,petrified,i_ngurosur
6,,,,fearful,"DUPLICATE_i_frikësuar,_i_frikshëm"
7,,,,panicky,i_panikosur
9,L07_2,synonyms - intensity,angry,,i_nervozuar
10,,,,furious,i_furishëm
11,,,,enraged,i_tërbuar
12,,,,outraged,i_indinjuar
13,,,,aggrivated,i_rënduar
14,,,,irate,i_zemëruar
15,,,,seething,NO_TRANSLATE
17,L07_3,synonyms - intensity,ask,,pyes
18,,,,beg,lutem
19,,,,implore,përgjerohem
20,,,,pray,"falem,_lutem"
21,,,,entreat,DUPLICATE_përgjërohem
22,,,,supplicate,DUPLICATE_përgjërohem
23,,,,insist,këmbëngul
25,L07_4,synonyms - intensity,bad,,i_keq
26,,,,awful,e_shpifur
27,,,,atrocious,DUPLICATE_e_tmerrshme
28,,,,abominable,e_neveritshme
29,,,,dreadful,tmerruese
30,,,,painful,e_dhimbshme
31,,,,terrible,e_tmerrshme
32,,,,unspeakable,i_papërshkrueshëm
34,L07_5,synonyms - intensity,boring,,i_mërzitshëm
35,,,,tedious,i_lodhshëm
36,,,,deadening,vdekjeprurëse
37,,,,dull,DUPLICATE_e_mërzitshme
38,,,,ho-hum,DUPLICATE_e_mërzitshme
39,,,,irksome,DUPLICATE_i_mërzitshëm
40,,,,tiresome,e_lodhshme
41,,,,wearisome,lodhëse
43,L07_6,synonyms - intensity,cat,,mace
44,,,,lion,luan
45,,,,tiger,tigër
46,,,,leopard,leopard
47,,,,panther,panterë
48,,,,jaguar,xhaguar
50,L07_7,synonyms - intensity,chuckle,,nënqesh
51,,,,laugh,qesh
52,,,,guffaw,gajasem
53,,,,chortle,qesh_me_lot
54,,,,snicker,përqesh
55,,,,snigger,qesh_nën_hundë
56,,,,titter,kukuris
57,,,,roar,gjëmoj
59,L07_8,synonyms - intensity,confused,,"i_ngatërruar,_i_hutuar"
60,,,,lost,i_humbur
61,,,,bewildered,DUPLICATE_i_hutuar
62,,,,trapped,i_bllokuar
63,,,,desperate,i_dëshpëruar
65,L07_9,synonyms - intensity,creative,,krijues
66,,,,ingenious,gjeniale
67,,,,inventive,i_shpikur
68,,,,demiurgic,NO_TRANSLATION
69,,,,deviceful,i_pajisur
70,,,,innovational,bashkëkohor
71,,,,innovative,inovator
72,,,,innovatory,DUPLICATE_bashkëkohor
73,,,,original,origjinal
74,,,,originative,DUPLICATE_origjinal
76,L07_10,synonyms - intensity,cry,,qaj
77,,,,scream,bërtas
78,,,,shriek,ulëras
79,,,,screech,klith
80,,,,screeching,duke_klithur
82,L07_11,synonyms - intensity,damp,,e_lagësht
83,,,,drenched,i_lagur
84,,,,dripping,"DUPLICATE_e_lagësht,_që_pikon"
85,,,,saturated,i_ngopur
86,,,,soaked,i_njomur
