,ID,Relation,Source,Target,AL
0,L08_1,synonyms - exact,airplane,,avion
1,,,,aeroplane,aeroplan
2,,,,plane,avion
4,L08_2,synonyms - exact,auto,,mjet_transporti
5,,,,car,makinë
6,,,,automobile,automobil
7,,,,motorcar,veturë
9,L08_3,synonyms - exact,baby,,fëmijë
10,,,,infant,foshnje
11,,,,babe,bebe
13,L08_4,synonyms - exact,bicycle,,biçikletë
14,,,,bike,DUPLICATE_biçikletë
15,,,,wheel,rrotë
16,,,,cycle,ngas_biçikletën
18,L08_5,synonyms - exact,child,,fëmijë
19,,,,kid,DUPLICATE_fëmijë
20,,,,youngster,i_ri
21,,,,minor,"minor,_i_mitur"
22,,,,shaver,çunak
23,,,,nipper,kalama
24,,,,small_fry,i_mitur
25,,,,tiddler,vogëlush
26,,,,tike,DUPLICATE_vogëlush
27,,,,tyke,DUPLICATE_kalama
28,,,,fry,i_vogli
29,,,,nestling,"zogth,_zogëz"
31,L08_6,synonyms - exact,cloth,,pëlhurë
32,,,,fabric,"copë,_pëlhurë"
33,,,,material,material
34,,,,textile,tekstile
36,L08_7,synonyms - exact,clothes,,rroba
37,,,,clothing,veshje
38,,,,apparel,rrobë
39,,,,dress,fustan
41,L08_8,synonyms - exact,confused,,i_hutuar
42,,,,baffled,i_çuditur
43,,,,befuddled,DUPLICATE_i_hutuar
44,,,,bemused,i_mahnitur
45,,,,bewildered,DUPLICATE_i_hutuar
46,,,,confounded,i_ngatërruar
47,,,,lost,i_humbur
48,,,,mazed,i_shastisur
49,,,,mixed-up,lëmsh
51,L08_9,synonyms - exact,dollars,,dollarë
52,,,,bucks,DUPLICATE_dollarë
54,L08_10,synonyms - exact,emphasis,,theks
55,,,,accent,DUPLICATE_theks
56,,,,accentuaion,theksim
57,,,,importance,rëndësi
58,,,,stress,"nënvizoj,_DUPLICATE_theks"
59,,,,significance,domethënie
61,L08_11,synonyms - exact,father,,baba
62,,,,dad,babi
63,,,,daddy,babush
65,L08_12,synonyms - exact,flower,,lule
66,,,,blossom,"lulëzim,_çel"
67,,,,bloom,DUPLICATE_lulëzim
69,L08_13,synonyms - exact,harbor,,port
70,,,,seaport,porti_detar
71,,,,haven,liman
72,,,,harbour,port
74,L08_14,synonyms - exact,help,,ndihmë
75,,,,aid,DUPLICATE_ndihmë
76,,,,assist,asistoj
78,L08_15,synonyms - exact,hieroglyph,,herioglif
79,,,,hieroglyphic,herioglife
80,,,,pictogram,piktogram
82,L08_16,synonyms - exact,homogeneous,,homogjene
83,,,,uniform,trajtë
84,,,,unvarying,i_pandryshueshëm
86,L08_17,synonyms - exact,honest,,i_ndershëm
87,,,,sincere,i_sinqertë
88,,,,ingenuous,gjenial
