,ID,Relation,Source,Target,AL
0,L09_1,antonyms - gradable,able,,i_aftë
1,,,,unable,i_paaftë
2,,,,incapable,DUPLICATE_i_paaftë
3,,,,incompetent,DUPLICATE_i_paaftë
4,,,,unequal,DUPLICATE_i_paaftë
6,L09_2,antonyms - gradable,abundant,,i_bollshëm
7,,,,scarce,i_pakët
8,,,,rare,i_rrallë
9,,,,tight,i_ngushtë
10,,,,meager,i_pamjaftueshëm
11,,,,meagre,i_varfër
12,,,,meagerly,me_pakicë
13,,,,stingy,DUPLICATE_i_pakët
14,,,,scrimpy,DUPLICATE_i_varfër
15,,,,insufficient,DUPLICATE_i_pamjaftueshëm
16,,,,deficient,i_mangët
18,L09_3,antonyms - gradable,aware,,i_ndërgjegjshëm
19,,,,unaware,i_pandërgjegjshëm
20,,,,oblivious,DUPLICATE_i_pavëmendshëm
21,,,,unmindful,i_pavëmendshëm
22,,,,unconscious,DUPLICATE_i_pandërgjegjshëm
23,,,,unsuspecting,i_pavetëdijshëm
24,,,,asleep,në_gjumë/
25,,,,insensible,DUPLICATE_i_pavetëdijshëm
26,,,,unwitting,padashur
27,,,,ignorant,nuk_e_di_për
28,,,,indifferent,indiferent
30,L09_4,antonyms - gradable,beautiful,,i_bukur
31,,,,ugly,i_shëmtuar
32,,,,disfigured,i_shpërfytyruar
33,,,,evil-looking,i_ligë
34,,,,fugly,NO_TRANSLATION
35,,,,grotesque,grotesk
36,,,,monstrous,i_përdhosur
37,,,,hideous,DUPLICATE_i_shëmtuar
38,,,,repulsive,neveritës
39,,,,ill-favored,i_pakëndshëm
40,,,,ill-favoured,DUPLICATE_i_pakëndshëm
41,,,,scrofulous,i_parregullt
42,,,,unlovely,antipatik
43,,,,unpicturesque,jo_piktoresk
44,,,,unsightly,DUPLICATE_i_pakëndshëm
45,,,,displeasing,DUPLICATE_i_pakëndshëm
46,,,,unattractive,jo_tërheqës
47,,,,awkward,DUPLICATE_i_pakëndshëm
49,L09_5,antonyms - gradable,big,,i__madh
50,,,,small,i_vogël
51,,,,atomic,atomik
52,,,,subatomic,subatomik
53,,,,bantam,i_imët
54,,,,diminutive,shumë_i_vogël
55,,,,lilliputian,si_liliput
56,,,,midget,xhuxh
57,,,,petite,vocërrak
58,,,,tiny,i_vockël
59,,,,flyspeck,sa_një_mizë
60,,,,bitty,DUPLICATE_i_vogël
61,,,,bittie,DUPLICATE_i_vogël
62,,,,teensy,DUPLICATE_i_mbledhur
63,,,,teentsy,DUPLICATE_i_mbledhur
64,,,,teeny,i_mbledhur
65,,,,wee,DUPLICATE_i_vockël
66,,,,weeny,DUPLICATE_i_vockël
67,,,,weensy,DUPLICATE_i_vockël
68,,,,teensy-weensy,DUPLICATE_shumë_i_vockël
69,,,,teeny-weeny,shumë_i_vockël
70,,,,itty-bitty,DUPLICATE_i_vogël
71,,,,itsy-bitsy,DUPLICATE_i_vogël
72,,,,dinky,i_papërfillshëm
73,,,,dwarfish,si_xhuxh
74,,,,elfin,kukudh
75,,,,elflike,si_kukudh
76,,,,gnomish,gnom
77,,,,half-size,gjysmë_bojë
78,,,,infinitesimal,jashtëzakonisht_i_vogël
79,,,,minute,DUPLICATE_i_imët
80,,,,lesser,më_i_vogël
81,,,,microscopic,mikroskopik
82,,,,microscopical,DUPLICATE_mikroskopic
83,,,,micro,mikro
84,,,,miniature,miniaturë
85,,,,minuscule,DUPLICATE_i_vogël
86,,,,miniscule,DUPLICATE_i_vogël
87,,,,olive-sized,sa_një_ulli
88,,,,pocket-size,sa_një_xhep
89,,,,pocket-sized,DUPLICATE_sa_një_xhep
90,,,,pocketable,që_futet_në_xhep
91,,,,puny,i_pakët
92,,,,runty,rrëgjak
93,,,,shrimpy,si_karkalec
94,,,,slender,i_hollë
95,,,,slim,DUPLICATE_i_hollë
96,,,,smaller,DUPLICATE_më_i_vogël
97,,,,littler,DUPLICATE_më_i_vogël
98,,,,smallish,DUPLICATE_i_vogël
99,,,,small-scale,në_shkallë_të_vogël
100,,,,undersize,nën_masë
101,,,,undersized,DUPLICATE_nën_masë
103,L09_6,antonyms - gradable,bright,,i_ndritshëm
104,,,,pale,i_zbehtë
105,,,,colorless,pa_ngjyrë
106,,,,colourless,DUPLICATE_pa_ngjyrë
107,,,,dull,DUPLICATE_i_zbehtë
108,,,,neutral,neutral
109,,,,white,i_bardhë
110,,,,bleached,DUPLICATE_i_zbardhur
111,,,,faded,i_zbehur
112,,,,washed-out,i_ka_dalë_ngjyra
113,,,,washy,i_shpëlarë
114,,,,drab,i_zymtë
115,,,,somber,DUPLICATE_i_zymtë
116,,,,sombre,DUPLICATE_i_zymtë
117,,,,dulled,zbehur
118,,,,greyed,i_thinjur
119,,,,etiolate,zbardh
120,,,,etiolated,i_zbardhur
121,,,,lurid,i_zbhetl
122,,,,waxen,i_dylltë
123,,,,waxlike,si_dyllë
124,,,,waxy,dyllor
125,,,,whitened,DUPLICATE_i_zbardhur
127,L09_7,antonyms - gradable,cheap,,i_lirë
128,,,,expensive,i_shtrenjtë
129,,,,big-ticket,me_shpenzime
130,,,,high-ticket,DUPLICATE_me_shpenzime
131,,,,costly,i_kushtueshëm
132,,,,dear,DUPLICATE_i_shtrenjtë
133,,,,high-priced,me_çmim_të_lartë
134,,,,pricey,DUPLICATE_i_shtrenjtë
135,,,,pricy,DUPLICATE_i_shtrenjtë
136,,,,dearly-won,që_kushton_shtrenjtë
137,,,,overpriced,i_mbiçmuar
138,,,,valuable,me_vlerë
140,L09_8,antonyms - gradable,clean,,i_pastër
141,,,,dirty,i_pistë
142,,,,soiled,i_ndotur
143,,,,unclean,i_papastër
144,,,,augean,i_mundimshëm
145,,,,bedraggled,DUPLICATE_i_bërë_pis_nga_zvarritja
146,,,,draggled,i_bërë_pis_nga_zvarritja
147,,,,befouled,DUPLICATE_i_ndotur
148,,,,fouled,DUPLICATE_i_ndotur
149,,,,begrimed,i_zhulosur
150,,,,dingy,DUPLICATE_i_pistë
151,,,,grimy,me_zhul
152,,,,grubby,DUPLICATE_i_ndyrë
153,,,,grungy,i_fëlliqur
154,,,,raunchy,DUPLICATE_i_pistë
155,,,,black,i_nxirë
156,,,,smutty,i_ndyrë
157,,,,buggy,me_miza
158,,,,cobwebby,me_merimanga
159,,,,dirty-faced,me_fytyrë_të_pistë
160,,,,feculent,fekale
161,,,,filthy,DUPLICATE_i_ndotur
162,,,,foul,DUPLICATE_i_ndyrë
163,,,,nasty,DUPLICATE_i_pistë
164,,,,flyblown,i_mbushur_me_miza
165,,,,squalid,DUPLICATE_i_fëlliqur
166,,,,sordid,i_neveritshëm
167,,,,greasy,i_yndyrshëm
168,,,,oily,me_vaj
169,,,,lousy,i_keq
170,,,,maculate,i_njollosur
171,,,,mucky,i_përbaltur
172,,,,muddy,me_baltë
173,,,,ratty,me_minj
174,,,,scummy,me_llumë
175,,,,smudgy,me_njolla
176,,,,snotty,qurrash
177,,,,snot-nosed,hundëqurre
178,,,,sooty,me_blozë
179,,,,travel-soiled,i_ndotur_nga_rruga
180,,,,travel-stained,me_njolla_nga_rruga
181,,,,uncleanly,në_mënyrë_të_papastër
182,,,,unswept,i_pafshirë
183,,,,unwashed,i_palarë
185,L09_9,antonyms - gradable,clear,,i_qartë
186,,,,vague,i_turbullut
187,,,,obscure,i_errët
188,,,,unclear,i_paqartë
189,,,,undefined,i_pacaktuar
190,,,,indefinable,i_papërcaktueshëm
191,,,,undefinable,DUPLICATE_i_papërcaktuehëm
193,L09_10,antonyms - gradable,close,,i_afërt
194,,,,distant,i_largët
195,,,,remote,i_thellë
196,,,,removed,DUPLICATE_i_largët
197,,,,far,DUPLICATE_i_largët
