,ID,Relation,Source,Target,BM
0,L01_1,hypernyms - animals,allosaurus,,NO_TRANSLATION
1,,,,dinosaur,dinɔsɔsi
2,,,,reptile,fɛnɲɛnɛma
3,,,,bird,kɔnɔ
4,,,,archosaur,NO_TRANSLATION
5,,,,archosaurian,DUPLICATE_NO_TRANSLATION
6,,,,archosaurian_reptile,DUPLICATE_NO_TRANSLATION
8,L01_2,hypernyms - animals,anaconda,,NO_TRANSLATION
9,,,,snake,sa
10,,,,reptile,fɛnɲɛnɛma
11,,,,boa,boa
12,,,,serpent,DUPLICATE_sa
13,,,,ophidian,dugumanfen
15,L01_3,hypernyms - animals,ant,,"
ntigiɲɛ"
16,,,,insect,fɛnɲɛnɛmani
17,,,,invertebrate,DUPLICATE_fɛnɲɛnɛmani
18,,,,creature,"datanfɛn,_fɛndalen"
19,,,,beast,bagan
20,,,,hymenopteran,DUPLICATE_fɛnɲɛnɛmani
21,,,,being,ni_ma_fɛn
22,,,,animal,DUPLICATE_bagan
23,,,,organism,fɛnɲɛnamaw
24,,,,fauna,kungosogow
25,,,,arthropod,NO_TRANSLATION
26,,,,hymenopterous_insect,DUPLICATE_fɛnɲɛnɛmani
27,,,,animate_being,ɲɛnamaya
28,,,,physical_hymenopteron,DUPLICATE_NO_TRANSLATION
29,,,,physical_entity,farikolo-ɲɛnajɛ-fɛn
30,,,,hymenopter,DUPLICATE_fɛnɲɛnɛmani
31,,,,living_thing,ɲɛnama_fɛn
33,L01_4,hypernyms - animals,beaver,,NO_TRANSLATION
34,,,,rodent,NO_TRANSLATION
35,,,,vertebrate,kolomafɛn
36,,,,creature,"datanfɛn,_fɛndalen"
37,,,,beast,bagan
38,,,,animal,DUPLICATE_bagan
39,,,,organism,fɛnɲɛnamaw
40,,,,fauna,kungosogow
41,,,,placental,denso_kɔnɔ
42,,,,chordate,DUPLICATE_NO_TRANSLATION
43,,,,eutherian,DUPLICATE_NO_TRANSLATION
44,,,,mammal,DUPLICATE_bagan
45,,,,mammalian,baganw
46,,,,eutherian_mammal,DUPLICATE_NO_TRANSLATION
47,,,,gnawer,DUPLICATE_NO_TRANSLATION
48,,,,animate_being,ɲɛnamaya
49,,,,living_thing,ɲɛnama_fɛn
50,,,,placental_mammal,denso_bagan
51,,,,craniate,DUPLICATE_NO_TRANSLATION
53,L01_5,hypernyms - animals,bee,,diden
54,,,,insect,fɛnɲɛnɛmani
55,,,,invertebrate,DUPLICATE_fɛnɲɛnɛmani
56,,,,creature,"datanfɛn,_fɛndalen"
57,,,,beast,bagan
58,,,,hymenopteran,DUPLICATE_fɛnɲɛnɛmani
59,,,,being,ni_ma_fɛn
60,,,,animal,DUPLICATE_bagan
61,,,,organism,fɛnɲɛnamaw
62,,,,fauna,kungosogow
63,,,,arthropod,NO_TRANSLATION
64,,,,hymenopterous_insect,DUPLICATE_fɛnɲɛnɛmani
65,,,,animate_being,ɲɛnamaya
66,,,,hymenopteron,DUPLICATE_fɛnɲɛnɛmani
67,,,,hymenopter,DUPLICATE_fɛnɲɛnɛmani
68,,,,living_thing,ɲɛnama_fɛn
70,,,,,dikisɛ
71,L01_6,hypernyms - animals,beetle,,bokolonkolonmusa
72,,,,insect,fɛnɲɛnɛmani
73,,,,invertebrate,kolo_tɛ_minnu_na
74,,,,creature,"datanfɛn,_fɛndalen"
75,,,,beast,bagan
76,,,,being,ni_ma_fɛn
77,,,,animal,DUPLICATE_bagan
78,,,,organism,fɛnɲɛnamaw
79,,,,fauna,kungosogow
80,,,,arthropod,NO_TRANSLATION
81,,,,animate_being,ɲɛnamaya
82,,,,living_thing,ɲɛnama_fɛn
84,L01_7,hypernyms - animals,buffalo,,"sigi,_kungomisi"
85,,,,bovid,"gɛrɛnmafɛn,biɲɛwmafɛn"
86,,,,mammal,DUPLICATE_bagan
87,,,,bison,kungomisi
88,,,,cow,misi
89,,,,vertebrate,kolomafɛn
90,,,,creature,"datanfɛn,_fɛndalen"
91,,,,ungulate,NO_TRANSLATION
92,,,,beast,bagan
93,,,,being,ni_ma_fɛn
94,,,,animal,DUPLICATE_beast
95,,,,organism,fɛnɲɛnamaw
96,,,,fauna,kungosogow
97,,,,placental,denso_kɔnɔ
98,,,,artiodactyl,DUPLICATE_NO_TRANSLATION
99,,,,ruminant,DUPLICATE_NO_TRANSLATION
100,,,,chordate,DUPLICATE_NO_TRANSLATION
101,,,,eutherian,DUPLICATE_NO_TRANSLATION
102,,,,mammalian,baganw
103,,,,bovine,misiw
104,,,,animate_being,ɲɛnamaya
105,,,,eutherian_mammal,DUPLICATE_NO_TRANSLATION
106,,,,placental_mammal,denso_bagan
107,,,,craniate,DUPLICATE_NO_TRANSLATION
108,,,,physical_hoofed_mammal,DUPLICATE_NO_TRANSLATION
109,,,,physical_entity,farikolo-ɲɛnajɛ-fɛn
110,,,,even-toed_ungulate,DUPLICATE_NO_TRANSLATION
111,,,,artiodactyl_mammal,DUPLICATE_NO_TRANSLATION
112,,,,living_thing,ɲɛnama_fɛn
114,L01_8,hypernyms - animals,butterfly,,nfirinfirinin
115,,,,insect,fɛnɲɛnɛmani
116,,,,creature,"datanfɛn,_fɛndalen"
117,,,,beast,bagan
118,,,,lepidopteran,ntumu
119,,,,animal,DUPLICATE_beast
120,,,,organism,fɛnɲɛnamaw
121,,,,fauna,kungosogow
122,,,,arthropod,NO_TRANSLATION
123,,,,lepidopterous_insect,DUPLICATE_NO_TRANSLATION
124,,,,lepidopteron,DUPLICATE_lepidopteran
125,,,,animate_being,ɲɛnamaya
126,,,,living_thing,ɲɛnama_fɛn
128,L01_9,hypernyms - animals,cat,,jakuma
129,,,,feline,jakumama
130,,,,beast,bagan
131,,,,animal,DUPLICATE_beast
132,,,,organism,fɛnɲɛnamaw
133,,,,fauna,kungosogow
134,,,,placental,denso_kɔnɔ
135,,,,carnivore,sogodunbagan
136,,,,chordate,NO_TRANSLATION
137,,,,felid,DUPLICATE_cat
138,,,,eutherian,DUPLICATE_NO_TRANSLATION
139,,,,mammal,DUPLICATE_beast
140,,,,mammalian,baganw
141,,,,eutherian_mammal,DUPLICATE_NO_TRANSLATION
142,,,,animate_being,ɲɛnamaya
143,,,,placental_mammal,denso_bagan
144,,,,craniate,DUPLICATE_NO_TRANSLATION
146,L01_10,hypernyms - animals,chicken,,sisɛ
147,,,,fowl,kɔnɔw
148,,,,bird,kɔnɔ
149,,,,vertebrate,kolomafɛn
150,,,,poultry,DUPLICATE_kɔnɔ
151,,,,creature,"datanfɛn,_fɛndalen"
152,,,,beast,bagan
153,,,,being,ni_ma_fɛn
154,,,,animal,DUPLICATE_bagan
155,,,,organism,fɛnɲɛnamaw
156,,,,fauna,kungosogow
157,,,,chordate,NO_TRANSLATION
158,,,,domestic_fowl,sokɔnɔ_kɔnɔw
159,,,,animate_being,ɲɛnamaya
160,,,,gallinaceous_bird,DUPLICATE_NO_TRANSLATION
