,ID,Relation,Source,Target,BM
0,L02_1,hypernyms - misc,armchair,,sigilan_magaman
1,,,,chair,sigilan
2,,,,seat,DUPLICATE_chair
3,,,,piece_of_furniture,minanw
4,,,,article_of_furniture,DUPLICATE_piece_of_furniture
5,,,,furnishing,DUPLICATE_piece_of_furniture
6,,,,artifact,fɛn_dilannenw
7,,,,artefact,DUPLICATE_artifact
8,,,,unit,"kelen,_kelenya"
9,,,,object,"minɛn,_fɛn"
10,,,,physical_object,fɛn_farikoloma
11,,,,physical_entity,"farikolo-ɲɛnajɛ-fɛn,_farikoloma_fɛn,_yeli_fɛn"
12,,,,entity,fɛndɔ
14,L02_2,hypernyms - misc,blender,,NO_TRANSLATION
15,,,,appliance,minɛn
16,,,,mixer,NO_TRANSLATION
17,,,,kitchen_utensil,tobilikɛminɛnw
18,,,,utensil,"minɛn,_fɛn"
19,,,,implement,DUPLICATE_NO_TRANSLATION
20,,,,artifact,fɛn_dilannenw
21,,,,artefact,DUPLICAT_artifact
22,,,,unit,"kelen,_kelenya"
23,,,,object,"DUPLICATE_minɛn,_fɛn"
24,,,,physical_object,fɛn_farikoloma
25,,,,physical_entity,"farikolo-ɲɛnajɛ-fɛn,_farikoloma_fɛn,_yeli_fɛn"
26,,,,entity,fɛndɔ
28,L02_3,hypernyms - misc,bracelet,,bololanɛgɛ
29,,,,jewelry,masiri
33,,,,artifact,fɛn_dilannenw
34,,,,artefact,DUPLICATE_artifact
35,,,,unit,"kelen,_kelenya"
36,,,,object,"minɛn,_fɛn"
37,,,,physical_object,fɛn_farikoloma
38,,,,physical_entity,"farikolo-ɲɛnajɛ-fɛn,_farikoloma_fɛn,_yeli_fɛn"
39,,,,entity,fɛndɔ
40,,,,jewellery,biyew
41,,,,adornment,DUPLICATE_decoration
42,,,,decoration,masirili
43,,,,ornament,DUPLICATE_decoration
44,,,,ornamentation,DUPLICATE_decoration
46,L02_4,hypernyms - misc,brooch,,NO_TRANSLATION
47,,,,jewelry,masiri
