,ID,Relation,Source,Target,BM
0,L03_1,hyponyms - misc,backpack,,kɔla_saki
1,,,,daypack,kilefɛ_saki
2,,,,kitbag,donita_saki
3,,,,kit_bag,DUPLICATE_donita_saki
5,L03_2,hyponyms - misc,bag,,bolola_saki
6,,,,pouch,foroko_kɔnɔ
7,,,,backpack,kɔla_saki
8,,,,knapsack,saki_deni
9,,,,packsack,DUPLICATE_backpack
10,,,,rucksack,DUPLICATE_backpack
11,,,,haversack,kɛrɛla_saki
12,,,,beanbag,NO_TRANSLATION
13,,,,bladder,DUPLICATE_NO_TRANSLATION
14,,,,carryall,saki_kɔnɔkelen
15,,,,holdall,DUPLICATE_carryall
16,,,,tote,bɔrɔni
17,,,,drawstring,kɔla_bɔrɔni
18,,,,dust,DUPLICATE_bɔrɔni
19,,,,vacuum,lankolon
20,,,,envelope,anwulopu
21,,,,gasbag,gazi_bɔrɔ
22,,,,gamebag,cɛw_ka_kɛrɛla_saki
23,,,,golf,DUPLICATE_NO_TRANSLATION
24,,,,gunnysack,ɲɔ_bɔrɔni
25,,,,gunny,DUPLICATE_gunnysack
26,,,,burlap,DUPLICATE_NO_TRANSLATION
27,,,,ice,galasi_bɔrɔ
28,,,,mailbag,lɛtɛrɛbɔlan
29,,,,postbag,posita_bɔrɔ
30,,,,nosebag,dumuni_bɔrɔ
31,,,,feedbag,DUPLICATE_dumuni_bɔrɔ
32,,,,pannier,seki
33,,,,plastic,mana
34,,,,purse,wari_balani
35,,,,ragbag,DUPLICATE_NO_TRANSLATION
37,,,,sachet,sasɛni
38,,,,sack,bɔrɛ
39,,,,poke,DUPLICATE_NO_TRANSLATION
40,,,,paper,papiye
41,,,,carrier,talilan
43,,,,sandbag,cɛncɛn_bɔrɔ
44,,,,schoolbag,lakɔliso_saki
45,,,,shopping,sanni_saki
49,,,,sleeping,dali_bɔrɔ
50,,,,sweat,sanfɛ_fini
51,,,,tea,te
52,,,,toilet,ɲɛgɛn
53,,,,sponge,ɛponji
54,,,,tool,minɛn
56,,,,,nbalan
57,L03_3,hyponyms - misc,bed,,dalan
58,,,,bunk,dalilan
59,,,,berth,DUPLICATE_dalilan
60,,,,built,jɔ̀len
61,,,,built-in,jɔlen_don
62,,,,cot,NO_TRANSLATION
63,,,,camp,kanpaɲi
64,,,,couch,dilan
65,,,,deathbed,saya_dilan
66,,,,double,siɲɛfila
67,,,,four-poster,naani-fiɲɛbɔlan
68,,,,hammock,hamakɛ
69,,,,sack,bɔrɛ
70,,,,marriage_bed,furusiri_dilan
71,,,,murphy,DUPLICATE_dilan
72,,,,plank-bed,planki-dilan
73,,,,platform,bɔlɔlɔ_kan
74,,,,sickbed,banabagatɔw_ka_dilan
75,,,,single_bed,mɔgɔ_kelen_dilan
76,,,,sleigh,sɛgɛnlafiɲɛbɔ
77,,,,trundle,DUPLICATE_NO_TRANSLATION
