,ID,Relation,Source,Target,BM
0,L04_1,meronyms - substance,atmosphere,,fiɲɛbɔyɔrɔ
1,,,,gas,gazi
2,,,,oxygen,ɔkisizɛni
3,,,,hydrogen,hidrɔzɛni
4,,,,nitrogen,NO_TRANSLATION
5,,,,ozone,ozɔni
7,L04_2,meronyms - substance,bag,,saki
8,,,,leather,golo
9,,,,fabric,finimugu
10,,,,plastic,manan
12,L04_3,meronyms - substance,beach,,jida
13,,,,sand,cɛncɛn
14,,,,silicon,siliyɔmu
15,,,,rocks,farakurun
16,,,,pebbles,kabakurunw
17,,,,atomic_number_14,NO_TRANSLATION
18,,,,si,DUPLICATE_NO_TRANSLATION
20,L04_4,meronyms - substance,beard,,bonbonsi
21,,,,hair,kunsigi
23,L04_5,meronyms - substance,body,,farikolo
24,,,,flesh,farisogo
25,,,,bones,"kolotugudaw,_kolo"
27,L04_6,meronyms - substance,boots,,samarabaw
28,,,,leather,golo
29,,,,canvas,NO_TRANSLATION
31,L04_7,meronyms - substance,bottle,,buteli
32,,,,glass,wɛɛrɛ
33,,,,plastic,manan
35,L04_8,meronyms - substance,bowl,,tasa
36,,,,glass,wɛɛrɛ
37,,,,china,bɔgɔni
38,,,,aluminium,funka
39,,,,wood,yiri
40,,,,steel,nɛgɛ
41,,,,plastic,manan
42,,,,clay,bɔgɔ
44,L04_9,meronyms - substance,box,,buwati
45,,,,cardboard,kartɔn_papiye
46,,,,tin,NO_TRANSLATION
47,,,,boxwood,kɛsu_jiri
48,,,,turkish_boxwood,DUPLICATE_NO_TRANSLATION
50,L04_10,meronyms - substance,bread,,buru
51,,,,flour,mugu
52,,,,yeast,fununnan
54,L04_11,meronyms - substance,bronze,,sira
55,,,,copper,dɛn
56,,,,tin,NO_TRANSLATION
57,,,,cu,DUPLICATE_NO_TRANSLATION
58,,,,atomic_number_29,DUPLICATE_NO_TRANSLATION
60,L04_12,meronyms - substance,candy,,bonbonw
61,,,,sugar,sukaro
62,,,,nougat,NO_TRANSLATION
63,,,,chocolate,sokola
64,,,,gelatin,DUPLICATE_NO_TRANSLATION
65,,,,molasses,melasi
66,,,,syrup,siro
67,,,,honey,di
68,,,,fruit,yiriden
69,,,,nuts,DUPLICATE_NO_TRANSLATION
71,L04_13,meronyms - substance,chocolate,,sokola
72,,,,cocoa,kakawo
73,,,,bean,sɔ
74,,,,cacao,DUPLICATE_cocoa
75,,,,cacao_bean,DUPLICATE_cocoa
76,,,,cocoa_bean,DUPLICATE_cocoa
