,ID,Relation,Source,Target,BM
0,L05_1,meronyms - member,acrobat,,NO_TRANSLATION
1,,,,troupe,jɛkulu
3,L05_2,meronyms - member,antelope,,antilope
4,,,,herd,kuluw
6,L05_3,meronyms - member,bee,,diden
7,,,,swarm,didenkuluw
8,,,,hive,diwaka
9,,,,colony,didenkulu
10,,,,drift,bɔlen_don
11,,,,cast,ka_yelen
12,,,,nest,ɲaa
13,,,,rabble,jamakulu
14,,,,stand,ka_jɔ
16,L05_4,meronyms - member,bird,,kɔ̀nɔ
17,,,,flock,kuluw
18,,,,,kɔ̀nɔkuluw
19,L05_5,meronyms - member,book,,gafe
20,,,,library,gafekalanyɔrɔ
21,,,,shelf,mɛ̀mɛ
22,,,,collection,farankan
23,,,,accounting,jatebɔ
24,,,,accounting_system,jatebɔ_sigida
25,,,,method_of_accounting,jatebɔcogo_kɛcogo
27,L05_6,meronyms - member,calf,,misiden
28,,,,cattle,misiw
29,,,,herd,misikuluw
31,L05_7,meronyms - member,car,,mɔbili
32,,,,train,tɛrɛn
33,,,,procession,taama-taama
35,L05_8,meronyms - member,cat,,jakuma
36,,,,clowder,fɛnɲɛnɛmaw
37,,,,glaring,DUPLICATE_fɛnɲɛnɛmaw
38,,,,clutter,DUPLICATE_fɛnɲɛnɛmaw
39,,,,pounce,NO_TRANSLATION
40,,,,,"kuluw,jakumakuluw"
41,L05_9,meronyms - member,cattle,,misiw
42,,,,herd,misikuluw
43,,,,,kuluw
44,L05_10,meronyms - member,christian,,kerecɛnw
45,,,,congregation,jɛkulu_kɔnɔ
46,,,,church,egilisi
47,,,,parish,parɔsi
49,L05_11,meronyms - member,citizen,,jamanaden
50,,,,citizenry,fasodenɲumanya
51,,,,country,jamana
52,,,,state,faso
54,L05_12,meronyms - member,college,,kolɛzi
55,,,,university,kalansoba
57,L05_13,meronyms - member,county,,marabolo
58,,,,state,faso
59,,,,country,jamana
61,L05_14,meronyms - member,cow,,misiw
62,,,,herd,misikuluw
64,L05_15,meronyms - member,crow,,ka_kasi
65,,,,murder,mɔgɔfaga
67,L05_16,meronyms - member,division,,tilayɔrɔba
68,,,,company,cakɛda
69,,,,business,jago
70,,,,platoon,NO_TRANSLATION
71,,,,battle_group,kɛlɛ_jɛkulu
73,L05_17,meronyms - member,elephant,,sama
74,,,,herd,samakuluw
76,L05_18,meronyms - member,employee,,baarakɛla
77,,,,staff,baarakɛlaw
78,,,,company,cakɛda
80,L05_19,meronyms - member,fish,,jɛgɛ
81,,,,school,kalanso
83,L05_20,meronyms - member,flower,,filɛri
84,,,,bouquet,caman
85,,,,bunch,bandi
87,L05_21,meronyms - member,galaxy,,NO_TRANSLATION
88,,,,universe,diɲɛ_kɔnɔ
90,L05_22,meronyms - member,goose,,uwa
91,,,,gaggle,uwakulu
93,L05_23,meronyms - member,juror,,jɔyɔrɔtigi
94,,,,jury,kiritigɛjɛkulu
96,L05_24,meronyms - member,kitten,,jakumaden
97,,,,litter,ɲaman
99,L05_25,meronyms - member,letter,,bataki
100,,,,alphabet,"alfabɛti,_siginikidenw"
102,L05_26,meronyms - member,lion,,"wara,_waraba"
103,,,,pride,kuncɛbaya
105,L05_27,meronyms - member,listener,,lamɛnbaga
106,,,,audience,lamɛlijama
108,L05_28,meronyms - member,member,,tɔnden_dɔ
109,,,,club,kulɔbu
110,,,,team,ekipu
111,,,,group,jɛkulu
112,,,,band,bandi
113,,,,community,sigida
115,L05_29,meronyms - member,musician,,fɔlikɛla
116,,,,orchestra,NO_TRANSLATION
117,,,,band,bandi
