,ID,Relation,Source,Target,BM
0,L06_1,meronyms - part,academia,,kalansobaw_kɔnɔ
1,,,,college,kolɛzi
2,,,,university,kalansoba
3,,,,institute,NO_TRANSLATIOn
5,L06_2,meronyms - part,apartment,,so
6,,,,bedroom,siso
7,,,,room,soden
8,,,,bathroom,ɲɛgɛn
9,,,,kitchen,kabugu
10,,,,kitchenette,dumunikɛyɔrɔ_fitinin
11,,,,living_room,salɔn
12,,,,pantry,pantɛri
13,,,,toilet,DUPLICATE_ɲɛgɛn
14,,,,shower_room,jisigiyɔrɔ
72,L06_4,meronyms - part,brush,,bɔrɔsi
73,,,,bristle,si
74,,,,hold,ka_minɛ
75,,,,shank,kala
76,,,,grip,DUPLICATE_hold
77,,,,handgrip,bolokɔni
78,,,,handle,DUPLICATE_kala
79,,,,head,kunkolo
80,,,,stem,DUPLICATE_kala
82,L06_5,meronyms - part,bus,,kaare
83,,,,seats,sigiyɔrɔw
84,,,,conductor,ɲɛminɛbaga
85,,,,window,finɛtiri
86,,,,driver,bolifɛntigi
87,,,,roof,bili
89,L06_6,meronyms - part,byte,,NO_TRANSLATION
90,,,,bit,NO_TRANSLATION
92,L06_7,meronyms - part,car,,mɔbili
93,,,,engine,motɛrɛ
94,,,,armrest,bolokɔniw_sigilan
95,,,,headrest,kungolodilan
96,,,,grille,da
97,,,,hinge,NO_TRANSLATION
98,,,,tailpipe,tiyo
99,,,,suspension,DUPLICATE_NO_TRANSLATION
100,,,,hood,kapo
101,,,,horn,kalaksɔni
102,,,,hooter,DUPLICATE_kalaksɔni
103,,,,petrol,petoroli
104,,,,pintle,bɔrɔsi
105,,,,trunk,kɛsu
106,,,,floorboard,duguma_dawolo
107,,,,bar,dɔlɔminyɔrɔ
108,,,,gas,gazi
109,,,,buffer,dampen
110,,,,door,da_la
111,,,,stabilizer,sabatililan
112,,,,seat,sigilan
113,,,,window,finɛtiriw
114,,,,exhaust,bɔli
115,,,,tailfin,DUPLICATE_NO_TRANSLATION
