,ID,Relation,Source,Target,BM
0,L07_1,synonyms - intensity,afraid,,siranya
1,,,,terrified,a_sirannen_don_kosɛbɛ
2,,,,horrified,a_siranna_kosɛbɛ
3,,,,scared,lasiran
4,,,,stiff,fɛgɛma
5,,,,petrified,farakurunba
6,,,,fearful,siran_bɛ_mɔgɔ_la
7,,,,panicky,DUPLICATE_siran_bɛ_mɔgɔ_la
9,L07_2,synonyms - intensity,angry,,dimilen
10,,,,furious,DUPLICATE_dimilen
11,,,,enraged,dimina_kosɛbɛ
12,,,,outraged,a_dimina_kosɛbɛ
13,,,,aggrivated,min_bɛ_juguya
14,,,,irate,dimi
15,,,,seething,min_bɛ_wuli
17,L07_3,synonyms - intensity,ask,,ka_ɲininka
18,,,,beg,delili_kɛ
19,,,,implore,DUPLICATE_delili_kɛ
20,,,,pray,ka_seli
21,,,,entreat,DUPLICATE_delili_kɛ
22,,,,supplicate,DUPLICATE_delili_kɛ
23,,,,insist,sinsin
25,L07_4,synonyms - intensity,bad,,jugu
26,,,,awful,cɛjuguman
27,,,,atrocious,jugumanba
28,,,,abominable,ko_haramulen
29,,,,dreadful,siranfɛn
30,,,,painful,dimi_bɛ_mɔgɔ_la
31,,,,terrible,DUPLICATE_jugu
32,,,,unspeakable,min_tɛ_se_ka_fɔ
34,L07_5,synonyms - intensity,boring,,taabataaba
35,,,,tedious,sɛgɛnbagatɔw
36,,,,deadening,bɔgɔbɔgɔ
37,,,,dull,manamantanya
38,,,,ho-hum,NO_TRANSLATION
39,,,,irksome,tɔɔrɔlan
40,,,,tiresome,sɛgɛn
41,,,,wearisome,DUPLICATE_taabataaba
43,L07_6,synonyms - intensity,cat,,jakuma
44,,,,lion,wara
45,,,,tiger,tigiri
46,,,,leopard,waranikala
47,,,,panther,waraninkalan
48,,,,jaguar,DUPLICATE_wara
50,L07_7,synonyms - intensity,chuckle,,sɔgɔsɔgɔ
51,,,,laugh,yɛlɛ
52,,,,guffaw,yɛlɛ_kosobɛ
53,,,,chortle,DUPLICATE_sɔgɔsɔgɔ
54,,,,snicker,NO_TRANSLATION
55,,,,snigger,DUPLICATE_NO_TRANSLATION
56,,,,titter,DUPLICATE_NO_TRANSLATION
57,,,,roar,mankanba
59,L07_8,synonyms - intensity,confused,,ɲaamilen
60,,,,lost,tununi
61,,,,bewildered,a_hakili_ɲagamina
62,,,,trapped,minɛlen_don
63,,,,desperate,jigitigɛ
65,L07_9,synonyms - intensity,creative,,kekuman
66,,,,ingenious,hakilitigi
67,,,,inventive,daɲɛw_labɛncogo
68,,,,demiurgic,NO_TRANSLATION
69,,,,deviceful,minɛnw_na
70,,,,innovational,kokuradonni
71,,,,innovative,DUPLICATE_innovational
72,,,,innovatory,DUPLICATE_innovational
73,,,,original,yɛrɛyɛrɛ
74,,,,originative,daminɛcogo
76,L07_10,synonyms - intensity,cry,,ka_kasi
77,,,,scream,kulekan
78,,,,shriek,kulekan_bɔ
79,,,,screech,DUPLICATE_screech
80,,,,screeching,ka_kulekan_bɔ
82,L07_11,synonyms - intensity,damp,,suma
83,,,,drenched,min_bɛ_jigin
84,,,,dripping,jibɔcogo
85,,,,saturated,min__fa_len
86,,,,soaked,DUPLICATE_min_bɛ_jigin
87,,,,soaking,ka_jisuma_kɛ
88,,,,sodden,NO_TRANSLATION
89,,,,sopping,ka_ɲigin
90,,,,soppy,dusukunnataw_ta_fan_fɛ
91,,,,soused,DUPLICATE_min_bɛ_jigin
92,,,,wringing-wet,ɲigin
94,L07_12,synonyms - intensity,dinner,,surafana
95,,,,feast,ɲɛnajɛ
96,,,,banquet,ɲɛnajɛba
97,,,,fiesta,DUPLICATE_ɲɛnajɛ
99,L07_13,synonyms - intensity,dislike,,a_man_di_a_ye
100,,,,hate,kɔniya
101,,,,abhor,koniya
102,,,,detest,DUPLICATE_koniya
103,,,,loathe,DUPLICATE_koniya
104,,,,abominate,ko_haramulen
105,,,,execrate,ka_mɔgɔ_tɔɔrɔ
106,,,,contemn,mafiɲɛyali
107,,,,despise,ka_mafiɲɛya
108,,,,scorn,DUPLICATE_mafiɲɛyali
109,,,,disdain,DUPLICATE_mafiɲɛyali
111,L07_14,synonyms - intensity,doze,,sunɔgɔbaliya
112,,,,sleep,ka_sunɔgɔ
113,,,,slumber,DUPLICATE_doze
115,L07_15,synonyms - intensity,drizzle,,jisigiyɔrɔ
116,,,,rain,sanji
117,,,,shower,ɲɛgɛn
119,,,,deluge,sanjiba
120,,,,rainfall,sanji_bɛ_na
122,L07_16,synonyms - intensity,excited,,nisondiyalen
123,,,,agitated,a_bɛ_jɔrɔ
124,,,,nervous,dimilen
126,L07_17,synonyms - intensity,faith,,dannaya
127,,,,fanatism,fanatikɛbaliya
128,,,,fanaticism,DUPLICATE_fanatikɛbaliya
129,,,,zealotry,timinandiya_fanatikɛbaliya
131,L07_18,synonyms - intensity,giggle,,sɔgɔsɔgɔ
132,,,,laugh,yɛlɛ
133,,,,guffaw,yɛlɛ_kosobɛ
134,,,,chortle,DUPLICATE_sɔgɔsɔgɔ
135,,,,snicker,NO_TRANSLATION
