,ID,Relation,Source,Target,BM
0,L08_1,synonyms - exact,airplane,,_pankurun
1,,,,aeroplane,DUPLICATE__pankurun
2,,,,plane,DUPLICATE__pankurun
3,,,,,awiyɔn
4,L08_2,synonyms - exact,auto,,mɔbili
5,,,,car,DUPLICATE_mɔbili
6,,,,automobile,DUPLICATE_mɔbili
7,,,,motorcar,DUPLICATE_mɔbili
9,L08_3,synonyms - exact,baby,,den
10,,,,infant,DUPLICATE_den
11,,,,babe,DUPLICATE_den
13,L08_4,synonyms - exact,bicycle,,nɛgɛso
14,,,,bike,nɛgɛso
15,,,,wheel,DUPLICATE_nɛgɛso
16,,,,cycle,DUPLICATE_nɛgɛso
18,L08_5,synonyms - exact,child,,_denmisɛn
19,,,,kid,DUPLICATE__denmisɛn
20,,,,youngster,kamalennin
21,,,,minor,dɔgɔmani
23,,,,nipper,cɛni
24,,,,small_fry,NO_TRANSLATION
25,,,,tiddler,DUPLICATE_NO_TRANSLATION
26,,,,tike,DUPLICATE_NO_TRANSLATION
27,,,,tyke,DUPLICATE_NO_TRANSLATION
29,,,,nestling,denmisɛnninw
31,L08_6,synonyms - exact,cloth,,fini
32,,,,fabric,finimugu
33,,,,material,NO_TRANSLATION
34,,,,textile,finiko
36,L08_7,synonyms - exact,clothes,,fini_
37,,,,clothing,finiw_don
38,,,,apparel,finiw_doncogo
39,,,,dress,DUPLICATE_fini
41,L08_8,synonyms - exact,confused,,ɲaamilen
42,,,,baffled,hakili_ɲagami
43,,,,befuddled,DUPLICATE_hakili_ɲagami
44,,,,bemused,hakili_ɲagaminen
45,,,,bewildered,DUPLICATE_hakili_ɲagaminen
46,,,,confounded,DUPLICATE_hakili_ɲagaminen
47,,,,lost,tununi
48,,,,mazed,NO_TRANSLATION
49,,,,mixed-up,ɲagami-ka-bɔ
51,L08_9,synonyms - exact,dollars,,dollars
52,,,,bucks,warimisen
53,,,,,wari
54,L08_10,synonyms - exact,emphasis,,faranfasiya
55,,,,accent,DUPLICATE_faranfasiya
56,,,,accentuaion,DUPLICATE_faranfasiya
57,,,,importance,nafa
58,,,,stress,hamina
59,,,,significance,DUPLICATE_importance
61,L08_11,synonyms - exact,father,,fa
62,,,,dad,"fa,_ba_,_baba"
63,,,,daddy,baba
64,,,,,facɛ
65,L08_12,synonyms - exact,flower,,filɛri
66,,,,blossom,falen-falen
67,,,,bloom,DUPLICATE_falen-falen
69,L08_13,synonyms - exact,harbor,,gunkan
70,,,,seaport,kɔgɔjida
71,,,,haven,dogoyɔrɔ
72,,,,harbour,DUPLICATE_gunkan
73,,,,,"pɔri,kurunboli_yɔrɔ"
