,ID,Relation,Source,Target,BM
0,L09_1,antonyms - gradable,able,,se
1,,,,unable,se_tan
2,,,,incapable,se_tɛ_min_ye
3,,,,incompetent,seko_tɛ_minnu_na
4,,,,unequal,bɛnbaliya
6,L09_2,antonyms - gradable,abundant,,caman
7,,,,scarce,dɔ́gɔ
8,,,,rare,manteli_ka_kɛ
9,,,,tight,ncɔyin
10,,,,meager,min_ka_fasa
11,,,,meagre,DUPLICATE_meager
12,,,,meagerly,ni_fɛn_fitinin_ye
13,,,,stingy,tɛgɛmagɛlɛ
14,,,,scrimpy,fɛn_fitininw
15,,,,insufficient,min_tɛ_dafa
16,,,,deficient,dɛsɛ_bɛ_min_na
18,L09_3,antonyms - gradable,aware,,hakilimaya
19,,,,unaware,a_tɛ_dɔn
20,,,,oblivious,hakilintan
21,,,,unmindful,hakili_tɛ_min_na
22,,,,unconscious,míiribali
23,,,,unsuspecting,min_tɛ_sigasiga
24,,,,asleep,ka_sunɔgɔ
25,,,,insensible,DUPLICATE_hakili_tɛ_min_na
26,,,,unwitting,k’a_sɔrɔ_a_ma_a_dɔn
27,,,,ignorant,dɔnbaliya
28,,,,indifferent,min_tɛ_a_janto_mɔgɔw_la
30,L09_4,antonyms - gradable,beautiful,,cɛɲi
31,,,,ugly,cɛjugu
32,,,,disfigured,a_farikolo_tiɲɛnen
33,,,,evil-looking,jinɛw_ka
34,,,,fugly,DUPLICATE_cɛjugu
36,,,,monstrous,DUPLICATE_
37,,,,hideous,yecogo_jugu
38,,,,repulsive,min_bɛ_mɔgɔ_fari_faga
39,,,,ill-favored,min_tɛ_kanu
40,,,,ill-favoured,DUPLICATE_min_tɛ_kanu
41,,,,scrofulous,DUPLICATE_
42,,,,unlovely,min_man_di
43,,,,unpicturesque,DUPLICATE_hideous
44,,,,unsightly,DUPLICATE_hideous
45,,,,displeasing,DUPLICATE_min_man_di
46,,,,unattractive,min_tɛ_mɔgɔ_ɲɛnajɛ
47,,,,awkward,tɔɔrɔlan
127,L09_7,antonyms - gradable,cheap,,sɔngɔ_duman
128,,,,expensive,gɛlɛn
129,,,,big-ticket,tikiti_belebeleba
130,,,,high-ticket,sanfɛ-tikɛti
131,,,,costly,musaka_caman_bɛ_bɔ
132,,,,dear,n_balima
133,,,,high-priced,sɔngɔ_gɛlɛnba
134,,,,pricey,sɔngɔ_gɛlɛn
135,,,,pricy,DUPLICATE_sɔngɔ_gɛlɛn
136,,,,dearly-won,kanu-sɔrɔ
137,,,,overpriced,sɔngɔ_ka_bon_kojugu
138,,,,valuable,nafaman
185,L09_9,antonyms - gradable,clear,,jɛman
186,,,,vague,kɔnɔdun
187,,,,obscure,dibilen
188,,,,unclear,min_ma_jɛya
189,,,,undefined,ɲɛfɔbali
190,,,,indefinable,min_tɛ_se_ka_ɲɛfɔ
191,,,,undefinable,DUPLICATE_indefinable
193,L09_10,antonyms - gradable,close,,ka_datugu
194,,,,distant,yɔrɔjan
195,,,,remote,samanen
