,ID,Relation,Source,Target,DE
0,L01_1,hypernyms - animals,allosaurus,,Allosaurus
1,,,,dinosaur,Dinosaurier
2,,,,reptile,Reptil
3,,,,bird,Vogel
4,,,,archosaur,Archosaurier
5,,,,archosaurian,DUPLICATE_Archosaurier
6,,,,archosaurian_reptile,Archosauria
7,,,,,Kriechtier
8,L01_2,hypernyms - animals,anaconda,,Anakonda
9,,,,snake,Schlange
10,,,,reptile,Reptil
11,,,,boa,Boa
12,,,,serpent,Serpentes
13,,,,ophidian,DUPLICATE_Schlange
14,,,,,Riesenschlange
15,L01_3,hypernyms - animals,ant,,Ameise
16,,,,insect,Insekt
17,,,,invertebrate,Invertebrata
18,,,,creature,Geschöpf
19,,,,beast,Wildtier
20,,,,hymenopteran,Hymenoptera
21,,,,being,Wesen
22,,,,animal,Tier
23,,,,organism,Organismus
24,,,,fauna,Fauna
25,,,,arthropod,Gliederfüßer
26,,,,hymenopterous_insect,hymenopterisches_Insekt
27,,,,animate_being,lebendes_Wesen
28,,,,physical_hymenopteron,physischer_Hautflügler
29,,,,physical_entity,physische_Entität
30,,,,hymenopter,Hautflügler
31,,,,living_thing,Lebewesen
33,L01_4,hypernyms - animals,beaver,,Biber
34,,,,rodent,Nagetier
35,,,,vertebrate,Wirbeltier
36,,,,creature,Geschöpf
37,,,,beast,Wildtier
38,,,,animal,Tier
39,,,,organism,Organismus
40,,,,fauna,Fauna
41,,,,placental,plazental
42,,,,chordate,Chordatier
43,,,,eutherian,Eutheria
44,,,,mammal,Säugetier
45,,,,mammalian,Mammalia
46,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
47,,,,gnawer,Nager
48,,,,animate_being,lebendes_Wesen
49,,,,living_thing,Lebewesen
50,,,,placental_mammal,höheren_Säugetiere
51,,,,craniate,Schädeltiere
52,,,,,Pflanzenfresser
53,L01_5,hypernyms - animals,bee,,Biene
54,,,,insect,Insekt
55,,,,invertebrate,Invertebrata
56,,,,creature,Geschöpf
57,,,,beast,Wildtier
58,,,,hymenopteran,Hymenoptera
59,,,,being,Wesen
60,,,,animal,Tier
61,,,,organism,Organismus
62,,,,fauna,Fauna
63,,,,arthropod,Gliederfüßer
64,,,,hymenopterous_insect,hymenopterisches_Insekt
65,,,,animate_being,lebendes_Wesen
66,,,,hymenopteron,DUPLICATE_Hymenoptera
67,,,,hymenopter,Hautflügler
68,,,,living_thing,Lebewesen
70,,,,,"Bestäuberinsekt,Stechimme"
71,L01_6,hypernyms - animals,beetle,,Käfer
72,,,,insect,Insekt
73,,,,invertebrate,Invertebrata
74,,,,creature,Geschöpf
75,,,,beast,Wildtier
76,,,,being,Wesen
77,,,,animal,Tier
78,,,,organism,Organismus
79,,,,fauna,Fauna
80,,,,arthropod,Gliederfüßer
81,,,,animate_being,lebendes_Wesen
82,,,,living_thing,Lebewesen
83,,,,,Sechsfüßer
84,L01_7,hypernyms - animals,buffalo,,Büffel
85,,,,bovid,Rinderartige
86,,,,mammal,Säugetier
87,,,,bison,Bison
88,,,,cow,Rind
89,,,,vertebrate,Wirbeltier
90,,,,creature,Geschöpf
91,,,,ungulate,Huftier
92,,,,beast,Wildtier
93,,,,being,Wesen
94,,,,animal,Tier
95,,,,organism,Organismus
96,,,,fauna,Fauna
97,,,,placental,Plazentatier
98,,,,artiodactyl,Artiodactyla
99,,,,ruminant,Wiederkäuer
100,,,,chordate,Chordatier
101,,,,eutherian,Eutheria
102,,,,mammalian,Mammalia
103,,,,bovine,Bovinae
104,,,,animate_being,lebendes_Wesen
105,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
106,,,,placental_mammal,höheres_Säugetier
107,,,,craniate,Schädeltier
108,,,,physical_hoofed_mammal,physisches_Hufsäugetier
109,,,,physical_entity,physische_Entität
110,,,,even-toed_ungulate,Paarhufer
111,,,,artiodactyl_mammal,paarhufiges_Säugetier
112,,,,living_thing,Lebewesen
113,,,,,Hornträger
114,L01_8,hypernyms - animals,butterfly,,Schmetterling
115,,,,insect,Insekt
116,,,,creature,Geschöpf
117,,,,beast,Wildtier
118,,,,lepidopteran,Lepidoptera
119,,,,animal,Tier
120,,,,organism,Organismus
121,,,,fauna,Fauna
122,,,,arthropod,Gliederfüßer
123,,,,lepidopterous_insect,Schmetterlingsfamilie
124,,,,lepidopteron,DUPLICATE_Lepidoptera
125,,,,animate_being,lebendes_Wesen
126,,,,living_thing,Lebewesen
127,,,,,Sechsfüßer
128,L01_9,hypernyms - animals,cat,,Katze
129,,,,feline,Katzenartige
130,,,,beast,Wildtier
131,,,,animal,Tier
132,,,,organism,Organismus
133,,,,fauna,Fauna
134,,,,placental,Plazentatier
135,,,,carnivore,Fleischfresser
136,,,,chordate,Chordatier
137,,,,felid,Felidae
138,,,,eutherian,Eutheria
139,,,,mammal,Säugetier
140,,,,mammalian,Mammalia
141,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
142,,,,animate_being,lebendes_Wesen
143,,,,placental_mammal,höheres_Säugetier
144,,,,craniate,Schädeltier
145,,,,,Raubtiere
146,L01_10,hypernyms - animals,chicken,,Huhn
147,,,,fowl,Federvieh
148,,,,bird,Vogel
149,,,,vertebrate,Wirbeltier
150,,,,poultry,Geflügel
152,,,,beast,Wildtier
153,,,,being,Wesen
154,,,,animal,Tier
155,,,,organism,Organismus
156,,,,fauna,Fauna
157,,,,chordate,Chordatier
158,,,,domestic_fowl,Hausgeflügel
159,,,,animate_being,lebendes_Wesen
160,,,,gallinaceous_bird,Hühnervogel
161,,,,craniate,Schädeltier
162,,,,gallinacean,Galliformes
163,,,,living_thing,Lebewesen
164,,,,Insekt,Geschöpf
166,L01_11,hypernyms - animals,chimpanzee,,Schimpanse
167,,,,primate,Primat
168,,,,vertebrate,Wirbeltier
169,,,,creature,Geschöpf
170,,,,beast,Wildtier
171,,,,being,Wesen
172,,,,animal,Tier
173,,,,organism,Organismus
174,,,,fauna,Fauna
175,,,,placental,Plazentatier
176,,,,hominid,Homonide
177,,,,chordate,Chordatier
178,,,,eutherian,Eutheria
179,,,,mammal,Säugetier
180,,,,ape,Affe
181,,,,mammalian,Mammalia
182,,,,animate_being,lebendes_Wesen
183,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
184,,,,placental_mammal,höheres_Säugetier
185,,,,craniate,Schädeltier
186,,,,physical_physical_entity,physische_Entität
187,,,,living_thing,Lebewesen
188,,,,,"Menschenaffe,Pflanzenfresser"
189,L01_12,hypernyms - animals,chinchilla,,Chinchilla
190,,,,rodent,Nagetier
191,,,,vertebrate,Wirbeltier
192,,,,creature,Geschöpf
193,,,,beast,Wildtier
194,,,,animal,Tier
195,,,,organism,Organismus
196,,,,fauna,Fauna
197,,,,placental,Plazentatier
198,,,,chordate,Chordatier
199,,,,eutherian,Eutheria
200,,,,mammal,Säugetier
201,,,,mammalian,Mammalia
202,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
203,,,,gnawer,Nager
204,,,,animate_being,lebendes_Wesen
205,,,,living_thing,Lebewesen
206,,,,placental_mammal,höheres_Säugetier
207,,,,craniate,Schädeltier
208,,,,,"Pflanzenfresser,Rodentia"
209,L01_13,hypernyms - animals,cobra,,Kobra
210,,,,snake,Schlange
211,,,,reptile,Reptil
212,,,,elapid,Giftnatter
213,,,,elapid_snake,Giftschlange
214,,,,serpent,Serpentes
215,,,,ophidian,DUPLICATE_Schlange
216,,,,,Oviparie
217,L01_14,hypernyms - animals,cockroach,,Kakerlake
218,,,,insect,Insekt
219,,,,invertebrate,Invertebrata
220,,,,creature,Geschöpf
221,,,,beast,Wildtier
222,,,,dictyopterous_insect,Dictyoptera
223,,,,being,Wesen
224,,,,animal,Tier
225,,,,organism,Organismus
226,,,,fauna,Fauna
227,,,,arthropod,Gliederfüßer
228,,,,animate_being,lebendes_Wesen
229,,,,physical_entity,physische_Entität
230,,,,living_thing,Lebewesen
233,L01_15,hypernyms - animals,cow,,Rind
234,,,,bovid,Rinderartige
235,,,,mammal,Säugetier
236,,,,cattle,Hausrind
237,,,,vertebrate,Wirbeltier
238,,,,creature,Geschöpf
239,,,,ungulate,Huftier
240,,,,beast,Wildtier
241,,,,being,Wesen
242,,,,animal,Tier
243,,,,organism,Organismus
244,,,,fauna,Fauna
245,,,,placental,Plazentatier
246,,,,artiodactyl,Artiodactyla
247,,,,ruminant,Wiederkäuer
248,,,,chordate,Chordatier
249,,,,eutherian,Eutheria
250,,,,mammalian,Mammalia
251,,,,animate_being,lebendes_Wesen
252,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
253,,,,placental_mammal,höheres_Säugetier
254,,,,craniate,Schädeltier
255,,,,physical_hoofed_mammal,physisches_Hufsäugetier
256,,,,physical_entity,physische_Entität
257,,,,even-toed_ungulate,Paarhufer
258,,,,artiodactyl_mammal,paarhufiges_Säugetier
259,,,,living_thing,Lebewesen
260,,,,,"Hornträger,Pflanzenfresser"
261,L01_16,hypernyms - animals,coyote,,Kojote
262,,,,canine,hundeartig
263,,,,vertebrate,Wirbeltier
264,,,,creature,Geschöpf
265,,,,beast,Wildtier
266,,,,canid,Canide
267,,,,being,Wesen
268,,,,animal,Tier
269,,,,organism,Organismus
270,,,,fauna,Fauna
271,,,,placental,Plazentatier
272,,,,carnivore,Fleischfresser
273,,,,chordate,Chordatier
274,,,,eutherian,Eutheria
275,,,,mammal,Säugetier
276,,,,mammalian,Mammalia
277,,,,animate_being,lebendes_Wesen
278,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
279,,,,locomote,Fortbewegung
280,,,,placental_mammal,höheres_Säugetier
281,,,,craniate,Schädeltier
282,,,,domesticated_animal,domestiziertes_Tier
283,,,,physical_entity,physische_Entität
284,,,,domestic_animal,Haustier
285,,,,living_thing,Lebewesen
286,,,,,"Raubtier,Steppenwolf"
287,L01_17,hypernyms - animals,deer,,Hirsch
288,,,,bovid,Rinderartige
289,,,,mammal,Säugetier
290,,,,vertebrate,Wirbeltier
291,,,,creature,Geschöpf
292,,,,ungulate,Huftier
293,,,,beast,Wildtier
294,,,,being,Wesen
295,,,,animal,Tier
296,,,,organism,Organismus
297,,,,fauna,Fauna
298,,,,placental,Plazentatier
299,,,,artiodactyl,Artiodactyla
300,,,,ruminant,Wiederkäuer
301,,,,chordate,Chordatier
302,,,,eutherian,Eutheria
303,,,,mammalian,Mammalia
304,,,,bovine,Bovinae
305,,,,animate_being,lebendes_Wesen
306,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
307,,,,placental_mammal,höheres_Säugetier
308,,,,craniate,Schädeltier
309,,,,physical_hoofed_mammal,physisches_Hufsäugetier
310,,,,physical_entity,physische_Entität
311,,,,even-toed_ungulate,Paarhufer
312,,,,artiodactyl_mammal,paarhufiges_Säugetier
313,,,,living_thing,Lebewesen
315,,,,,"Geweihträger,Cervidae"
316,L01_18,hypernyms - animals,dog,,Hund
317,,,,canine,hundeartig
318,,,,vertebrate,Wirbeltier
319,,,,creature,Geschöpf
320,,,,beast,Wildtier
321,,,,canid,Canide
322,,,,being,Wesen
323,,,,animal,Tier
324,,,,organism,Organismus
325,,,,fauna,Fauna
326,,,,placental,Plazentatier
327,,,,carnivore,Fleischfresser
328,,,,chordate,Chordatier
329,,,,eutherian,Eutheria
330,,,,mammal,Säugetier
331,,,,mammalian,Mammalia
332,,,,animate_being,lebendes_Wesen
333,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
334,,,,locomote,Fortbewegung
335,,,,placental_mammal,höheres_Säugetier
336,,,,craniate,Schädeltier
337,,,,domesticated_animal,domestiziertes_Tier
338,,,,physical_entity,physische_Entität
339,,,,domestic_animal,Haustier
340,,,,living_thing,Lebewesen
341,,,,,Rudeltier
342,L01_19,hypernyms - animals,duck,,Ente
343,,,,fowl,Federvieh
344,,,,bird,Vogel
345,,,,vertebrate,Wirbeltier
346,,,,poultry,Geflügel
347,,,,creature,Geschöpf
348,,,,beast,Wildtier
349,,,,being,Wesen
350,,,,animal,Tier
351,,,,organism,Organismus
352,,,,fauna,Fauna
353,,,,chordate,Chordatier
354,,,,domestic_fowl,Hausgeflügel
355,,,,waterfowl,Wasservogel
356,,,,water_fowl,DUPLICATE_Wasservogel
357,,,,animate_being,lebendes_Wesen
358,,,,anseriform_bird,Gänsevogel
359,,,,craniate,Schädeltier
360,,,,living_thing,Lebewesen
361,,,,,Schwimmvogel
362,L01_20,hypernyms - animals,eagle,,Adler
363,,,,raptor,Raubvogel
364,,,,bird,Vogel
365,,,,vertebrate,Wirbeltier
366,,,,creature,Geschöpf
367,,,,beast,Wildtier
368,,,,being,Wesen
369,,,,animal,Tier
370,,,,organism,Organismus
371,,,,fauna,Fauna
372,,,,chordate,Chordatier
373,,,,animate_being,lebendes_Wesen
374,,,,craniate,Schädeltier
376,,,,raptorial_bird,DUPLICATE_Raubvogel
377,,,,bird_of_prey,Greifvogel
378,,,,living_thing,Lebewesen
379,,,,,Accipitridae
380,L01_21,hypernyms - animals,falcon,,Falke
381,,,,raptor,Raubvogel
382,,,,bird,Vogel
383,,,,vertebrate,Wirbeltier
384,,,,creature,Geschöpf
385,,,,beast,Wildtier
386,,,,being,Wesen
387,,,,animal,Tier
388,,,,organism,Organismus
389,,,,fauna,Fauna
390,,,,chordate,Chordatier
391,,,,animate_being,lebendes_Wesen
392,,,,craniate,Schädeltier
393,,,,living_thing,Lebewesen
394,,,,raptorial_bird,DUPLICATE_Raubvogel
395,,,,bird_of_prey,Greifvogel
396,,,,,Falco
397,L01_22,hypernyms - animals,fox,,Fuchs
398,,,,canine,hundeartig
399,,,,vertebrate,Wirbeltier
400,,,,creature,Geschöpf
401,,,,beast,Wildtier
402,,,,canid,Canide
403,,,,being,Wesen
404,,,,animal,Tier
405,,,,organism,Organismus
406,,,,fauna,Fauna
407,,,,placental,Plazentatier
408,,,,carnivore,Fleischfresser
409,,,,chordate,Chordatier
410,,,,eutherian,Eutheria
411,,,,mammal,Säugetier
412,,,,mammalian,Mammalia
413,,,,animate_being,lebendes_Wesen
414,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
415,,,,locomote,Fortbewegung
416,,,,placental_mammal,höheres_Säugetier
417,,,,craniate,Schädeltier
418,,,,domesticated_animal,domestiziertes_Tier
419,,,,physical_entity,physische_Entität
420,,,,domestic_animal,Haustier
421,,,,living_thing,Lebewesen
422,,,,,Waldbewohner
423,L01_23,hypernyms - animals,gibbon,,Gibbon
424,,,,primate,Primat
425,,,,vertebrate,Wirbeltier
426,,,,creature,Geschöpf
427,,,,beast,Wildtier
428,,,,being,Wesen
429,,,,animal,Tier
430,,,,organism,Organismus
431,,,,fauna,Fauna
432,,,,placental,Plazentatier
433,,,,chordate,Chordatier
434,,,,eutherian,Eutheria
435,,,,mammal,Säugetier
436,,,,ape,Affe
437,,,,mammalian,Mammalia
438,,,,animate_being,lebendes_Wesen
439,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
440,,,,placental_mammal,höheres_Säugetier
441,,,,craniate,Schädeltier
442,,,,physical_physical_entity,physische_Entität
443,,,,living_thing,Lebewesen
445,,,,,Menschenaffe
446,L01_24,hypernyms - animals,goat,,Ziege
447,,,,bovid,Rinderartige
448,,,,mammal,Säugetier
449,,,,vertebrate,Wirbeltier
450,,,,ungulate,Huftier
451,,,,beast,Wildtier
452,,,,being,Wesen
453,,,,animal,Tier
454,,,,organism,Organismus
455,,,,fauna,Fauna
456,,,,placental,Plazentatier
457,,,,artiodactyl,Artiodactyla
458,,,,chordate,Chordatier
459,,,,eutherian,Eutheria
460,,,,mammalian,Mammalia
461,,,,animate_being,lebendes_Wesen
462,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
463,,,,placental_mammal,höheres_Säugetier
464,,,,craniate,Schädeltier
465,,,,hoofed_mammal,Hufsäugetier
466,,,,even-toed_ungulate,Paarhufer
467,,,,artiodactyl_mammal,paarhufiges_Säugetier
468,,,,living_thing,Lebewesen
469,,,,,"Pflanzenfresser,Hornträger"
470,L01_25,hypernyms - animals,goose,,Gans
471,,,,fowl,Federvieh
472,,,,bird,Vogel
473,,,,vertebrate,Wirbeltier
474,,,,poultry,Geflügel
475,,,,creature,Geschöpf
476,,,,beast,Wildtier
477,,,,being,Wesen
478,,,,animal,Tier
479,,,,organism,Organismus
480,,,,fauna,Fauna
481,,,,chordate,Chordatier
482,,,,domestic_fowl,Hausgeflügel
483,,,,waterfowl,Wasservogel
484,,,,water_fowl,DUPLICATE_waterfowl
485,,,,animate_being,lebendes_Wesen
486,,,,anseriform_bird,Gänsevogel
487,,,,craniate,Schädeltier
488,,,,living_thing,Lebewesen
489,,,,,"Nutztier,Weibchen"
490,L01_26,hypernyms - animals,gorilla,,Gorilla
491,,,,primate,Primat
492,,,,vertebrate,Wirbeltier
493,,,,creature,Geschöpf
494,,,,beast,Wildtier
495,,,,being,Wesen
496,,,,animal,Tier
497,,,,organism,Organismus
498,,,,fauna,Fauna
499,,,,placental,Plazentatier
500,,,,hominid,Homonide
501,,,,chordate,Chordatier
502,,,,eutherian,DUPLICATE_Plazentatier
503,,,,mammal,Säugetier
504,,,,ape,Affe
505,,,,mammalian,Mammalia
506,,,,animate_being,lebendes_Wesen
507,,,,eutherian_mammal,DUPLICATE_höheres_Säugetier
508,,,,placental_mammal,höheres_Säugetier
509,,,,craniate,Schädeltier
510,,,,physical_physical_entity,physische_Entität
511,,,,living_thing,Lebewesen
512,,,,,"Menschenaffe,Pflanzenfresser,Gattung"
513,L01_27,hypernyms - animals,hawk,,Falke
514,,,,raptor,Raubvogel
515,,,,bird,Vogel
516,,,,vertebrate,Wirbeltier
517,,,,creature,Geschöpf
518,,,,beast,Wildtier
519,,,,being,Wesen
520,,,,animal,Tier
521,,,,organism,Organismus
522,,,,fauna,Fauna
523,,,,chordate,Chordatier
524,,,,animate_being,lebendes_Wesen
525,,,,craniate,Schädeltier
526,,,,living_thing,Lebewesen
527,,,,raptorial_bird,DUPLICATE_Raubvogel
528,,,,bird_of_prey,Greifvogel
529,,,,,Raubtier
530,L01_28,hypernyms - animals,human,,Mensch
531,,,,primate,Primat
532,,,,vertebrate,Wirbeltier
533,,,,creature,Geschöpf
