,ID,Relation,Source,Target,DE
0,L02_1,hypernyms - misc,armchair,,Armsessel
1,,,,chair,Stuhl
2,,,,seat,Sitzgelegenheit
3,,,,piece_of_furniture,Möbelstück
4,,,,article_of_furniture,Einrichtungsgegenstand
5,,,,furnishing,Möblierung
6,,,,artifact,Artefakt
7,,,,artefact,DUPLICATE_Artefakt
8,,,,unit,Einheit
9,,,,object,Gegenstand
10,,,,physical_object,physischer_Gegenstand
11,,,,physical_entity,physische_Entität
12,,,,entity,Entität
13,,,,,Sitzmöbel
14,L02_2,hypernyms - misc,blender,,Blender
15,,,,appliance,Gerät
16,,,,mixer,Mixer
17,,,,kitchen_utensil,Küchengerät
18,,,,utensil,Untensil
19,,,,implement,Werkzeug
20,,,,artifact,Artefakt
21,,,,artefact,DUPLICATE_Artefakt
22,,,,unit,Einheit
23,,,,object,Gegenstand
24,,,,physical_object,physischer_Gegenstand
25,,,,physical_entity,physische_Entität
26,,,,entity,Entität
27,,,,,Standmixer
28,L02_3,hypernyms - misc,bracelet,,Armband
29,,,,jewelry,Schmuck
30,,,,band,Band
31,,,,strip,Streifen
32,,,,slip,Zettel
33,,,,artifact,Artefakt
34,,,,artefact,DUPLICATE_Artefakt
35,,,,unit,Einheit
36,,,,object,Gegenstand
37,,,,physical_object,physischer_Gegenstand
38,,,,physical_entity,physische_Entität
39,,,,entity,Entität
40,,,,jewellery,DUPLICATE_Schmuck
41,,,,adornment,Verschönerung
42,,,,decoration,Dekoration
43,,,,ornament,Schmuckstück
44,,,,ornamentation,Verzierung
45,,,,,Reifen
46,L02_4,hypernyms - misc,brooch,,Brosche
47,,,,jewelry,Schmuck
48,,,,jewellery,DUPLICATE_Schmuck
49,,,,adornment,Verschönerung
50,,,,decoration,Dekoration
51,,,,ornament,Schmuckstück
52,,,,ornamentation,Verzierung
53,,,,artifact,Artefakt
54,,,,artefact,DUPLICATE_Artefakt
55,,,,unit,Einheit
56,,,,object,Gegenstand
57,,,,physical_object,physisches_Gegenstand
58,,,,,Anstecknadel
59,L02_5,hypernyms - misc,cake,,Kuchen
60,,,,dessert,Nachtisch
61,,,,baked_goods,Backwaren
62,,,,food,Nahrung
63,,,,solid_food,feste_Nahrung
64,,,,course,Gang
65,,,,nutriment,DUPLICATE_Nahrung
66,,,,nourishment,Ernährung
67,,,,nutrition,Ernährungsweise
68,,,,sustenance,Verpflegung
69,,,,aliment,DUPLICATE_Nahrung
70,,,,alimentation,DUPLICATE_Ernährung
71,,,,victuals,Viktualien
72,,,,nutrient,Nährstoff
73,,,,substance,Substanz
74,,,,matter,Materie
75,,,,physical_entity,physische_Entität
76,,,,entity,Entität
77,,,,,Süßspeise
78,L02_6,hypernyms - misc,computer,,Computer
79,,,,device,Gerät
80,,,,machine,Maschine
81,,,,gadget,Gadget
82,,,,artifact,Artefakt
83,,,,artefact,DUPLICATE_Artefakt
84,,,,unit,Einheit
85,,,,object,Gegenstand
86,,,,physical_object,physischer_Gegenstand
87,,,,physical_entity,physische_Entität
88,,,,entity,Entität
89,,,,expert,Computerexperte
90,,,,person,Person
91,,,,individual,Individuum
92,,,,someone,irgendjemand
93,,,,somebody,jemand
94,,,,mortal,Sterblicher
95,,,,soul,Seele
96,,,,causal_agent,Verursacher
97,,,,cause,Ursache
98,,,,causal_agency,DUPLICATE_Verursacher
99,,,,organism,Organismus
100,,,,being,Lebewesen
101,,,,living_thing,DUPLICATE_Lebewesen
102,,,,animate_thing,lebendes_Wesen
103,,,,,"Datenverarbeitung,Berechnung"
104,L02_7,hypernyms - misc,croissant,,Croissant
105,,,,pastry,Gebäck
106,,,,bun,weiches_Brötchen
107,,,,roll,Brötchen
108,,,,bread,Brot
109,,,,breadstuff,Brotgetreide
110,,,,staff_of_life,tägliches_Brot
111,,,,baked_goods,Backwaren
112,,,,starches,Stärke
113,,,,food,Nahrung
114,,,,solid_food,feste_Nahrung
115,,,,foodstuff,Nahrungsmittel
116,,,,food_product,Lebensmittel
117,,,,solid,Festkörper
118,,,,nutrient,Nährstoff
119,,,,matter,Materie
120,,,,substance,Substanz
121,,,,physical_entity,physische_Entität
122,,,,entity,Entität
123,,,,,Plundergebäck
124,L02_8,hypernyms - misc,cup,,Tasse
125,,,,tableware,Tafelgeschirr
126,,,,crockery,Geschirr
127,,,,dishware,Tischgeschirr
128,,,,ware,Ware
129,,,,article,Artikel
130,,,,artifact,Artefakt
131,,,,artefact,DUPLICATE_Artefakt
132,,,,unit,Einheit
133,,,,object,Gegenstand
134,,,,physical_object,physischer_Gegenstand
135,,,,physical_entity,physische_Entität
136,,,,entity,Entität
137,,,,container,Behätlnis
138,,,,,Trinkgefäß
139,L02_9,hypernyms - misc,denim,,Denim
140,,,,fabric,Gewebe
141,,,,cloth,Stoff
142,,,,material,Material
143,,,,textile,Textil
144,,,,artifact,Artefakt
145,,,,artefact,DUPLICATE_Artefakt
146,,,,unit,Einheit
147,,,,object,Gegenstand
148,,,,physical_object,physischer_Gegenstand
149,,,,physical_entity,physische_Entität
150,,,,entity,Entität
151,,,,garment,Bekleidungsartikel
152,,,,clothing,Kleidung
153,,,,article_of_clothing,Kleidungsartikel
154,,,,vesture,Gewand
155,,,,wear,tragen
156,,,,wearable,tragbar
157,,,,habiliment,Kleidungsstück
158,,,,consumer_goods,Konsumware
159,,,,covering,Bedeckung
160,,,,commodity,Verbrauchsartikel
161,,,,trade_good,Handelsware
162,,,,good,Ware
164,L02_10,hypernyms - misc,deodorant,,Deodorant
165,,,,toiletry,DUPLICATE_Toilettenartikel
166,,,,toilet_articles,Toilettenartikel
167,,,,artifact,Artefakt
168,,,,artefact,DUPLICATE_Artefakt
169,,,,unit,Einheit
170,,,,object,Gegenstand
171,,,,physical_object,physischer_Gegenstand
172,,,,physical_entity,physische_Entität
173,,,,entity,Entität
174,,,,,"Körperpflegemittel,Pflegemittel"
175,L02_11,hypernyms - misc,desk,,Schreibtisch
176,,,,furniture,Möbel
177,,,,table,Tisch
178,,,,piece_of_furniture,Möbelstück
179,,,,article_of_furniture,Einrichtungsgegenstand
180,,,,furnishing,Einrichtung
181,,,,artifact,Artefakt
182,,,,artefact,DUPLICATE_Artefakt
183,,,,unit,Einheit
184,,,,object,Gegenstand
185,,,,physical_object,physischer_Gegenstand
186,,,,physical_entity,physische_Entität
187,,,,entity,Entität
188,,,,,Büromöbel
189,L02_12,hypernyms - misc,diary,,Tagebuch
190,,,,journal,Journal
191,,,,writing,Schreiben
192,,,,written_material,Schreibmaterial
193,,,,piece_of_writing,Schriftstück
194,,,,written_communication,schriftliche_Kommunikation
195,,,,written_language,geschriebene_Sprache
196,,,,black_and_white,Schwarz_auf_Weiß
197,,,,communication,Kommunikation
198,,,,abstraction,Abstraktion
199,,,,abstract_entity,abstrakte_Entität
200,,,,entity,Entität
201,,,,book,Buch
202,,,,volume,Band
203,,,,product,Produkt
204,,,,production,Produktion
205,,,,creation,Kreation
206,,,,artifact,Artefakt
207,,,,artefact,DUPLICATE_Artefakt
208,,,,unit,Einheit
209,,,,object,Gegenstand
210,,,,physical_object,physischer_Gegenstand
211,,,,physical_entity,physische_Entität
212,,,,,Aufzeichnung
213,L02_13,hypernyms - misc,dishwasher,,Geschirrspülmaschine
214,,,,appliance,Gerät
215,,,,machine,Maschine
216,,,,entity,Entität
217,,,,unit,Einheit
218,,,,object,Gegenstand
219,,,,physical_object,physischer_Gegenstand
220,,,,white_goods,elektrisches_Haushaltsgerät
221,,,,home_appliance,Haushaltsware
222,,,,household_appliance,Haushaltsgerät
223,,,,durables,Gebrauchsgüter
224,,,,durable_goods,Gebrauchsgegenstand
225,,,,consumer_durables,langlebige_Gebrauchsgüter
226,,,,consumer_goods,Konsumware
227,,,,commodity,Verbrauchsartikel
228,,,,trade_good,Handelsware
229,,,,good,Ware
230,,,,artifact,Artefakt
231,,,,artefact,DUPLICATE_Artefakt
232,,,,physical_entity,physische_Entität
234,,,,,"Küchengrät,Elektrogerät"
235,L02_14,hypernyms - misc,dress,,Kleid
236,,,,clothes,Anziehsachen
237,,,,garment,Bekleidungsartikel
238,,,,clothing,Kleidung
239,,,,article_of_clothing,Kleidungsartikel
240,,,,vesture,Gewand
241,,,,wear,tragen
242,,,,wearable,tragbar
243,,,,habiliment,Kleidungsstück
244,,,,consumer_goods,Konsumware
245,,,,covering,Bedeckung
246,,,,commodity,Verbrauchsartikel
247,,,,trade_good,Handelsware
248,,,,good,Ware
249,,,,artifact,Artefakt
250,,,,artefact,DUPLICATE_Artefakt
251,,,,unit,Einheit
252,,,,object,Gegenstand
253,,,,physical_object,physischer_Gegenstand
254,,,,physical_entity,physische_Entität
255,,,,entity,Entität
264,,,,,Mode
265,L02_15,hypernyms - misc,fridge,,Kühlschrank
266,,,,appliance,Gerät
267,,,,icebox,Eisschrank
268,,,,white_goods,elektrische_Haushaltsgeräte
269,,,,home_appliance,Haushaltsware
270,,,,household_appliance,Haushaltsgerät
271,,,,durables,Gebrauchsgüter
272,,,,durable_goods,Gebrauchsgegenstand
273,,,,consumer_durables,langlebige_Gebrauchsgüter
274,,,,consumer_goods,Konsumware
275,,,,commodity,Verbrauchsartikel
276,,,,trade_good,Handelsware
277,,,,good,Ware
278,,,,artifact,Artefakt
279,,,,artefact,DUPLICATE_Artefakt
280,,,,unit,Einheit
281,,,,object,Gegenstand
282,,,,physical_object,physischer_Gegenstand
283,,,,physical_entity,physische_Entität
284,,,,entity,Entität
285,,,,,"Küchengerät,Elektrogerät"
286,L02_16,hypernyms - misc,gasoline,,Benzin
287,,,,fuel,Treibstoff
288,,,,hydrocarbon,Kohlenwasserstoff
289,,,,substance,Substanz
290,,,,organic_compound,organische_Verbindung
291,,,,matter,Materie
292,,,,compound,Verbindung
293,,,,chemical_compound,chemische_Verbindung
294,,,,physical_entity,physische_Entität
295,,,,chemical,Chemikalie
296,,,,chemical_substance,chemische_Substanz
297,,,,entity,Entität
298,,,,material,Material
299,,,,stuff,Zeug
300,,,,part,Teil
301,,,,portion,Portion
302,,,,component_part,Bestandteil
303,,,,component,Komponente
304,,,,constituent,Inhaltsstoff
305,,,,relation,Relation
306,,,,abstraction,Abstraktion
307,,,,abstract_entity,abstrakte_Entität
309,,,,,Kraftstoff
310,L02_17,hypernyms - misc,grapefruit,,Grapefruit
311,,,,citrus,Zitrus
312,,,,citrus_fruit,Zitrusfrucht
313,,,,citrous_fruit,DUPLICATE_Zitrusfrucht
314,,,,fruit,Obst
315,,,,edible_fruit,essbare_Frucht
316,,,,produce,Erzeugnis
317,,,,green_goods,ökologische_Erzeugnisse
318,,,,green_groceries,ökologische_Lebensmittel
319,,,,garden_truck,NO_TRANSLATION
320,,,,food,Nahrungsmittel
321,,,,matter,Materie
322,,,,natural_object,natürlicher_Gegenstand
323,,,,physical_entity,physische_Entität
324,,,,unit,Einheit
325,,,,entity,Entität
326,,,,object,Gegenstand
327,,,,physical_object,physischer_Gegenstand
329,L02_18,hypernyms - misc,hairnet,,Haarnetz
330,,,,net,Netz
331,,,,network,Netzwerk
332,,,,mesh,Maschen
333,,,,meshing,Vermaschung
334,,,,meshwork,Maschenwerk
335,,,,fabric,Gewebe
336,,,,cloth,Stoff
337,,,,material,Material
338,,,,textile,Textil
339,,,,artifact,Artefakt
340,,,,artefact,DUPLICATE_Artefakt
341,,,,unit,Einheit
342,,,,object,Gegenstand
343,,,,physical_object,physischer_Gegenstand
344,,,,physical_entity,physische_Entität
345,,,,entity,Entität
346,,,,,Kopfbedeckung
347,L02_19,hypernyms - misc,hairpin,,Haarnadel
348,,,,pin,Nadel
349,,,,fastener,Befestiger
350,,,,fastening,Befestigung
351,,,,holdfast,Halter
352,,,,fixing,Fixierung
353,,,,restraint,Halteeinrichtung
354,,,,constraint,Beschränkung
355,,,,device,Gerät
356,,,,artifact,Artefakt
357,,,,artefact,DUPLICATE_Artefakt
