,ID,Relation,Source,Target,DE
0,L03_1,hyponyms - misc,backpack,,Rucksack
1,,,,daypack,Tagesrucksack
2,,,,kitbag,Seesack
3,,,,kit_bag,DUPLICATE_Seesack
4,,,,,Behälter
5,L03_2,hyponyms - misc,bag,,Tasche
6,,,,pouch,Beutel
7,,,,backpack,Rucksack
8,,,,knapsack,Ranzen
9,,,,packsack,DUPLICATE_Rucksack
10,,,,rucksack,DUPLICATE_Rucksack
11,,,,haversack,Brotbeutel
12,,,,beanbag,Bean_Bag
13,,,,bladder,Blase
14,,,,carryall,Reisetasche
15,,,,holdall,Sporttasche
16,,,,tote,Tragetasche
17,,,,drawstring,Kordelzug
18,,,,dust,Staubbeutel
19,,,,vacuum,Vakuumbeutel
20,,,,envelope,Umschlag
21,,,,gasbag,Gassack
22,,,,gamebag,Jagdtasche
23,,,,golf,Golftasche
24,,,,gunnysack,Jutesack
25,,,,gunny,Sacktuch
26,,,,burlap,Sackleinen
27,,,,ice,Eisbeutel
28,,,,mailbag,Briefbeutel
29,,,,postbag,Postsack
30,,,,nosebag,Futtersack
31,,,,feedbag,Futterbeutel
32,,,,pannier,Packtasche
33,,,,plastic,Kunststoff
34,,,,purse,Handtasche
35,,,,ragbag,Lumpensack
36,,,,rosin,Kolophonium
37,,,,sachet,Tütchen
38,,,,sack,Sack
39,,,,poke,DUPLICATE_Beutel
40,,,,paper,Papiertüte
41,,,,carrier,Einkaufstasche
42,,,,saddlebag,Satteltasche
43,,,,sandbag,Sandsack
44,,,,schoolbag,Schultasche
45,,,,shopping,Einkaufsbeutel
46,,,,sick_bag,Spucktüte
47,,,,sickbag,DUPLICATE_Spucktüte
48,,,,skin,Felltasche
49,,,,sleeping,Schlafsack
50,,,,sweat,Turnbeutel
51,,,,tea,Teebeutel
52,,,,toilet,Kulturbeutel
53,,,,sponge,Waschbeutel
54,,,,tool,Werkzeugtasche
55,,,,tucker-bag,Provianttasche
56,,,,,"Handtasche,Spucktüte,Etui,Geldbeutel,Strandtasche"
57,L03_3,hyponyms - misc,bed,,Bett
58,,,,bunk,Hochbett
59,,,,berth,Schlafkoje
60,,,,built,DUPLICATE_Einbaubett
61,,,,built-in,Einbaubett
62,,,,cot,Klappbett
63,,,,camp,Feldbett
64,,,,couch,Couch
65,,,,deathbed,Sterbebett
66,,,,double,Doppelbett
67,,,,four-poster,Himmelbett
68,,,,hammock,Hängematte
69,,,,sack,Nachtlager
70,,,,marriage_bed,Ehebett
71,,,,murphy,Schrankbett
72,,,,plank-bed,Pritsche
73,,,,platform,Podestbett
74,,,,sickbed,Krankenbett
75,,,,single_bed,Einzelbett
76,,,,sleigh,Schlittenbett
77,,,,trundle,Ausziehbett
78,,,,truckle,Rollbett
79,,,,twin,zwei_Einzelbetten
80,,,,water,Wasserbett
81,,,,semi-double,französisches_Bett
82,,,,semidouble,DUPLICATE_französisches_Bett
83,,,,,"Etagenbett,Boxspringbett,Polsterbett"
84,L03_4,hyponyms - misc,boat,,Boot
85,,,,ferry,Fähre
86,,,,ark,Arche
87,,,,barge,Schute
88,,,,flatboat,Flachboot
89,,,,hoy,Lastboot
90,,,,lighter,Leichter
91,,,,bumboat,Bumboot
92,,,,canal_boat,Kanalboot
93,,,,narrow_boat,DUPLICATE_englisches_Kanalboot
94,,,,narrowboat,englisches_Kanalboot
95,,,,ferryboat,Fährschiff
96,,,,fireboat,Löschboot
97,,,,gondola,Gondel
98,,,,guard_boat,Wachboot
99,,,,gunboat,Kanonenboot
100,,,,junk,Dschunke
101,,,,longboat,Barkasse
102,,,,lugger,Logger
103,,,,mackinaw,NO_TRANSLATION
104,,,,mailboat,Postschiff
105,,,,mail,DUPLICATE_Postschiff
106,,,,packet,Paketschiff
107,,,,motorboat,Motorboot
108,,,,powerboat,Rennboot
109,,,,pilot,Lotsenboot
110,,,,police,Polizeiboot
111,,,,punt,Stockerkahn
112,,,,river_boat,Binnenschiff
113,,,,scow,DUPLICATE_Schute
114,,,,sea_boat,Seeschiff
115,,,,small_boat,Barke
116,,,,steamboat,Dampfschiff
117,,,,surfboat,Brandungsboot
118,,,,tender_boat,Schiffstender
119,,,,pinnace,Pinasse
120,,,,cutter_boat,Kutter
121,,,,tugboat,Schleppschiff
122,,,,tug,Schlepper
123,,,,towboat,Hafenschlepper
124,,,,tower_boat,DUPLICATE_Hafenschlepper
125,,,,yacht,Yacht
126,,,,sail,Segelschiff
127,,,,row,Ruderboot
128,,,,canoe,Kanu
129,,,,kayak,Kayak
130,,,,paddle,DUPLICATE_Paddelboot
131,,,,paddle_boat,Paddelboot
132,,,,,"Rettungsboot,Katamaran,Hausboot,Kreutzfahrtschiff,Bananenboot,Beiboote"
133,L03_5,hyponyms - misc,book,,Buch
134,,,,paperback,Taschenbuch
135,,,,album,Album
136,,,,folio,Blatt
137,,,,hardback,gebundenes_Buch
138,,,,hardcover,Hardcover
139,,,,journal,Zeitschrift
140,,,,novel,Roman
141,,,,order,Auftragsbuch
142,,,,paper-back,DUPLICATE_Taschenbuch
143,,,,softback,DUPLICATE_TAschenbuch
144,,,,soft-cover,Softcover
145,,,,picture,Bilderbuch
146,,,,sketchbook,Skizzenbuch
147,,,,sketch,Skizzenblock
148,,,,notebook,Notizbuch
149,,,,,"Liebesroman,Krimi"
150,L03_6,hyponyms - misc,brush,,Bürste
151,,,,toothbrush,Zahnbürste
152,,,,bottlebrush,Flaschenbürste
153,,,,bristle,Borste
154,,,,clothesbrush,Kleiderbürste
155,,,,hairbrush,Haarbürste
156,,,,nailbrush,Nagelbürste
157,,,,paintbrush,Farbpinsel
158,,,,sable,Zobelhaarpinsel
159,,,,scrub,Schrubber
160,,,,scrubbing,Schruppen
161,,,,scrubber,Scheuerbürste
162,,,,shaving_brush,Rasierpinsel
164,L03_7,hyponyms - misc,burger,,Burger
165,,,,hamburger,Hamburger
166,,,,cheeseburger,Cheeseburger
167,,,,50,NO_TRANSLATION
168,,,,50_burger,DUPLICATE_NO_TRANSLATION
169,,,,angus_burger,Angusburger
170,,,,banquet_burger,DUPLICATE_NO_TRANSLATION
171,,,,barbecue_burger,Barbecueburger
172,,,,bøfsandwich,Steaksandwich
173,,,,utter_burge,DUPLICATE_NO_TRANSLATION
174,,,,buffalo_burger,Buffalo_Burger
175,,,,california_burger,California_Burger
176,,,,chili_burger,Chiliburger
177,,,,curry_burger,Curryburger
178,,,,hamdog,Hamdog
179,,,,salmon_burger,Lachsburger
180,,,,rice_burger,rice_burger
181,,,,veggie_burger,Veggieburger
183,L03_8,hyponyms - misc,camera,,Kamera
184,,,,camcorder,Camcorder
185,,,,box_camera,Boxkamera
186,,,,box_kodak,Boxkodak
187,,,,candid_camera,Kleinbildkamera
188,,,,digital_camera,digitale_Kamera
189,,,,flash_camera,Blitzlicht
190,,,,motion-picture_camera,Filmaufnahmekamera
191,,,,movie_camera,Filmkamera
192,,,,cine-camera,DUPLICATE_Filmkamera
193,,,,point-and-shoot_camera,Kompaktkamera
194,,,,point-and-shoot,DUPLICATE_Kompaktkamera
195,,,,polaroid_camera,Polaroidkamera
196,,,,polaroid_land_camera,Polaroid-Kamera
197,,,,polaroid,Polaroid
198,,,,portrait_camera,Portrait-Kamera
199,,,,reflex_camera,Spiegelreflexkamera
200,,,,webcam,Webcam
201,,,,webcamera,Webkamera
202,,,,sound_camera,Tonkamera
203,,,,,"Analogkamera,Systemkamera,Bridgekamera"
204,L03_9,hyponyms - misc,candy,,Süßwaren
205,,,,lollipop,Lolli
206,,,,candy_bar,Schokoriegel
207,,,,carob_bar,Johannisbrotriegel
208,,,,hard_candy,Lutschbonbon
209,,,,brandyball,Brandy_Ball
210,,,,patty,Plätzchen
211,,,,bonbon,Bonbon
212,,,,brittle,Krokant
213,,,,toffee,Toffee
214,,,,toffy,Sahnebonbon
215,,,,butterscotch,Buttertoffee
216,,,,candy_cane,Zuckerstange
217,,,,candy_corn,Candy_Corn
218,,,,caramel,Karamelbonbon
219,,,,cotton_candy,Zuckerwatte
220,,,,spun_sugar,DUPLICATE_Zuckerwatte
221,,,,candyfloss,DUPLICATE_Zuckerwatte
222,,,,dragee,Dragee
223,,,,fondant,Fondant
224,,,,fudge,Karamell
225,,,,gumdrop,Gummibonbon
226,,,,honey_crisp,NO_TRANSLATION
227,,,,mint,Pfefferminz
228,,,,mint_candy,Pfefferminzbonbon
229,,,,horehound,Hustenbonbon
230,,,,jelly_bean,Geleebonbon
231,,,,jelly_egg,Geleeei
232,,,,kiss,DUPLICATE_NO_TRANSLATION
233,,,,candy_kiss,DUPLICATE_NO_TRANSLATION
234,,,,licorice,Lakritz
235,,,,liquorice,Lakritze
236,,,,life_saver,Life_Saver
237,,,,sucker,Lutscher
238,,,,all-day_sucker,Dauerlutscher
239,,,,lozenge,Pastille
240,,,,marshmallow,Marshmallow
241,,,,marzipan,Marzipan
242,,,,marchpane,DUPLICATE_Marzipan
243,,,,nougat,Nugat
244,,,,nougat_bar,Nugatriegel
245,,,,nut_bar,Nussriegel
246,,,,peanut_bar,Erdnusriegel
247,,,,popcorn_ball,Popcorn_Bällchen
248,,,,praline,Praline
249,,,,rock_candy,Kandiszucker
250,,,,rock,Kandis
251,,,,sugar_candy,Zuckerkandis
252,,,,sugarplum,kandierte_Pflaume
253,,,,taffy,DUPLICATE_Toffee
254,,,,truffle,Trüffel
255,,,,chocolate_truffle,Schokoladentrüffel
256,,,,turkish_delight,Lokum
257,,,,easter_egg,Schokoladenosterei
259,L03_10,hyponyms - misc,car,,Auto
260,,,,limousine,Limousine
261,,,,convertible,Cabrio
262,,,,ambulance,Ambulanz
263,,,,beach,Strandbuggy
264,,,,wagon,Kombi
265,,,,station,Kombiwagen
266,,,,estate,DUPLICATE_Kombi
267,,,,waggon,Güterwagen
268,,,,bus,Bus
269,,,,jalopy,Schrottkarre
270,,,,heap,Schrottauto
271,,,,cab,DUPLICATE_Taxi
272,,,,hack,DUPLICATE_Taxi
273,,,,taxi,Taxi
274,,,,taxicab,DUPLICATE_Taxi
275,,,,compact,Kompaktwagen
276,,,,coupe,Coupé
277,,,,cruiser,Streifenwagen
278,,,,police,Polizeiauto
279,,,,patrol,DUPLICATE_Streifenwagen
280,,,,prowl,DUPLICATE_Streifenwagen
281,,,,squad,Einsatzwagen
282,,,,electric,elektrisches_Auto
283,,,,hardtop,Hardtop
284,,,,hatchback,Kombilimousine
285,,,,hot-rod,Hotrod
286,,,,jeep,Jeep
287,,,,landrover,Landrover
288,,,,limo,Limo
289,,,,loaner,Leihwagen
290,,,,minicar,Kleinstwagen
291,,,,minivan,Minivan
292,,,,model,Modellauto
293,,,,pace,Safety_Car
294,,,,racer,Rennwagen
295,,,,race,DUPLICATE_Rennwagen
296,,,,racing,Rennauto
297,,,,roadster,Roadster
298,,,,runabout,Flitzer
299,,,,two-seater,Zweisitzer
300,,,,sedan,DUPLICATE_Limousine
301,,,,saloon,Tourenwagen
302,,,,sports,Sportwagen
303,,,,sport,NO_TRANSLATION
304,,,,suv,SUV
305,,,,stanley,Stanley
306,,,,steamer,Dampfwagen
307,,,,stock,Stockcar
308,,,,subcompact,Kleinwagen
309,,,,touring,Reisewagen
310,,,,tourer,Cabriolimousine
311,,,,used,gebrauchtes_Auto
312,,,,secondhand,Gebrauchtwagen
313,,,,,"Geländewagen,Wohnwagen,Wohnmobil,Geländewagen,Neuwagen,Jahreswagen,Einsatzfahrzeug,Transporter,Kastenwagen,Mopedauto"
314,L03_11,hyponyms - misc,church,,Kirche
315,,,,chapel,Kapelle
316,,,,abbey,Abtei
317,,,,basilica,Basilika
318,,,,cathedral,Kathedrale
319,,,,duomo,Dom
320,,,,kirk,DUPLICATE_Kirche
321,,,,,Klosterkirche
322,L03_12,hyponyms - misc,citrus,,Zitrus
323,,,,lemon,Zitrone
324,,,,orange,Orange
325,,,,lime,Limette
326,,,,mandarin,Mandarine
327,,,,tangerine,Tangerine
328,,,,yuzu,Yuzu
330,L03_13,hyponyms - misc,cloud,,Wolke
331,,,,thundercloud,Gewitterwolke
332,,,,cirrocumulus,Zirrokumulus
333,,,,cirrostratus,Cirrostratus
334,,,,cirrus,Zirruswolke
335,,,,contrail,Kondensstreifen
336,,,,condensation,Kondensation
337,,,,trail,DUPLICATE_Kondensstreifen
338,,,,cumulonimbus,Cumulonimbus
339,,,,cumulus,Kumulus
340,,,,nacreous,Perlmuttwolken
341,,,,nebule,Dunkelwolke
342,,,,nimbus,Regenwolke
343,,,,rain,DUPLICATE_Regenwolke
344,,,,storm,DUPLICATE_Gewitterwolke
345,,,,stratus,Stratuswolken
346,,,,mushroom,Atompilz
347,,,,smoke,Rauchwolke
348,,,,,"Mammatus,Federwolken,Altostratus"
349,L03_14,hyponyms - misc,collar,,Kragen
350,,,,choker,Choker
351,,,,ruff,Krause
352,,,,ruffle,Halskrause
353,,,,clerical,Priesterkragen
354,,,,roman_collar,römischer_Kragen
355,,,,dog_collar,Hundehalsband
356,,,,eton_collar,Eton-Kragen
357,,,,rabato_collar,steifer_Spitzkragen
358,,,,rebato_collar,DUPLICATE_steifer_Spitzkragen
359,,,,turtleneck,Rollkragen
