,ID,Relation,Source,Target,DE
0,L04_1,meronyms - substance,atmosphere,,Atmosphäre
1,,,,gas,Gas
2,,,,oxygen,Sauerstoff
3,,,,hydrogen,Wasserstoff
4,,,,nitrogen,Stickstoff
5,,,,ozone,Ozon
7,L04_2,meronyms - substance,bag,,Tasche
8,,,,leather,Leder
9,,,,fabric,Stoff
10,,,,plastic,Kunststoff
12,L04_3,meronyms - substance,beach,,Strand
13,,,,sand,Sand
14,,,,silicon,Silizium
15,,,,rocks,Felsen
16,,,,pebbles,Kieselsteine
17,,,,atomic_number_14,Ordnungszahl_14
18,,,,si,DUPLICATE_Silizium
20,L04_4,meronyms - substance,beard,,Bart
21,,,,hair,Haar
23,L04_5,meronyms - substance,body,,Körper
24,,,,flesh,Fleisch
25,,,,bones,Knochen
27,L04_6,meronyms - substance,boots,,Stiefel
28,,,,leather,Leder
29,,,,canvas,Leinen
31,L04_7,meronyms - substance,bottle,,Flasche
32,,,,glass,Glas
33,,,,plastic,Kunststoff
35,L04_8,meronyms - substance,bowl,,Schüssel
36,,,,glass,Glas
37,,,,china,Porzellan
38,,,,aluminium,Aluminium
39,,,,wood,Holz
40,,,,steel,Stahl
41,,,,plastic,Kunststoff
42,,,,clay,Ton
44,L04_9,meronyms - substance,box,,Box
45,,,,cardboard,Karton
46,,,,tin,Dose
47,,,,boxwood,Buchsbaum
48,,,,turkish_boxwood,türkischer_Buchsbaum
50,L04_10,meronyms - substance,bread,,Brot
51,,,,flour,Mehl
52,,,,yeast,Hefe
54,L04_11,meronyms - substance,bronze,,Bronze
55,,,,copper,Kupfer
56,,,,tin,Zinn
57,,,,cu,Cu
58,,,,atomic_number_29,Ordnungszahl_29
60,L04_12,meronyms - substance,candy,,Süßwaren
61,,,,sugar,Zucker
62,,,,nougat,Nougat
63,,,,chocolate,Schokolade
64,,,,gelatin,Gelatine
65,,,,molasses,Melasse
66,,,,syrup,Sirup
67,,,,honey,Honig
68,,,,fruit,Frucht
69,,,,nuts,Nüsse
71,L04_13,meronyms - substance,chocolate,,Schokolade
72,,,,cocoa,Kakao
73,,,,bean,Bohne
74,,,,cacao,DUPLICATE_Kakao
75,,,,cacao_bean,Kakaobohne
76,,,,cocoa_bean,DULICATE_Kakaobohne
77,,,,,"Kakaomasse,Zucker"
78,L04_14,meronyms - substance,clothing,,Bekleidung
79,,,,fabric,Stoff
80,,,,leather,Leder
82,L04_15,meronyms - substance,cloud,,Wolke
83,,,,vapor,Verdampfung
84,,,,water,Wasser
85,,,,vapour,Dampf
86,,,,water_vapour,Wasserdampf
87,,,,water_vapor,DUPLICATE_Wasserdampf
88,,,,,Kondensation
89,L04_16,meronyms - substance,cocktail,,Cocktail
90,,,,alcohol,Alkohol
91,,,,juice,Saft
92,,,,water,Wasser
94,L04_17,meronyms - substance,concrete,,Beton
95,,,,silicon,Silizium
96,,,,cement,Zement
97,,,,water,Wasser
98,,,,sand,Sand
99,,,,atomic_number_14,Ordnungszahl_14
100,,,,si,Si
102,L04_18,meronyms - substance,desk,,Tisch
103,,,,wood,Holz
104,,,,metal,Metall
105,,,,steel,Stahl
107,L04_19,meronyms - substance,diamond,,Diamant
108,,,,carbon,Kohlenstoff
110,L04_20,meronyms - substance,doorknob,,Türknauff
111,,,,metal,Metall
112,,,,steel,Stahl
113,,,,bronze,Bronze
114,,,,wood,Holz
116,L04_21,meronyms - substance,flag,,Flagge
117,,,,fabric,Stoff
118,,,,paper,Papier
120,L04_22,meronyms - substance,glacier,,Gletscher
121,,,,ice,Eis
