,ID,Relation,Source,Target,DE
0,L06_1,meronyms - part,academia,,Akademie
1,,,,college,Hochschule
2,,,,university,Universität
3,,,,institute,Institut
5,L06_2,meronyms - part,apartment,,Wohnung
6,,,,bedroom,Schlafzimmer
7,,,,room,Zimmer
8,,,,bathroom,Badezimmer
9,,,,kitchen,Küche
10,,,,kitchenette,Küchenzeile
11,,,,living_room,Wohzimmer
12,,,,pantry,Speisekammer
13,,,,toilet,Toilette
14,,,,shower_room,Duschraum
16,L06_3,meronyms - part,bird,,Vogel
17,,,,feathers,Federn
18,,,,plume,Gefieder
19,,,,preen,DUPLICATE_Bürzeldrüse
20,,,,croup,Kruppe
21,,,,calamus,Calamus
22,,,,fowl,Geflügel
23,,,,drumstick,Unterschenkel
24,,,,syrinx,Syrinx
25,,,,bill,DUPLICATE_Schnabel
26,,,,rump,DUPLICATE_Kruppe
27,,,,vane,Federfahne
28,,,,barb,Federast
29,,,,quill,DUPLICATE_Feder
30,,,,shaft,Schaft
31,,,,pecker,DUPLICATE_Schnabel
32,,,,pennon,Schwinge
33,,,,feet,Füße
34,,,,giblets,Geflügelinnereien
35,,,,alula,Aula
36,,,,talon,Kralle
37,,,,foot,Fuß
38,,,,pinion,Flügelspitze
39,,,,wing,Flügel
40,,,,wishbone,Gabelbein
41,,,,nib,DUPLICATE_Schnabel
42,,,,sac,Sack
43,,,,giblet,Innereien
44,,,,furcula,Furcula
45,,,,bird,Vogel
46,,,,neb,DUPLICATE_Schnabel
47,,,,feather,Feder
48,,,,gland,Drüse
49,,,,oyster,Pfaffenschnittchen
50,,,,thigh,Oberschenkel
51,,,,plumage,Federkleid
52,,,,web,Fahne
53,,,,hindquarters,Hinterhand
54,,,,beak,Schnabel
55,,,,parson's_nose,Pfaffenstück
56,,,,wishing_bone,DUPLICATE_Gabelbein
57,,,,pope's_nose,Bürzel
58,,,,spurious_wing,DUPLICATE_Daumenfittich
59,,,,bastard_wing,Daumenfittich
60,,,,croupe,Kropf
61,,,,air_sac,Luftsack
62,,,,quill_feather,Schwungfeder
63,,,,uropygium,Steiß
64,,,,bird's_foot,Vogelfuß
65,,,,uropygial,DUPLICATE_Steiß
66,,,,second_joint,Intertarsalgelenk
67,,,,uropygial_gland,DUPLICATE_Bürzeldrüse
68,,,,preen_gland,Bürzeldrüse
69,,,,flight_feather,Handschwinge
70,,,,dark_meat,dunkles_Fleisch
71,,,,,"Keule,Femur,Hinterbein,Schädel,Halswirbel,Rabenbein,Tarsometatarsus,Wadenbein,Schambein,Sitzbein"
72,L06_4,meronyms - part,brush,,Bürste
73,,,,bristle,Borste
74,,,,hold,Griff
75,,,,shank,Schaft
76,,,,grip,DUPLICATE_Griff
77,,,,handgrip,Handgriff
78,,,,handle,DUPLICATE_Grifstem
79,,,,head,Kopf
80,,,,stem,Stiel
81,,,,,"Bürstenrücken,Besatz"
82,L06_5,meronyms - part,bus,,Bus
83,,,,seats,Sitze
84,,,,conductor,Schaffner
85,,,,window,Fenster
86,,,,driver,Fahrer
87,,,,roof,Dach
89,L06_6,meronyms - part,byte,,Byte
90,,,,bit,Bit
92,L06_7,meronyms - part,car,,Auto
93,,,,engine,Motor
94,,,,armrest,Armlehne
95,,,,headrest,Kopfstütze
96,,,,grille,Kühlergrill
97,,,,hinge,Scharnier
98,,,,tailpipe,Auspuffrohr
99,,,,suspension,Aufhängung
100,,,,hood,Motorhaube
101,,,,horn,Hupe
102,,,,hooter,DUPLICATE_Hupe
103,,,,petrol,Benzin
104,,,,pintle,Achse
105,,,,trunk,Kofferraum
106,,,,floorboard,Fussraum
107,,,,bar,Stange
108,,,,gas,DUPLICATE_Benzin
109,,,,buffer,Stoßdämpfer
110,,,,door,Tür
111,,,,stabilizer,Stabilisator
112,,,,seat,Sitz
113,,,,window,Scheibe
114,,,,exhaust,Auspuff
115,,,,tailfin,Heckflosse
116,,,,back,Fond
117,,,,luggage,Gepäck
118,,,,pedal,Pedal
119,,,,cowling,DUPLICATE_Motorhaube
120,,,,seatbelt,Anschnallgurt
121,,,,high,NO_TRANSLATION
122,,,,wing,Kotflügel
123,,,,gasoline,DUPLICATE_Benzin
124,,,,fin,Rippe
125,,,,cowl,DUPLICATE_Motorhaube
126,,,,silencer,Auspufftopf
127,,,,gun,DUPLICATE_NO_TRANSLATION
128,,,,compartment,Ablagefach
129,,,,rear,DUPLICATE_Fon
130,,,,radiator,Kühler
131,,,,accessory,Zubehör
132,,,,sunroof,Schiebedach
133,,,,roof,DUPLICATE_Dach
134,,,,lights,Lichter
135,,,,bumper,Stoßstange
136,,,,glove,Handschu
137,,,,bag,Koffer
138,,,,cushion,Polsterung
139,,,,backrest,Rückenlehne
140,,,,accelerator,Gaspedal
141,,,,fender,DUPLICATE__Kotflügel
142,,,,third,dritter_Gang
143,,,,throttle,DUPLICATE_Gaspedal
144,,,,bonnet,Kühlerhaube
145,,,,air,Luft
146,,,,gear,"Gang,_Getriebe"
147,,,,muffler,Schalldämpfer
148,,,,mirror,"Spiegel,_Rückspiegel"
149,,,,shock,DUPLICATE_Stoßstange
150,,,,reverse,Rückwärtsgang
151,,,,anti-sway_bar,Querstabilisator
152,,,,tail_fin,DUPLICATE_Heckflosse
153,,,,accelerator_pedal,DUPLICATE_Gaspedal
154,,,,car_seat,Autositz
155,,,,automobile_horn,Autohupe
156,,,,anti-sway,Anti-Schlingern
157,,,,automobile_engine,Automotor
158,,,,gasoline_engine,Benzinmotor
159,,,,car_door,Autotür
160,,,,shock_absorber,DUPLICATE_Stoßdämpfer
161,,,,luggage_compartment,DUPLICATE_Kofferraum
162,,,,glove_compartment,Hanfschuhfach
163,,,,bumper_guard,Stoßfängerschutz
164,,,,exhaust_system,Auspuffanlage
165,,,,first_gear,erster_Gang
166,,,,high_gear,hoher_Gang
167,,,,rear_window,Heckscheibe
168,,,,sunshine-roof,DUPLICATE_Schiebedach
169,,,,third_gear,DUPLICATE_dritter_Gang
170,,,,air_bag,Airbag
171,,,,doorlock,Türschloß
172,,,,petrol_engine,DUPLICATE_Benzinmotor
173,,,,automobile_trunk,Autokofferraum
174,,,,auto_accessory,Autozubehör
175,,,,inlet_manifold,Ansaugstutzen
176,,,,horn_button,Hupentaste
177,,,,running_board,Trittbrett
178,,,,stabilizer_bar,Stabilisatorstange
179,,,,motor_horn,DUPLICATE_Autohupe
180,,,,exhaust_manifold,DUPLICATE_Auspuffanlage
181,,,,exhaust_pipe,DUPLICATE_Auspuffrohr
182,,,,radiator_grille,DUPLICATE_Kühlergrill
183,,,,low_gear,niedriger_Gang
184,,,,flexible_joint,Flexrohr
185,,,,head_restraint,DUPLICATE_Kopfstütze
186,,,,hood_ornament,Kühlerfigur
187,,,,exhaust_valve,Auspuffventil
188,,,,car_mirror,Rückspiegel
189,,,,gas_pedal,DUPLICATE_Gaspedal
190,,,,seat_belt,Sicherheitsgurt
191,,,,reverse_gear,DUPLICATE_Rückwärtsgang
192,,,,car_horn,DUPLICATE_Autohupe
193,,,,car_window,Autoscheibe
194,,,,suspension_system,Aufhängungssystem
196,,,,,"Bremse,Beleuchtung,Elektrik,Abgasanlage,Antriebsstrang,Fahrwerk,Filter,Lichthupe,Schalthebel,Reifen,Räder,Lenkrad,Karosserie"
197,L06_8,meronyms - part,castle,,Schloss
198,,,,donjon,Donjon
199,,,,tower,Turm
200,,,,turret,Türmchen
201,,,,gate,Tor
202,,,,dungeon,Burgverlies
203,,,,moat,Graben
204,,,,keep,Burgfried
205,,,,great_hall,grosse_Halle
207,L06_9,meronyms - part,cat,,Katze
208,,,,whiskers,Schnurrhaare
209,,,,coat,Pelz
210,,,,paw,Pfote
211,,,,paws,Pfoten
212,,,,fur,Fell
213,,,,eyes,Augen
214,,,,back,Rücken
215,,,,claws,Klauen
216,,,,tail,Schwanz
217,,,,teeth,Zähne
219,L06_10,meronyms - part,chair,,Stuhl
220,,,,seat,Sitzfläche
221,,,,armrest,Armlehne
222,,,,headrest,Kopflehne
223,,,,armrests,Armlehnen
224,,,,rest,Lehne
225,,,,pad,Polsterung
226,,,,back,Sessellehne
227,,,,leg,Bein
228,,,,backrest,Rückenlehne
229,,,,legs,Beine
231,L06_11,meronyms - part,church,,Kirche
232,,,,altar,Altar
233,,,,choir,Chorraum
234,,,,vestry,Gemeindesaal
235,,,,transept,Querschiff
236,,,,apse,Apsis
237,,,,sanctuary,Altarraum
238,,,,rood,Kreuz
239,,,,screen,Kirchenschranke
240,,,,bema,Bema
241,,,,nave,Kirchenschiff
242,,,,tower,Turm
243,,,,sacristy,Sakristei
244,,,,corner,NO_TRANSLATION
245,,,,chancel,Altarplatz
246,,,,amen,DUPLICATE_NO_TRANSLATION
247,,,,chapel,Kapelle
248,,,,apsis,Apside
249,,,,side,DUPLICATE_Nebenkapelle
250,,,,narthex,Narthex
251,,,,presbytery,Presbyterium
252,,,,side_chapel,Nebenkapelle
253,,,,lady_chapel,Marienkapelle
254,,,,church_tower,Kirchenturm
255,,,,rood_screen,Lettner
256,,,,amen_corner,DUPLICATE_NO_TRANSLATION
257,,,,,"Beichtstuhl,Orgel,Pforte,Glocken,Tabernakel,Taufbecken"
258,L06_12,meronyms - part,comb,,Kamm
259,,,,teeth,Zähne
260,,,,shaft,Schaft
261,,,,grip,Griff
262,,,,tooth,Zahn
263,,,,handle,Stiel
265,L06_13,meronyms - part,day,,Tag
266,,,,hour,Stunde
267,,,,forenoon,Vormittag
268,,,,eventide,Abendzeit
269,,,,nanosecond,Nanosekunde
270,,,,noonday,Mittagszeit
271,,,,femtosecond,Femtosekunde
272,,,,hr,Std
273,,,,minutes,Minuten
274,,,,microsecond,Mikrosekunde
275,,,,msec,Millisekunde
276,,,,time,Zeit
277,,,,midnight,Mitternacht
278,,,,sec,Sek
279,,,,nighttime,Nachtzeit
280,,,,min,Min
281,,,,morning,Morgen
282,,,,noon,Mittag
283,,,,evening,Abend
284,,,,dark,Dunkelheit
285,,,,picosecond,Pikosekunde
286,,,,daytime,Tageszeit
287,,,,minute,Minute
288,,,,daylight,Tageslicht
289,,,,s,S
290,,,,high,Höhepunkt
291,,,,even,DUPLICATE_Abend
292,,,,quarter,Viertel
293,,,,morn,DUPLICATE_Morgen
294,,,,noontide,DUPLICATE_Mittag
295,,,,second,Sekunde
296,,,,afternoon,Nachmittag
297,,,,twelve,zwölf
298,,,,millisecond,DUPLICATE_Millisekunde
299,,,,midday,Mittagsstunde
300,,,,midafternoon,am_Nachmittag
301,,,,attosecond,Attosekunde
302,,,,night,Nacht
303,,,,morning_time,Morgenstunde
304,,,,high_noon,mittags
305,,,,half-hour,halbe_Stunde
306,,,,twelve_noon,um_12_Uhr_mittags
307,,,,late-night_hour,zu_später_Stunde
308,,,,early-morning_hour,frühe_Morgenstunden
309,,,,lights-out,Schlafenszeit
310,,,,60_minutes,60_Minuten
311,,,,small_hours,bis_in_die_Puppen
312,,,,30_minutes,30_Minuten
313,,,,15_minutes,15_Minuten
314,,,,quarter-hour,Viertestunde
316,L06_14,meronyms - part,deer,,Hirsch
317,,,,antler,Geweihsprossen
318,,,,antlers,Geweih
319,,,,withers,Widerrist
320,,,,flag,Fahne
321,,,,scut,Wedel
323,L06_15,meronyms - part,dollar,,Dollar
324,,,,cent,Cent
326,L06_16,meronyms - part,door,,Tür
327,,,,hinge,Angel
328,,,,keyhole,Schlüsselloch
329,,,,threshold,Schwelle
330,,,,doorframe,Türrahmen
331,,,,bolt,Riegel
332,,,,deadbolt,Türriegel
333,,,,doorjamb,Türstock
334,,,,tumbler,Zuhaltung
335,,,,doorpost,Türpfosten
336,,,,doorstep,Türstufe
