,ID,Relation,Source,Target,DE
0,L09_1,antonyms - gradable,able,,fähig
1,,,,unable,unfähig
2,,,,incapable,nicht_fähig
3,,,,incompetent,inkompetent
4,,,,unequal,nicht_in_der_Lage
6,L09_2,antonyms - gradable,abundant,,reichlich
7,,,,scarce,spärlich
8,,,,rare,selten
9,,,,tight,knapp
10,,,,meager,mager
11,,,,meagre,karg
12,,,,meagerly,DUPLICATE_mager
13,,,,stingy,dürftig
14,,,,scrimpy,kauserig
15,,,,insufficient,unzureichend
16,,,,deficient,mangelhaft
17,,,,,begrenzt
18,L09_3,antonyms - gradable,aware,,bewusst
19,,,,unaware,unwissend
20,,,,oblivious,nichtsahnend
21,,,,unmindful,unachtsam
22,,,,unconscious,bewusstlos
23,,,,unsuspecting,ahnungslos
24,,,,asleep,schlafend
25,,,,insensible,besinnungslos
26,,,,unwitting,unwissentlich
27,,,,ignorant,ignorant
28,,,,indifferent,desinteressiert
29,,,,,arglos
30,L09_4,antonyms - gradable,beautiful,,schön
31,,,,ugly,hässlich
32,,,,disfigured,entstellt
33,,,,evil-looking,böse_aussehend
34,,,,fugly,potthässlich
35,,,,grotesque,grotesk
36,,,,monstrous,monströs
37,,,,hideous,abscheulich
38,,,,repulsive,abstoßend
39,,,,ill-favored,DUPLICATE_hässlich
40,,,,ill-favoured,DUPLICATE_hässlich
41,,,,scrofulous,skrofulös
42,,,,unlovely,reizlos
43,,,,unpicturesque,unschön
44,,,,unsightly,unansehnlich
45,,,,displeasing,widerlich
46,,,,unattractive,unattraktiv
47,,,,awkward,plump
49,L09_5,antonyms - gradable,big,,groß
50,,,,small,klein
51,,,,atomic,winzig_klein
52,,,,subatomic,subatomar
53,,,,bantam,NO_TRANSLATION
54,,,,diminutive,sehr_klein
55,,,,lilliputian,liliputanisch
56,,,,midget,zwergenhaft
57,,,,petite,zierlich
58,,,,tiny,winzig
59,,,,flyspeck,minutiös
60,,,,bitty,klitzeklein
61,,,,bittie,DUPLICATE_winzig
62,,,,teensy,DUPLICATE_klitzeklein
63,,,,teentsy,DUPLICATE_klitzeklein
64,,,,teeny,DUPLICATE_klitzeklein
65,,,,wee,DUPLICATE_klein
66,,,,weeny,DUPLICATE_klitzeklein
67,,,,weensy,DUPLICATE_klitzeklein
68,,,,teensy-weensy,DUPLICATE_klitzeklein
69,,,,teeny-weeny,DUPLICATE_klitzeklein
70,,,,itty-bitty,DUPLICATE_klitzeklein
71,,,,itsy-bitsy,DUPLICATE_klitzeklein
72,,,,dinky,niedlich
73,,,,dwarfish,DUPLICATE_zwergenhaft
74,,,,elfin,elfenhaft
75,,,,elflike,elfenartig
76,,,,gnomish,gnomenhaft
77,,,,half-size,halb_so_groß
78,,,,infinitesimal,unendlich_klein
79,,,,minute,ganz_klein
80,,,,lesser,weniger
81,,,,microscopic,mikroskopisch
82,,,,microscopical,DUPLICATE_mikroskopisch
83,,,,micro,micro
84,,,,miniature,miniaturhaft
85,,,,minuscule,unbedeutend
86,,,,miniscule,DUPLICATE_unbedeutend
87,,,,olive-sized,olivengroß
88,,,,pocket-size,im_Taschenformat
89,,,,pocket-sized,taschenformatig
90,,,,pocketable,zum_Einstecken
91,,,,puny,kümmerlich
92,,,,runty,DUPLICATE_zwergenhaft
93,,,,shrimpy,mickrig
94,,,,slender,schmal
95,,,,slim,dünn
96,,,,smaller,kleiner
97,,,,littler,DUPLICATE_kleiner
98,,,,smallish,eher_klein
99,,,,small-scale,kleinformatig
100,,,,undersize,DUPLICATE_zu_klein
101,,,,undersized,zu_klein
102,,,,,"nanoskalig,lütt,murkelig,klimperklein,fipsig"
103,L09_6,antonyms - gradable,bright,,strahlend
104,,,,pale,blass
105,,,,colorless,farblos
106,,,,colourless,DUPLICATE_farblos
107,,,,dull,dumpf
108,,,,neutral,neutral
109,,,,white,weiß
110,,,,bleached,gebleicht
111,,,,faded,verblasst
112,,,,washed-out,ausgewaschen
113,,,,washy,verwaschen
114,,,,drab,glanzlos
115,,,,somber,düster
116,,,,sombre,dunkel
117,,,,dulled,abgestumpft
118,,,,greyed,ergraut
119,,,,etiolate,DUPLICATE_etioliert
120,,,,etiolated,etioliert
121,,,,lurid,grell
122,,,,waxen,wächsern
