,ID,Relation,Source,Target,EL
0,L01_1,hypernyms - animals,allosaurus,,αλλόσαυρος
1,,,,dinosaur,δεινόσαυρος
2,,,,reptile,ερπετό
3,,,,bird,πτηνό
4,,,,archosaur,αρχόσαυρος
5,,,,archosaurian,DUPLICATE_αρχόσαυρος
6,,,,archosaurian_reptile,αρχοσαύριο_ερπετό
8,L01_2,hypernyms - animals,anaconda,,ανακόντα
9,,,,snake,φίδι
10,,,,reptile,ερπετό
11,,,,boa,βόας
12,,,,serpent,DUPLICATE_φίδι
13,,,,ophidian,NO_TRANSLATION
15,L01_3,hypernyms - animals,ant,,μυρμήγκι
16,,,,insect,έντομο
17,,,,invertebrate,ασπόνδυλο
18,,,,creature,πλάσμα
19,,,,beast,θηρίο
20,,,,hymenopteran,υμενόπτερο
21,,,,being,ον
22,,,,animal,ζώο
23,,,,organism,οργανισμός
24,,,,fauna,πανίδα
25,,,,arthropod,αρθρόποδο
26,,,,hymenopterous_insect,υμενόπτερο_έντομο
27,,,,animate_being,έμψυχο_ον
28,,,,physical_hymenopteron,NO_TRANSLATION
29,,,,physical_entity,φυσική_οντότητα
30,,,,hymenopter,DUPLICATE_υμενόπτερο
31,,,,living_thing,ζωντανό_ον
33,L01_4,hypernyms - animals,beaver,,κάστορας
34,,,,rodent,τρωκτικό
35,,,,vertebrate,σπονδυλωτό
36,,,,creature,πλάσμα
37,,,,beast,θηρίο
38,,,,animal,ζώο
39,,,,organism,οργανισμός
40,,,,fauna,πανίδα
41,,,,placental,πλακουντοφόρο
42,,,,chordate,χορδωτό
43,,,,eutherian,ευθήριο
44,,,,mammal,θηλαστικό
45,,,,mammalian,DUPLICATE_θηλαστικό
46,,,,eutherian_mammal,ευθήριο_θηλαστικό
47,,,,gnawer,DUPLICATE_τρωκτικό
48,,,,animate_being,έμψυχο_ον
49,,,,living_thing,ζωντανό_ον
50,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
51,,,,craniate,κρανιωτό
53,L01_5,hypernyms - animals,bee,,μέλισσα
54,,,,insect,έντομο
55,,,,invertebrate,ασπόνδυλο
56,,,,creature,πλάσμα
57,,,,beast,θηρίο
58,,,,hymenopteran,υμενόπτερο
59,,,,being,ον
60,,,,animal,ζώο
61,,,,organism,οργανισμός
62,,,,fauna,πανίδα
63,,,,arthropod,αρθρόποδο
64,,,,hymenopterous_insect,υμενόπτερο_έντομο
65,,,,animate_being,έμψυχο_ον
66,,,,hymenopteron,DUPLICATE_υμενόπτερο
67,,,,hymenopter,DUPLICATE_υμενόπτερο
68,,,,living_thing,ζωντανό_ον
71,L01_6,hypernyms - animals,beetle,,σκαθάρι
72,,,,insect,έντομο
73,,,,invertebrate,ασπόνδυλο
74,,,,creature,πλάσμα
75,,,,beast,θηρίο
76,,,,being,ον
77,,,,animal,ζώο
78,,,,organism,οργανισμός
79,,,,fauna,πανίδα
80,,,,arthropod,αρθρόποδο
81,,,,animate_being,έμψυχο_ον
82,,,,living_thing,ζωντανό_ον
84,L01_7,hypernyms - animals,buffalo,,βουβάλι
85,,,,bovid,βοοειδές
86,,,,mammal,θηλαστικό
87,,,,bison,βίσονας
88,,,,cow,αγελάδα
89,,,,vertebrate,σπονδυλωτό
90,,,,creature,πλάσμα
91,,,,ungulate,οπληφόρο
92,,,,beast,θηρίο
93,,,,being,ον
94,,,,animal,ζώο
95,,,,organism,οργανισμός
96,,,,fauna,πανίδα
97,,,,placental,πλακουντοφόρο
98,,,,artiodactyl,αρτιοδάκτυλο
99,,,,ruminant,μηρυκαστικό
100,,,,chordate,χορδωτό
101,,,,eutherian,ευθήριο
102,,,,mammalian,DUPLICATE_θηλαστικό
103,,,,bovine,DUPLICATE_βοοειδές
104,,,,animate_being,έμψυχο_ον
105,,,,eutherian_mammal,ευθήριο_θηλαστικό
106,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
107,,,,craniate,κρανιωτό
108,,,,physical_hoofed_mammal,NO_TRANSLATION
109,,,,physical_entity,φυσική_οντότητα
110,,,,even-toed_ungulate,οπληφόρο_με_ίσες_οπλές
111,,,,artiodactyl_mammal,αρτιοδάκτυλο_θηλαστικό
112,,,,living_thing,ζωντανό_ον
114,L01_8,hypernyms - animals,butterfly,,πεταλούδα
115,,,,insect,έντομο
116,,,,creature,πλάσμα
117,,,,beast,θηρίο
118,,,,lepidopteran,λεπιδόπτερο
119,,,,animal,ζώο
120,,,,organism,οργανισμός
121,,,,fauna,πανίδα
122,,,,arthropod,αρθρόποδο
123,,,,lepidopterous_insect,λεπιδόπτερο_έντομο
124,,,,lepidopteron,DUPLICATE_λεπιδόπτερο
125,,,,animate_being,έμψυχο_ον
126,,,,living_thing,ζωντανό_ον
128,L01_9,hypernyms - animals,cat,,γάτα
129,,,,feline,αιλουροειδές
130,,,,beast,θηρίο
131,,,,animal,ζώο
132,,,,organism,οργανισμός
133,,,,fauna,πανίδα
134,,,,placental,πλακουντοφόρο
135,,,,carnivore,σαρκοφάγο
136,,,,chordate,χορδωτό
137,,,,felid,DUPLICATE_αιλουροειδές
138,,,,eutherian,ευθήριο
139,,,,mammal,θηλαστικό
140,,,,mammalian,DUPLICATE_θηλαστικό
141,,,,eutherian_mammal,ευθήριο_θηλαστικό
142,,,,animate_being,έμψυχο_ον
143,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
144,,,,craniate,κρανιωτό
146,L01_10,hypernyms - animals,chicken,,κοτόπουλο
147,,,,fowl,πουλερικό
148,,,,bird,πτηνό
149,,,,vertebrate,σπονδυλωτό
150,,,,poultry,DUPLCATE_πουλερικό
151,,,,creature,πλάσμα
152,,,,beast,θηρίο
153,,,,being,ον
154,,,,animal,ζώο
155,,,,organism,οργανισμός
156,,,,fauna,πανίδα
157,,,,chordate,χορδωτό
158,,,,domestic_fowl,κατοικίδιο_πτηνό
159,,,,animate_being,έμψυχο_ον
160,,,,gallinaceous_bird,ορνιθοειδές_πτηνό
161,,,,craniate,κρανιωτό
162,,,,gallinacean,ορνιθοειδές
163,,,,living_thing,ζωντανό_ον
165,,,,,οικόσιτο_πτηνό
166,L01_11,hypernyms - animals,chimpanzee,,χιμπατζής
167,,,,primate,πρωτεύον
168,,,,vertebrate,σπονδυλωτό
169,,,,creature,πλάσμα
170,,,,beast,θηρίο
171,,,,being,ον
172,,,,animal,ζώο
173,,,,organism,οργανισμός
174,,,,fauna,πανίδα
175,,,,placental,πλακουντοφόρο
176,,,,hominid,ανθρωποειδές
177,,,,chordate,χορδωτό
178,,,,eutherian,ευθήριο
179,,,,mammal,θηλαστικό
180,,,,ape,πίθηκος
181,,,,mammalian,DUPLICATE_θηλαστικό
182,,,,animate_being,έμψυχο_ον
183,,,,eutherian_mammal,ευθήριο_θηλαστικό
184,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
185,,,,craniate,κρανιωτό
186,,,,physical_physical_entity,NO_TRANSLATION
187,,,,living_thing,ζωντανό_ον
189,L01_12,hypernyms - animals,chinchilla,,τσιντσιλά
190,,,,rodent,τρωκτικό
191,,,,vertebrate,σπονδυλωτό
192,,,,creature,πλάσμα
193,,,,beast,θηρίο
194,,,,animal,ζώο
195,,,,organism,οργανισμός
196,,,,fauna,πανίδα
197,,,,placental,πλακουντοφόρο
198,,,,chordate,χορδωτό
199,,,,eutherian,ευθήριο
200,,,,mammal,θηλαστικό
201,,,,mammalian,DUPLICATE_θηλαστικό
202,,,,eutherian_mammal,ευθήριο_θηλαστικό
203,,,,gnawer,DUPLICATE_τρωκτικό
204,,,,animate_being,έμψυχο_ον
205,,,,living_thing,ζωντανό_ον
206,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
207,,,,craniate,κρανιωτό
209,L01_13,hypernyms - animals,cobra,,κόμπρα
210,,,,snake,φίδι
211,,,,reptile,ερπετό
212,,,,elapid,ελαπίδα
213,,,,elapid_snake,NO_TRANSLATION
214,,,,serpent,DUPLICATE_φίδι
215,,,,ophidian,DUPLICATE_NO_TRANSLATION
217,L01_14,hypernyms - animals,cockroach,,κατσαρίδα
218,,,,insect,έντομο
219,,,,invertebrate,ασπόνδυλο
220,,,,creature,πλάσμα
221,,,,beast,θηρίο
222,,,,dictyopterous_insect,δικτυόπτερο_έντομο
223,,,,being,ον
224,,,,animal,ζώο
225,,,,organism,οργανισμός
226,,,,fauna,πανίδα
227,,,,arthropod,αρθρόποδο
228,,,,animate_being,έμψυχο_ον
229,,,,physical_entity,φυσική_οντότητα
230,,,,living_thing,ζωντανό_ον
233,L01_15,hypernyms - animals,cow,,αγελάδα
234,,,,bovid,βοοειδές
235,,,,mammal,θηλαστικό
236,,,,cattle,DUPLICATE_βοοειδές
237,,,,vertebrate,σπονδυλωτό
238,,,,creature,πλάσμα
239,,,,ungulate,οπληφόρο
240,,,,beast,θηρίο
241,,,,being,ον
242,,,,animal,ζώο
243,,,,organism,οργανισμός
244,,,,fauna,πανίδα
245,,,,placental,πλακουντοφόρο
246,,,,artiodactyl,αρτιοδάκτυλο
247,,,,ruminant,μηρυκαστικό
248,,,,chordate,χορδωτό
249,,,,eutherian,ευθήριο
250,,,,mammalian,DUPLICATE_θηλαστικό
251,,,,animate_being,έμψυχο_ον
252,,,,eutherian_mammal,ευθήριο_θηλαστικό
253,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
254,,,,craniate,κρανιωτό
255,,,,physical_hoofed_mammal,NO_TRANSLATION
256,,,,physical_entity,φυσική_οντότητα
257,,,,even-toed_ungulate,οπληφόρο_με_ίσες_οπλές
258,,,,artiodactyl_mammal,αρτιοδάκτυλο_θηλαστικό
259,,,,living_thing,ζωντανό_ον
261,L01_16,hypernyms - animals,coyote,,κογιότ
262,,,,canine,NO_TRANSLATION
263,,,,vertebrate,σπονδυλωτό
264,,,,creature,πλάσμα
265,,,,beast,θηρίο
266,,,,canid,κυνίδης
267,,,,being,ον
268,,,,animal,ζώο
269,,,,organism,οργανισμός
270,,,,fauna,πανίδα
271,,,,placental,πλακουντοφόρο
272,,,,carnivore,σαρκοφάγο
273,,,,chordate,χορδωτό
274,,,,eutherian,ευθήριο
275,,,,mammal,θηλαστικό
276,,,,mammalian,DUPLICATE_θηλαστικό
277,,,,animate_being,έμψυχο_ον
278,,,,eutherian_mammal,ευθήριο_θηλαστικό
279,,,,locomote,DUPLICATE_NO_TRANSLATION
280,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
281,,,,craniate,κρανιωτό
282,,,,domesticated_animal,εξημερωμένο_ζώο
283,,,,physical_entity,φυσική_οντότητα
284,,,,domestic_animal,κατοικίδιο_ζώο
285,,,,living_thing,ζωντανό_ον
286,,,,,οικόσιτο_ζώο
287,L01_17,hypernyms - animals,deer,,ελάφι
288,,,,bovid,βοοειδές
289,,,,mammal,θηλαστικό
290,,,,vertebrate,σπονδυλωτό
291,,,,creature,πλάσμα
292,,,,ungulate,οπληφόρο
293,,,,beast,θηρίο
294,,,,being,ον
295,,,,animal,ζώο
296,,,,organism,οργανισμός
297,,,,fauna,πανίδα
298,,,,placental,πλακουντοφόρο
299,,,,artiodactyl,αρτιοδάκτυλο
300,,,,ruminant,μηρυκαστικό
301,,,,chordate,χορδωτό
302,,,,eutherian,ευθήριο
303,,,,mammalian,DUPLICATE_θηλαστικό
304,,,,bovine,DUPLICATE_βοοειδές
305,,,,animate_being,έμψυχο_ον
306,,,,eutherian_mammal,ευθήριο_θηλαστικό
307,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
308,,,,craniate,κρανιωτό
309,,,,physical_hoofed_mammal,NO_TRANSLATION
310,,,,physical_entity,φυσική_οντότητα
311,,,,even-toed_ungulate,οπληφόρο_με_ίσες_οπλές
312,,,,artiodactyl_mammal,αρτιοδάκτυλο_θηλαστικό
313,,,,living_thing,ζωντανό_ον
316,L01_18,hypernyms - animals,dog,,σκύλος
317,,,,canine,NO_TRANSLATION
318,,,,vertebrate,σπονδυλωτό
319,,,,creature,πλάσμα
320,,,,beast,θηρίο
321,,,,canid,κυνίδης
322,,,,being,ον
323,,,,animal,ζώο
324,,,,organism,οργανισμός
325,,,,fauna,πανίδα
326,,,,placental,πλακουντοφόρο
327,,,,carnivore,σαρκοφάγο
328,,,,chordate,χορδωτό
329,,,,eutherian,ευθήριο
330,,,,mammal,θηλαστικό
331,,,,mammalian,DUPLICATE_θηλαστικό
332,,,,animate_being,έμψυχο_ον
333,,,,eutherian_mammal,ευθήριο_θηλαστικό
334,,,,locomote,DUPLICATE_NO_TRANSLATION
335,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
336,,,,craniate,κρανιωτό
337,,,,domesticated_animal,εξημερωμένο_ζώο
338,,,,physical_entity,φυσική_οντότητα
339,,,,domestic_animal,κατοικίδιο_ζώο
340,,,,living_thing,ζωντανό_ον
341,,,,,οικόσιτο_ζώο
342,L01_19,hypernyms - animals,duck,,πάπια
343,,,,fowl,πουλερικό
344,,,,bird,πτηνό
345,,,,vertebrate,σπονδυλωτό
346,,,,poultry,DUPLICATE_πουλερικό
347,,,,creature,πλάσμα
348,,,,beast,θηρίο
349,,,,being,ον
350,,,,animal,ζώο
351,,,,organism,οργανισμός
352,,,,fauna,πανίδα
353,,,,chordate,χορδωτό
354,,,,domestic_fowl,κατοικίδιο_πτηνό
355,,,,waterfowl,υδρόβιο_πτηνό
356,,,,water_fowl,DUPLICATE_υδρόβιο_πτηνό
357,,,,animate_being,έμψυχο_ον
358,,,,anseriform_bird,DUPLICATE_πτηνό
359,,,,craniate,κρανιωτό
360,,,,living_thing,ζωντανό_ον
361,,,,,οικόσιτο_πτηνό
362,L01_20,hypernyms - animals,eagle,,αετός
363,,,,raptor,αρπακτικό
364,,,,bird,πτηνό
