,ID,Relation,Source,Target,EL
0,L03_1,hyponyms - misc,backpack,,σακίδιο_πλάτης
1,,,,daypack,σακίδιο_πόλης
2,,,,kitbag,σάκος
3,,,,kit_bag,DUPLICATE_σάκος
5,L03_2,hyponyms - misc,bag,,σάκος
6,,,,pouch,πουγκί
7,,,,backpack,σακίδιο_πλάτης
8,,,,knapsack,γύλιος
9,,,,packsack,σακίδιο
10,,,,rucksack,DUPLICATE_σακίδιο
11,,,,haversack,DUPLICATE_σακίδιο
12,,,,beanbag,NO_TRANSLATION
13,,,,bladder,ασκός
14,,,,carryall,DUPLICATE_σάκος
15,,,,holdall,DUPLICATE_σάκος
16,,,,tote,τσάντα_tote
17,,,,drawstring,σακίδιο_με_κορδόνια
18,,,,dust,σάκος_απορριμάτων
19,,,,vacuum,σακούλα_ηλεκτρικής_σκούπας
20,,,,envelope,φάκελος
21,,,,gasbag,αερόσακος
22,,,,gamebag,τσάντα_παιχνιδιών
23,,,,golf,σάκος_γκολφ
24,,,,gunnysack,σάκος_από_λινάτσα
25,,,,gunny,λινάτσα
26,,,,burlap,DUPLICATE_λινάτσα
27,,,,ice,παγοκυψέλη
28,,,,mailbag,ταχυδρομική_τσάντα
29,,,,postbag,ταχυδρομικός_σάκος
30,,,,nosebag,ντορβάς
31,,,,feedbag,ταγάρι
32,,,,pannier,καλάθι
33,,,,plastic,πλαστική_τσάντα
34,,,,purse,πορτοφόλι
35,,,,ragbag,σάκος_με_ρετάλια
36,,,,rosin,κολοφώνιο
37,,,,sachet,σακουλάκι
38,,,,sack,DUPLICATE_σάκος
39,,,,poke,σακί
40,,,,paper,χαρτοσακούλα
41,,,,carrier,τσάντα_μεταφοράς
42,,,,saddlebag,σακίδιο_σέλας
43,,,,sandbag,αμμόσακος
44,,,,schoolbag,σχολική_τσάντα
45,,,,shopping,τσάντα_για_ψώνια
46,,,,sick_bag,σακουλάκι_για_εμετό
47,,,,sickbag,DUPLICATE_σακουλάκι_για_εμετό
48,,,,skin,δερμάτινη_τσάντα
49,,,,sleeping,υπνόσακος
50,,,,sweat,DUPLICATE_NO_TRANSLATION
51,,,,tea,φακελάκι_τσαγιού
52,,,,toilet,νεσεσέρ
53,,,,sponge,DUPLICATE_NO_TRANSLATION
54,,,,tool,εργαλειοθήκη
55,,,,tucker-bag,DUPLICATE_σακίδιο
56,,,,,σλίπινγκ_μπαγκ
57,L03_3,hyponyms - misc,bed,,κρεβάτι
58,,,,bunk,κουκέτα
59,,,,berth,DUPLICATE_κουκέτα
60,,,,built,χτιστό_κρεβάτι
61,,,,built-in,NO_TRANSLATION
62,,,,cot,ράντζο
63,,,,camp,κρεβάτι_εκστρατείας
64,,,,couch,καναπές
65,,,,deathbed,επιθανάτιος_κλίνη
66,,,,double,διπλό_κρεβάτι
67,,,,four-poster,κρεβάτι_με_ουρανό
68,,,,hammock,αιώρα
69,,,,sack,DUPLICATE_κρεβάτι
70,,,,marriage_bed,νυφικό_κρεβάτι
71,,,,murphy,κρεβάτι_τοίχου
72,,,,plank-bed,κρεβάτι_με_τάβλες
73,,,,platform,κρεβάτι_πλατφόρμα
74,,,,sickbed,κρεβάτι_ασθενούς
75,,,,single_bed,μονό_κρεβάτι
76,,,,sleigh,κρεβάτι_έλκηθρο
77,,,,trundle,συρόμενο_κρεβάτι
78,,,,truckle,DUPLICATE_συρόμενο_κρεβάτι
79,,,,twin,δύο_μονά_κρεβάτια
80,,,,water,στρώμα_με_νερό
81,,,,semi-double,ημίδιπλο_κρεβάτι
82,,,,semidouble,DUPLICATE_ημίδιπλο_κρεβάτι
83,,,,,κούνια
84,L03_4,hyponyms - misc,boat,,βάρκα
85,,,,ferry,φέρι
86,,,,ark,κιβωτός
87,,,,barge,φορτηγίδα
88,,,,flatboat,μαούνα
89,,,,hoy,NO_TRANSLATION
90,,,,lighter,DUPLICATE_μαούνα
91,,,,bumboat,DUPLICATE_μαούνα
92,,,,canal_boat,σκάφος_για_κανάλια
93,,,,narrow_boat,βάρκα_για_κανάλια
94,,,,narrowboat,DUPLICATE_βάρκα_για_κανάλια
95,,,,ferryboat,φέριμποτ
96,,,,fireboat,πυροσβεστικό_σκάφος
97,,,,gondola,γόνδολα
98,,,,guard_boat,σκάφος_ακτοφυλακής
99,,,,gunboat,κανονιοφόρος
100,,,,junk,τζόγκα
101,,,,longboat,DUPLICATE_μαούνα
102,,,,lugger,πλοίο_με_τετράπλευρα_ιστία
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,ταχυδρομικό_σκάφος
105,,,,mail,DUPLICATE_ταχυδρομικό_σκάφος
106,,,,packet,πακέτο
107,,,,motorboat,ταχύπλοο_σκάφος
108,,,,powerboat,DUPLICATE_ταχύπλοο_σκάφος
109,,,,pilot,πλοηγίδα
110,,,,police,σκάφος_αστυνομίας
111,,,,punt,DUPLICATE_NO_TRANSLATION
112,,,,river_boat,ποταμόπλοιο
113,,,,scow,DUPLICATE_μαούνα
114,,,,sea_boat,σκάφος_θαλάσσης
115,,,,small_boat,μικρή_βάρκα
116,,,,steamboat,ατμόπλοιο
117,,,,surfboat,σκάφος_για_σερφ
118,,,,tender_boat,εφόλκιο
119,,,,pinnace,βοηθητικό_πλοιάριο
120,,,,cutter_boat,κότερο
121,,,,tugboat,ρυμουλκό_πλοίο
122,,,,tug,ρυμουλκό
123,,,,towboat,DUPLICATE_ρυμουλκό_πλοίο
124,,,,tower_boat,σκάφος_με_πύργο
