,ID,Relation,Source,Target,EL
0,L04_1,meronyms - substance,atmosphere,,ατμόσφαιρα
1,,,,gas,διοξείδιο
2,,,,oxygen,οξυγόνο
3,,,,hydrogen,υδρογόνο
4,,,,nitrogen,νιτρογόνο
5,,,,ozone,όζον
7,L04_2,meronyms - substance,bag,,τσάντα
8,,,,leather,δέρμα
9,,,,fabric,ύφασμα
10,,,,plastic,πλαστικό
12,L04_3,meronyms - substance,beach,,παραλία
13,,,,sand,άμμος
14,,,,silicon,πυρίτιο
15,,,,rocks,βράχος
16,,,,pebbles,βότσαλο
17,,,,atomic_number_14,ατομικός_αριθμός_14
18,,,,si,si
20,L04_4,meronyms - substance,beard,,γενειάδα
21,,,,hair,τρίχα
23,L04_5,meronyms - substance,body,,κορμί
24,,,,flesh,δέρμα
25,,,,bones,κόκαλο
27,L04_6,meronyms - substance,boots,,μπότα
28,,,,leather,δέρμα
29,,,,canvas,καμβάς
31,L04_7,meronyms - substance,bottle,,μπουκάλι
32,,,,glass,γυαλί
33,,,,plastic,πλαστικό
35,L04_8,meronyms - substance,bowl,,μπολ
36,,,,glass,γυαλί
37,,,,china,πορσελάνη
38,,,,aluminium,αλουμίνιο
39,,,,wood,ξύλο
40,,,,steel,μέταλο
41,,,,plastic,πλαστικό
42,,,,clay,πηλός
44,L04_9,meronyms - substance,box,,κουτί
45,,,,cardboard,χαρτόνι
46,,,,tin,κασσίτερος
47,,,,boxwood,πυξάρι
48,,,,turkish_boxwood,DUPLICATE_πυξάρι
49,,,,,πύξος
50,L04_10,meronyms - substance,bread,,ψωμί
51,,,,flour,αλεύρι
52,,,,yeast,μαγιά
54,L04_11,meronyms - substance,bronze,,μπρούντζος
55,,,,copper,χαλκός
56,,,,tin,κασσίτερος
57,,,,cu,cu
58,,,,atomic_number_29,ατομικός_αριθμός_29
60,L04_12,meronyms - substance,candy,,καραμέλα
61,,,,sugar,ζάχαρη
62,,,,nougat,αμυγδαλωτό
63,,,,chocolate,σοκολάτα
64,,,,gelatin,ζελατίνη
65,,,,molasses,μελάσσα
66,,,,syrup,σιρόπι
67,,,,honey,μέλι
68,,,,fruit,φρούτο
69,,,,nuts,ξηρός_καρπός
71,L04_13,meronyms - substance,chocolate,,σοκολάτα
72,,,,cocoa,κακάο
73,,,,bean,σπόρος
74,,,,cacao,DUPLICATE_κακάο
75,,,,cacao_bean,σπόρος_κακάο
76,,,,cocoa_bean,DUPLICATE_σπόρος_κακάο
78,L04_14,meronyms - substance,clothing,,ρούχο
79,,,,fabric,ύφασμα
80,,,,leather,δέρμα
82,L04_15,meronyms - substance,cloud,,σύννεφο
83,,,,vapor,ατμός
84,,,,water,νερό
85,,,,vapour,DUPLICATE_ατμός
86,,,,water_vapour,υδρατμός
87,,,,water_vapor,DUPLICATE_υδρατμός
89,L04_16,meronyms - substance,cocktail,,κοκτέιλ
90,,,,alcohol,αλκοόλ
91,,,,juice,χυμός
92,,,,water,νερό
93,,,,,οινόπνευμα
94,L04_17,meronyms - substance,concrete,,μπετόν
95,,,,silicon,πυρίτιο
96,,,,cement,τσιμέντο
97,,,,water,νερό
98,,,,sand,άμμος
99,,,,atomic_number_14,ατομικός_αριθμός_14
100,,,,si,si
102,L04_18,meronyms - substance,desk,,γραφείο
103,,,,wood,ξύλο
104,,,,metal,μέταλο
105,,,,steel,ατσάλι
107,L04_19,meronyms - substance,diamond,,διαμάντι
108,,,,carbon,άνθρακας
110,L04_20,meronyms - substance,doorknob,,πόμολο
111,,,,metal,μέταλο
112,,,,steel,ατσάλι
113,,,,bronze,μπρούντζος
114,,,,wood,ξύλο
116,L04_21,meronyms - substance,flag,,σημαία
117,,,,fabric,ύφασμα
118,,,,paper,χαρτί
120,L04_22,meronyms - substance,glacier,,παγετώνας
121,,,,ice,πάγος
122,,,,water,νερό
123,,,,oxygen,οξυγόνο
124,,,,hydrogen,υδρογόνο
125,,,,h,h
126,,,,h2o,h2o
127,,,,atomic_number_8,ατομικός_αριθμός_8
