,ID,Relation,Source,Target,EL
0,L06_1,meronyms - part,academia,,ακαδημαϊκή_κοινότητα
1,,,,college,κολλέγιο
2,,,,university,πανεπιστήμιο
3,,,,institute,ινστιτούτο
5,L06_2,meronyms - part,apartment,,διαμέρισμα
6,,,,bedroom,υπνοδωμάτιο
7,,,,room,δωμάτιο
8,,,,bathroom,μπάνιο
9,,,,kitchen,κουζίνα
10,,,,kitchenette,κουζινάκι
11,,,,living_room,σαλόνι
12,,,,pantry,κελάρι
13,,,,toilet,τουαλέτα
14,,,,shower_room,ντους
15,,,,,"λουτρό,λίβινγκ_ρουμ"
16,L06_3,meronyms - part,bird,,πουλί
17,,,,feathers,φτερό
18,,,,plume,λοφίο
19,,,,preen,περιποίηση_φτερώματος_με_το_ράμφος
20,,,,croup,καπούλι
21,,,,calamus,κάλαμος
22,,,,fowl,πουλερικό
23,,,,drumstick,μπούτι
24,,,,syrinx,σύριγγα
25,,,,bill,ράμφος
26,,,,rump,ουροπύγιο
27,,,,vane,πτερύγιο
28,,,,barb,ρόζος
29,,,,quill,DUPLICATE_κάλαμος
30,,,,shaft,ράχη
31,,,,pecker,DUPLICATE_ράμφος
32,,,,pennon,φτερούγα
33,,,,feet,κάτω_άκρο
34,,,,giblets,συκωτάκια_πουλιών
35,,,,alula,άλουλα
36,,,,talon,νύχι_όρνιου
37,,,,foot,πόδι
38,,,,pinion,DUPLICATE_φτερούγα
39,,,,wing,DUPLICATE_φτερό
40,,,,wishbone,γιάντες
41,,,,nib,DUPLICATE_ράμφος
42,,,,sac,κύστη
43,,,,giblet,συκωτάκι_πουλιών
44,,,,furcula,δίκρανο
45,,,,bird,πουλί
46,,,,neb,DUPLICATE_ράμφος
47,,,,feather,DUPLICATE_φτερό
48,,,,gland,αδένας
49,,,,oyster,στρείδι
50,,,,thigh,DUPLICATE_μπούτι
51,,,,plumage,φτέρωμα
52,,,,web,ιστός
53,,,,hindquarters,γλουτός
54,,,,beak,DUPLICATE_ράμφος
55,,,,parson's_nose,λιπαρό_άκρο_της_ουράς
56,,,,wishing_bone,κοκαλάκι_ευχών
57,,,,pope's_nose,DUPLICATE_λιπαρό_άκρο_της_ουράς
58,,,,spurious_wing,ψεύτικο_φτερό
59,,,,bastard_wing,νόθος_πτέρυγα
60,,,,croupe,NO_TRANSLATION
61,,,,air_sac,αεροφόρος_σάκος
62,,,,quill_feather,φτερό_πτήσης
63,,,,uropygium,DUPLICATE_ουροπύγιο
64,,,,bird's_foot,πόδι_πουλιού
65,,,,uropygial,DUPLICATE_ουροπύγιο
66,,,,second_joint,δεύτερη_άρθρωση
67,,,,uropygial_gland,ουροπυγιακός_αδένας
68,,,,preen_gland,DUPLICATE_ουροπυγιακός_αδένας
69,,,,flight_feather,DUPLICATE_φτερό_πτησης
70,,,,dark_meat,σκούρο_κρέας
71,,,,,"οπίσθια,νόθη_φτερούγα"
72,L06_4,meronyms - part,brush,,βούρτσα
73,,,,bristle,τρίχα
74,,,,hold,χειρολαβή
75,,,,shank,DUPLICATE_λαβή
76,,,,grip,DUPLICATE_λαβή
77,,,,handgrip,DUPLICATE_χειρολαβή
78,,,,handle,DUPLICATE_λαβή
79,,,,head,κεφαλή
80,,,,stem,στέλεχος
82,L06_5,meronyms - part,bus,,λεωφορείο
83,,,,seats,θέση
84,,,,conductor,εισπράκτορας
85,,,,window,πάραθυρο
86,,,,driver,οδηγός
87,,,,roof,οροφή
89,L06_6,meronyms - part,byte,,μπάιτ
90,,,,bit,δυφίο
91,,,,,"μπιτ,bit"
92,L06_7,meronyms - part,car,,αυτοκίνητο
93,,,,engine,μηχανή
94,,,,armrest,τεμπέλης_αυτοκινήτου
95,,,,headrest,μαξιλάρι_κεφαλιού
96,,,,grille,γρίλια
97,,,,hinge,μεντεσές
98,,,,tailpipe,πίσω_σωλήνας_εξάτμισης
99,,,,suspension,ανάρτηση
100,,,,hood,καπό
101,,,,horn,κόρνα
102,,,,hooter,κλάξον
103,,,,petrol,βενζίνη
104,,,,pintle,κοτσαδόρος
105,,,,trunk,πορτ_μπαγκάζ
106,,,,floorboard,πάτωμα
107,,,,bar,μπάρα
108,,,,gas,DUPLICATE_βενζίνη
109,,,,buffer,αμορτισέρ
110,,,,door,πόρτα
111,,,,stabilizer,σταθεροποιητής
112,,,,seat,θέση
113,,,,window,παράθυρο
114,,,,exhaust,DUPLICATE_εξάτμιση
115,,,,tailfin,πτερύγιο
116,,,,back,πίσω_μέρος
117,,,,luggage,βαλίτσα
118,,,,pedal,πεντάλ
119,,,,cowling,κάλυμμα_μηχανής
120,,,,seatbelt,ζώνη_ασφαλείας
121,,,,high,NO_TRANSLATION
122,,,,wing,DUPLICATE_πτερύγιο
123,,,,gasoline,DUPLICATE_βενζίνη
124,,,,fin,DUPLICATE_πτερύγιο
125,,,,cowl,κάλυμμα
126,,,,silencer,σιγαστήρας
127,,,,gun,όπλο
128,,,,compartment,τμήμα
129,,,,rear,DUPLICATE_πίσω_μέρος
130,,,,radiator,καλοριφέρ
131,,,,accessory,εξάρτημα
132,,,,sunroof,ηλιοροφή
133,,,,roof,οροφή
134,,,,lights,φώτα
135,,,,bumper,προφυλακτήρας
136,,,,glove,γάντι
137,,,,bag,τσάντα
138,,,,cushion,μαξιλάρι
139,,,,backrest,πλάτη
140,,,,accelerator,γκάζι
141,,,,fender,λασπωτήρας
142,,,,third,τρίτη
143,,,,throttle,DUPLICATE_γκάζι
144,,,,bonnet,DUPLICATE_καπό
145,,,,air,αέρας
146,,,,gear,ταχύτητα
147,,,,muffler,εξάτμιση
148,,,,mirror,καθρέφτης
149,,,,shock,δόνηση
150,,,,reverse,όπισθεν
151,,,,anti-sway_bar,αντιστρεπτική_μπάρα
152,,,,tail_fin,DUPLICATE_πτερύγιο
153,,,,accelerator_pedal,πεντάλ_γκαζιού
154,,,,car_seat,DUPLICATE_θέση
155,,,,automobile_horn,κόρνα_αυτοκινήτου
156,,,,anti-sway,σταμπιλιζατέρ
157,,,,automobile_engine,κινητήρας_αυτοκινήτου
158,,,,gasoline_engine,κινητήρας_βενζίνης
159,,,,car_door,πόρτα_αυτοκινήτου
160,,,,shock_absorber,DUPLICATE_αμορτισέρ
161,,,,luggage_compartment,DUPLICATE_πορτ_μπαγκάζ
162,,,,glove_compartment,ντουλαπάκι
163,,,,bumper_guard,DUPLICATE_προφυλακτήρας
164,,,,exhaust_system,σύστημα_εξάτμισης
165,,,,first_gear,πρώτη_ταχύτητα
166,,,,high_gear,υψηλή_ταχύτητα
167,,,,rear_window,πίσω_παράθυρο
168,,,,sunshine-roof,DUPLICATE_ηλιοροφή
169,,,,third_gear,τρίτη_ταχύτητα
170,,,,air_bag,αερόσακος
171,,,,doorlock,κλειδαριά_πόρτας
172,,,,petrol_engine,βενζινοκινητήρας
173,,,,automobile_trunk,πορτμπαγκάζ
174,,,,auto_accessory,αξεσουάρ_αυτοκινήτου
175,,,,inlet_manifold,πολλαπλής_εισαγωγής
176,,,,horn_button,DUPLICATE_κλάξον
177,,,,running_board,σκαλοπάτι
178,,,,stabilizer_bar,ράβδος_σταθεροποιητή
179,,,,motor_horn,κόρνα_κινητήρα
180,,,,exhaust_manifold,εξάτμιση_πολλαπλής_εξαγωγής
181,,,,exhaust_pipe,σωλήνας_εξάτμισης
182,,,,radiator_grille,μάσκα_ψυγείου
183,,,,low_gear,χαμηλή_ταχύτητα
184,,,,flexible_joint,εύκαμπτη_άρθρωση
185,,,,head_restraint,προσκέφαλο
186,,,,hood_ornament,στολίδι_για_το_καπό
187,,,,exhaust_valve,βαλβίδα_εξαγωγής
188,,,,car_mirror,καθρέφτης_αυτοκινήτου
189,,,,gas_pedal,DUPLICATE_γκάζι
190,,,,seat_belt,DUPLICATE_ζώνη_ασφαλείας
191,,,,reverse_gear,DUPLICATE_όπισθεν
192,,,,car_horn,DUPLICATE_κόρνα_αυτοκινήτου
193,,,,car_window,παράθυρο_αυτοκινήτου
194,,,,suspension_system,σύστημα_αμορτισέρ
196,,,,,"σωλήνωση_εξαγωγής,πορτμπαγκάζ"
197,L06_8,meronyms - part,castle,,κάστρο
198,,,,donjon,πύργος
199,,,,tower,DUPLICATE_πύργος
200,,,,turret,πυργίσκος
201,,,,gate,πύλη
202,,,,dungeon,μπουντρούμι
203,,,,moat,τάφρος
204,,,,keep,κεντρικός_πύργος
205,,,,great_hall,μεγάλη_αίθουσα
207,L06_9,meronyms - part,cat,,γάτα
208,,,,whiskers,μουστάκια
209,,,,coat,τρίχωμα
210,,,,paw,πατούσα
211,,,,paws,πατούσες
212,,,,fur,γούνα
213,,,,eyes,μάτια
214,,,,back,πλάτη
215,,,,claws,νύχια
216,,,,tail,ουρά
217,,,,teeth,δόντια
219,L06_10,meronyms - part,chair,,καρέκλα
220,,,,seat,κάθισμα
221,,,,armrest,μπράτσο
222,,,,headrest,προσκέφαλο
223,,,,armrests,μπράτσα
224,,,,rest,στήριγμα
225,,,,pad,μαξιλαράκι
226,,,,back,πλάτη
227,,,,leg,πόδι
228,,,,backrest,DUPLICATE_πλάτη
229,,,,legs,πόδια
231,L06_11,meronyms - part,church,,εκκλησία
232,,,,altar,αγία_τράπεζα
233,,,,choir,χορωδία
234,,,,vestry,βεστιάριο
235,,,,transept,κλίτος
236,,,,apse,θόλος
237,,,,sanctuary,ιερό
238,,,,rood,σταυρός
239,,,,screen,τέμπλο
240,,,,bema,άμβωνας
241,,,,nave,κεντρικό_κλίτος
242,,,,tower,πύργος
243,,,,sacristy,σκευοφυλάκιο
244,,,,corner,γωνία
245,,,,chancel,καμπαναριό
246,,,,amen,αμήν
247,,,,chapel,παρεκκλήσι
248,,,,apsis,αψίδα
249,,,,side,πλαϊνό
250,,,,narthex,νάρθηκας
251,,,,presbytery,πρεσβυτέριο
252,,,,side_chapel,πλευρικό_παρεκκλήσι
253,,,,lady_chapel,παρεκκλήσι_της_Παρθένου
254,,,,church_tower,πύργος_εκκλησίας
255,,,,rood_screen,DUPLICATE_τέμπλο
256,,,,amen_corner,NO_TRANSLATION
257,,,,,"πτέρυγα,κυρίως_ναός,κόγχη"
258,L06_12,meronyms - part,comb,,χτένα
259,,,,teeth,δόντια
260,,,,shaft,λαβή
261,,,,grip,DUPLICATE_λαβή
262,,,,tooth,δόντι
263,,,,handle,χειρολαβή
