,ID,Relation,Source,Target,EL
0,L08_1,synonyms - exact,airplane,,αεροπλάνο
1,,,,aeroplane,αεροσκάφος
2,,,,plane,DUPLICATE_αεροπλάνο
4,L08_2,synonyms - exact,auto,,αυτοκίνητο
5,,,,car,αμάξι
6,,,,automobile,αυτοκινούμενο
7,,,,motorcar,μηχανοκίνητο_όχημα
9,L08_3,synonyms - exact,baby,,μωρό
10,,,,infant,βρέφος
11,,,,babe,μπέμπης
12,,,,,μπέμπα
13,L08_4,synonyms - exact,bicycle,,ποδήλατο
14,,,,bike,DUPLICATE_ποδήλατο
15,,,,wheel,ρόδα
16,,,,cycle,κύκλος
18,L08_5,synonyms - exact,child,,παιδί
19,,,,kid,παιδάκι
20,,,,youngster,νεαρός
21,,,,minor,ανήλικος
22,,,,shaver,αμούστακος
23,,,,nipper,πιτσιρίκος
24,,,,small_fry,πιτσιρίκι
25,,,,tiddler,μικράκι
26,,,,tike,παιδάριο
27,,,,tyke,παιδόπουλο
28,,,,fry,μικρός
29,,,,nestling,μικρούλης
31,L08_6,synonyms - exact,cloth,,πανί
32,,,,fabric,ύφασμα
33,,,,material,υλικό
34,,,,textile,DUPLICATE_ύφασμα
36,L08_7,synonyms - exact,clothes,,ρούχα
37,,,,clothing,ένδυση
38,,,,apparel,αμφίεση
39,,,,dress,ένδυμα
41,L08_8,synonyms - exact,confused,,συγκεχυμένος
42,,,,baffled,μπερδεμένος
43,,,,befuddled,αναστατωμένος
44,,,,bemused,ανακατεμένος
45,,,,bewildered,μπλεγμένος
46,,,,confounded,σε_σύγχυση
47,,,,lost,χαμένος
48,,,,mazed,ζαλισμένος
49,,,,mixed-up,DUPLICATE_μπερδεμένος
51,L08_9,synonyms - exact,dollars,,δολάρια
52,,,,bucks,χρήματα
54,L08_10,synonyms - exact,emphasis,,έμφαση
55,,,,accent,τόνος
56,,,,accentuaion,τονισμός
57,,,,importance,σημασία
58,,,,stress,DUPLICATE_έμφαση
59,,,,significance,σπουδαιότητα
61,L08_11,synonyms - exact,father,,πατέρας
62,,,,dad,μπαμπάς
63,,,,daddy,μπαμπάκας
65,L08_12,synonyms - exact,flower,,λουλούδι
66,,,,blossom,άνθος
67,,,,bloom,λελούδι
69,L08_13,synonyms - exact,harbor,,λιμάνι
70,,,,seaport,θαλάσσιο_λιμάνι
71,,,,haven,επίνειο
72,,,,harbour,λιμένας
73,,,,,αραξοβόλι
74,L08_14,synonyms - exact,help,,βοηθάω
75,,,,aid,στηρίζω
76,,,,assist,συντρέχω
78,L08_15,synonyms - exact,hieroglyph,,ιερογλυφικό
79,,,,hieroglyphic,ιδεόγραμμα
80,,,,pictogram,εικονόγραμμα
