,ID,Relation,Source,Target,EL
0,L09_1,antonyms - gradable,able,,ικανός
1,,,,unable,ανίκανος
2,,,,incapable,άχρηστος
3,,,,incompetent,ακατάλληλος
4,,,,unequal,άνισος
6,L09_2,antonyms - gradable,abundant,,άφθονος
7,,,,scarce,σπανίζων
8,,,,rare,σπάνιος
9,,,,tight,λίγος
10,,,,meager,πενιχρός
11,,,,meagre,φτωχός
12,,,,meagerly,DUPLICATE_πενιχρός
13,,,,stingy,μίζερος
14,,,,scrimpy,ελλιπής
15,,,,insufficient,ανεπαρκής
16,,,,deficient,ελειμματικός
18,L09_3,antonyms - gradable,aware,,γνώστης
19,,,,unaware,αγνοών
20,,,,oblivious,ανίδεος
21,,,,unmindful,απρόσεκτος
22,,,,unconscious,ασυνείδητος
23,,,,unsuspecting,DUPLICATE_ανυποψίαστος
24,,,,asleep,κοιμισμένος
25,,,,insensible,αναίσθητος
26,,,,unwitting,DUPLICATE_ανυποψίαστος
27,,,,ignorant,αδαής
28,,,,indifferent,αδιάφορος
30,L09_4,antonyms - gradable,beautiful,,όμορφος
31,,,,ugly,άσχημος
32,,,,disfigured,παραμορφωμένος
33,,,,evil-looking,με_μοχθηρή_εμφάνιση
34,,,,fugly,αηδιαστικός
35,,,,grotesque,αλλόκοτος
36,,,,monstrous,τερατώδης
37,,,,hideous,φριχτός
38,,,,repulsive,αποκρουστικός
39,,,,ill-favored,κακάσχημος
40,,,,ill-favoured,DUPLICATE_κακάσχημος
41,,,,scrofulous,καταβεβλημένος
42,,,,unlovely,αντιπαθητικός
43,,,,unpicturesque,μη_γραφικός
44,,,,unsightly,αντιαισθητικός
45,,,,displeasing,δυσάρεστος
46,,,,unattractive,μη_ελκυστικός
47,,,,awkward,περίεργος
48,,,,,"γκροτέσκος,φρικτός"
49,L09_5,antonyms - gradable,big,,μεγάλος
50,,,,small,μικρός
51,,,,atomic,ατομικός
52,,,,subatomic,υποατομικός
53,,,,bantam,NO_TRANSLATION
54,,,,diminutive,μικροσκοπικός
55,,,,lilliputian,λιλιπούτειος
56,,,,midget,νάνος
57,,,,petite,πετίτ
58,,,,tiny,μικρούτσικος
59,,,,flyspeck,ασήμαντος
60,,,,bitty,μικρούλης
61,,,,bittie,DUPLICATE_μικροσκοπικός
62,,,,teensy,DUPLICATE_μικρούλης
63,,,,teentsy,DUPLICATE_μικρούλης
64,,,,teeny,DUPLICATE_μικρούλης
65,,,,wee,κούτσικος
66,,,,weeny,DUPLICATE_κούτσικος
67,,,,weensy,DUPLICATE_κούτσικος
68,,,,teensy-weensy,DUPLICATE_κούτσικος
69,,,,teeny-weeny,DUPLICATE_κούτσικος
70,,,,itty-bitty,DUPLICATE_κούτσικος
71,,,,itsy-bitsy,DUPLICATE_κούτσικος
72,,,,dinky,τοσοδούλικος
73,,,,dwarfish,DUPLICATE_νάνος
74,,,,elfin,μικροσκοπικός_και_χαριτωμένος
75,,,,elflike,ξωτικός
76,,,,gnomish,DUPLICATE_μικρός
77,,,,half-size,μισού_μεγέθους
78,,,,infinitesimal,απειροελάχιστος
79,,,,minute,λεπτός
80,,,,lesser,λιγότερος_από
81,,,,microscopic,DUPLICATE_μικροσκοπικός
82,,,,microscopical,DUPLICATE_μικροσκοπικός
83,,,,micro,μικρο
84,,,,miniature,μινιατούρα
85,,,,minuscule,DUPLICATE_μικροσκοπικός
86,,,,miniscule,DUPLICATE_μικροσκοπικός
87,,,,olive-sized,σε_μέγεθος_ελιάς
88,,,,pocket-size,σε_μέγεθος_τσέπης
89,,,,pocket-sized,μεγέθους_τσέπης
90,,,,pocketable,που_χωράει_στην_τσέπη
91,,,,puny,πενιχρός
