,ID,Relation,Source,Target,EL
0,L10_1,antonyms - binary,after,,μετά
1,,,,before,πριν_από
2,,,,earlier,νωρίτερα
3,,,,previously,προηγουμένως
5,L10_2,antonyms - binary,ahead,,εμπρός
6,,,,behind,πίσω_από
7,,,,rear,πίσω
8,,,,after,μετά
9,,,,tail,NO_TRANSLATION
10,,,,beforehand,πριν
12,L10_3,antonyms - binary,anterior,,πρόσθιος
13,,,,posterior,οπίσθιος
15,L10_4,antonyms - binary,backward,,προς_τα_πίσω
16,,,,forward,προς_τα_μπρος
17,,,,forwards,DUPLICATE_προς_τα_εμπρός
18,,,,frontward,προς_τα_μπροστά
19,,,,frontwards,DUPLICATE_προς_τα_εμπρός
20,,,,forrad,DUPLICATE_προς_τα_εμπρός
21,,,,forrard,DUPLICATE_προς_τα_εμπρός
22,,,,forth,εμπρός
23,,,,onward,προς_τα_εμπρός
25,L10_5,antonyms - binary,before,,πριν
26,,,,after,μετά
27,,,,subsequently,στη_συνέχεια
28,,,,later,αργότερα
29,,,,afterwards,έπειτα
30,,,,afterward,κατόπιν
31,,,,ahead,ύστερα
33,L10_6,antonyms - binary,beginning,,αρχή
34,,,,end,τέλος
35,,,,terminal,τερματικό
36,,,,ending,τέλειωμα
37,,,,last,τελευταίο
38,,,,final,τελικό
39,,,,finish,τέρμα
40,,,,finale,φινάλε
41,,,,conclusion,συμπέρασμα
43,L10_7,antonyms - binary,below,,κάτω
44,,,,above,πάνω
45,,,,higher,ψηλότερα
46,,,,up,ψηλά
48,L10_8,antonyms - binary,climb,,ανέβασμα
49,,,,descend,κατέβασμα
50,,,,declivitous,κατηφορικός
51,,,,downhill,κατηφόρα
52,,,,downward-sloping,με_κλίση_προς_τα_κάτω
53,,,,degressive,φθίνων
54,,,,descendant,κατερχόμενος
55,,,,descendent,DUPLICATE_κατερχόμενος
56,,,,down,κάτω
57,,,,downward,προς_τα_κάτω
58,,,,downward-arching,DUPLICATE_προς_τα_κάτω
59,,,,drizzling,ψιλόβροχο
60,,,,dropping,που_πέφτει
