,ID,Relation,Source,Target,ES
0,L01_1,hypernyms - animals,allosaurus,,alosaurio
1,,,,dinosaur,dinosaurio
2,,,,reptile,reptil
3,,,,bird,pájaro
4,,,,archosaur,arcosaurio
5,,,,archosaurian,arcosauria
6,,,,archosaurian_reptile,reptil_arcosauria
8,L01_2,hypernyms - animals,anaconda,,anaconda
9,,,,snake,serpiente
10,,,,reptile,reptil
11,,,,boa,boa
12,,,,serpent,víbora
13,,,,ophidian,ofidio
15,L01_3,hypernyms - animals,ant,,hormiga
16,,,,insect,insecto
17,,,,invertebrate,invertebrado
18,,,,creature,criatura
19,,,,beast,bestia
20,,,,hymenopteran,himenóptero
21,,,,being,ser
22,,,,animal,animal
23,,,,organism,organismo
24,,,,fauna,fauna
25,,,,arthropod,artrópodo
26,,,,hymenopterous_insect,insecto_himenóptero
27,,,,animate_being,ser_animado
28,,,,physical_hymenopteron,NO_TRANSLATION
29,,,,physical_entity,entidad_física
30,,,,hymenopter,DUPLICATE_himenóptero
31,,,,living_thing,ser_vivo
32,,,,,insecto_eusocial
33,L01_4,hypernyms - animals,beaver,,castor
34,,,,rodent,roedor
35,,,,vertebrate,vertebrado
36,,,,creature,criatura
37,,,,beast,bestia
38,,,,animal,animal
39,,,,organism,organismo
40,,,,fauna,fauna
41,,,,placental,placentario
42,,,,chordate,cordado
43,,,,eutherian,euterio
44,,,,mammal,mamífero
45,,,,mammalian,DUPLICATE_mamífero
46,,,,eutherian_mammal,mamífero_euterio
47,,,,gnawer,DUPLICATE_roedor
48,,,,animate_being,ser_animado
49,,,,living_thing,ser_vivo
50,,,,placental_mammal,mamífero_placentario
51,,,,craniate,craneado
53,L01_5,hypernyms - animals,bee,,abeja
54,,,,insect,insecto
55,,,,invertebrate,invertebrado
56,,,,creature,criatura
57,,,,beast,bestia
58,,,,hymenopteran,himenóptero
59,,,,being,ser
60,,,,animal,animal
61,,,,organism,organismo
62,,,,fauna,fauna
63,,,,arthropod,artrópodo
64,,,,hymenopterous_insect,insecto_himenóptero
65,,,,animate_being,ser_animado
66,,,,hymenopteron,DUPLICATE_himenóptero
67,,,,hymenopter,DUPLICATE_himenóptero
68,,,,living_thing,ser_vivo
70,,,,,"bicho,insecto_volador"
71,L01_6,hypernyms - animals,beetle,,escarabajo
72,,,,insect,insecto
73,,,,invertebrate,invertebrado
74,,,,creature,criatura
75,,,,beast,bestia
76,,,,being,ser
77,,,,animal,animal
78,,,,organism,organismo
79,,,,fauna,fauna
80,,,,arthropod,artrópodo
81,,,,animate_being,ser_animado
82,,,,living_thing,ser_vivo
83,,,,,bicho
