,ID,Relation,Source,Target,ES
0,L02_1,hypernyms - misc,armchair,,butaca
1,,,,chair,silla
2,,,,seat,asiento
3,,,,piece_of_furniture,pieza_de_mobiliario
4,,,,article_of_furniture,artículo_de_mobiliario
5,,,,furnishing,mobiliario
6,,,,artifact,artefacto
7,,,,artefact,DUPLICATE_artefacto
8,,,,unit,unidad
9,,,,object,objeto
10,,,,physical_object,objeto_físico
11,,,,physical_entity,entidad_física
12,,,,entity,entidad
13,,,,,chechere
14,L02_2,hypernyms - misc,blender,,batidora
15,,,,appliance,electrodoméstico
16,,,,mixer,mezclador
17,,,,kitchen_utensil,utensilio_de_cocina
18,,,,utensil,utensilio
19,,,,implement,accesorio
20,,,,artifact,artefacto
21,,,,artefact,DUPLICATE_artefacto
22,,,,unit,unidad
23,,,,object,objeto
24,,,,physical_object,objeto_físico
25,,,,physical_entity,entidad_física
26,,,,entity,entidad
27,,,,,"instrumento,chechere"
28,L02_3,hypernyms - misc,bracelet,,brazalete
29,,,,jewelry,joyería
30,,,,band,cinta
31,,,,strip,tira
32,,,,slip,pulsera
33,,,,artifact,artefacto
34,,,,artefact,DUPLICATE_artefacto
35,,,,unit,unidad
36,,,,object,objeto
37,,,,physical_object,objeto_físico
38,,,,physical_entity,entidad_física
39,,,,entity,entidad
40,,,,jewellery,DUPLICATE_joyería
41,,,,adornment,adorno
42,,,,decoration,decoración
43,,,,ornament,ornamento
44,,,,ornamentation,ornamentación
45,,,,,chechere
46,L02_4,hypernyms - misc,brooch,,broche
47,,,,jewelry,joyería
48,,,,jewellery,DUPLICATE_joyería
49,,,,adornment,adorno
50,,,,decoration,decoración
51,,,,ornament,ornamento
52,,,,ornamentation,ornamentación
53,,,,artifact,artefacto
54,,,,artefact,DUPLICATE_artefacto
55,,,,unit,unidad
56,,,,object,objeto
57,,,,physical_object,objeto_físico
58,,,,,"joya,chechere"
59,L02_5,hypernyms - misc,cake,,tarta
60,,,,dessert,postre
61,,,,baked_goods,repostería
62,,,,food,comida
63,,,,solid_food,comida_sólida
64,,,,course,plato
65,,,,nutriment,nutriente
66,,,,nourishment,alimentación
67,,,,nutrition,nutrición
68,,,,sustenance,sustento
69,,,,aliment,alimento
70,,,,alimentation,DUPLICATE_alimentación
71,,,,victuals,víveres
72,,,,nutrient,DUPLICATE_nutriente
73,,,,substance,substancia
74,,,,matter,materia
75,,,,physical_entity,entidad_física
76,,,,entity,entidad
77,,,,,"cosa,dulce,comestible,nutrimento"
78,L02_6,hypernyms - misc,computer,,ordenador
79,,,,device,dispositivo
80,,,,machine,máquina
81,,,,gadget,aparato
82,,,,artifact,artefacto
83,,,,artefact,DUPLICATE_artefacto
84,,,,unit,unidad
85,,,,object,objeto
86,,,,physical_object,objeto_físico
87,,,,physical_entity,entidad_física
88,,,,entity,entidad
89,,,,expert,experto
90,,,,person,persona
91,,,,individual,individuo
92,,,,someone,alguien
93,,,,somebody,alguna_persona
94,,,,mortal,mortal
95,,,,soul,alma
96,,,,causal_agent,agente_causal
97,,,,cause,causa
98,,,,causal_agency,NO_TRANSLATION
99,,,,organism,organismo
100,,,,being,ser
101,,,,living_thing,ser_vivo
102,,,,animate_thing,ser_animado
103,,,,,chechere
104,L02_7,hypernyms - misc,croissant,,cruasán
105,,,,pastry,pasta
106,,,,bun,bollo
107,,,,roll,rollito
108,,,,bread,pan
109,,,,breadstuff,artículo_de_panadería
110,,,,staff_of_life,staff_of_life
111,,,,baked_goods,repostería
112,,,,starches,almidones
113,,,,food,comida
114,,,,solid_food,comida_sólida
115,,,,foodstuff,artículo_de_alimentación
116,,,,food_product,producto_alimenticio
117,,,,solid,sólido
118,,,,nutrient,nutriente
119,,,,matter,materia
120,,,,substance,sustancia
121,,,,physical_entity,entidad_física
122,,,,entity,entidad
123,,,,,chechere
124,L02_8,hypernyms - misc,cup,,taza
125,,,,tableware,servicio_de_mesa
126,,,,crockery,DUPLICATE_vajilla
127,,,,dishware,vajilla
128,,,,ware,mantelería
129,,,,article,article
130,,,,artifact,artefacto
131,,,,artefact,DUPLICATE_artefacto
132,,,,unit,unidad
133,,,,object,objeto
134,,,,physical_object,objeto_físico
135,,,,physical_entity,entidad_física
136,,,,entity,entidad
137,,,,container,contenedor
138,,,,,chechere
139,L02_9,hypernyms - misc,denim,,vaquero
140,,,,fabric,tela
141,,,,cloth,tejido
142,,,,material,material
143,,,,textile,textil
144,,,,artifact,artefacto
145,,,,artefact,DUPLICATE_artefacto
146,,,,unit,unidad
147,,,,object,objeto
148,,,,physical_object,objeto_físico
149,,,,physical_entity,entidad_física
150,,,,entity,entidad
151,,,,garment,prenda
152,,,,clothing,ropa
153,,,,article_of_clothing,artículo_de_vestimenta
154,,,,vesture,vestimenta
155,,,,wear,llevar
156,,,,wearable,llevable
157,,,,habiliment,habilitado
158,,,,consumer_goods,bienes_de_consumo
159,,,,covering,cubierta
160,,,,commodity,comodidad
161,,,,trade_good,bien_de_comercio
162,,,,good,bien
163,,,,,chechere
164,L02_10,hypernyms - misc,deodorant,,desodorante
165,,,,toiletry,artículo_de_aseo
166,,,,toilet_articles,artículos_de_aseo
167,,,,artifact,artefacto
168,,,,artefact,DUPLICATE_artefacto
169,,,,unit,unidad
170,,,,object,objeto
171,,,,physical_object,objeto_físico
172,,,,physical_entity,entidad_física
173,,,,entity,entidad
175,L02_11,hypernyms - misc,desk,,escritorio
176,,,,furniture,muebles
177,,,,table,mesa
178,,,,piece_of_furniture,pieza_de_mobiliario
179,,,,article_of_furniture,artículo_de_mobiliario
180,,,,furnishing,mobiliario
181,,,,artifact,artefacto
182,,,,artefact,DUPLICATE_artefacto
183,,,,unit,unidad
184,,,,object,objeto
185,,,,physical_object,objeto_físico
186,,,,physical_entity,entidad_física
187,,,,entity,entidad
188,,,,,chechere
189,L02_12,hypernyms - misc,diary,,diario
190,,,,journal,cuaderno_diario
191,,,,writing,escritura
192,,,,written_material,material_escrito
193,,,,piece_of_writing,fragmento
194,,,,written_communication,comunicación_escrita
195,,,,written_language,lenguaje_escrito
196,,,,black_and_white,blanco_y_negro
197,,,,communication,comunicación
198,,,,abstraction,abstracción
199,,,,abstract_entity,entidad_abstracta
200,,,,entity,entidad
201,,,,book,libro
202,,,,volume,volumen
203,,,,product,producto
204,,,,production,producción
205,,,,creation,creación
206,,,,artifact,artefacto
207,,,,artefact,DUPLICATE_artefacto
