,ID,Relation,Source,Target,ES
0,L05_1,meronyms - member,acrobat,,acróbata_
1,,,,troupe,compañía_de_circo
3,L05_2,meronyms - member,antelope,,antílope
4,,,,herd,manada
6,L05_3,meronyms - member,bee,,abeja
7,,,,swarm,enjambre
8,,,,hive,colmena
9,,,,colony,colonia
10,,,,drift,NO_TRANSLATION
11,,,,cast,enjambre_pequeño
12,,,,nest,nido
13,,,,rabble,DUPLICATE_enjambre
14,,,,stand,colmenar
15,,,,,apiario
16,L05_4,meronyms - member,bird,,pájaro
17,,,,flock,bandada
19,L05_5,meronyms - member,book,,libro
20,,,,library,biblioteca
21,,,,shelf,estantería
22,,,,collection,colección
23,,,,accounting,contabilidad
24,,,,accounting_system,método_contable
25,,,,method_of_accounting,método_de_contabilizar
27,L05_6,meronyms - member,calf,,ternero
28,,,,cattle,ganado
29,,,,herd,rebaño
31,L05_7,meronyms - member,car,,coche
32,,,,train,tren
33,,,,procession,procesión
35,L05_8,meronyms - member,cat,,gato
36,,,,clowder,grupo_de_gatos
37,,,,glaring,NO_TRANSLATION
38,,,,clutter,colonia
39,,,,pounce,colonia_de_gatos
40,,,,,colonia_felina
41,L05_9,meronyms - member,cattle,,ganado
42,,,,herd,rebaño
44,L05_10,meronyms - member,christian,,cristiano
45,,,,congregation,congregación
46,,,,church,iglesia
47,,,,parish,parroquia
49,L05_11,meronyms - member,citizen,,ciudadano
50,,,,citizenry,ciudadanía
51,,,,country,país
52,,,,state,estado
54,L05_12,meronyms - member,college,,facultad
55,,,,university,universidad
57,L05_13,meronyms - member,county,,condado
58,,,,state,estado
59,,,,country,país
61,L05_14,meronyms - member,cow,,vaca
62,,,,herd,rebaño
64,L05_15,meronyms - member,crow,,cuervo
65,,,,murder,parvada
67,L05_16,meronyms - member,division,,división
68,,,,company,compañía
69,,,,business,negocio
70,,,,platoon,army
71,,,,battle_group,grupo_de_combate
73,L05_17,meronyms - member,elephant,,elefante
74,,,,herd,manada
76,L05_18,meronyms - member,employee,,empleado
77,,,,staff,personal
78,,,,company,compañía
80,L05_19,meronyms - member,fish,,pez
81,,,,school,banco
83,L05_20,meronyms - member,flower,,flor
84,,,,bouquet,ramo
85,,,,bunch,ramillete
87,L05_21,meronyms - member,galaxy,,galaxia
88,,,,universe,universo
90,L05_22,meronyms - member,goose,,ganso
91,,,,gaggle,bandada
93,L05_23,meronyms - member,juror,,miembro_del_jurado
94,,,,jury,jurado
96,L05_24,meronyms - member,kitten,,gato
97,,,,litter,camada
99,L05_25,meronyms - member,letter,,letra
100,,,,alphabet,alfabeto
102,L05_26,meronyms - member,lion,,león
103,,,,pride,manada
105,L05_27,meronyms - member,listener,,oyente
106,,,,audience,audiencia
108,L05_28,meronyms - member,member,,miembro
109,,,,club,club
110,,,,team,equipo
111,,,,group,grupo
112,,,,band,banda
113,,,,community,comunidad
115,L05_29,meronyms - member,musician,,músico
116,,,,orchestra,orquesta
117,,,,band,banda
119,L05_30,meronyms - member,nomad,,nómada
120,,,,horde,horda
122,L05_31,meronyms - member,page,,página
123,,,,book,libro
124,,,,notebook,libreta
125,,,,website,página_web
126,,,,web-site,DUPLICATE_página_web
128,L05_32,meronyms - member,parishioner,,párroco
129,,,,parish,parroquia
130,,,,church,iglesia
132,L05_33,meronyms - member,person,,persona
133,,,,society,sociedad
134,,,,company,compañía
135,,,,party,partido
136,,,,world,mundo
138,L05_34,meronyms - member,photo,,fotografía
139,,,,album,álbum
140,,,,collection,colección
141,,,,library,librería
143,L05_35,meronyms - member,player,,jugador
144,,,,team,equipo
145,,,,group,grupo
146,,,,orchestra,NO_TRANSLATION
147,,,,,club_deportivo
148,L05_36,meronyms - member,policeman,,policía
149,,,,police,cuerpo_de_policía
151,L05_37,meronyms - member,secretary,,secretaria
152,,,,staff,personal
154,L05_38,meronyms - member,senator,,senador
155,,,,senate,senado
156,,,,house,congreso
158,L05_39,meronyms - member,sheep,,oveja
159,,,,flock,rebaño
161,L05_40,meronyms - member,shrub,,arbusto
162,,,,shrubbery,matorral
164,L05_41,meronyms - member,singer,,cantante
165,,,,choir,coro
166,,,,band,banda
167,,,,duo,duo
168,,,,trio,trio
169,,,,quartet,cuarteto
171,L05_42,meronyms - member,soldier,,soldado
172,,,,army,ejército
173,,,,unit,unidad
174,,,,division,división
175,,,,troop,tropa
177,L05_43,meronyms - member,song,,canción
178,,,,album,álbum
179,,,,collection,colección
180,,,,antology,antología
181,,,,library,biblioteca
183,L05_44,meronyms - member,spouse,,esposa
184,,,,couple,pareja
185,,,,relationship,relación
186,,,,family,familia
188,L05_45,meronyms - member,star,,estrella
189,,,,constellation,constelación
190,,,,galaxy,galaxia
192,L05_46,meronyms - member,state,,estado
193,,,,country,país
194,,,,province,NO_TRANSLATION
195,,,,,condado
196,L05_47,meronyms - member,student,,estudiante
197,,,,class,clase
198,,,,school,colegio
200,L05_48,meronyms - member,tree,,árbol
201,,,,forest,bosque
202,,,,wood,DUPLICATE_bosque
203,,,,grove,arboleda
204,,,,,selva
205,L05_49,meronyms - member,wolf,,lobo
206,,,,pack,manada
208,L05_50,meronyms - member,word,,palabra
209,,,,paragraph,párrafo
210,,,,sentence,frase
211,,,,text,texto
