,ID,Relation,Source,Target,ES
0,L06_1,meronyms - part,academia,,academia
1,,,,college,universidad
2,,,,university,DUPLICATE_universidad
3,,,,institute,instituto
4,,,,,escuela
5,L06_2,meronyms - part,apartment,,apartamento
6,,,,bedroom,dormitorio
7,,,,room,habitación
8,,,,bathroom,cuarto_de_baño
9,,,,kitchen,cocina
10,,,,kitchenette,DUPLICATE_cocina
11,,,,living_room,sala_de_estar
12,,,,pantry,despensa
13,,,,toilet,aseo
14,,,,shower_room,cuarto_de_ducha
15,,,,,vestidor
16,L06_3,meronyms - part,bird,,pájaro
17,,,,feathers,plumas
18,,,,plume,penacho
19,,,,preen,NO_TRANSLATION
20,,,,croup,grupa
21,,,,calamus,cálamo
22,,,,fowl,ave
23,,,,drumstick,muslito
24,,,,syrinx,siringe
25,,,,bill,DUPLICATE_NO_TRANSLATION
26,,,,rump,DUPLICATE_grupa
27,,,,vane,veleta
28,,,,barb,barba
29,,,,quill,pluma_escribir
30,,,,shaft,eje
31,,,,pecker,pájaro_carpintero
32,,,,pennon,cañón
33,,,,feet,pies
34,,,,giblets,menudencias
35,,,,alula,alula
36,,,,talon,garra
37,,,,foot,pie
38,,,,pinion,piñón
39,,,,wing,ala
40,,,,wishbone,espina_dorsal
41,,,,nib,plumilla
42,,,,sac,saco
43,,,,giblet,menudillo
44,,,,furcula,fúrcula
45,,,,bird,DUPLICATE_pájaro
46,,,,neb,DUPLICATE_pico
47,,,,feather,pluma
48,,,,gland,glándula
49,,,,oyster,ostra
50,,,,thigh,muslo
51,,,,plumage,plumaje
52,,,,web,telaraña
53,,,,hindquarters,cuartos_traseros
54,,,,beak,pico
55,,,,parson's_nose,nariz_de_parson
56,,,,wishing_bone,hueso_de_los_deseos
57,,,,pope's_nose,nariz_del_papa
58,,,,spurious_wing,álula
59,,,,bastard_wing,DUPLICATE_álula
60,,,,croupe,DUPLICATE_grupa
61,,,,air_sac,saco_de_aire
62,,,,quill_feather,pluma_del_plumín
63,,,,uropygium,uropygium
64,,,,bird's_foot,pie_de_ave
65,,,,uropygial,DUPLICATE_uropygium
66,,,,second_joint,segunda_articulación
67,,,,uropygial_gland,glándula_uropigial
68,,,,preen_gland,glándula_de_preen
69,,,,flight_feather,pluma_de_vuelo
70,,,,dark_meat,carne_oscura
71,,,,,"píleo,bigotera,obispillo,manto,escapulares,dedos,área_cloacal,nuca"
72,L06_4,meronyms - part,brush,,cepillo
73,,,,bristle,cerda
74,,,,hold,mango
75,,,,shank,cuello
76,,,,grip,agarre
77,,,,handgrip,empuñadura
78,,,,handle,DUPLICATE_mango
79,,,,head,cabezal
80,,,,stem,cabo
81,,,,,filamento
82,L06_5,meronyms - part,bus,,autobus
83,,,,seats,asiento
84,,,,conductor,conductor
85,,,,window,ventana
86,,,,driver,DUPLICATE_conductor
87,,,,roof,techo
88,,,,,rueda
89,L06_6,meronyms - part,byte,,byte
90,,,,bit,bit
92,L06_7,meronyms - part,car,,coche
93,,,,engine,motor
94,,,,armrest,reposa_brazos
95,,,,headrest,reposacabezas
96,,,,grille,rejilla
97,,,,hinge,bisagra
98,,,,tailpipe,tubo_de_escape
99,,,,suspension,suspensión
100,,,,hood,capó
101,,,,horn,bocina
102,,,,hooter,claxon
103,,,,petrol,gasolina
104,,,,pintle,pivote
105,,,,trunk,maletero
106,,,,floorboard,cubre_suelos
107,,,,bar,barra
108,,,,gas,gas
109,,,,buffer,búfer
110,,,,door,puerta
111,,,,stabilizer,estabilizador
112,,,,seat,asiento
113,,,,window,ventana
114,,,,exhaust,escape
115,,,,tailfin,alero_trasero
116,,,,back,parte_de_atrás
117,,,,luggage,equipaje
118,,,,pedal,pedal
119,,,,cowling,carenado
120,,,,seatbelt,cinturón_de_seguridad
121,,,,high,NO_TRANSLATION
122,,,,wing,ala
123,,,,gasoline,DUPLICATE_gasolina
124,,,,fin,alero
125,,,,cowl,capota
126,,,,silencer,silenciador
127,,,,gun,DUPLICATE_NO_TRANSLATION
128,,,,compartment,compartimiento
129,,,,rear,trasero
130,,,,radiator,radiador
131,,,,accessory,accesorio
132,,,,sunroof,techo_solar
133,,,,roof,techo
134,,,,lights,luces
135,,,,bumper,parachoques
136,,,,glove,guante
137,,,,bag,bolsa
138,,,,cushion,cojín
139,,,,backrest,respaldo
140,,,,accelerator,acelerador
141,,,,fender,guardabarros
142,,,,third,tercera
143,,,,throttle,DUPLICATE_acelerador
144,,,,bonnet,DUPLICATE_capó
145,,,,air,aire
146,,,,gear,engranaje
147,,,,muffler,DUPLICATE_silenciador
148,,,,mirror,espejo
149,,,,shock,amortiguador
150,,,,reverse,marcha_atrás
151,,,,anti-sway_bar,barra_estabilizadora
152,,,,tail_fin,DUPLICATE_alero_trasero
153,,,,accelerator_pedal,pedal_acelerador
154,,,,car_seat,asiento_de_coche
155,,,,automobile_horn,claxon_del_coche
156,,,,anti-sway,antibalanceo
157,,,,automobile_engine,motor_del_automóvil
158,,,,gasoline_engine,motor_de_gasolina
159,,,,car_door,puerta_del_automóvil
160,,,,shock_absorber,DUPLICATE_amortiguador
161,,,,luggage_compartment,compartimento_de_maletas
162,,,,glove_compartment,compartimento_de_guantes
163,,,,bumper_guard,protector_de_parachoques
164,,,,exhaust_system,sistema_de_escape
165,,,,first_gear,primera_marcha
166,,,,high_gear,marcha_alta
167,,,,rear_window,ventanilla_trasera
168,,,,sunshine-roof,techo_descapotable
169,,,,third_gear,tercera_marcha
170,,,,air_bag,airbag
171,,,,doorlock,cierre_de_puertas
172,,,,petrol_engine,DUPLICATE_motor_de_gasolina
173,,,,automobile_trunk,maletero_del_automóvil
174,,,,auto_accessory,accesorio_de_automóvil
175,,,,inlet_manifold,manivela_de_entrada
176,,,,horn_button,botón_claxón
177,,,,running_board,estribo
178,,,,stabilizer_bar,DUPLICATE_barra_estabilizadora
179,,,,motor_horn,cuerno_del_motor
180,,,,exhaust_manifold,DUPLICATE_tubo_de_escape
181,,,,exhaust_pipe,DUPLICATE_tubo_de_escape
182,,,,radiator_grille,rejilla_del_radiador
183,,,,low_gear,engranaje_bajo
184,,,,flexible_joint,junta_flexible
185,,,,head_restraint,DUPLICATE_reposacabezas
186,,,,hood_ornament,orificio_del_capó
187,,,,exhaust_valve,válvula_de_escape
188,,,,car_mirror,espejo_de_coche
189,,,,gas_pedal,DUPLICATE_pedal_acelerador
190,,,,seat_belt,DUPLICATE_cinturón_de_seguridad
191,,,,reverse_gear,DUPLICATE_marcha_atrás
192,,,,car_horn,bocina_del_coche
193,,,,car_window,ventanilla_del_coche
194,,,,suspension_system,sistema_de_suspensión
196,,,,,"tapacubos,limpiaparabrisas,retrovisor,intermitente,faro"
197,L06_8,meronyms - part,castle,,castillo
198,,,,donjon,torre_del_homenaje
199,,,,tower,torre
200,,,,turret,torreta
