,ID,Relation,Source,Target,ES
0,L08_1,synonyms - exact,airplane,,aeroplano
1,,,,aeroplane,aeronave
2,,,,plane,avión
4,L08_2,synonyms - exact,auto,,auto
5,,,,car,coche
6,,,,automobile,automovil
7,,,,motorcar,motocarro
9,L08_3,synonyms - exact,baby,,bebé
10,,,,infant,infante
11,,,,babe,nene
13,L08_4,synonyms - exact,bicycle,,bicicleta
14,,,,bike,bici
15,,,,wheel,rueda
16,,,,cycle,ciclo
18,L08_5,synonyms - exact,child,,niño
19,,,,kid,crio
20,,,,youngster,joven
21,,,,minor,menor
22,,,,shaver,imberbe
23,,,,nipper,cosita
24,,,,small_fry,bichito
25,,,,tiddler,niñito
26,,,,tike,peque
27,,,,tyke,pequeño
28,,,,fry,nene
29,,,,nestling,chico
31,L08_6,synonyms - exact,cloth,,ropa
32,,,,fabric,tela
33,,,,material,material
34,,,,textile,textil
36,L08_7,synonyms - exact,clothes,,vestuario
37,,,,clothing,ropas
38,,,,apparel,indumentaria
39,,,,dress,vestido
41,L08_8,synonyms - exact,confused,,confuso
42,,,,baffled,desconcertado
43,,,,befuddled,aturdido
44,,,,bemused,en_las_musarañas
45,,,,bewildered,en_las_nubes
46,,,,confounded,confundido
47,,,,lost,perdido
48,,,,mazed,desubicado
49,,,,mixed-up,hecho_un_lio
51,L08_9,synonyms - exact,dollars,,dolares
52,,,,bucks,perras
54,L08_10,synonyms - exact,emphasis,,énfasis
55,,,,accent,acento
56,,,,accentuaion,acentuación
57,,,,importance,importancia
58,,,,stress,subrayado
59,,,,significance,significancia
61,L08_11,synonyms - exact,father,,padre
62,,,,dad,papá
63,,,,daddy,papi
65,L08_12,synonyms - exact,flower,,flor
66,,,,blossom,floración
67,,,,bloom,florecer
69,L08_13,synonyms - exact,harbor,,puerto
70,,,,seaport,puerto_marino
71,,,,haven,DUPLICATE_puerto
72,,,,harbour,DUPLICATE_puerto
74,L08_14,synonyms - exact,help,,ayudar
75,,,,aid,echar_una_mano
76,,,,assist,asistir
78,L08_15,synonyms - exact,hieroglyph,,jeroglífico
79,,,,hieroglyphic,DUPLICATE_jeroglífico
80,,,,pictogram,pictograma
82,L08_16,synonyms - exact,homogeneous,,homogéneo
83,,,,uniform,uniforme
84,,,,unvarying,invariante
86,L08_17,synonyms - exact,honest,,honesto
87,,,,sincere,sincero
88,,,,ingenuous,ingenuo
89,,,,True,verdadero
90,,,,direct,directo
91,,,,truthful,de_verdad
93,L08_18,synonyms - exact,identical,,idéntico
94,,,,same,mismo
95,,,,indistinguishable,indistinguible
97,L08_19,synonyms - exact,incorrect,,incorrecto
98,,,,wrong,mal
99,,,,counterfactual,contrafactual
100,,,,erroneous,erróneo
101,,,,inaccurate,impreciso
102,,,,specious,engañoso
103,,,,unsound,inconsistente
104,,,,untrue,falso
