,ID,Relation,Source,Target,ES
0,L09_1,antonyms - gradable,able,,capaz
1,,,,unable,inepto
2,,,,incapable,incapaz
3,,,,incompetent,incompetente
4,,,,unequal,desigual
6,L09_2,antonyms - gradable,abundant,,abundante
7,,,,scarce,escaso
8,,,,rare,raro
9,,,,tight,prieto
10,,,,meager,pobre
11,,,,meagre,exiguo
12,,,,meagerly,flaco
13,,,,stingy,tacaño
14,,,,scrimpy,avaro
15,,,,insufficient,insuficiente
16,,,,deficient,deficiente
18,L09_3,antonyms - gradable,aware,,consciente
19,,,,unaware,inconsciente
20,,,,oblivious,inadvertido
21,,,,unmindful,distraído
22,,,,unconscious,DUPLICATE_inconsciente
23,,,,unsuspecting,irreflexivo
24,,,,asleep,apático
25,,,,insensible,insensible
26,,,,unwitting,involuntario
27,,,,ignorant,ignorante
28,,,,indifferent,indiferente
29,,,,,"insensato,olvidadizo,desconsiderado,adormilado"
30,L09_4,antonyms - gradable,beautiful,,bello
31,,,,ugly,feo
32,,,,disfigured,desfigurado
33,,,,evil-looking,malvado
34,,,,fugly,de_mal_ver
35,,,,grotesque,grotesco
36,,,,monstrous,mostruoso
37,,,,hideous,horrible
38,,,,repulsive,repulsivo
39,,,,ill-favored,desfavorecido
40,,,,ill-favoured,DUPLICATE_desfavorecido
41,,,,scrofulous,escrofuloso
42,,,,unlovely,desgarbado
43,,,,unpicturesque,poco_agraciado
44,,,,unsightly,antiestético
45,,,,displeasing,desagradable
46,,,,unattractive,poco_atractivo
47,,,,awkward,raro
48,,,,,repugnante
49,L09_5,antonyms - gradable,big,,grande
50,,,,small,pequeño
51,,,,atomic,atómico
52,,,,subatomic,subatómico
53,,,,bantam,NO_TRANSLATION
54,,,,diminutive,diminuto
55,,,,lilliputian,liliputiense
56,,,,midget,enano
57,,,,petite,DUPLICATE_pequeño
58,,,,tiny,minúsculo
59,,,,flyspeck,cagadita
60,,,,bitty,pequeñísimo
61,,,,bittie,DUPLICATE_pequeñísimo
62,,,,teensy,chico
63,,,,teentsy,DUPLICATE_chico
64,,,,teeny,DUPLICATE_chico
65,,,,wee,pequeñito
66,,,,weeny,DUPLICATE_pequeñito
67,,,,weensy,DUPLICATE_pequeñito
68,,,,teensy-weensy,DUPLICATE_pequeñito
69,,,,teeny-weeny,DUPLICATE_pequeñito
70,,,,itty-bitty,DUPLICATE_pequeñito
71,,,,itsy-bitsy,DUPLICATE_pequeñito
72,,,,dinky,DUPLICATE_pequeñito
73,,,,dwarfish,persona_enana
74,,,,elfin,elfo
75,,,,elflike,parecido_a_un_elfo
76,,,,gnomish,gnomo
77,,,,half-size,medio_hombre
78,,,,infinitesimal,infinitesimal
79,,,,minute,menudo
80,,,,lesser,apocado
81,,,,microscopic,microscópico
82,,,,microscopical,DUPLICATE_microscópico
83,,,,micro,micro
84,,,,miniature,miniatura
85,,,,minuscule,DUPLICATE_minúsculo
86,,,,miniscule,DUPLICATE_minúsculo
87,,,,olive-sized,del_tamaño_de_una_oliva
88,,,,pocket-size,tamaño_de_bolsillo
89,,,,pocket-sized,DUPLICATE_tamaño_de_bolsillo
90,,,,pocketable,DUPLICATE_tamaño_de_bolsillo
91,,,,puny,insignificante
92,,,,runty,enclenque
93,,,,shrimpy,DUPLICATE_pequeñito
94,,,,slender,endeble
95,,,,slim,delgado
96,,,,smaller,más_pequeño_que
97,,,,littler,más_pequeño
98,,,,smallish,pequeñajo
99,,,,small-scale,pequeña_escala
100,,,,undersize,de_poco_tamaño
101,,,,undersized,DUPLICATE_de_poco_tamaño
102,,,,,"canijo,reduc,ido,desdeñable,ínfimo,irrisorio,chiquitín,chiquitajo,chiquito,parvo,exiguo,reducido"
103,L09_6,antonyms - gradable,bright,,brillante
104,,,,pale,pálido
105,,,,colorless,incoloro
106,,,,colourless,DUPLICATE_incoloro
107,,,,dull,sin_brillo
108,,,,neutral,neutro
109,,,,white,blanco
110,,,,bleached,decolorado
111,,,,faded,descolorido
112,,,,washed-out,desgastado
113,,,,washy,lavado
114,,,,drab,monótono
115,,,,somber,sombrío
116,,,,sombre,DUPLICATE_sombrío
117,,,,dulled,soso
118,,,,greyed,grisáceo
119,,,,etiolate,etiolato
120,,,,etiolated,etiolado
121,,,,lurid,escabroso
122,,,,waxen,encerado
123,,,,waxlike,de_cera
124,,,,waxy,ceroso
125,,,,whitened,blanqueado
126,,,,,"apagado,mate"
127,L09_7,antonyms - gradable,cheap,,barato
128,,,,expensive,caro
129,,,,big-ticket,billete_grande
130,,,,high-ticket,precio_elevado
131,,,,costly,costoso
132,,,,dear,preciado
133,,,,high-priced,de_precio_alto
134,,,,pricey,DUPLICATE_caro
135,,,,pricy,DUPLICATE_caro
136,,,,dearly-won,ganado_a_pulso
137,,,,overpriced,sobrevalorado
138,,,,valuable,valioso
139,,,,,oneroso
140,L09_8,antonyms - gradable,clean,,limpio
141,,,,dirty,sucio
142,,,,soiled,mugroso
143,,,,unclean,inmundo
144,,,,augean,ensuciado
145,,,,bedraggled,desaliñado
146,,,,draggled,embarrado
147,,,,befouled,manchado
148,,,,fouled,con_manchas
149,,,,begrimed,tiznado
150,,,,dingy,deslucido
151,,,,grimy,grimoso
152,,,,grubby,mugriento
153,,,,grungy,asqueroso
154,,,,raunchy,lascivo
155,,,,black,negro
156,,,,smutty,rijoso
157,,,,buggy,erróneo
158,,,,cobwebby,con_telarañas
159,,,,dirty-faced,carasucia
160,,,,feculent,feculento
161,,,,filthy,DUPLICATE_sucio
162,,,,foul,infecto
163,,,,nasty,repugnante
164,,,,flyblown,pútrido
165,,,,squalid,escuálido
166,,,,sordid,sórdido
167,,,,greasy,grasiento
168,,,,oily,aceitoso
169,,,,lousy,deplorable
170,,,,maculate,maculado
171,,,,mucky,DUPLICATE_mugriento
172,,,,muddy,DUPLICATE_embarrado
173,,,,ratty,andrajoso
174,,,,scummy,repudiable
175,,,,smudgy,emborronado
176,,,,snotty,mocoso
177,,,,snot-nosed,con_mocos
178,,,,sooty,carbonoso
179,,,,travel-soiled,NO_TRANSLATION
180,,,,travel-stained,DUPLICATE_NO_TRANSLATION
181,,,,uncleanly,DUPLICATE_ensuciado
182,,,,unswept,sin_limpiar
183,,,,unwashed,sin_lavar
184,,,,,"cochambroso,adán,pringoso,enlodado,hediondo,putrefacto"
185,L09_9,antonyms - gradable,clear,,claro
186,,,,vague,vago
187,,,,obscure,obscuro
188,,,,unclear,poco_claro
189,,,,undefined,indefinido
190,,,,indefinable,indefinible
191,,,,undefinable,no_definible
193,L09_10,antonyms - gradable,close,,cercano
194,,,,distant,distante
195,,,,remote,remoto
196,,,,removed,eliminado
197,,,,far,lejano
198,,,,faraway,alejado
200,L09_11,antonyms - gradable,colorful,,colorido
201,,,,colorless,sin_color
202,,,,colourless,DUPLICATE_sin_color
203,,,,dull,sin_brillo
204,,,,neutral,neutro
205,,,,pale,pálido
206,,,,white,blanco
207,,,,bleached,decolorado
208,,,,faded,descolorido
209,,,,washed-out,desgastado
210,,,,washy,lavado
211,,,,drab,monótono
212,,,,somber,sombrío
213,,,,sombre,DUPLICATE_sombrío
214,,,,dulled,soso
215,,,,greyed,grisáceo
216,,,,etiolate,etiolato
217,,,,etiolated,etiolado
218,,,,lurid,escabroso
219,,,,waxen,encerado
220,,,,waxlike,ceroso
221,,,,waxy,de_cera
222,,,,whitened,blanqueado
223,,,,,"mate,apagado"
224,L09_12,antonyms - gradable,common,,común
225,,,,rare,raro
226,,,,infrequent,infrecuente
227,,,,scarce,escaso
228,,,,uncommon,poco_común
229,,,,extraordinary,extraordinario
231,L09_13,antonyms - gradable,competent,,competente
232,,,,incompetent,incompetente
233,,,,unskilled,inepto
234,,,,unqualified,no_cualificado
235,,,,inefficient,ineficiente
236,,,,,"torpe,negligente,incapaz"
237,L09_14,antonyms - gradable,concerned,,preocupado
238,,,,unconcerned,despreocupado
239,,,,blase,desinteresado
240,,,,blithe,alegre
241,,,,casual,casual
242,,,,insouciant,insensible
243,,,,nonchalant,DUPLICATE_indiferente
244,,,,degage,NO_TRANSLATION
245,,,,detached,desapegado
246,,,,uninvolved,no_implicado
247,,,,indifferent,indiferente
248,,,,careless,descuidado
249,,,,untroubled,poco_involucrado
