,ID,Relation,Source,Target,ES
0,L10_1,antonyms - binary,after,,tras_de
1,,,,before,antes_de
2,,,,earlier,anteriormente
3,,,,previously,previamente
5,L10_2,antonyms - binary,ahead,,adelante
6,,,,behind,detrás
7,,,,rear,posterior
8,,,,after,después
9,,,,tail,cola
10,,,,beforehand,de_antemano
12,L10_3,antonyms - binary,anterior,,anterior
13,,,,posterior,posterior
15,L10_4,antonyms - binary,backward,,hacia_atrás
16,,,,forward,adelante
17,,,,forwards,delantero
18,,,,frontward,frente
19,,,,frontwards,al_frente
20,,,,forrad,avanzado
21,,,,forrard,DUPLICATE_avanzado
22,,,,forth,DUPLICATE_adelante
23,,,,onward,en_adelante
24,,,,,avante
25,L10_5,antonyms - binary,before,,antes
26,,,,after,después
27,,,,subsequently,después_de
28,,,,later,tras
29,,,,afterwards,después_de_que
30,,,,afterward,en_pos_de
31,,,,ahead,por_delante
33,L10_6,antonyms - binary,beginning,,comienzo
34,,,,end,fin
35,,,,terminal,terminal
36,,,,ending,acabar
37,,,,last,último
38,,,,final,final
39,,,,finish,meta
40,,,,finale,finale
41,,,,conclusion,conclusión
43,L10_7,antonyms - binary,below,,debajo
44,,,,above,encima
45,,,,higher,más_alto
46,,,,up,arriba
48,L10_8,antonyms - binary,climb,,escalar
49,,,,descend,descender
50,,,,declivitous,declive
51,,,,downhill,cuesta_abajo
52,,,,downward-sloping,caer_hacia_abajo
53,,,,degressive,decreciente
54,,,,descendant,descendiente
55,,,,descendent,DUPLICATE_descendiente
56,,,,down,abajo
57,,,,downward,hacia_abajo
58,,,,downward-arching,arquearse_hacia_abajo
59,,,,drizzling,lloviznar
60,,,,dropping,dejar_caer
61,,,,falling,cayendo
62,,,,raining,lloviendo
63,,,,,bajar
64,L10_9,antonyms - binary,dead,,muerto
65,,,,alive,vivo
66,,,,living,viviente
67,,,,live,vivir
69,L10_10,antonyms - binary,decrement,,decrecer
70,,,,increment,incrementar
72,L10_11,antonyms - binary,descend,,descender
73,,,,ascend,ascender
74,,,,climb,escalar
75,,,,rise,aumentar
76,,,,upward,hacia_arriba
77,,,,ascendent,ascendente
78,,,,ascendant,DUPLICATE_ascendente
79,,,,,subir
80,L10_12,antonyms - binary,dive,,sumergir
81,,,,emerge,emerger
83,L10_13,antonyms - binary,down,,abajo
84,,,,up,arriba
85,,,,above,encima
86,,,,ahead,delante
87,,,,lead,inicial
88,,,,leading,destacado
89,,,,aweigh,levado
90,,,,dormie,NO_TRANSLATION
91,,,,dormy,DUPLICATE_NO_TRANSLATION
92,,,,heavenward,hacia_el_cielo
93,,,,skyward,DUPLICATE_hacia_el_cielo
94,,,,risen,DUPLICATE_arriba
95,,,,sprouted,brotado
96,,,,upbound,ascendente
97,,,,upfield,campo_arriba
98,,,,upward,hacia_arriba
99,,,,,"elevado,alzado,sobre,principal"
100,L10_14,antonyms - binary,downslope,,cuesta_abajo
101,,,,upslope,cuesta_arriba
102,,,,ascent,ascender
104,L10_15,antonyms - binary,drop,,caer
