,ID,Relation,Source,Target,FR
0,L01_1,hypernyms - animals,allosaurus,,allosaurus
1,,,,dinosaur,dinosaure
2,,,,reptile,reptile
3,,,,bird,oiseau
4,,,,archosaur,archosaure
5,,,,archosaurian,archosaurien
6,,,,archosaurian_reptile,reptile_archosaurien
8,L01_2,hypernyms - animals,anaconda,,anaconda
9,,,,snake,snake
10,,,,reptile,reptile
11,,,,boa,boa
12,,,,serpent,serpent
13,,,,ophidian,ophidian
15,L01_3,hypernyms - animals,ant,,fourmi
16,,,,insect,insecte
17,,,,invertebrate,invertébré
18,,,,creature,créature
19,,,,beast,bête
20,,,,hymenopteran,hyménoptère
21,,,,being,être
22,,,,animal,animal
23,,,,organism,organisme
24,,,,fauna,faune
25,,,,arthropod,arthropode
26,,,,hymenopterous_insect,insecte_hyménoptère
27,,,,animate_being,être_animé
28,,,,physical_hymenopteron,hyménoptère_physique
29,,,,physical_entity,entité_physique
30,,,,hymenopter,DUPLICATE_hyménoptère
31,,,,living_thing,être_vivant
33,L01_4,hypernyms - animals,beaver,,castor
34,,,,rodent,rongeur
35,,,,vertebrate,vertébré
36,,,,creature,créature
37,,,,beast,bête
38,,,,animal,animal
39,,,,organism,organisme
40,,,,fauna,faune
41,,,,placental,placentaire
42,,,,chordate,chordé
43,,,,eutherian,euthérien
44,,,,mammal,mammifère
45,,,,mammalian,DUPLICATE_mammifère
46,,,,eutherian_mammal,mammifère_euthérien
47,,,,gnawer,DUPLICATE_rongeur
48,,,,animate_being,être_animé
49,,,,living_thing,être_vivant
50,,,,placental_mammal,mammifère_placentaire
51,,,,craniate,craniate
53,L01_5,hypernyms - animals,bee,,abeille
54,,,,insect,insecte
55,,,,invertebrate,invertébré
56,,,,creature,créature
57,,,,beast,bête
58,,,,hymenopteran,hyménoptère
59,,,,being,être
60,,,,animal,animal
61,,,,organism,organisme
62,,,,fauna,faune
63,,,,arthropod,arthropode
64,,,,hymenopterous_insect,insecte_hyménoptère
65,,,,animate_being,être_animé
66,,,,hymenopteron,DUPLICATE_hyménoptère
67,,,,hymenopter,DUPLICATE_hyménoptère
68,,,,living_thing,être_vivant
71,L01_6,hypernyms - animals,beetle,,scarrabée
72,,,,insect,insecte
73,,,,invertebrate,invertébré
74,,,,creature,créature
75,,,,beast,bête
76,,,,being,être
77,,,,animal,animal
78,,,,organism,organisme
79,,,,fauna,faune
80,,,,arthropod,arthropode
81,,,,animate_being,être_animé
82,,,,living_thing,être_vivant
84,L01_7,hypernyms - animals,buffalo,,buffle
85,,,,bovid,bovidés
