,ID,Relation,Source,Target,FR
0,L02_1,hypernyms - misc,armchair,,fauteuil
1,,,,chair,chaise
2,,,,seat,siège
3,,,,piece_of_furniture,pièce_de_meuble
4,,,,article_of_furniture,article_de_meuble
5,,,,furnishing,ameublement
6,,,,artifact,artefact
7,,,,artefact,DUPLICATE_artefact
8,,,,unit,unité
9,,,,object,objet
10,,,,physical_object,objet_physique
11,,,,physical_entity,entité_physique
12,,,,entity,entité
14,L02_2,hypernyms - misc,blender,,mixeur
15,,,,appliance,appareil
16,,,,mixer,mélangeur
17,,,,kitchen_utensil,ustensile_de_cuisine
18,,,,utensil,ustensile
19,,,,implement,outil
20,,,,artifact,artefact
21,,,,artefact,DUPLICATE_artefact
22,,,,unit,unité
23,,,,object,objet
24,,,,physical_object,objet_physique
25,,,,physical_entity,entité_physique
26,,,,entity,entité
28,L02_3,hypernyms - misc,bracelet,,bracelet
29,,,,jewelry,bijoux
30,,,,band,bande
31,,,,strip,DUPLICATE_bande
32,,,,slip,slip
33,,,,artifact,artefact
34,,,,artefact,DUPLICATE_artefact
35,,,,unit,unité
36,,,,object,objet
37,,,,physical_object,objet_physique
38,,,,physical_entity,entité_physique
39,,,,entity,entité
40,,,,jewellery,bijou
41,,,,adornment,parure
42,,,,decoration,décoration
43,,,,ornament,ornementation
44,,,,ornamentation,DUPLICATE_ornementation
46,L02_4,hypernyms - misc,brooch,,broche
47,,,,jewelry,bijoux
48,,,,jewellery,bijou
49,,,,adornment,parure
50,,,,decoration,décoration
51,,,,ornament,ornementation
52,,,,ornamentation,DUPLICATE_ornementation
53,,,,artifact,artefact
54,,,,artefact,DUPLICATE_artefact
55,,,,unit,unité
56,,,,object,objet
57,,,,physical_object,objet_physique
59,L02_5,hypernyms - misc,cake,,gâteau
60,,,,dessert,dessert
61,,,,baked_goods,produits_de_boulangerie
62,,,,food,aliments
63,,,,solid_food,aliments_solides
64,,,,course,cours
65,,,,nutriment,nutriment
66,,,,nourishment,nourriture
67,,,,nutrition,nutrition
68,,,,sustenance,sustentation
69,,,,aliment,aliment
70,,,,alimentation,alimentation
71,,,,victuals,victuailles
72,,,,nutrient,DUPLICATE_nutriment
73,,,,substance,substance
74,,,,matter,matière
75,,,,physical_entity,entité_physique
76,,,,entity,entité
78,L02_6,hypernyms - misc,computer,,ordinateur
79,,,,device,dispositif
80,,,,machine,machine
81,,,,gadget,gadget
82,,,,artifact,artefact
83,,,,artefact,DUPLICATE_artefact
84,,,,unit,unité
85,,,,object,objet
86,,,,physical_object,objet_physique
87,,,,physical_entity,entité_physique
88,,,,entity,entité
89,,,,expert,expert
90,,,,person,personne
91,,,,individual,individu
92,,,,someone,DUPLICATE_personne
93,,,,somebody,quelqu'un
94,,,,mortal,mortel
95,,,,soul,âme
96,,,,causal_agent,agent_causal
97,,,,cause,cause
98,,,,causal_agency,agent_de_causalité
99,,,,organism,organisme
100,,,,being,être
101,,,,living_thing,chose_vivante
102,,,,animate_thing,chose_animée
104,L02_7,hypernyms - misc,croissant,,croissant
105,,,,pastry,pâtisserie
106,,,,bun,petit_pain
107,,,,roll,DUPLICATE_petit_pain
108,,,,bread,pain
109,,,,breadstuff,baguette_de_pain
110,,,,staff_of_life,personnel_de_vie
111,,,,baked_goods,produits_de_boulangerie
112,,,,starches,amidons
113,,,,food,aliments
114,,,,solid_food,aliments_solides
115,,,,foodstuff,denrée_alimentaire
116,,,,food_product,produit_alimentaire
117,,,,solid,solide
118,,,,nutrient,nutriment
119,,,,matter,matière
120,,,,substance,substance
121,,,,physical_entity,entité_physique
122,,,,entity,entité
124,L02_8,hypernyms - misc,cup,,tasse
125,,,,tableware,DUPLICATE_vaisselle
126,,,,crockery,vaisselle
127,,,,dishware,DUPLICATE_vaisselle
128,,,,ware,DUPLICATE_article
129,,,,article,article
130,,,,artifact,artefact
131,,,,artefact,DUPLICATE_artefact
132,,,,unit,unité
133,,,,object,objet
134,,,,physical_object,objet_physique
135,,,,physical_entity,entité_physique
136,,,,entity,entité
137,,,,container,conteneur
139,L02_9,hypernyms - misc,denim,,jean
140,,,,fabric,DUPLICATE_tissu
141,,,,cloth,tissu
142,,,,material,matériau
143,,,,textile,textile
144,,,,artifact,artefact
145,,,,artefact,DUPLICATE_artefact
146,,,,unit,unité
147,,,,object,objet
148,,,,physical_object,objet_physique
149,,,,physical_entity,entité_physique
150,,,,entity,entité
151,,,,garment,vêtement
152,,,,clothing,DUPLICATE_vêtement
153,,,,article_of_clothing,article_de_vêtement
154,,,,vesture,DUPLICATE_vêtement
155,,,,wear,porter
156,,,,wearable,portable
157,,,,habiliment,habiliment
158,,,,consumer_goods,biens_de_consommation
159,,,,covering,couverture
160,,,,commodity,marchandise
161,,,,trade_good,DUPLICATE_marchandise
162,,,,good,bien
164,L02_10,hypernyms - misc,deodorant,,déodorant
165,,,,toiletry,articles_de_toilette
166,,,,toilet_articles,DUPLICATE_articles_de_toilette
167,,,,artifact,artefact
168,,,,artefact,DUPLICATE_artefact
169,,,,unit,unité
170,,,,object,objet
171,,,,physical_object,objet_physique
172,,,,physical_entity,entité_physique
173,,,,entity,entité
175,L02_11,hypernyms - misc,desk,,bureau
176,,,,furniture,meuble
177,,,,table,table
178,,,,piece_of_furniture,pièce_de_meuble
179,,,,article_of_furniture,article_de_meuble
180,,,,furnishing,ameublement
181,,,,artifact,artefact
182,,,,artefact,DUPLICATE_artefact
183,,,,unit,unité
184,,,,object,objet
185,,,,physical_object,objet_physique
186,,,,physical_entity,entité_physique
187,,,,entity,entité
189,L02_12,hypernyms - misc,diary,,agenda
190,,,,journal,journal
191,,,,writing,écriture
192,,,,written_material,matériel_écrit
193,,,,piece_of_writing,pièce_de_l'écriture
194,,,,written_communication,communication_écrite
195,,,,written_language,langue_écrite
196,,,,black_and_white,noir_et_blanc
197,,,,communication,communication
198,,,,abstraction,abstraction
199,,,,abstract_entity,entité_abstraite
200,,,,entity,entité
201,,,,book,livre
202,,,,volume,volume
203,,,,product,produit
204,,,,production,production
205,,,,creation,création
206,,,,artifact,artefact
207,,,,artefact,DUPLICATE_artefact
208,,,,unit,unité
209,,,,object,objet
210,,,,physical_object,objet_physique
211,,,,physical_entity,entité_physique
213,L02_13,hypernyms - misc,dishwasher,,lave-vaisselle
214,,,,appliance,appareil
215,,,,machine,machine
216,,,,entity,entité
217,,,,unit,unité
218,,,,object,objet
219,,,,physical_object,objet_physique
220,,,,white_goods,produits_blancs
221,,,,home_appliance,électroménager
222,,,,household_appliance,appareils_ménagers
223,,,,durables,durables
224,,,,durable_goods,biens_durables
225,,,,consumer_durables,consommateur_durables
226,,,,consumer_goods,biens_de_consommation
227,,,,commodity,marchandise
228,,,,trade_good,DUPLICATE_marchandise
229,,,,good,bien
230,,,,artifact,artefact
231,,,,artefact,DUPLICATE_artefact
232,,,,physical_entity,entité_physique
235,L02_14,hypernyms - misc,dress,,robe
236,,,,clothes,DUPLICATE_vêtement
237,,,,garment,DUPLICATE_vêtement
238,,,,clothing,vêtement
239,,,,article_of_clothing,article_de_vêtement
240,,,,vesture,veste
241,,,,wear,porter
242,,,,wearable,portable
243,,,,habiliment,habiliment
244,,,,consumer_goods,biens_de_consommation
245,,,,covering,couverture
246,,,,commodity,DUPLICATE_marchandise
247,,,,trade_good,marchandise
248,,,,good,bien
249,,,,artifact,artefact
250,,,,artefact,DUPLICATE_artefact
251,,,,unit,unité
252,,,,object,objet
253,,,,physical_object,objet_physique
254,,,,physical_entity,entité_physique
255,,,,entity,entité
265,L02_15,hypernyms - misc,fridge,,frigo
266,,,,appliance,appliance
267,,,,icebox,glacière
268,,,,white_goods,white_goods
269,,,,home_appliance,home_appliance
270,,,,household_appliance,appareil_domestique
271,,,,durables,durables
272,,,,durable_goods,biens_durables
273,,,,consumer_durables,Consommateur_durables
274,,,,consumer_goods,biens_de_consommation
275,,,,commodity,DUPLICATE_marchandise
276,,,,trade_good,marchandise
277,,,,good,bien
278,,,,artifact,artefact
279,,,,artefact,DUPLICATE_artefact
280,,,,unit,unité
281,,,,object,objet
282,,,,physical_object,objet_physique
283,,,,physical_entity,entité_physique
284,,,,entity,entité
286,L02_16,hypernyms - misc,gasoline,,essence
287,,,,fuel,combustible
288,,,,hydrocarbon,hydrocarbure
289,,,,substance,substance
290,,,,organic_compound,composé_organique
291,,,,matter,matière
292,,,,compound,composé
293,,,,chemical_compound,composé_chimique
294,,,,physical_entity,entité_physique
295,,,,chemical,produit_chimique
296,,,,chemical_substance,substance_chimique
297,,,,entity,entité
298,,,,material,DUPLICATE_matière
299,,,,stuff,DUPLICATE_substance
300,,,,part,partie
301,,,,portion,DUPLICATE_partie
302,,,,component_part,composant_part
303,,,,component,composant
304,,,,constituent,constituant
305,,,,relation,relation
306,,,,abstraction,abstraction
307,,,,abstract_entity,abstract_entity
310,L02_17,hypernyms - misc,grapefruit,,pamplemousse
311,,,,citrus,agrume
312,,,,citrus_fruit,agrume_fruit
313,,,,citrous_fruit,citrus_fruit
314,,,,fruit,fruit
315,,,,edible_fruit,comestible_fruit
316,,,,produce,produit
317,,,,green_goods,produits_verts
318,,,,green_groceries,épicerie_verte
319,,,,garden_truck,camion_jardin
320,,,,food,nourriture
321,,,,matter,matière
322,,,,natural_object,objet_naturel
323,,,,physical_entity,entité_physique
324,,,,unit,unité
325,,,,entity,entité
326,,,,object,objet
327,,,,physical_object,objet_physique
329,L02_18,hypernyms - misc,hairnet,,résille
330,,,,net,DUPLICATE_réseau
331,,,,network,réseau
332,,,,mesh,engrenage
333,,,,meshing,DUPLICATE_maillage
334,,,,meshwork,maillage
335,,,,fabric,DUPLICATE_tissu
336,,,,cloth,tissu
337,,,,material,matériau
338,,,,textile,textile
339,,,,artifact,artefact
340,,,,artefact,DUPLICATE_artefact
341,,,,unit,unité
342,,,,object,objet
343,,,,physical_object,objet_physique
344,,,,physical_entity,entité_physique
345,,,,entity,entité
347,L02_19,hypernyms - misc,hairpin,,épingle_à_cheveux
348,,,,pin,goupille
349,,,,fastener,attache
350,,,,fastening,fixation
351,,,,holdfast,DUPLICATE_fixation
352,,,,fixing,DUPLICATE_fixation
353,,,,restraint,DUPLICATE_contrainte
354,,,,constraint,contrainte
355,,,,device,dispositif
356,,,,artifact,artefact
357,,,,artefact,DUPLICATE_artefact
358,,,,unit,unité
359,,,,object,objet
360,,,,physical_object,objet_physique
361,,,,physical_entity,entité_physique
362,,,,entity,entité
364,L02_20,hypernyms - misc,hamburger,,hamburger
365,,,,sandwich,sandwich
366,,,,snack_food,snack_food
367,,,,dish,plat
368,,,,nutriment,nutriment
369,,,,nourishment,nourriture
370,,,,nutrition,nutrition
371,,,,sustenance,sustentation
372,,,,aliment,alimentation
373,,,,alimentation,DUPLICATE_alimentation
374,,,,victuals,victuailles
375,,,,food,DUPLICATE_nourriture
376,,,,nutrient,DUPLICATE_nutriment
377,,,,substance,substance
378,,,,matter,matière
379,,,,physical_entity,entité_physique
380,,,,entity,entité
381,,,,beef,bœuf
382,,,,boeuf,DUPLICATE_bœuf
383,,,,meat,viande
384,,,,solid_food,solid_food
385,,,,solid,solide
387,L02_21,hypernyms - misc,jacket,,veste
388,,,,clothes,vêtements
389,,,,coat,manteau
390,,,,overgarment,sur-vêtement
391,,,,outer_garment,vêtement_extérieur
392,,,,garment,vêtement
393,,,,clothing,DUPLICATE_vêtement
394,,,,article_of_clothing,article_de_vêtement
395,,,,vesture,vesture
396,,,,wear,porter
397,,,,wearable,portable
398,,,,habiliment,habiliment
399,,,,consumer_goods,biens_de_consommation
400,,,,covering,couverture
401,,,,commodity,marchandise
402,,,,trade_good,DUPLICATE_marchandise
403,,,,good,bien
404,,,,artifact,artefact
405,,,,artefact,DUPLICATE_artefact
406,,,,unit,unité
407,,,,object,objet
408,,,,physical_object,objet_physique
409,,,,physical_entity,entité_physique
410,,,,entity,entité
412,L02_22,hypernyms - misc,jeans,,jeans
413,,,,trousers,DUPLICATE_pantalon
414,,,,pants,pantalon
415,,,,workwear,vêtement_de_travail
416,,,,garment,DUPLICATE_vêtement
417,,,,clothing,DUPLOICATE_vêtement
418,,,,clothes,vêtements
419,,,,article_of_clothing,article_de_vêtement
420,,,,vesture,vesture
421,,,,wear,porter
422,,,,wearable,portable
423,,,,habiliment,habiliment
424,,,,consumer_goods,biens_de_consommation
425,,,,covering,couverture
426,,,,commodity,DUPLICATE_marchandise
427,,,,trade_good,marchandise
428,,,,good,bien
429,,,,artifact,artefact
430,,,,artefact,DUPLICATE_artefact
431,,,,unit,unité
432,,,,object,objet
433,,,,physical_object,objet_physique
434,,,,physical_entity,entité_physique
435,,,,entity,entité
437,L02_23,hypernyms - misc,juicer,,presse-agrumes
438,,,,utensil,ustensile
439,,,,physical_entity,entité_physique
440,,,,entity,entité
441,,,,unit,unité
442,,,,object,objet
443,,,,physical_object,objet_physique
444,,,,squeezer,presse-agrumes
445,,,,kitchen_utensil,ustensile_de_cuisine
446,,,,implement,outil
447,,,,artifact,artefact
448,,,,artefact,DUPLICATE_artefact
450,L02_24,hypernyms - misc,lemon,,citron
451,,,,citrus,agrume
452,,,,citrus_fruit,agrume_fruit
453,,,,citrous_fruit,citrus_fruit
454,,,,fruit,fruit
455,,,,edible_fruit,comestible_fruit
456,,,,produce,produit
457,,,,green_goods,produits_verts
458,,,,green_groceries,épicerie_verte
459,,,,garden_truck,camion_jardin
460,,,,food,nourriture
461,,,,matter,matière
462,,,,natural_object,objet_naturel
463,,,,physical_entity,entité_physique
464,,,,unit,unité
465,,,,entity,entité
466,,,,object,objet
467,,,,physical_object,objet_physique
469,L02_25,hypernyms - misc,lotion,,lotion
470,,,,toiletry,articles_de_toilette
471,,,,toilet_articles,DUPLICATE_articles_de_toilette
472,,,,artifact,artefact
473,,,,artefact,DUPLICATE_artefact
474,,,,unit,unité
475,,,,object,objet
476,,,,physical_object,objet_physique
477,,,,physical_entity,entité_physique
478,,,,entity,entité
480,L02_26,hypernyms - misc,mascara,,mascara
481,,,,makeup,maquillage
482,,,,make-up,DUPLICATE_maquillage
483,,,,war_paint,war_paint
484,,,,cosmetic,cosmétique
485,,,,toiletry,toilette
486,,,,toilet_articles,articles_de_toilette
487,,,,artifact,artefact
488,,,,artefact,DUPLICATE_artefact
489,,,,unit,unité
490,,,,object,objet
491,,,,physical_object,objet_physique
492,,,,physical_entity,entité_physique
493,,,,entity,entité
495,L02_27,hypernyms - misc,necklace,,collier
496,,,,jewelry,bijoux
497,,,,jewellery,bijou
498,,,,adornment,parure
499,,,,decoration,décoration
500,,,,ornament,DUPLICATE_ornementation
501,,,,ornamentation,ornementation
502,,,,artifact,artefact
503,,,,artefact,DUPLICATE_artefact
504,,,,unit,unité
505,,,,object,objet
506,,,,physical_object,objet_physique
507,,,,physical_entity,entité_physique
508,,,,entity,entité
510,L02_28,hypernyms - misc,notebook,,carnet
511,,,,book,livre
512,,,,volume,volume
513,,,,product,produit
514,,,,production,production
515,,,,creation,création
516,,,,artifact,artefact
517,,,,artefact,DUPLICATE_artefact
518,,,,unit,unité
519,,,,object,objet
520,,,,physical_object,objet_physique
521,,,,physical_entity,entité_physique
522,,,,entity,entité
523,,,,portable_computer,portable_computer
524,,,,personal_computer,personal_computer
525,,,,pc,pc
526,,,,microcomputer,micro-ordinateur
527,,,,digital_computer,digital_computer
528,,,,computer,ordinateur
529,,,,computing_machine,machine_ordinateur
530,,,,computing_device,appareil_de_calcul
531,,,,data_processor,processeur_de_données
532,,,,electronic_computer,Ordinateur_électronique
533,,,,information_processing_system,système_de_traitement_de_l'information
534,,,,machine,machine
535,,,,device,dispositif
537,L02_29,hypernyms - misc,notepad,,bloc-notes
538,,,,pad,bloc
539,,,,pad_of_paper,bloc_de_papier
540,,,,tablet,tablette
541,,,,paper,papier
542,,,,material,matériau
543,,,,stuff,substance
544,,,,substance,DUPLICATE_substance
545,,,,matter,matière
546,,,,part,partie
547,,,,portion,DUPLICATE_partie
548,,,,component_part,partie_composant
549,,,,component,composant
550,,,,constituent,constituant
551,,,,physical_entity,physical_entity
552,,,,relation,relation
553,,,,entity,entité
554,,,,abstraction,abstraction
555,,,,abstract_entity,entité_abstraite
557,L02_30,hypernyms - misc,pastry,,pâtisserie
558,,,,food,aliment
559,,,,dough,pâte
560,,,,concoction,concoction
561,,,,mixture,mélange
562,,,,intermixture,intermixture
563,,,,foodstuff,produit_alimentaire
564,,,,food_product,DUPLICATE_produit_alimentaire
565,,,,nutrient,nutriment
566,,,,substance,substance
567,,,,matter,matière
568,,,,physical_entity,DUPLICATE_entité_physique
569,,,,entity,DUPLICATE_entité
570,,,,baked_goods,produits_de_boulangerie
571,,,,solid_food,aliments_solides
572,,,,solid,solide
574,L02_31,hypernyms - misc,peach,,pêche
575,,,,fruit,fruit
576,,,,drupe,drupe
577,,,,stone_fruit,fruit_pierre
578,,,,edible_fruit,fruit_comptable
579,,,,produce,produit
580,,,,green_goods,produits_verts
581,,,,green_groceries,épicerie_verte
582,,,,garden_truck,camion_jardin
583,,,,food,nourriture
584,,,,matter,matière
585,,,,natural_object,objet_naturel
586,,,,physical_entity,entité_physique
587,,,,unit,unité
588,,,,entity,entité
589,,,,object,objet
590,,,,physical_object,objet_physique
592,L02_32,hypernyms - misc,perfume,,parfum
593,,,,toiletry,articles_de_toilette
594,,,,toilet_articles,DUPLICATE_articles_de_toilette
595,,,,artifact,artefact
596,,,,artefact,DUPLICATE_artefact
597,,,,unit,unité
598,,,,object,objet
599,,,,physical_object,objet_physique
600,,,,physical_entity,entité_physique
601,,,,entity,entité
603,L02_33,hypernyms - misc,photo,,photo
604,,,,picture,image
605,,,,image,DUPLICATE_image
606,,,,representation,représentation
607,,,,creation,création
608,,,,artifact,artefact
609,,,,artefact,DUPLICATE_artefact
610,,,,unit,unité
611,,,,object,objet
612,,,,physical_object,objet_physique
613,,,,physical_entity,entité_physique
614,,,,entity,entité
616,L02_34,hypernyms - misc,pie,,tarte
617,,,,pastry,pâtisserie
618,,,,baked_goods,produits_de_boulangerie
619,,,,food,nourriture
620,,,,solid_food,solid_food
621,,,,solid,solide
622,,,,matter,matière
623,,,,physical_entity,entité_physique
624,,,,entity,DUPLICATE_entité
625,,,,indo-european,indo-européen
626,,,,indo-european_language,langue_indo-européenne
627,,,,indo-hittite,indo-hittite
628,,,,natural_language,langue_naturelle
629,,,,tongue,langue
630,,,,language,DUPLICATE_langue
631,,,,linguistic_communication,communication_linguistique
632,,,,communication,communication
633,,,,abstraction,abstraction
634,,,,abstract_entity,entité_abstraite
636,L02_35,hypernyms - misc,plum,,prune
637,,,,fruit,fruit
638,,,,drupe,drupe
639,,,,stone_fruit,fruit_à_pierre
640,,,,edible_fruit,fruit_comptable
641,,,,produce,produit
642,,,,green_goods,produits_verts
643,,,,green_groceries,épicerie_verte
644,,,,garden_truck,camion_jardin
645,,,,food,nourriture
646,,,,matter,matière
647,,,,natural_object,objet_naturel
648,,,,physical_entity,entité_physique
649,,,,unit,unité
650,,,,entity,entité
651,,,,object,objet
652,,,,physical_object,objet_physique
654,L02_36,hypernyms - misc,postcard,,carte_postale
655,,,,card,carte
656,,,,correspondence,correspondance
657,,,,first_class,première_classe
658,,,,1st_class,1ère_classe
659,,,,first-class_mail,courrier_de_première_classe
660,,,,1st-class_mail,DUPLICATE_courrier_de_première_classe
661,,,,written_communication,communication_écrite
662,,,,written_language,langue_écrite
663,,,,black_and_white,noir_et_blanc
664,,,,mail,courrier
665,,,,communication,communication
666,,,,message,message
667,,,,abstraction,abstraction
668,,,,abstract_entity,abstraction_entité
669,,,,entity,entité
671,L02_37,hypernyms - misc,shelf,,étagère
672,,,,furniture,mobilier
673,,,,support,support
674,,,,piece_of_furniture,pièce_de_meuble
675,,,,article_of_furniture,article_de_meuble
676,,,,furnishing,ameublement
677,,,,artifact,artefact
678,,,,artefact,DUPLICATE_artefact
679,,,,unit,unité
680,,,,object,objet
681,,,,physical_object,objet_physique
682,,,,physical_entity,entité_physique
683,,,,entity,entité
685,L02_38,hypernyms - misc,shirt,,chemise
686,,,,clothes,DUPLICATE_vêtement
687,,,,garment,DUPLICATE_vêtement
688,,,,clothing,vêtement
689,,,,article_of_clothing,article_de_vêtement
690,,,,vesture,DUPLICATE_vêtement
691,,,,wear,porter
692,,,,wearable,portable
693,,,,habiliment,habiliment
694,,,,consumer_goods,biens_de_consommation
695,,,,covering,couverture
696,,,,commodity,marchandise
697,,,,trade_good,DUPLICATE_marchandise
698,,,,good,bien
699,,,,artifact,artefact
700,,,,artefact,DUPLICATE_artefact
701,,,,unit,unité
702,,,,object,objet
703,,,,physical_object,objet_physique
704,,,,physical_entity,entité_physique
705,,,,entity,entité
707,L02_39,hypernyms - misc,sidewalk,,trottoir
708,,,,walk,promenade
709,,,,walkway,passerelle
