,ID,Relation,Source,Target,FR
0,L03_1,hyponyms - misc,backpack,,sac_à_dos
1,,,,daypack,sac_de_jour
2,,,,kitbag,musette
3,,,,kit_bag,DUPLICATE_musette
5,L03_2,hyponyms - misc,bag,,sac
6,,,,pouch,pochette
7,,,,backpack,sac_à_dos
8,,,,knapsack,DUPLICATE_sac_à_dos
9,,,,packsack,DUPLICATE_sac_à_dos
10,,,,rucksack,DUPLICATE_sac_à_dos
11,,,,haversack,havresac
12,,,,beanbag,sac_à_haricots
13,,,,bladder,vessie
14,,,,carryall,fourre-tout
15,,,,holdall,DUPLICATE_fourre-tout
16,,,,tote,DUPLICATE_fourre-tout
17,,,,drawstring,cordon_de_serrage
18,,,,dust,petit_sac
19,,,,vacuum,sous_vide
20,,,,envelope,enveloppe
21,,,,gasbag,sac_à_gaz
22,,,,gamebag,sac_de_jeu
23,,,,golf,golf
24,,,,gunnysack,sac_en_toile
25,,,,gunny,gunny
26,,,,burlap,toile_de_jute
27,,,,ice,sac_à_glace
28,,,,mailbag,sac_postal
29,,,,postbag,DUPLICATE_sac_postal
30,,,,nosebag,sac_à_nez
31,,,,feedbag,sac_d'alimentation
32,,,,pannier,sacoche
33,,,,plastic,plastique
34,,,,purse,sac_à_main
35,,,,ragbag,DUPLICATE_sac_à_dos
37,,,,sachet,sachet
38,,,,sack,sac
40,,,,paper,papier
41,,,,carrier,porteur
42,,,,saddlebag,DUPLICATE_sacoche
43,,,,sandbag,sac_de_sable
44,,,,schoolbag,cartable
45,,,,shopping,shopping
46,,,,sick_bag,sac_de_malade
47,,,,sickbag,DUPLICATE_sac_de_malade
49,,,,sleeping,sac_à_coucher
50,,,,sweat,survêtement
51,,,,tea,thé
52,,,,toilet,toilettes
53,,,,sponge,éponge
54,,,,tool,outil
55,,,,tucker-bag,tucker-bag
57,L03_3,hyponyms - misc,bed,,lit
58,,,,bunk,couchette
59,,,,berth,DUPLICATE_couchette
60,,,,built,construit
61,,,,built-in,intégré
62,,,,cot,lit_d'enfant
63,,,,camp,camp
64,,,,couch,canapé
65,,,,deathbed,lit_de_mort
66,,,,double,lit_double
67,,,,four-poster,lit_à_baldaquin
68,,,,hammock,hamac
69,,,,sack,sac
70,,,,marriage_bed,lit_de_mariage
71,,,,murphy,murphy
72,,,,plank-bed,lit-planche
73,,,,platform,plate-forme
74,,,,sickbed,lit_de_malade
75,,,,single_bed,lit_simple
76,,,,sleigh,traîneau
77,,,,trundle,gigogne
79,,,,twin,jumeau
80,,,,water,eau
81,,,,semi-double,semi-double
82,,,,semidouble,DUPLICATE_semi-double
84,L03_4,hyponyms - misc,boat,,bateau
85,,,,ferry,traversier
86,,,,ark,arche
87,,,,barge,barge
88,,,,flatboat,bateau_plat
90,,,,lighter,bateau_léger
91,,,,bumboat,bumboat
92,,,,canal_boat,bateau_de_canal
93,,,,narrow_boat,péniche
94,,,,narrowboat,DUPLICATE_péniche
95,,,,ferryboat,ferry-boat
96,,,,fireboat,bateau-feu
97,,,,gondola,lgondole
98,,,,guard_boat,guard_boat
99,,,,gunboat,canonnière
100,,,,junk,jonque
101,,,,longboat,chaloupe
102,,,,lugger,lougre
103,,,,mackinaw,mackinaw
104,,,,mailboat,bateau-poste
105,,,,mail,courrier
106,,,,packet,paquet
107,,,,motorboat,bateau_à_moteur
