,ID,Relation,Source,Target,FR
0,L04_1,meronyms - substance,atmosphere,,atmosphère
1,,,,gas,gaz
2,,,,oxygen,oxygène
3,,,,hydrogen,hydrogène
4,,,,nitrogen,azote
5,,,,ozone,ozone
7,L04_2,meronyms - substance,bag,,sac
8,,,,leather,cuir
9,,,,fabric,tissu
10,,,,plastic,plastique
12,L04_3,meronyms - substance,beach,,plage
13,,,,sand,sable
14,,,,silicon,silicium
15,,,,rocks,roches
16,,,,pebbles,cailloux
17,,,,atomic_number_14,numéro_atomique_14
18,,,,si,si
20,L04_4,meronyms - substance,beard,,barbe
21,,,,hair,cheveux
23,L04_5,meronyms - substance,body,,corps
24,,,,flesh,chair
25,,,,bones,os
27,L04_6,meronyms - substance,boots,,bottes
28,,,,leather,cuir
29,,,,canvas,toile
31,L04_7,meronyms - substance,bottle,,bouteille
32,,,,glass,verre
33,,,,plastic,plastique
35,L04_8,meronyms - substance,bowl,,bol
36,,,,glass,verre
37,,,,china,chine
38,,,,aluminium,aluminium
39,,,,wood,bois
40,,,,steel,acier
41,,,,plastic,plastique
42,,,,clay,argile
44,L04_9,meronyms - substance,box,,boîte
45,,,,cardboard,carton
46,,,,tin,étain
47,,,,boxwood,buis
48,,,,turkish_boxwood,buis_turc
50,L04_10,meronyms - substance,bread,,pain
51,,,,flour,farine
52,,,,yeast,levure
54,L04_11,meronyms - substance,bronze,,bronze
55,,,,copper,cuivre
56,,,,tin,étain
57,,,,cu,cu
58,,,,atomic_number_29,nombre_atomique_29
60,L04_12,meronyms - substance,candy,,bonbons
61,,,,sugar,sucre
62,,,,nougat,nougat
63,,,,chocolate,chocolat
64,,,,gelatin,gélatine
65,,,,molasses,mélasse
66,,,,syrup,sirop
67,,,,honey,miel
68,,,,fruit,fruits
69,,,,nuts,noix
71,L04_13,meronyms - substance,chocolate,,chocolat
72,,,,cocoa,cacao
73,,,,bean,fève
74,,,,cacao,DUPLICATE_cacao
75,,,,cacao_bean,fève_de_cacao
76,,,,cocoa_bean,fève_cacao
78,L04_14,meronyms - substance,clothing,,vêtements
79,,,,fabric,tissu
80,,,,leather,cuir
82,L04_15,meronyms - substance,cloud,,nuage
83,,,,vapor,vapeur
84,,,,water,eau
85,,,,vapour,DUPLICATE_vapeur
86,,,,water_vapour,eau_vapeur
87,,,,water_vapor,vapeur_d'eau
89,L04_16,meronyms - substance,cocktail,,cocktail
90,,,,alcohol,alcool
91,,,,juice,jus
92,,,,water,eau
94,L04_17,meronyms - substance,concrete,,béton
95,,,,silicon,silicium
96,,,,cement,ciment
97,,,,water,eau
98,,,,sand,sable
99,,,,atomic_number_14,nombre_atomique_14
100,,,,si,si
102,L04_18,meronyms - substance,desk,,bureau
103,,,,wood,bois
104,,,,metal,métal
105,,,,steel,acier
107,L04_19,meronyms - substance,diamond,,diamant
108,,,,carbon,carbone
110,L04_20,meronyms - substance,doorknob,,poignée_de_porte
111,,,,metal,métal
112,,,,steel,acier
113,,,,bronze,bronze
114,,,,wood,bois
116,L04_21,meronyms - substance,flag,,drapeau
117,,,,fabric,tissu
118,,,,paper,papier
120,L04_22,meronyms - substance,glacier,,glacier
121,,,,ice,glace
122,,,,water,eau
123,,,,oxygen,oxygène
124,,,,hydrogen,hydrogène
125,,,,h,h
126,,,,h2o,h2o
127,,,,atomic_number_8,numéro_atomique_8
128,,,,atomic_number_1,numéro_atomique_1
129,,,,o,o
130,,,,water_ice,eau_glace
132,L04_23,meronyms - substance,glass,,verre
133,,,,silicone,silicone
135,L04_24,meronyms - substance,house,,maison
136,,,,bricks,briques
137,,,,cement,ciment
138,,,,wood,bois
139,,,,clay,argile
141,L04_25,meronyms - substance,ice,,glace
142,,,,water,eau
143,,,,oxygen,oxygène
144,,,,hydrogen,hydrogène
145,,,,h2o,h2o
146,,,,atomic_number_1,numéro_atomique_1
147,,,,atomic_number_8,numéro_atomique_8
148,,,,h,h
149,,,,o,o
151,L04_26,meronyms - substance,icicle,,glaçon
152,,,,ice,glace
153,,,,water,eau
155,L04_27,meronyms - substance,jam,,confiture
156,,,,fruit,fruit
157,,,,sugar,sucre
158,,,,berries,baies
160,L04_28,meronyms - substance,jeans,,jeans
161,,,,fabric,tissu
162,,,,denim,denim
164,L04_29,meronyms - substance,lawn,,pelouse
165,,,,grass,herbe
167,L04_30,meronyms - substance,lens,,lentille
168,,,,glass,verre
169,,,,plastic,plastique
171,L04_31,meronyms - substance,mirror,,miroir
172,,,,glass,verre
173,,,,bronze,bronze
175,L04_32,meronyms - substance,money,,argent
176,,,,paper,papier
177,,,,metal,métal
