,ID,Relation,Source,Target,FR
0,L06_1,meronyms - part,academia,,académie
1,,,,college,collège
2,,,,university,université
3,,,,institute,institut
5,L06_2,meronyms - part,apartment,,appartement
6,,,,bedroom,chambre_à_coucher
7,,,,room,chambre
8,,,,bathroom,salle_de_bain
9,,,,kitchen,cuisine
10,,,,kitchenette,kitchenette
11,,,,living_room,salon
12,,,,pantry,garde-manger
13,,,,toilet,toilettes
14,,,,shower_room,salle_de_douche
16,L06_3,meronyms - part,bird,,oiseau
17,,,,feathers,plumes
18,,,,plume,plume
19,,,,preen,NO_TRANSLATION
20,,,,croup,croupe
21,,,,calamus,DUPLICATE_plume
22,,,,fowl,volaille
23,,,,drumstick,pilon
24,,,,syrinx,syrinx
25,,,,bill,bec
26,,,,rump,croupion
27,,,,vane,girouette
28,,,,barb,barbe
29,,,,quill,plume_d'oie
30,,,,shaft,hampe
31,,,,pecker,pic
32,,,,pennon,pennon
33,,,,feet,pattes
34,,,,giblets,abats
35,,,,alula,alula
36,,,,talon,talon
37,,,,foot,pied
38,,,,pinion,pignon
39,,,,wing,aile
40,,,,wishbone,fourchette
41,,,,nib,DUPLICATE_plume
42,,,,sac,sac
43,,,,giblet,DUPLICATE_abats
44,,,,furcula,furcula
45,,,,bird,oiseau
46,,,,neb,neb
47,,,,feather,DUPLICATE_plume
48,,,,gland,glande
49,,,,oyster,huître
50,,,,thigh,cuisse
51,,,,plumage,plumage
52,,,,web,toile
53,,,,hindquarters,arrière-train
54,,,,beak,DUPLICATE_bec
55,,,,parson's_nose,nez_de_parson
56,,,,wishing_bone,os_à_souhaiter
57,,,,pope's_nose,nez_du_pape
58,,,,spurious_wing,aile_de_l'espion
59,,,,bastard_wing,aile_bâtarde
60,,,,croupe,DUPLICATE_croupe
61,,,,air_sac,air_sac
62,,,,quill_feather,DUPLICATE_plume_d'oie
63,,,,uropygium,queue
64,,,,bird's_foot,pied_d'oiseau
65,,,,uropygial,uropygial
66,,,,second_joint,deuxième_joint
67,,,,uropygial_gland,glande_uropygienne
68,,,,preen_gland,plume_de_poule
69,,,,flight_feather,plume_de_vol
70,,,,dark_meat,viande_foncée
72,L06_4,meronyms - part,brush,,brosse
73,,,,bristle,poils
74,,,,hold,tenir
75,,,,shank,tige
76,,,,grip,poignée
77,,,,handgrip,DUPLICATE_poignée
78,,,,handle,DUPLICATE_poignée
79,,,,head,tête
80,,,,stem,DUPLICATE_tige
82,L06_5,meronyms - part,bus,,bus
83,,,,seats,sièges
84,,,,conductor,conducteur
85,,,,window,fenêtre
86,,,,driver,chauffeur
87,,,,roof,toit
89,L06_6,meronyms - part,byte,,octet
90,,,,bit,bit
92,L06_7,meronyms - part,car,,voiture
93,,,,engine,moteur
94,,,,armrest,accoudoir
95,,,,headrest,appui-tête
96,,,,grille,grille
97,,,,hinge,charnière
98,,,,tailpipe,pot_d'échappement
99,,,,suspension,suspension
100,,,,hood,capot
101,,,,horn,klaxon
102,,,,hooter,DUPLICATE_klaxon
103,,,,petrol,essence
104,,,,pintle,broche
105,,,,trunk,coffre
106,,,,floorboard,plancher
107,,,,bar,bar
108,,,,gas,gaz
109,,,,buffer,tampon
110,,,,door,porte
111,,,,stabilizer,stabilisateur
112,,,,seat,siège
113,,,,window,fenêtre
114,,,,exhaust,échappement
115,,,,tailfin,empennage
116,,,,back,arrière
117,,,,luggage,bagage
118,,,,pedal,pédale
119,,,,cowling,capotage
120,,,,seatbelt,ceinture_de_sécurité
121,,,,high,haut
122,,,,wing,aile
