,ID,Relation,Source,Target,FR
0,L09_1,antonyms - gradable,able,,capable
1,,,,unable,incapable
2,,,,incapable,DUPLICATE_incapable
3,,,,incompetent,incompétent
4,,,,unequal,inégal
6,L09_2,antonyms - gradable,abundant,,abondant
7,,,,scarce,rare
8,,,,rare,DUPLICATE_rare
9,,,,tight,étroit
10,,,,meager,maigre
11,,,,meagre,DUPLICATE_maigre
12,,,,meagerly,maigrement
13,,,,stingy,avare
14,,,,scrimpy,mesquin
15,,,,insufficient,insuffisant
16,,,,deficient,déficient
18,L09_3,antonyms - gradable,aware,,conscient
19,,,,unaware,inconscient
20,,,,oblivious,DUPLICATE_inconscient
21,,,,unmindful,inattentif
22,,,,unconscious,DUPLICATE_inconscient
23,,,,unsuspecting,sans_méfiance
24,,,,asleep,endormi
25,,,,insensible,insensible
26,,,,unwitting,involontaire
27,,,,ignorant,ignorant
28,,,,indifferent,indifférent
30,L09_4,antonyms - gradable,beautiful,,beau
31,,,,ugly,laid
32,,,,disfigured,défiguré
33,,,,evil-looking,mal_dans_sa_peau
34,,,,fugly,répugnant
35,,,,grotesque,grotesque
36,,,,monstrous,monstrueux
37,,,,hideous,hideux
38,,,,repulsive,repoussant
39,,,,ill-favored,défavorisé
40,,,,ill-favoured,DUPLICATE_défavorisé
41,,,,scrofulous,scrofuleux
42,,,,unlovely,peu_aimable
43,,,,unpicturesque,peu_pittoresque
44,,,,unsightly,disgracieux
45,,,,displeasing,déplaisant
46,,,,unattractive,peu_attrayant
47,,,,awkward,maladroit
49,L09_5,antonyms - gradable,big,,grand
50,,,,small,petit
51,,,,atomic,atomique
52,,,,subatomic,subatomique
53,,,,bantam,bantam
54,,,,diminutive,diminutif
55,,,,lilliputian,lilliputien
56,,,,midget,nain
57,,,,petite,DUPLICATE_petit
58,,,,tiny,minuscule
59,,,,flyspeck,mouche_du_coche
60,,,,bitty,bitty
61,,,,bittie,bittie
62,,,,teensy,teensy
63,,,,teentsy,teentsy
64,,,,teeny,teeny
65,,,,wee,wee
66,,,,weeny,weeny
67,,,,weensy,weensy
68,,,,teensy-weensy,teensy-weensy
69,,,,teeny-weeny,petit-petit
70,,,,itty-bitty,itty-bitty
71,,,,itsy-bitsy,itsy-bitsy
72,,,,dinky,dinky
73,,,,dwarfish,DUPLICATE_nain
74,,,,elfin,lutin
75,,,,elflike,elfique
76,,,,gnomish,gnomique
77,,,,half-size,demi-taille
78,,,,infinitesimal,infinitésimal
79,,,,minute,infime
80,,,,lesser,moindre
81,,,,microscopic,microscopique
82,,,,microscopical,DUPLICATE_microscopique
83,,,,micro,micro
84,,,,miniature,miniature
85,,,,minuscule,DUPLICATE_minuscule
86,,,,miniscule,DUPLICATE_minuscule
87,,,,olive-sized,de_la_taille_d'une_olive
88,,,,pocket-size,format_de_poche
89,,,,pocket-sized,de_poche
90,,,,pocketable,empoché
91,,,,puny,chétif
92,,,,runty,coulant
93,,,,shrimpy,crevette
94,,,,slender,mince
95,,,,slim,DUPLICATE_mince
96,,,,smaller,plus_petit
97,,,,littler,DUPLICATE_plus_petit
98,,,,smallish,DUPLICATE_petit
99,,,,small-scale,à_petite_échelle
100,,,,undersize,sous-dimensionné
101,,,,undersized,DUPLICATE_sous-dimensionné
103,L09_6,antonyms - gradable,bright,,brillant
104,,,,pale,pâle
105,,,,colorless,incolore
106,,,,colourless,DUPLICATE_incolore
