,ID,Relation,Source,Target,FR
0,L10_1,antonyms - binary,after,,après
1,,,,before,avant
2,,,,earlier,plus_tôt
3,,,,previously,précédemment
5,L10_2,antonyms - binary,ahead,,en_avant
6,,,,behind,derrière
7,,,,rear,arrière
8,,,,after,après
9,,,,tail,queue
10,,,,beforehand,avant
12,L10_3,antonyms - binary,anterior,,antérieur
13,,,,posterior,postérieur
15,L10_4,antonyms - binary,backward,,en_arrière
16,,,,forward,avant
17,,,,forwards,en_avant
18,,,,frontward,DUPLICATE_avant
19,,,,frontwards,DUPLICATE_avant
20,,,,forrad,forrad
21,,,,forrard,forrard
22,,,,forth,DUPLICATE_en_avant
23,,,,onward,DUPLICATE_en_avant
25,L10_5,antonyms - binary,before,,avant
26,,,,after,après
27,,,,subsequently,ensuite
28,,,,later,plus_tard
29,,,,afterwards,DUPLICATE_après
30,,,,afterward,DUPLICATE_après
31,,,,ahead,avant
33,L10_6,antonyms - binary,beginning,,début
34,,,,end,fin
35,,,,terminal,terminal
36,,,,ending,DUPLICATE_fin
37,,,,last,dernier
38,,,,final,final
39,,,,finish,finir
40,,,,finale,finale
41,,,,conclusion,conclusion
43,L10_7,antonyms - binary,below,,en_dessous_de
44,,,,above,au-dessus_de
45,,,,higher,plus_haut
46,,,,up,haut
48,L10_8,antonyms - binary,climb,,monter
49,,,,descend,descendre
50,,,,declivitous,déclivité
51,,,,downhill,en_bas
52,,,,downward-sloping,en_pente_descendante
53,,,,degressive,dégressif
54,,,,descendant,descendant
55,,,,descendent,DUPLICATE_descendant
56,,,,down,DUPLICATE_en_bas
57,,,,downward,vers_le_bas
58,,,,downward-arching,DUPLICATE_vers_le_bas
59,,,,drizzling,goutte_à_goutte
60,,,,dropping,DUPLICATE_goutte_à_goutte
61,,,,falling,tombant
62,,,,raining,pluie
64,L10_9,antonyms - binary,dead,,mort
65,,,,alive,vivant
66,,,,living,DUPLICATE_vivant
67,,,,live,vivre
69,L10_10,antonyms - binary,decrement,,décrémenter
70,,,,increment,incrémenter
72,L10_11,antonyms - binary,descend,,descendre
73,,,,ascend,DUPLICATE_monter
74,,,,climb,monter
75,,,,rise,DUPLICATE_monter
76,,,,upward,vers_le_haut
