,ID,Relation,Source,Target,HE
0,L01_1,hypernyms - animals,allosaurus,,אלוזאורוס
1,,,,dinosaur,דינוזאור
2,,,,reptile,זוחל
3,,,,bird,ציפור
4,,,,archosaur,ארכוזאוריה
5,,,,archosaurian,DUPLICATE_ארכוזאוריה
6,,,,archosaurian_reptile,זוחל_ארכוזאורי
8,L01_2,hypernyms - animals,anaconda,,אנקונדה
9,,,,snake,נחש
10,,,,reptile,זוחל
11,,,,boa,DUPLICATE_נחש
12,,,,serpent,נָחָשׁ
13,,,,ophidian,דמוי_נחש
15,L01_3,hypernyms - animals,ant,,נמלה
16,,,,insect,חֶרֶק
17,,,,invertebrate,חסרי_חוליות
18,,,,creature,יצור
19,,,,beast,DUPLICATE_חיה
20,,,,hymenopteran,דבוראים
21,,,,being,ישות
22,,,,animal,חיה
23,,,,organism,אורגניזם
24,,,,fauna,ממלכת_עולם_החי
25,,,,arthropod,פרוקי_רגליים
26,,,,hymenopterous_insect,DUPLICATE_חֶרֶק
27,,,,animate_being,DUPLICATE_חיה
29,,,,physical_entity,ישות_פיזית
31,,,,living_thing,יצור_חי
32,,,,,"בהמה,בריה,ברוא"
33,L01_4,hypernyms - animals,beaver,,בונה
34,,,,rodent,מְכַרְסֵם
35,,,,vertebrate,בעלי_חוליות
36,,,,creature,יצור
37,,,,beast,DUPLICATE_חיה
38,,,,animal,חיה
39,,,,organism,אורגניזם
40,,,,fauna,ממלכת_עולם_החי
41,,,,placental,שִׁלְיָתִי
42,,,,chordate,מיתרנים
43,,,,eutherian,DUPLICATE_יונק_שליה
44,,,,mammal,יוֹנֵק
45,,,,mammalian,DUPLICATE_יונק
46,,,,eutherian_mammal,יונק_אוטרי
47,,,,gnawer,מכרסמים
48,,,,animate_being,DUPLICATE_יצור_חי
49,,,,living_thing,יצור_חי
50,,,,placental_mammal,יונק_שליה
51,,,,craniate,בעל_גולגולת
52,,,,,"בהמה,בריה,ברוא"
53,L01_5,hypernyms - animals,bee,,דבורה
54,,,,insect,חֶרֶק
55,,,,invertebrate,חסרי_חוליות
56,,,,creature,יצור
57,,,,beast,DUPLICATE_חיה
58,,,,hymenopteran,דבוראים
59,,,,being,ישות
60,,,,animal,חיה
61,,,,organism,אורגניזם
62,,,,fauna,ממלכת_עולם_החי
63,,,,arthropod,פרוקי_רגליים
64,,,,hymenopterous_insect,חרק_הימנופטר
65,,,,animate_being,DUPLICATE_יצור_חי
68,,,,living_thing,יצור_חי
70,,,,,"בריה,ברוא,בהמה,יצור"
71,L01_6,hypernyms - animals,beetle,,חיפושית
72,,,,insect,חֶרֶק
73,,,,invertebrate,חסרי_חוליות
74,,,,creature,יצור
75,,,,beast,DUPLICATE_חיה
76,,,,being,DUPLICATE_יצור
77,,,,animal,חיה
78,,,,organism,אורגניזם
79,,,,fauna,ממלכת_עולם_החי
80,,,,arthropod,פרוקי_רגליים
81,,,,animate_being,DUPLICATE_יצור_חי
82,,,,living_thing,יצור_חי
83,,,,,בהמה
84,L01_7,hypernyms - animals,buffalo,,תאו
85,,,,bovid,פריים
86,,,,mammal,יוֹנֵק
87,,,,bison,ביזון
88,,,,cow,פרה
89,,,,vertebrate,בעלי_חוליות
90,,,,creature,יצור
91,,,,ungulate,מפריס_פרסה
92,,,,beast,DUPLICATE_חיה
93,,,,being,DUPLICATE_יצור
94,,,,animal,חיה
95,,,,organism,אורגניזם
96,,,,fauna,ממלכת_עולם_החי
97,,,,placental,שִׁלְיָתִי
98,,,,artiodactyl,מכפילי_פרסה
99,,,,ruminant,מעלי_גרה
100,,,,chordate,מיתרנים
101,,,,eutherian,יונקי_שליה
102,,,,mammalian,DUPLICATE_יונק
103,,,,bovine,דמוי_שור
104,,,,animate_being,DUPLICATE_יצור_חי
105,,,,eutherian_mammal,יונק_אוטרי
106,,,,placental_mammal,יונק_שליה
