,ID,Relation,Source,Target,HE
0,L03_1,hyponyms - misc,backpack,,תרמיל_גב
1,,,,daypack,תיק_גב
2,,,,kitbag,תרמיל_צבאי
3,,,,kit_bag,DUPLICATE_תרמיל_צבאי
4,,,,,קיטבג
5,L03_2,hyponyms - misc,bag,,תיק
6,,,,pouch,פאוץ'
7,,,,backpack,תרמיל_גב
8,,,,knapsack,DUPLICATE_תרמיל_גב
9,,,,packsack,שק_שינה
10,,,,rucksack,DUPLICATE_תרמיל_גב
11,,,,haversack,תַּרְמִיל
12,,,,beanbag,פוף_במילוי_גרגירים
13,,,,bladder,שלפוחית
14,,,,carryall,DUPLICATE_תרמיל
15,,,,holdall,DUPLICATE_תרמיל
16,,,,tote,נשיאה
17,,,,drawstring,שרוך_הידוק
18,,,,dust,אבק
19,,,,vacuum,ואקום
20,,,,envelope,מעטפה
21,,,,gasbag,שקית_גז
22,,,,gamebag,לא_ברור_המשמעות
23,,,,golf,גולף
24,,,,gunnysack,שק
25,,,,gunny,גוני
26,,,,burlap,אריג_גס
27,,,,ice,קרח
28,,,,mailbag,שק_דואר
29,,,,postbag,DUPLICATE_שק_דואר
30,,,,nosebag,שק_מספוא
31,,,,feedbag,שק_מזון
32,,,,pannier,מזוודה
33,,,,plastic,פלסטיק
34,,,,purse,ארנק
35,,,,ragbag,שק_סמרטוטיים
36,,,,rosin,שרף_לקשתות__נגינה
37,,,,sachet,שקיק_בושם
38,,,,sack,DUPLICATE_שק
39,,,,poke,דְּחִיפָה
40,,,,paper,נייר
41,,,,carrier,מוביל
42,,,,saddlebag,תיק_אוכף
43,,,,sandbag,שק_חול
44,,,,schoolbag,ילקוט
45,,,,shopping,קניות
46,,,,sick_bag,DUPLICATE_לא_ברור_המשמעות
47,,,,sickbag,DUPLICATE_לא_ברור_המשמעות
48,,,,skin,עור
49,,,,sleeping,ישן
50,,,,sweat,זיעה
51,,,,tea,לה
52,,,,toilet,שירותים
53,,,,sponge,ספוג
54,,,,tool,כלי
55,,,,tucker-bag,תיק_טאקר
57,L03_3,hyponyms - misc,bed,,מיטה
58,,,,bunk,דרגש
59,,,,berth,מיטה
60,,,,built,בנוי
61,,,,built-in,מובנה
62,,,,cot,מיטה_מתקפלת
63,,,,camp,מחנה
64,,,,couch,ספה
65,,,,deathbed,ערש_דוי
66,,,,double,כפול
67,,,,four-poster,לא_ברור_המשמעות
68,,,,hammock,עַרְסָל
69,,,,sack,שק
70,,,,marriage_bed,מיטת_נישואין
71,,,,murphy,DUPLICATE_לא_ברור_המשמעות
72,,,,plank-bed,מיטת_קרש
73,,,,platform,פלטפורמה
74,,,,sickbed,DUPLICATE_ערש_דוי
75,,,,single_bed,מיטת_יחיד
76,,,,sleigh,מזחלת
77,,,,trundle,התגלגלות
78,,,,truckle,גלגל_קטן
79,,,,twin,תאום
80,,,,water,מים
81,,,,semi-double,DUPLICATE_לא_ברור_המשמעות
82,,,,semidouble,DUPLICATE_לא_ברור_המשמעות
84,L03_4,hyponyms - misc,boat,,סירה
85,,,,ferry,מעבורת
86,,,,ark,תֵּבָה
87,,,,barge,דוברה
88,,,,flatboat,סירה_שטוחה
89,,,,hoy,היי
90,,,,lighter,DUPLICATE_דוברה
91,,,,bumboat,סירה_קטנה_להעברה
92,,,,canal_boat,סירת_תעלות
93,,,,narrow_boat,סירה_צרה
94,,,,narrowboat,DUPLICATE_סירה_צרה
95,,,,ferryboat,מַעְבֹּרֶת
96,,,,fireboat,סירת_כיבוי_אש
97,,,,gondola,גונדולה
98,,,,guard_boat,סירת_שמירה
99,,,,gunboat,guard_boat
100,,,,junk,זבל
101,,,,longboat,סירת_הצלה_ארוכה_על_אונייה
102,,,,lugger,ספינה_קטנה_בעלת_שני_מפרשים
103,,,,mackinaw,סירת_מקינו
104,,,,mailboat,מִפְרָשִׂית
105,,,,mail,דואר
106,,,,packet,חבילה
107,,,,motorboat,סירת__מנוע
108,,,,powerboat,DUPLICATE_סירת_מנוע
109,,,,pilot,טיס
110,,,,police,משטרה
111,,,,punt,DUPLICATE_סירה_שטוחה
112,,,,river_boat,סירת_נהר
113,,,,scow,DUPLICATE_דוברה
114,,,,sea_boat,סירת_ים
115,,,,small_boat,סירה_קטנה
116,,,,steamboat,אונית_קיטור
117,,,,surfboat,סירת_גלישה
118,,,,tender_boat,סירה_רכה
119,,,,pinnace,אונית_מפרש_קלה
120,,,,cutter_boat,סירת_חותך
121,,,,tugboat,ספינת_גרר
122,,,,tug,משיכה
123,,,,towboat,DUPLICATE_ספינת_גרר
124,,,,tower_boat,DUPLICATE_ספינת_גרר
125,,,,yacht,יאטכה
126,,,,sail,מפרש
127,,,,row,לחתור
128,,,,canoe,קאנו
129,,,,kayak,קיאק
130,,,,paddle,משוט
131,,,,paddle_boat,סירת_פדלים
133,L03_5,hyponyms - misc,book,,ספר
134,,,,paperback,DUPLICATE_ספר_בכריכה_רכה
135,,,,album,אַלְבּוֹם
136,,,,folio,דף_פוליו
137,,,,hardback,DUPLICATE_ספר_בכריכה_קשה
138,,,,hardcover,ספר_בכריכה_קשה
139,,,,journal,כתב_עת
140,,,,novel,רומן
141,,,,order,הזמנה
142,,,,paper-back,DUPLICATE_ספר_בכריכה_רכה
143,,,,softback,DUPLICATE_ספר_בכריכה_רכה
144,,,,soft-cover,ספר_בכריכה_רכה
145,,,,picture,תמונה
146,,,,sketchbook,פנקס_סקיצות
147,,,,sketch,סקיצה
148,,,,notebook,מַחְבֶּרֶת
150,L03_6,hyponyms - misc,brush,,מברשת
151,,,,toothbrush,מברשת_שנים
152,,,,bottlebrush,מברשת_לניקוי_בקבוקים
153,,,,bristle,זיף
154,,,,clothesbrush,מברשת_בגדים
155,,,,hairbrush,מברשת_שיער
156,,,,nailbrush,מברשת_ציפורניים
157,,,,paintbrush,מכחול
158,,,,sable,צובל
159,,,,scrub,לשפשף
160,,,,scrubbing,שפשף
161,,,,scrubber,סולקן
162,,,,shaving_brush,מברשת_גילוח
164,L03_7,hyponyms - misc,burger,,המבורגר
165,,,,hamburger,DUPLICATE_המבורגר
166,,,,cheeseburger,צ'יזבורגר
167,,,,50,חֲמִשִּׁים
168,,,,50_burger,לא_ברור_המשמעות
169,,,,angus_burger,המבורגר_אנגוס
170,,,,banquet_burger,DUPLICATE_לא_ברור_המשמעות
171,,,,barbecue_burger,המבורגר_ברביקיו
172,,,,bøfsandwich,בופסנדוויץ'
173,,,,utter_burge,התפרצות_מוחלטת
174,,,,buffalo_burger,המבורגר_באפולו
175,,,,california_burger,המבורגר_קליפורניה
176,,,,chili_burger,המבורגר_צ'ילי
177,,,,curry_burger,המבורגר_קארי
178,,,,hamdog,האמדוג
179,,,,salmon_burger,המבורגר_סלמון
180,,,,rice_burger,המבורגר_אורס
181,,,,veggie_burger,המבורגר_צמחוני
183,L03_8,hyponyms - misc,camera,,מצלמה
184,,,,camcorder,מצלמת_וידיאו
185,,,,box_camera,מצלמת_קופסה
186,,,,box_kodak,מצלמת_קופסה_קודאק
187,,,,candid_camera,מצלמה_נסתרת
188,,,,digital_camera,מצלמה_דיגיטלית
189,,,,flash_camera,מצלמת_פלאש
190,,,,motion-picture_camera,DUPLICATE_מצלמת_קולנוע
191,,,,movie_camera,מצלמת_קולנוע
192,,,,cine-camera,DUPLICATE_מצלמת_קולנוע
193,,,,point-and-shoot_camera,לא_ברור_המשמעות
194,,,,point-and-shoot,DUPLICATE_לא_ברור_המשמעות
195,,,,polaroid_camera,מצלמת_פולרואיד
196,,,,polaroid_land_camera,מצלמת_פולרואיד_יבשתית
197,,,,polaroid,פולרואיד
198,,,,portrait_camera,מצלמת_דיוקן
199,,,,reflex_camera,מצלמת_רפלקס
200,,,,webcam,מצלמת_רשת
201,,,,webcamera,DUPLICATE_מצלמת_רשת
202,,,,sound_camera,מצלמת_קול
204,L03_9,hyponyms - misc,candy,,סוכריה
