,ID,Relation,Source,Target,HE
0,L04_1,meronyms - substance,atmosphere,,אַטמוֹספֵרָה
1,,,,gas,גַז
2,,,,oxygen,חַמצָן
3,,,,hydrogen,מֵימָן
4,,,,nitrogen,חַנקָן
5,,,,ozone,אוֹזוֹן
7,L04_2,meronyms - substance,bag,,תיק
8,,,,leather,עוֹר
9,,,,fabric,בד
10,,,,plastic,פלסטי
12,L04_3,meronyms - substance,beach,,החוף
13,,,,sand,חוֹל
14,,,,silicon,סִילִיקוֹן
15,,,,rocks,סלעים
16,,,,pebbles,חלוקי_נחל
17,,,,atomic_number_14,מספר_אטומי_14
18,,,,si,סִי
20,L04_4,meronyms - substance,beard,,זָקָן
21,,,,hair,שיער
23,L04_5,meronyms - substance,body,,גוּף
24,,,,flesh,בשר
25,,,,bones,עצמות
27,L04_6,meronyms - substance,boots,,מגפיים
28,,,,leather,עוֹר
29,,,,canvas,בַּד
31,L04_7,meronyms - substance,bottle,,בקבוק
32,,,,glass,זכוכית
33,,,,plastic,פלסטי
35,L04_8,meronyms - substance,bowl,,קְעָרָה
36,,,,glass,זכוכית
37,,,,china,חרסינה
38,,,,aluminium,אֲלוּמִינְיוּם
39,,,,wood,עץ
40,,,,steel,פְּלָדָה
41,,,,plastic,פלסטי
42,,,,clay,חֶרֶס
44,L04_9,meronyms - substance,box,,קופסא
45,,,,cardboard,קַרטוֹן
46,,,,tin,פַּח
47,,,,boxwood,עץ_תאשור
48,,,,turkish_boxwood,בוקסווד_טורקי
50,L04_10,meronyms - substance,bread,,לחם
51,,,,flour,קמח
52,,,,yeast,שמרים
54,L04_11,meronyms - substance,bronze,,בְּרוֹנזָה
55,,,,copper,נְחוֹשֶׁת
56,,,,tin,פַּח
57,,,,cu,DUPLICATE_נחושת
58,,,,atomic_number_29,מספר_אטומי_29
60,L04_12,meronyms - substance,candy,,ממתק
61,,,,sugar,סוכר
62,,,,nougat,נוגט
63,,,,chocolate,שוקולד
64,,,,gelatin,ג'לטין
65,,,,molasses,דִבשָׁה
66,,,,syrup,סירופ
67,,,,honey,דבש
68,,,,fruit,פרי
69,,,,nuts,אֱגוֹזִים
71,L04_13,meronyms - substance,chocolate,,שוקולד
72,,,,cocoa,קקאו
73,,,,bean,אפונה
74,,,,cacao,DUPLICATE_קקאו
75,,,,cacao_bean,DUPLICATE_פולי_קקאו
76,,,,cocoa_bean,פולי_קקאו
78,L04_14,meronyms - substance,clothing,,הַלבָּשָׁה
79,,,,fabric,בד
80,,,,leather,עוֹר
82,L04_15,meronyms - substance,cloud,,ענן
83,,,,vapor,אדים
84,,,,water,מים
85,,,,vapour,DUPLICATE_אדים
86,,,,water_vapour,אדי_מים
87,,,,water_vapor,DUPLICATE_אדי_מים
89,L04_16,meronyms - substance,cocktail,,קוקטייל
90,,,,alcohol,כּוֹהֶל
91,,,,juice,מיץ
92,,,,water,מים
94,L04_17,meronyms - substance,concrete,,בֵּטוֹן
95,,,,silicon,סִילִיקוֹן
96,,,,cement,בטון
97,,,,water,מים
98,,,,sand,חוֹל
99,,,,atomic_number_14,מספר_אטומי_14
100,,,,si,סִי
102,L04_18,meronyms - substance,desk,,שולחן_כתיבה
103,,,,wood,עץ
104,,,,metal,מַתֶכֶת
105,,,,steel,פְּלָדָה
107,L04_19,meronyms - substance,diamond,,יהלום
108,,,,carbon,פַּחמָן
110,L04_20,meronyms - substance,doorknob,,ידית_של_דלת
111,,,,metal,מַתֶכֶת
112,,,,steel,פְּלָדָה
113,,,,bronze,בְּרוֹנזָה
114,,,,wood,עץ
116,L04_21,meronyms - substance,flag,,דֶגֶל
117,,,,fabric,בד
118,,,,paper,עיתון
120,L04_22,meronyms - substance,glacier,,קַרחוֹן
121,,,,ice,קרח
122,,,,water,מים
123,,,,oxygen,חַמצָן
124,,,,hydrogen,מֵימָן
125,,,,h,DUPLICATE_מימן
126,,,,h2o,h2o
127,,,,atomic_number_8,מספר_אטומי_8
128,,,,atomic_number_1,מספר_אטומי_1
129,,,,o,DUPLICATE_חמצן
130,,,,water_ice,מי_קרח
132,L04_23,meronyms - substance,glass,,זכוכית
133,,,,silicone,סיליקון
135,L04_24,meronyms - substance,house,,בַּיִת
136,,,,bricks,לבנים
137,,,,cement,בטון
138,,,,wood,עץ
139,,,,clay,חֶרֶס
141,L04_25,meronyms - substance,ice,,קרח
142,,,,water,מים
143,,,,oxygen,חַמצָן
144,,,,hydrogen,מֵימָן
145,,,,h2o,h2o
146,,,,atomic_number_1,מספר_אטומי_8
147,,,,atomic_number_8,מספר_אטומי_1
148,,,,h,DUPLICATE_מימן
149,,,,o,DUPLICATE_חמצן
