,ID,Relation,Source,Target,HE
0,L06_1,meronyms - part,academia,,אקדמיה
1,,,,college,מִכלָלָה
2,,,,university,אוּנִיבֶרְסִיטָה
3,,,,institute,מכון
5,L06_2,meronyms - part,apartment,,דִירָה
6,,,,bedroom,חדר_שינה
7,,,,room,חֶדֶר
8,,,,bathroom,חדר_רחצה
9,,,,kitchen,מִטְבָּח
10,,,,kitchenette,מטבחון
11,,,,living_room,סלון
12,,,,pantry,מְזָוֶה
13,,,,toilet,שֵׁרוּתִים
14,,,,shower_room,חדר_מקלחת
16,L06_3,meronyms - part,bird,,ציפור
17,,,,feathers,נוצות
18,,,,plume,DUPLICATE_נוצות
19,,,,preen,ניקה_את_הנוצות_במקורו
20,,,,croup,זפק
21,,,,calamus,קלמוס
22,,,,fowl,עוֹף
23,,,,drumstick,כרע_עוף
24,,,,syrinx,סירינקס
25,,,,bill,DUPLICATE_מקור
26,,,,rump,עַכּוּז
27,,,,vane,דֶּגֶל
28,,,,barb,עוֹקֶץ
29,,,,quill,נוֹצָה
30,,,,shaft,חלק_מהנוצה
31,,,,pecker,נַקָר
32,,,,pennon,זנב_ציפור
33,,,,feet,רגליים
34,,,,giblets,קרבי_עוף
35,,,,alula,אלולה
36,,,,talon,טוֹפֶר
37,,,,foot,DUPLICATE_רגליים
38,,,,pinion,אֶבְרָה
39,,,,wing,כנף
40,,,,wishbone,עצם_הבריח
41,,,,nib,DUPLICATE_מקור
42,,,,sac,שַׁלפּוּחִית
43,,,,giblet,טפלי_עוף
44,,,,furcula,עצם_הבריח_של_ציפור
45,,,,bird,ציפור
46,,,,neb,DUPLICATE_מקור
47,,,,feather,DUPLICATE_נוצה
48,,,,gland,בלוטה
49,,,,oyster,צִדפָּה
50,,,,thigh,יָרֵך
51,,,,plumage,נוצות_העוף
52,,,,web,אינטרנט
53,,,,hindquarters,החלק_האחורי
54,,,,beak,מקור
55,,,,parson's_nose,קצה_שמנוני_של_עוף
56,,,,wishing_bone,עצם_המשאלות
57,,,,pope's_nose,קצה_זנב_עוף
58,,,,spurious_wing,DUPLICATE_אלולה
59,,,,bastard_wing,קבוצת_נוצות_בכנף
60,,,,croupe,DUPLICATE_זפק
61,,,,air_sac,שַׁק_אוויר
62,,,,quill_feather,נוצת_קוויל
63,,,,uropygium,אורופגיום
64,,,,bird's_foot,רגל_ציפור
65,,,,uropygial,אורופגיאלי
66,,,,second_joint,מפרק_שני
67,,,,uropygial_gland,בלוטה_אורופיגאלית
68,,,,preen_gland,בלוטת_פרן
69,,,,flight_feather,נוצות_טיסה
70,,,,dark_meat,בשר_כהה
72,L06_4,meronyms - part,brush,,מִברֶשֶׁת
73,,,,bristle,זִיף
74,,,,hold,אחיזה
75,,,,shank,DUPLICATE_זרוע
76,,,,grip,DUPLICATE_ידית
77,,,,handgrip,לחיצת_יד
78,,,,handle,ידית
79,,,,head,רֹאשׁ
80,,,,stem,זרוע
82,L06_5,meronyms - part,bus,,אוֹטוֹבּוּס
83,,,,seats,מקומות_ישיבה
84,,,,conductor,כַּרְטִיסָן
85,,,,window,חַלוֹן
86,,,,driver,נהג
87,,,,roof,גג
89,L06_6,meronyms - part,byte,,בייט
90,,,,bit,סיבית
92,L06_7,meronyms - part,car,,מכונית
93,,,,engine,מנוע
94,,,,armrest,משענת_יד
95,,,,headrest,משענת_ראש
96,,,,grille,סוֹרָג
97,,,,hinge,צִיר
98,,,,tailpipe,צִנּוֹר_פְּלִיטָה
99,,,,suspension,השעיה
100,,,,hood,מכסה_מנוע
101,,,,horn,צופר
102,,,,hooter,DUPLICATE_צופר
103,,,,petrol,בֶּנזִין
104,,,,pintle,פין_ההגה
105,,,,trunk,תא_מטען
106,,,,floorboard,לוח_רצפה
107,,,,bar,בַּר
108,,,,gas,גַז
109,,,,buffer,בַּלָם
110,,,,door,דלת
111,,,,stabilizer,מְיַצֵב
112,,,,seat,מושב
113,,,,window,חַלוֹן
114,,,,exhaust,פְּלִיטָה
115,,,,tailfin,DUPLICATE_סנפיר_הזנב
116,,,,back,אחור
117,,,,luggage,מטען
118,,,,pedal,פֵּדָל
119,,,,cowling,כיסוי
120,,,,seatbelt,חַגורת_בטיחות
121,,,,high,גָבוֹהַ
122,,,,wing,כנף
123,,,,gasoline,DUPLICATE_בֶּנזִין
124,,,,fin,סְנַפִּיר
125,,,,cowl,DUPLICATE_כיסוי
126,,,,silencer,משתיק_קול
127,,,,gun,אֶקְדָח
128,,,,compartment,תָא
129,,,,rear,חלק_אחורי
130,,,,radiator,רַדִיאָטוֹר
131,,,,accessory,אבזר
132,,,,sunroof,גג_שמש
133,,,,roof,גג
134,,,,lights,אורות
135,,,,bumper,DUPLICATE_פגוש
136,,,,glove,כְּפָפָה
137,,,,bag,תיק
138,,,,cushion,כרית
139,,,,backrest,משען_גב
140,,,,accelerator,מֵאִיץ
141,,,,fender,פָּגוֹשׁ
142,,,,third,שְׁלִישִׁי
143,,,,throttle,מַצעֶרֶת
144,,,,bonnet,מִצנֶפֶת
145,,,,air,אוויר
146,,,,gear,מערכת_הילוכים
147,,,,muffler,עמם_פליטה
148,,,,mirror,מַרְאָה
149,,,,shock,שוק
150,,,,reverse,רַוורס
151,,,,anti-sway_bar,מוט_נגד_נדנוד
152,,,,tail_fin,סנפיר_הזנב
