,ID,Relation,Source,Target,HE
0,L09_1,antonyms - gradable,able,,יכול
1,,,,unable,לא_מסוגל
2,,,,incapable,DUPLICATE_לא_מסוגל
3,,,,incompetent,חסר_יכולת
4,,,,unequal,DUPLICATE_לא_מסוגל
6,L09_2,antonyms - gradable,abundant,,שׁוֹפֵעַ
7,,,,scarce,DUPLICATE_נדיר
8,,,,rare,נָדִיר
9,,,,tight,הדוק
10,,,,meager,דַל
11,,,,meagre,DUPLICATE_דל
12,,,,meagerly,בדל
13,,,,stingy,קַמצָן
14,,,,scrimpy,קמץ
15,,,,insufficient,לא_מספיק
16,,,,deficient,חָסֵר
18,L09_3,antonyms - gradable,aware,,מוּדָע
19,,,,unaware,לא_מודע
20,,,,oblivious,מִתעַלֵם
21,,,,unmindful,רשלני
22,,,,unconscious,חסר_הכרה
23,,,,unsuspecting,לא_חושד
24,,,,asleep,יָשֵׁן
25,,,,insensible,חסר_רגש
26,,,,unwitting,לא_מכוון
27,,,,ignorant,בַּעַר
28,,,,indifferent,אָדִישׁ
30,L09_4,antonyms - gradable,beautiful,,יפה
31,,,,ugly,מְכוֹעָר
32,,,,disfigured,מעוות
33,,,,evil-looking,רע-למראה
34,,,,fugly,מכוער_מאד
35,,,,grotesque,גרוֹטֶסקִי
36,,,,monstrous,מִפלַצתִי
37,,,,hideous,DUPLICATE_מכוער
38,,,,repulsive,דוֹחֶה
39,,,,ill-favored,DUPLICATE_מכוער
40,,,,ill-favoured,DUPLICATE_מכוער
41,,,,scrofulous,מגושם
42,,,,unlovely,לא_נעים_למראה
43,,,,unpicturesque,לא_ציורי
44,,,,unsightly,DUPLICATE_מכוער
45,,,,displeasing,לא_נעים
46,,,,unattractive,לא_מושך
47,,,,awkward,מוזר
49,L09_5,antonyms - gradable,big,,גָדוֹל
50,,,,small,קָטָן
51,,,,atomic,אָטוֹמִי
52,,,,subatomic,תת_אטומי
53,,,,bantam,NO_TRANSLATION
54,,,,diminutive,DUPLICATE_זעיר
55,,,,lilliputian,נַנָּסִי
56,,,,midget,גַמָד
57,,,,petite,DUPLICATE_קטן
58,,,,tiny,זָעִיר
59,,,,flyspeck,כתם_זבוב
60,,,,bitty,DUPLICATE_קטנטן
61,,,,bittie,DUPLICATE_קטנטן
62,,,,teensy,DUPLICATE_זעיר
63,,,,teentsy,DUPLICATE_זעיר
64,,,,teeny,קְטַנְטַן
65,,,,wee,פעוט
66,,,,weeny,DUPLICATE_זעיר
67,,,,weensy,DUPLICATE_זעיר
68,,,,teensy-weensy,פִּצְפּוֹן
69,,,,teeny-weeny,DUPLICATE_פצפון
70,,,,itty-bitty,טיפ_טיפה
71,,,,itsy-bitsy,DUPLICATE_קטנטן
72,,,,dinky,חסר_חשיבות
73,,,,dwarfish,גַמָדִי
74,,,,elfin,DUPLICATE_קטן
75,,,,elflike,שדונים
76,,,,gnomish,ננס
77,,,,half-size,חצי_מידה
78,,,,infinitesimal,זעיר_מאד
79,,,,minute,דַקָה
80,,,,lesser,DUPLICATE_קטן_יותר
81,,,,microscopic,מִיקרוֹסקוֹפִּי
82,,,,microscopical,DUPLICATE_מיקרוסקופי
83,,,,micro,מיקרו
84,,,,miniature,מִינִיאָטוּרָה
85,,,,minuscule,DUPLICATE_זעיר
86,,,,miniscule,DUPLICATE_זעיר
87,,,,olive-sized,בגודל_זית
88,,,,pocket-size,גודל_כיס
89,,,,pocket-sized,בגודל_כיס
90,,,,pocketable,ניתן_לכיס
91,,,,puny,חַלָּשׁ
92,,,,runty,DUPLICATE_רזה
93,,,,shrimpy,חסילון
94,,,,slender,DUPLICATE_רזה
95,,,,slim,רָזֶה
96,,,,smaller,קטן_יותר
97,,,,littler,מועט
98,,,,smallish,DUPLICATE_קטן
99,,,,small-scale,קנה_מידה_קטן
100,,,,undersize,גודל_תחתון
101,,,,undersized,גוּץ
103,L09_6,antonyms - gradable,bright,,בָּהִיר
104,,,,pale,חיוור
105,,,,colorless,חסר_צבע
106,,,,colourless,DUPLICATE_חסר_צבע
107,,,,dull,משעמם
108,,,,neutral,ניטראלי
109,,,,white,לבן
110,,,,bleached,מולבן
111,,,,faded,דהה
112,,,,washed-out,דהוי
113,,,,washy,דָּלִיל
114,,,,drab,חַדְגּוֹנִי
115,,,,somber,קוֹדֵר
116,,,,sombre,DUPLICATE_קודר
117,,,,dulled,עמום
118,,,,greyed,אפור
119,,,,etiolate,הֶחְוִיר
120,,,,etiolated,DUPLICATE_החויר
121,,,,lurid,חִוֵּר
122,,,,waxen,שעשוי_משעווה
123,,,,waxlike,דמוי_שעווה
124,,,,waxy,DUPLICATE_שעשוי_משעווה
125,,,,whitened,הלבנה
127,L09_7,antonyms - gradable,cheap,,זוֹל
128,,,,expensive,יָקָר
129,,,,big-ticket,כרטיס_גדול
130,,,,high-ticket,כרטיס_גבוה
131,,,,costly,DUPLICATE_יקר
132,,,,dear,אהוב
133,,,,high-priced,במחיר_גבוה
134,,,,pricey,DUPLICATE_יקר
135,,,,pricy,מחיר
136,,,,dearly-won,זכה_ביוקר
137,,,,overpriced,במחיר_מופקע
138,,,,valuable,בעל_ערך
140,L09_8,antonyms - gradable,clean,,לְנַקוֹת
141,,,,dirty,מְלוּכלָך
142,,,,soiled,DUPLICATE_מלוכלך
143,,,,unclean,טָמֵא
144,,,,augean,DUPLICATE_מטונף
145,,,,bedraggled,לכלך
146,,,,draggled,DUPLICATE_לכלך
147,,,,befouled,הוחלף
148,,,,fouled,מְרוּפָּשׁ
149,,,,begrimed,מבולבל
150,,,,dingy,חַדְגּוֹנִי
151,,,,grimy,DUPLICATE_מלוכלך
152,,,,grubby,DUPLICATE_מלוכלך
153,,,,grungy,DUPLICATE_מלוכלך
154,,,,raunchy,מְרֻשָּׁל
155,,,,black,שָׁחוֹר
156,,,,smutty,DUPLICATE_מלוכלך
157,,,,buggy,מְטֹרָף
158,,,,cobwebby,קורי_עכביש
159,,,,dirty-faced,פנים_מלוכלכות
160,,,,feculent,מְזֹהָם
161,,,,filthy,מטונף
162,,,,foul,מְגוּנֶה
163,,,,nasty,מַגְעִיל
164,,,,flyblown,לא_טהור
165,,,,squalid,DUPLICATE_מטונף
166,,,,sordid,מוּשׁחָת
167,,,,greasy,שמנוני
168,,,,oily,DUPLICATE_שמנוני
169,,,,lousy,מְחוּרבָּן
170,,,,maculate,מֻכְתָּם
171,,,,mucky,DUPLICATE_מטונף
172,,,,muddy,בּוֹצִי
173,,,,ratty,מְדֻבְלָל
174,,,,scummy,מכוסה_זוהמה
175,,,,smudgy,כתם
176,,,,snotty,בָּזוּי
177,,,,snot-nosed,זב-חטם
178,,,,sooty,מְפוּיָח
179,,,,travel-soiled,מלוכלך_בנסיעות
180,,,,travel-stained,מוכתם_בנסיעות
181,,,,uncleanly,בצורה_מלוכלכת
182,,,,unswept,לא_נסחף
183,,,,unwashed,לא_שטוף
185,L09_9,antonyms - gradable,clear,,ברור
186,,,,vague,מְעוּרפָּל
187,,,,obscure,DUPLICATE_מעורפל
188,,,,unclear,לא_ברור
189,,,,undefined,לא_מוגדר
190,,,,indefinable,בלתי_ניתן_להגדרה
191,,,,undefinable,DUPLICATE_בלתי_ניתן_להגדרה
193,L09_10,antonyms - gradable,close,,סגור
194,,,,distant,רָחוֹק
195,,,,remote,מְרוּחָק
196,,,,removed,הוסר
197,,,,far,DUPLICATE_רָחוֹק
198,,,,faraway,הרחק
200,L09_11,antonyms - gradable,colorful,,צִבעוֹנִי
201,,,,colorless,חסר_צבע
202,,,,colourless,DUPLICATE_חסר_צבע
203,,,,dull,קֵהֶה
204,,,,neutral,ניטראלי
205,,,,pale,חיוור
206,,,,white,לבן
207,,,,bleached,מולבן
208,,,,faded,דהה
209,,,,washed-out,דהוי
210,,,,washy,DUPLICATE_דהוי
211,,,,drab,מְשַׁעֲמֵם
212,,,,somber,קוֹדֵר
213,,,,sombre,DUPLICATE_קודר
214,,,,dulled,עמום
215,,,,greyed,אפור
216,,,,etiolate,הֶחְוִיר
217,,,,etiolated,DUPLICATE_החויר
218,,,,lurid,חִוֵּר
219,,,,waxen,שעווה
220,,,,waxlike,דמוי_שעווה
221,,,,waxy,DUPLICATE_שעשוי_משעווה
222,,,,whitened,הלבנה
224,L09_12,antonyms - gradable,common,,מְשׁוּתָף
225,,,,rare,נָדִיר
226,,,,infrequent,DUPLICATE_נדיר
227,,,,scarce,DUPLICATE_נדיר
228,,,,uncommon,בלתי_רגיל
229,,,,extraordinary,יוצא_דופן
231,L09_13,antonyms - gradable,competent,,מוסמך
232,,,,incompetent,חסר_יכולת
233,,,,unskilled,לא_מקצועי
234,,,,unqualified,לא_מוסמך
235,,,,inefficient,לא_יעיל
237,L09_14,antonyms - gradable,concerned,,מודאג
238,,,,unconcerned,לא_אכפתי
239,,,,blase,DUPLICATE_אדיש
240,,,,blithe,עַלִיז
241,,,,casual,אַגָבִי
242,,,,insouciant,שַׁאֲנָן
243,,,,nonchalant,קר_רוח
244,,,,degage,לא_מודאג
245,,,,detached,מְנוּתָק
246,,,,uninvolved,לא_מעורב
247,,,,indifferent,אָדִישׁ
248,,,,careless,רשלן
249,,,,untroubled,חסר_דאגה
251,L09_15,antonyms - gradable,cooked,,מְבוּשָׁל
252,,,,raw,גָּלְמִי
253,,,,half-baked,אפוי_למחצה
254,,,,fresh,טָרִי
255,,,,natural,טִבעִי
256,,,,underdone,DUPLICATE_נא
257,,,,rare,נא
258,,,,uncooked,לא_מבושל
259,,,,untoasted,לא_קלוי
261,L09_16,antonyms - gradable,dangerous,,מְסוּכָּן
262,,,,safe,בטוח
263,,,,fail-safe,אל-כשל
264,,,,risk-free,ללא_סיכון
265,,,,riskless,חסר_סיכון
266,,,,unhazardous,בלתי_מסוכן
267,,,,safe-and-sound,בריא_ושלם
268,,,,unhurt,ללא_פגע
269,,,,harmless,לא_מזיק
270,,,,invulnerable,לא_פגיע
271,,,,secure,מאובטח
272,,,,uninjured,לא_נפגע
274,L09_17,antonyms - gradable,decisive,,מַכרִיעַ
275,,,,hesitating,חוֹשֵׁשׁ
276,,,,indecisive,הססני
277,,,,hesitant,מְהַסֵס
278,,,,inconclusive,לא_מכריע
279,,,,irresolute,DUPLICATE_הססני
281,L09_18,antonyms - gradable,dry,,יָבֵשׁ
282,,,,wet,רָטוֹב
283,,,,bedewed,לִחְלֵחַ
284,,,,dewy,טְלָלִי
285,,,,besprent,NO_TRANSLATION
286,,,,boggy,טוֹבְעָנִי
287,,,,marshy,בצתי
288,,,,miry,מרופש
289,,,,mucky,מְטוּנָף
290,,,,muddy,בּוֹצִי
291,,,,quaggy,מעורפל
292,,,,sloppy,מרושל
293,,,,sloughy,בּוֹצָנִי
294,,,,soggy,סָפוּג
295,,,,squashy,דחוס
296,,,,swampy,DUPLICATE_טוֹבְעָנִי
297,,,,waterlogged,רווי_מים
298,,,,clammy,לח_ודביק
299,,,,dank,טָחוּב
300,,,,damp,DUPLICATE_לח
301,,,,dampish,DUPLICATE_לח
302,,,,moist,לַח
303,,,,sodden,רָווּי
304,,,,soppy,DUPLICATE_ספוג
305,,,,drippy,טפטוף
306,,,,drizzly,DUPLICATE_טפטוף
307,,,,humid,DUPLICATE_לח
308,,,,misty,עַרְפִילִי
309,,,,muggy,לח_וחם
310,,,,steamy,הביל
311,,,,sticky,דָבִיק
312,,,,reeking,הִצְחִין
313,,,,watery,מֵימִי
314,,,,rheumy,מפריש_ריר
315,,,,showery,מטרים_תכופים
316,,,,rainy,גָשׁוּם
317,,,,steaming,מהביל
318,,,,tacky,DUPLICATE_דָבִיק
319,,,,undried,לא_מיובש
320,,,,washed,רָחוּץ
322,L09_19,antonyms - gradable,energetic,,נִמרָץ
323,,,,lethargic,רָדוּם
324,,,,unergetic,לא_אנרגטי
325,,,,dazed,המום
326,,,,foggy,מעורפל
327,,,,groggy,חָלוּשׁ
328,,,,logy,מְשַׁעֲמֵם
329,,,,stuporous,ערפול_חושים
330,,,,dreamy,חוֹלמָנִי
331,,,,lackadaisical,DUPLICATE_אדיש
332,,,,languid,רָפֶה
333,,,,languorous,חסר_חיוניות
334,,,,listless,אָדִישׁ
335,,,,inactive,לא_פעיל
337,L09_20,antonyms - gradable,familiar,,מוּכָּר
338,,,,unfamiliar,DUPLICATE_זר
339,,,,strange,מוּזָר
340,,,,unknown,לא_ידוע
341,,,,unacquainted,שאינו_בקיא
342,,,,foreign,זָר
344,L09_21,antonyms - gradable,fat,,שמן
345,,,,thin,רזה
