,ID,Relation,Source,Target,HE
0,L10_1,antonyms - binary,after,,לאחר
1,,,,before,לפני
2,,,,earlier,מוקדם_יותר
3,,,,previously,קוֹדֶם
5,L10_2,antonyms - binary,ahead,,קָדִימָה
6,,,,behind,מֵאָחוֹר
7,,,,rear,חלק_אחורי
8,,,,after,לאחר
9,,,,tail,זָנָב
10,,,,beforehand,מִרֹאשׁ
12,L10_3,antonyms - binary,anterior,,קִדמִי
13,,,,posterior,אֲחוֹרִי
15,L10_4,antonyms - binary,backward,,לְאָחוֹר
16,,,,forward,קָדִימָה
17,,,,forwards,DUPLICATE_קדימה
18,,,,frontward,מקדימה
19,,,,frontwards,קדמית
20,,,,forrad,להתקדם
21,,,,forrard,DUPLICATE_קדימה
22,,,,forth,הָלְאָה
23,,,,onward,DUPLICATE_הלאה
25,L10_5,antonyms - binary,before,,לפני
26,,,,after,לאחר
27,,,,subsequently,כתוצאה_מכך
28,,,,later,מאוחר_יותר
29,,,,afterwards,לאחר_מכן
30,,,,afterward,אחר_כך
31,,,,ahead,קָדִימָה
33,L10_6,antonyms - binary,beginning,,התחלה
34,,,,end,סוֹף
35,,,,terminal,מָסוֹף
36,,,,ending,סִיוּם
37,,,,last,אחרון
38,,,,final,סופי
39,,,,finish,סיים
40,,,,finale,DUPLICATE_סִיוּם
41,,,,conclusion,סיכום
43,L10_7,antonyms - binary,below,,לְמַטה
44,,,,above,מֵעַל
45,,,,higher,גבוה_יותר
46,,,,up,לְמַעלָה
48,L10_8,antonyms - binary,climb,,לְטַפֵּס
49,,,,descend,לָרֶדֶת
50,,,,declivitous,מדרוני
51,,,,downhill,בְּמִדרוֹן
52,,,,downward-sloping,משופע_כלפי_מטה
53,,,,degressive,גרסיבי
54,,,,descendant,צאֱצא
55,,,,descendent,DUPLICATE_צאצא
56,,,,down,מטה
57,,,,downward,כלפי_מטה
58,,,,downward-arching,קשת_כלפי_מטה
59,,,,drizzling,טִפטוּף
60,,,,dropping,הַפָּלָה
61,,,,falling,נופל
62,,,,raining,יורד_גשם
64,L10_9,antonyms - binary,dead,,מֵת
65,,,,alive,בחיים
66,,,,living,חַי
67,,,,live,לחיות
69,L10_10,antonyms - binary,decrement,,ירידה
70,,,,increment,עליה
72,L10_11,antonyms - binary,descend,,לָרֶדֶת
73,,,,ascend,DUPLICATE_לעלות
74,,,,climb,לְטַפֵּס
75,,,,rise,לעלות
76,,,,upward,למעלה
77,,,,ascendent,DUPLICATE_עולה
78,,,,ascendant,עולה
80,L10_12,antonyms - binary,dive,,לִצְלוֹל
81,,,,emerge,לָצֵאת
83,L10_13,antonyms - binary,down,,מטה
84,,,,up,לְמַעלָה
85,,,,above,מֵעַל
