,ID,Relation,Source,Target,HR
0,L01_1,hypernyms - animals,allosaurus,,alosaur
1,,,,dinosaur,dinosaur
2,,,,reptile,gmaz
3,,,,bird,ptica
4,,,,archosaur,arhosaur
5,,,,archosaurian,DUPLICATE_arhosaur
6,,,,archosaurian_reptile,arhosaurski_gmaz
7,,,,,arhosaurski_reptil
8,L01_2,hypernyms - animals,anaconda,,anakonda
9,,,,snake,zmija
10,,,,reptile,gmaz
11,,,,boa,udav
12,,,,serpent,DUPLICATE_zmija
13,,,,ophidian,DUPLICATE_zmija
15,L01_3,hypernyms - animals,ant,,mrav
16,,,,insect,kukac
17,,,,invertebrate,beskralježnjak
18,,,,creature,stvor
19,,,,beast,zvijer
20,,,,hymenopteran,opnokrilac
21,,,,being,biće
22,,,,animal,životinja
23,,,,organism,organizam
24,,,,fauna,fauna
25,,,,arthropod,člankonožac
26,,,,hymenopterous_insect,kukac_opnokrilac
27,,,,animate_being,živo_biće
28,,,,physical_hymenopteron,DUPLICATE_opnokrilac
29,,,,physical_entity,fizički_entitet
30,,,,hymenopter,DUPLICATE_opnokrilac
31,,,,living_thing,živa_stvar
33,L01_4,hypernyms - animals,beaver,,dabar
34,,,,rodent,glodavac
35,,,,vertebrate,kralježnjak
36,,,,creature,stvor
37,,,,beast,zvijer
38,,,,animal,životinja
39,,,,organism,organizam
40,,,,fauna,fauna
41,,,,placental,plodvaš
42,,,,chordate,svitkovac
43,,,,eutherian,viši_sisavac
44,,,,mammal,sisavac
45,,,,mammalian,DUPLICATE_sisavac
46,,,,eutherian_mammal,DUPLICATE_viši_sisavac
47,,,,gnawer,DUPLICATE_glodavac
48,,,,animate_being,živo_biće
49,,,,living_thing,živa_stvar
50,,,,placental_mammal,placentalni_sisavac
51,,,,craniate,lubanjac
53,L01_5,hypernyms - animals,bee,,pčela
54,,,,insect,kukac
55,,,,invertebrate,beskralježnjak
56,,,,creature,stvor
57,,,,beast,zvijer
58,,,,hymenopteran,opnokrilac
59,,,,being,biće
60,,,,animal,životinja
61,,,,organism,organizam
62,,,,fauna,fauna
63,,,,arthropod,člankonožac
64,,,,hymenopterous_insect,kukac_opnokrilac
65,,,,animate_being,živo_biće
66,,,,hymenopteron,DUPLICATE_opnokrilac
67,,,,hymenopter,DUPLICATE_opnokrilac
68,,,,living_thing,živa_stvar
71,L01_6,hypernyms - animals,beetle,,buba
72,,,,insect,insekt
73,,,,invertebrate,beskralježnjak
74,,,,creature,stvor
75,,,,beast,zvijer
76,,,,being,biće
77,,,,animal,životinja
78,,,,organism,organizam
79,,,,fauna,fauna
80,,,,arthropod,člankonožac
81,,,,animate_being,živo_biće
82,,,,living_thing,živa_stvar
