,ID,Relation,Source,Target,HR
0,L02_1,hypernyms - misc,armchair,,naslonjač
1,,,,chair,stolac
2,,,,seat,sjedište
3,,,,piece_of_furniture,komad_namještaja
4,,,,article_of_furniture,DUPLICATE_komad_namještaja
5,,,,furnishing,namještaj
6,,,,artifact,artefakt
7,,,,artefact,DUPLICATE_artefakt
8,,,,unit,jedinica
9,,,,object,objekt
10,,,,physical_object,fizički_objekt
11,,,,physical_entity,fizički_entitet
12,,,,entity,entitet
13,,,,,stolica
14,L02_2,hypernyms - misc,blender,,blender
15,,,,appliance,uređaj
16,,,,mixer,mikser
17,,,,kitchen_utensil,kuhinjski_pribor
18,,,,utensil,pribor
19,,,,implement,alat
20,,,,artifact,artefakt
21,,,,artefact,DUPLICATE_artefakt
22,,,,unit,jedinica
23,,,,object,objekt
24,,,,physical_object,fizički_objekt
25,,,,physical_entity,fizički_entitet
26,,,,entity,entitet
27,,,,,aparat
28,L02_3,hypernyms - misc,bracelet,,narukvica
29,,,,jewelry,nakit
30,,,,band,traka
31,,,,strip,vrpca
32,,,,slip,DUPLICATE_traka
33,,,,artifact,artefakt
34,,,,artefact,DUPLICATE_artefakt
35,,,,unit,jedinica
36,,,,object,objekt
37,,,,physical_object,fizički_objekt
38,,,,physical_entity,fizički_entitet
39,,,,entity,entitet
40,,,,jewellery,DUPLICATE_nakit
41,,,,adornment,ukras
42,,,,decoration,dekoracija
43,,,,ornament,ornament
44,,,,ornamentation,DUPLICATE_ukras
46,L02_4,hypernyms - misc,brooch,,broš
47,,,,jewelry,nakit
48,,,,jewellery,DUPLICATE_nakit
49,,,,adornment,ukras
50,,,,decoration,dekoracija
51,,,,ornament,ornament
52,,,,ornamentation,ukrašavanje
53,,,,artifact,artefakt
54,,,,artefact,DUPLICATE_artefakt
55,,,,unit,jedinica
56,,,,object,objekt
57,,,,physical_object,fizički_objekt
59,L02_5,hypernyms - misc,cake,,kolač
60,,,,dessert,slastica
61,,,,baked_goods,pekarski_proizvodi
62,,,,food,hrana
63,,,,solid_food,kruta_hrana
64,,,,course,slijed
65,,,,nutriment,hranjiva_tvar
