,ID,Relation,Source,Target,HR
0,L03_1,hyponyms - misc,backpack,,naprtnjača
1,,,,daypack,ruksak
2,,,,kitbag,torba_za_opremu
3,,,,kit_bag,DUPLICATE_torba_za_opremu
5,L03_2,hyponyms - misc,bag,,torba
6,,,,pouch,torbica
7,,,,backpack,ruksak
8,,,,knapsack,naprtnjača
9,,,,packsack,DUPLICATE_ruksak
10,,,,rucksack,DUPLICATE_ruksak
11,,,,haversack,ranac
12,,,,beanbag,vreća_za_sjedenje
13,,,,bladder,mjehur
14,,,,carryall,DUPLICATE_torba
15,,,,holdall,DUPLICATE_torba
16,,,,tote,vrećica
17,,,,drawstring,krpena_vrećica
18,,,,dust,vrećica_za_prašinu
19,,,,vacuum,vrećica_za_usisavanje
20,,,,envelope,pismo_torbica
21,,,,gasbag,zračna_vreća
22,,,,gamebag,torba_za_lov
23,,,,golf,torba_za_golf
24,,,,gunnysack,jutena_vreća
25,,,,gunny,DUPLICATE_jutena_vreća
26,,,,burlap,DUPLICATE_jutena_vreća
27,,,,ice,vrećica_za_led
28,,,,mailbag,poštarska_torba
29,,,,postbag,DUPLICATE_poštarska_torba
30,,,,nosebag,zobnica
31,,,,feedbag,DUPLICATE_zobnica
32,,,,pannier,bisage
33,,,,plastic,plastična_vrećica
34,,,,purse,DUPLICATE_torbica
35,,,,ragbag,NO_TRANSLATION
36,,,,rosin,najlonska_vrećica
37,,,,sachet,DUPLICATE_vrećica
38,,,,sack,vreća
39,,,,poke,vrećica_s_uzicom
40,,,,paper,papirnata_vrećica
41,,,,carrier,vrećica_za_kupovinu
42,,,,saddlebag,torba_za_sedlo
43,,,,sandbag,vreća_pijeska
44,,,,schoolbag,školska_torba
45,,,,shopping,DUPLICATE_vrećica_za_kupovinu
46,,,,sick_bag,vrećica_za_povraćanje
47,,,,sickbag,DUPLICATE_vrećica_za_povraćanje
48,,,,skin,kožna_torba
49,,,,sleeping,vreća_za_spavanje
50,,,,sweat,DUPLICATE_NO_TRANSLATION
51,,,,tea,vrećica_za_čaj
52,,,,toilet,toaletna_torbica
53,,,,sponge,DUPLICATE_toaletna_torbica
54,,,,tool,torba_za_alat
55,,,,tucker-bag,DUPLICATE_NO_TRANSLATION
56,,,,,neseser
57,L03_3,hyponyms - misc,bed,,krevet
58,,,,bunk,krevet_na_kat
59,,,,berth,ležaj
60,,,,built,DUPLICATE_ugrađeni_krevet
61,,,,built-in,ugrađeni_krevet
62,,,,cot,kolijevka
63,,,,camp,poljski_krevet
64,,,,couch,kauč
65,,,,deathbed,samrtna_postelja
66,,,,double,bračni_krevet
67,,,,four-poster,krevet_s_baldahinom
68,,,,hammock,ležaljka
69,,,,sack,krevet_vreća
70,,,,marriage_bed,DUPLICATE_bračni_krevet
71,,,,murphy,krevet_na_sklapanje
72,,,,plank-bed,drveni_krevet
73,,,,platform,krevet_na_platformi
74,,,,sickbed,DUPLICATE_samrtna_postelja
75,,,,single_bed,krevet_za_jednu_osobu
76,,,,sleigh,NO_TRANSLATION
77,,,,trundle,krevet_s_pomoćnim_ležajem
78,,,,truckle,pomoćni_ležaj
79,,,,twin,dupli_krevet
80,,,,water,vodeni_krevet
81,,,,semi-double,DUPLICATE_NO_TRANSLATION
82,,,,semidouble,DUPLICATE_NO_TRANSLATION
83,,,,,tapecirani_krevet
84,L03_4,hyponyms - misc,boat,,brod
85,,,,ferry,trajekt
86,,,,ark,arka
87,,,,barge,teglenica
88,,,,flatboat,čamac_s_ravnim_dnom
89,,,,hoy,NO_TRANSLATION
90,,,,lighter,teretni_brod
91,,,,bumboat,izletnički_brod
92,,,,canal_boat,brod_za_vožnju_kanalima
93,,,,narrow_boat,uski_brod
94,,,,narrowboat,DUPLICATE_uski_brod
95,,,,ferryboat,DUPLICATE_trajekt
96,,,,fireboat,vatrogasni_brod
97,,,,gondola,gondola
98,,,,guard_boat,brod_obalne_straže
99,,,,gunboat,topovnjača
100,,,,junk,teglenica_za_smeće
101,,,,longboat,dugi_brod
102,,,,lugger,loger
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,poštanski_brod
105,,,,mail,DUPLICATE_poštanski_brod
106,,,,packet,DUPLICATE_NO_TRANSLATION
107,,,,motorboat,motorni_čamac
108,,,,powerboat,DUPLICATE_motorni_čamac
109,,,,pilot,DUPLICATE_NO_TRANSLATION
110,,,,police,policijski_brod
111,,,,punt,punta
112,,,,river_boat,riječni_brod
113,,,,scow,DUPLICATE_teglenica
114,,,,sea_boat,morski_čamac
115,,,,small_boat,mali_čamac
116,,,,steamboat,parobrod
117,,,,surfboat,DUPLICATE_NO_TRANSLATION
118,,,,tender_boat,pomoćni_čamac
119,,,,pinnace,DUPLICATE_NO_TRANSLATION
120,,,,cutter_boat,brod_rezač
121,,,,tugboat,tegljač
122,,,,tug,remorker
123,,,,towboat,brod_za_vuču
124,,,,tower_boat,DUPLICATE_brod_za_vuču
125,,,,yacht,jahta
126,,,,sail,jedrilica
127,,,,row,čamac_na_vesla
128,,,,canoe,kanu
129,,,,kayak,kajak
130,,,,paddle,pedalina
131,,,,paddle_boat,DUPLICATE_čamac_na_vesla
132,,,,,"barža,tender,gumenjak,gliser"
133,L03_5,hyponyms - misc,book,,knjiga
134,,,,paperback,meki_uvez
135,,,,album,album
136,,,,folio,folio
137,,,,hardback,tvrdi_uvez
138,,,,hardcover,DUPLICATE_tvrdi_uvez
139,,,,journal,dnevnik
140,,,,novel,roman
141,,,,order,knjiga_narudžbi
142,,,,paper-back,DUPLICATE_meki_uvez
143,,,,softback,DUPLICATE_meki_uvez
144,,,,soft-cover,DUPLICATE_meki_uvez
145,,,,picture,slikovnica
146,,,,sketchbook,blok_za_crtanje
147,,,,sketch,skica
148,,,,notebook,bilježnica
150,L03_6,hyponyms - misc,brush,,četka
151,,,,toothbrush,četkica_za_zube
152,,,,bottlebrush,četkica_za_boce
153,,,,bristle,DUPLICATE_četka_za_kosu
154,,,,clothesbrush,četka_za_odjeću
155,,,,hairbrush,četka_za_kosu
156,,,,nailbrush,četkica_za_nokte
157,,,,paintbrush,kist
158,,,,sable,DUPLICATE_kist
159,,,,scrub,četka_za_čišćenje
160,,,,scrubbing,DUPLICATE_četka_za_čišćenje
161,,,,scrubber,četka_za_pranje
162,,,,shaving_brush,četkica_za_brijanje
164,L03_7,hyponyms - misc,burger,,hamburger
165,,,,hamburger,DUPLICATE_hamburger
166,,,,cheeseburger,NO_TRANSLATION
167,,,,50,DUPLICATE_NO_TRANSLATION
168,,,,50_burger,DUPLICATE_NO_TRANSLATION
169,,,,angus_burger,DUPLICATE_NO_TRANSLATION
170,,,,banquet_burger,DUPLICATE_NO_TRANSLATION
171,,,,barbecue_burger,DUPLICATE_NO_TRANSLATION
172,,,,bøfsandwich,DUPLICATE_NO_TRANSLATION
173,,,,utter_burge,DUPLICATE_NO_TRANSLATION
174,,,,buffalo_burger,DUPLICATE_NO_TRANSLATION
175,,,,california_burger,DUPLICATE_NO_TRANSLATION
176,,,,chili_burger,chilli_burger
177,,,,curry_burger,DUPLICATE_NO_TRANSLATION
178,,,,hamdog,DUPLICATE_NO_TRANSLATION
179,,,,salmon_burger,DUPLICATE_NO_TRANSLATION
180,,,,rice_burger,DUPLICATE_NO_TRANSLATION
181,,,,veggie_burger,veggie_burger
182,,,,,"chicken_burger,Big_Mac"
183,L03_8,hyponyms - misc,camera,,kamera
184,,,,camcorder,videokamera
185,,,,box_camera,fotoaparat_u_kutiji
186,,,,box_kodak,DUPLICATE_fotoaparat_u_kutiji
187,,,,candid_camera,skrivena_kamera
188,,,,digital_camera,digitalni_fotoaparat
189,,,,flash_camera,fotoaparat_s_blicem
190,,,,motion-picture_camera,filmska_kamera
191,,,,movie_camera,DUPLICATE_filmska_kamera
192,,,,cine-camera,DUPLICATE_filmska_kamera
193,,,,point-and-shoot_camera,kompaktni_fotoaparat
194,,,,point-and-shoot,kompakt
195,,,,polaroid_camera,polaroidni_fotoaparat
196,,,,polaroid_land_camera,NO_TRANSLATION
197,,,,polaroid,polaroid
198,,,,portrait_camera,DUPLICATE_NO_TRANSLATION
199,,,,reflex_camera,zrcalni_fotoaparat
200,,,,webcam,webcam
201,,,,webcamera,webkamera
202,,,,sound_camera,DUPLICATE_NO_TRANSLATION
203,,,,,"jednooki_zrcalni_fotoaparat,panoramski_fotoaparat,DSLR"
204,L03_9,hyponyms - misc,candy,,slatkiš
205,,,,lollipop,lizalica
206,,,,candy_bar,čokoladica
207,,,,carob_bar,čokoladica_od_rogača
208,,,,hard_candy,tvrdi_bombon
209,,,,brandyball,NO_TRANSLATION
210,,,,patty,DUPLICATE_NO_TRANSLATION
211,,,,bonbon,bombon
212,,,,brittle,krokant
213,,,,toffee,karamela
214,,,,toffy,DUPLICATE_karamela
215,,,,butterscotch,DUPLICATE_karamela
216,,,,candy_cane,DUPLICATE_lizalica
217,,,,candy_corn,DUPLICATE_NO_TRANSLATION
218,,,,caramel,DUPLICATE_karamela
219,,,,cotton_candy,šećerna_vata
220,,,,spun_sugar,DUPLICATE_NO_TRANSLATION
221,,,,candyfloss,DUPLICATE_šećerna_vata
222,,,,dragee,dražeja
223,,,,fondant,fondan
224,,,,fudge,fudge
225,,,,gumdrop,žele_bombon
226,,,,honey_crisp,DUPLICATE_NO_TRANSLATION
227,,,,mint,pepermint
228,,,,mint_candy,pepermint_bombon
229,,,,horehound,mentol_bombon
230,,,,jelly_bean,gumeni_bombon
231,,,,jelly_egg,DUPLICATE_NO_TRANSLATION
232,,,,kiss,kapljica
233,,,,candy_kiss,DUPLICATE_kapljica
234,,,,licorice,DUPLICATE_sladić
235,,,,liquorice,sladić
236,,,,life_saver,DUPLICATE_NO_TRANSLATION
237,,,,sucker,bombon_za_cuclanje
238,,,,all-day_sucker,DUPLICATE_NO_TRANSLATION
239,,,,lozenge,bombon_za_grlo
240,,,,marshmallow,sljezov_kolačić
241,,,,marzipan,marcipan
242,,,,marchpane,DUPLICATE_marcipan
243,,,,nougat,nugat
244,,,,nougat_bar,pločica_od_nugata
245,,,,nut_bar,pločica_od_lješnjaka
246,,,,peanut_bar,kikiriki_pločica
247,,,,popcorn_ball,DUPLICATE_NO_TRANSLATION
248,,,,praline,pralina
249,,,,rock_candy,DUPLICATE_tvrdi_bombon
250,,,,rock,DUPLICATE_tvrdi_bombon
251,,,,sugar_candy,šećerni_bombon
252,,,,sugarplum,kuglice
253,,,,taffy,DUPLICATE_NO_TRANSLATION
254,,,,truffle,truffle
255,,,,chocolate_truffle,čokoladni_truffle
256,,,,turkish_delight,rahatlokum
257,,,,easter_egg,uskrsno_jaje
258,,,,,slatki_korijen
259,L03_10,hyponyms - misc,car,,auto
260,,,,limousine,limuzina
261,,,,convertible,kabriolet
262,,,,ambulance,vozilo_hitne_pomoći
263,,,,beach,NO_TRANSLATION
264,,,,wagon,karavan
265,,,,station,DUPLICATE_karavan
266,,,,estate,DUPLICATE_karavan
267,,,,waggon,DUPLICATE_karavan
268,,,,bus,autobus
269,,,,jalopy,krntija
270,,,,heap,auto_za_otpad
271,,,,cab,taksi
272,,,,hack,DUPLICATE_NO_TRANSLATION
273,,,,taxi,DUPLICATE_taksi
274,,,,taxicab,DUPLICATE_taksi
275,,,,compact,kompakt
276,,,,coupe,kupe
277,,,,cruiser,terenac
278,,,,police,policijski_auto
279,,,,patrol,DUPLICATE_policijski_auto
280,,,,prowl,DUPLICATE_policijski_auto
281,,,,squad,DUPLICATE_policijski_auto
282,,,,electric,električni_auto
283,,,,hardtop,hardtop
284,,,,hatchback,hatchback
285,,,,hot-rod,hot_rod
286,,,,jeep,džip
287,,,,landrover,landrover
288,,,,limo,DUPLICATE_limuzina
289,,,,loaner,auto_za_najam
290,,,,minicar,miniauto
291,,,,minivan,jednovolumen
292,,,,model,autić
293,,,,pace,sigurnosni_auto
294,,,,racer,trkaći_auto
295,,,,race,trkaći_automobil
296,,,,racing,DUPLICATE_trkaći_automobil
297,,,,roadster,sportski_kabriolet
298,,,,runabout,DUPLICATE_NO_TRANSLATION
299,,,,two-seater,dvosjed
300,,,,sedan,sedan
301,,,,saloon,DUPLICATE_limuzina
302,,,,sports,sportski_automobil
303,,,,sport,DUPLICATE_sportski_automobil
304,,,,suv,DUPLICATE_terenac
305,,,,stanley,DUPLICATE_NO_TRANSLATION
306,,,,steamer,parni_automobil
307,,,,stock,auto_za_kružne_utrke
