,ID,Relation,Source,Target,HR
0,L04_1,meronyms - substance,atmosphere,,atmosfera
1,,,,gas,plin
2,,,,oxygen,kisik
3,,,,hydrogen,vodik
4,,,,nitrogen,dušik
5,,,,ozone,ozon
7,L04_2,meronyms - substance,bag,,torba
8,,,,leather,koža
9,,,,fabric,tkanina
10,,,,plastic,plastika
12,L04_3,meronyms - substance,beach,,plaža
13,,,,sand,pijesak
14,,,,silicon,silicij
15,,,,rocks,stijene
16,,,,pebbles,kamenčići
17,,,,atomic_number_14,atomski_broj_14
18,,,,si,Si
20,L04_4,meronyms - substance,beard,,brada
21,,,,hair,dlaka
23,L04_5,meronyms - substance,body,,tijelo
24,,,,flesh,meso
25,,,,bones,kosti
27,L04_6,meronyms - substance,boots,,čizme
28,,,,leather,koža
29,,,,canvas,platno
31,L04_7,meronyms - substance,bottle,,boca
32,,,,glass,staklo
33,,,,plastic,plastika
35,L04_8,meronyms - substance,bowl,,zdjela
36,,,,glass,staklo
37,,,,china,porculan
38,,,,aluminium,aluminij
39,,,,wood,drvo
40,,,,steel,čelik
41,,,,plastic,plastika
42,,,,clay,glina
44,L04_9,meronyms - substance,box,,kutija
45,,,,cardboard,karton
46,,,,tin,lim
47,,,,boxwood,šimšir
48,,,,turkish_boxwood,NO_TRANSLATION
49,,,,,šimširovina
50,L04_10,meronyms - substance,bread,,kruh
51,,,,flour,brašno
52,,,,yeast,kvasac
54,L04_11,meronyms - substance,bronze,,bronca
55,,,,copper,bakar
56,,,,tin,lim
57,,,,cu,Cu
58,,,,atomic_number_29,atomski_broj_29
60,L04_12,meronyms - substance,candy,,slatkiš
61,,,,sugar,šećer
62,,,,nougat,nugat
63,,,,chocolate,čokolada
64,,,,gelatin,želatina
65,,,,molasses,melasa
66,,,,syrup,sirup
67,,,,honey,med
68,,,,fruit,voće
69,,,,nuts,orašasti_plodovi
71,L04_13,meronyms - substance,chocolate,,čokolada
72,,,,cocoa,kakao
73,,,,bean,grah
74,,,,cacao,DUPLICATE_kakao
75,,,,cacao_bean,zrno_kakaovca
76,,,,cocoa_bean,DUPLICATE_znro_kakaovca
78,L04_14,meronyms - substance,clothing,,odjeća
79,,,,fabric,tkanina
80,,,,leather,koža
82,L04_15,meronyms - substance,cloud,,oblak
83,,,,vapor,para
84,,,,water,voda
85,,,,vapour,DUPLICATE_para
86,,,,water_vapour,vodena_para
87,,,,water_vapor,DUPLICATE_vodena_para
89,L04_16,meronyms - substance,cocktail,,koktel
90,,,,alcohol,alkohol
91,,,,juice,sok
92,,,,water,voda
94,L04_17,meronyms - substance,concrete,,beton
95,,,,silicon,silicij
96,,,,cement,cement
97,,,,water,voda
98,,,,sand,pijesak
99,,,,atomic_number_14,atomski_broj_14
100,,,,si,Si
102,L04_18,meronyms - substance,desk,,radni_stol
103,,,,wood,drvo
104,,,,metal,metal
105,,,,steel,čelik
107,L04_19,meronyms - substance,diamond,,dijamant
108,,,,carbon,ugljik
110,L04_20,meronyms - substance,doorknob,,kvaka
111,,,,metal,metal
112,,,,steel,čelik
113,,,,bronze,bronca
114,,,,wood,drvo
116,L04_21,meronyms - substance,flag,,zastava
117,,,,fabric,tkanina
118,,,,paper,papir
120,L04_22,meronyms - substance,glacier,,ledenjak
121,,,,ice,ledenjak
122,,,,water,voda
123,,,,oxygen,kisik
124,,,,hydrogen,dušik
125,,,,h,H
126,,,,h2o,H2O
127,,,,atomic_number_8,atomski_broj_8
128,,,,atomic_number_1,atomski_broj_1
129,,,,o,O
130,,,,water_ice,vodeni_led
132,L04_23,meronyms - substance,glass,,staklo
133,,,,silicone,silikon
