,ID,Relation,Source,Target,HR
0,L06_1,meronyms - part,academia,,akademija
1,,,,college,koledž
2,,,,university,sveučilište
3,,,,institute,institut
4,,,,,fakultet
5,L06_2,meronyms - part,apartment,,stan
6,,,,bedroom,spavaća_soba
7,,,,room,soba
8,,,,bathroom,kupaonica
9,,,,kitchen,kuhinja
10,,,,kitchenette,kuhinjica
11,,,,living_room,dnevni_boravak
12,,,,pantry,smočnica
13,,,,toilet,zahod
14,,,,shower_room,tuš
15,,,,,dnevna_soba
16,L06_3,meronyms - part,bird,,ptica
17,,,,feathers,perje
18,,,,plume,DUPLICATE_perje
19,,,,preen,trtična_žlijezda
20,,,,croup,zadnjica
21,,,,calamus,šuplja_cijev
22,,,,fowl,perad
23,,,,drumstick,batak
24,,,,syrinx,sirinks
25,,,,bill,DUPLICATE_kljun
26,,,,rump,zadak
27,,,,vane,perce
28,,,,barb,oštra_pero
29,,,,quill,pero
30,,,,shaft,osovina
31,,,,pecker,DUPLICATE_kljun
32,,,,pennon,DUPLICATE_krilo
33,,,,feet,nogice
34,,,,giblets,iznutrice
35,,,,alula,srednje_krilo
36,,,,talon,kandža
37,,,,foot,nogica
38,,,,pinion,DUPLICATE_krilo
39,,,,wing,krilo
40,,,,wishbone,jadac
41,,,,nib,DUPLICATE_kljun
42,,,,sac,vrećica
43,,,,giblet,iznutrica
44,,,,furcula,ključna_kost
45,,,,bird,ptica
46,,,,neb,DUPLICATE_kljun
47,,,,feather,DUPLICATE_pero
48,,,,gland,žlijezda
49,,,,oyster,ostriga
50,,,,thigh,bedro
51,,,,plumage,DUPLICATE_perje
52,,,,web,opna_na_krilu
53,,,,hindquarters,DUPLICATE_zadak
54,,,,beak,kljun
55,,,,parson's_nose,DUPLICATE_stražnjica
56,,,,wishing_bone,DUPLICATE_jadac
57,,,,pope's_nose,DUPLICATE_stražnjica
58,,,,spurious_wing,lažno_krilo
59,,,,bastard_wing,DUPLICATE_lažno_krilo
60,,,,croupe,stražnjica
61,,,,air_sac,zračna_vrećica
62,,,,quill_feather,DUPLICATE_pero
63,,,,uropygium,uropigij
64,,,,bird's_foot,ptičja_noga
65,,,,uropygial,DUPLICATE_uropigijalna_žlijezda
66,,,,second_joint,drugi_zglob_krila
67,,,,uropygial_gland,uropigijalna_žlijezda
68,,,,preen_gland,žlijezda_za_čeprkanje
69,,,,flight_feather,letno_pero
70,,,,dark_meat,tamno_meso
72,L06_4,meronyms - part,brush,,četka
73,,,,bristle,čekinja
74,,,,hold,držalo
75,,,,shank,DUPLICATE_držalo
76,,,,grip,hvat
77,,,,handgrip,DUPLICATE_hvat
78,,,,handle,drška
79,,,,head,glava
80,,,,stem,NO_TRANSLATION
82,L06_5,meronyms - part,bus,,autobus
83,,,,seats,sjedala
84,,,,conductor,kondukter
85,,,,window,prozor
86,,,,driver,vozač
87,,,,roof,krov
89,L06_6,meronyms - part,byte,,bajt
90,,,,bit,bit
92,L06_7,meronyms - part,car,,auto
93,,,,engine,motor
94,,,,armrest,naslon_za_ruke
95,,,,headrest,naslon_za_glavu
96,,,,grille,rešetka
97,,,,hinge,šarka
98,,,,tailpipe,auspuh
99,,,,suspension,ovjes
100,,,,hood,hauba
101,,,,horn,sirena
102,,,,hooter,DUPLICATE_sirena
103,,,,petrol,gorivo
104,,,,pintle,kuka
105,,,,trunk,prtljažnik
106,,,,floorboard,pod
107,,,,bar,šipka
108,,,,gas,DUPLICATE_benzin
109,,,,buffer,odbojnik
110,,,,door,vrata
111,,,,stabilizer,stabilizator
112,,,,seat,sjedalo
113,,,,window,prozor
114,,,,exhaust,ispušna_cijev
115,,,,tailfin,kobilica
116,,,,back,stražnji_dio
117,,,,luggage,DUPLICATE_prtljažnik
118,,,,pedal,pedala
119,,,,cowling,poklopac_motora
120,,,,seatbelt,pojas
121,,,,high,NO_TRANSLATION
122,,,,wing,krilo
123,,,,gasoline,benzin
124,,,,fin,DUPLICATE_kobilica
125,,,,cowl,poklopac
126,,,,silencer,prigušivač
127,,,,gun,DUPLICATE_NO_TRANSLATION
128,,,,compartment,pretinac
129,,,,rear,DUPLICATE_stražnji_dio
130,,,,radiator,hladnjak
131,,,,accessory,dopuna
132,,,,sunroof,krovni_prozor
133,,,,roof,krov
134,,,,lights,svjetla
135,,,,bumper,branik
136,,,,glove,DUPLICATE_pretinac_za_rukavice
137,,,,bag,zračni_jastuk
138,,,,cushion,DUPLICATE_NO_TRANSLATION
139,,,,backrest,naslon_za_leđa
140,,,,accelerator,gas
141,,,,fender,DUPLICATE_branik
142,,,,third,treća
143,,,,throttle,DUPLICATE_gas
144,,,,bonnet,DUPLICATE_hauba
145,,,,air,DUPLICATE_NO_TRANSLATION
146,,,,gear,mijenjač
147,,,,muffler,DUPLICATE_prigušivač
148,,,,mirror,retrovizor
149,,,,shock,DUPLICATE_NO_TRANSLATION
150,,,,reverse,rikverc
151,,,,anti-sway_bar,DUPLICATE_stabilizator
152,,,,tail_fin,DUPLICATE_kobilica
153,,,,accelerator_pedal,papučica_za_gas
154,,,,car_seat,sjedište_auta
155,,,,automobile_horn,automobilska_sirena
156,,,,anti-sway,DUPLICATE_stabilizator
157,,,,automobile_engine,motor_automobila
158,,,,gasoline_engine,benzinski_motor
159,,,,car_door,vrata_automobila
160,,,,shock_absorber,amortizer
161,,,,luggage_compartment,pretinac_za_prtljagu
162,,,,glove_compartment,pretinac_za_rukavice
163,,,,bumper_guard,DUPLICATE_odbojnik
164,,,,exhaust_system,ispušni_sustav
165,,,,first_gear,prva_brzina
166,,,,high_gear,viša_brzina
167,,,,rear_window,stražnje_staklo
168,,,,sunshine-roof,DUPLICATE_krovni_prozor
169,,,,third_gear,treća_brzina
170,,,,air_bag,DUPLICATE_zračni_jastuk
171,,,,doorlock,brava
172,,,,petrol_engine,DUPLICATE_benzinski_motor
173,,,,automobile_trunk,prtljažnik_automobila
174,,,,auto_accessory,dodatci_na_autu
175,,,,inlet_manifold,dovodni_razdjelnik
176,,,,horn_button,DUPLICATE_sirena
177,,,,running_board,papučica
178,,,,stabilizer_bar,DUPLICATE_stabilizator
179,,,,motor_horn,truba
180,,,,exhaust_manifold,ispušni_kolektor
