,ID,Relation,Source,Target,HR
0,L08_1,synonyms - exact,airplane,,zrakoplov
1,,,,aeroplane,DUPLICATE_zrakoplov
2,,,,plane,avion
4,L08_2,synonyms - exact,auto,,auto
5,,,,car,DUPLICATE_auto
6,,,,automobile,automobil
7,,,,motorcar,motorno_vozilo
9,L08_3,synonyms - exact,baby,,beba
10,,,,infant,dijete
11,,,,babe,DUPLICATE_beba
12,,,,,čedo
13,L08_4,synonyms - exact,bicycle,,bicikl
14,,,,bike,DUPLICATE_bicikl
15,,,,wheel,bajk
16,,,,cycle,bajs
17,,,,,bic
18,L08_5,synonyms - exact,child,,dijete
19,,,,kid,klinac
20,,,,youngster,mladac
21,,,,minor,maloljetnik
22,,,,shaver,DUPLICATE_klinac
23,,,,nipper,klipan
24,,,,small_fry,NO_TRANSLATION
25,,,,tiddler,DUPLICATE_NO_TRANSLATION
26,,,,tike,deran
27,,,,tyke,DUPLICATE_deran
28,,,,fry,DUPLICATE_NO_TRANSLATION
29,,,,nestling,mladunče
30,,,,,klinjo
31,L08_6,synonyms - exact,cloth,,tkanina
32,,,,fabric,DUPLICATE_tkanina
33,,,,material,materijal
34,,,,textile,tekstil
35,,,,,sukno
36,L08_7,synonyms - exact,clothes,,odjeća
37,,,,clothing,DUPLICATE_odjeća
38,,,,apparel,DUPLICATE_odjeća
39,,,,dress,DUPLICATE_odjeća
40,,,,,nošnja
41,L08_8,synonyms - exact,confused,,zbunjen
42,,,,baffled,smeten
43,,,,befuddled,DUPLICATE_zbunjen
44,,,,bemused,DUPLICATE_smeten
45,,,,bewildered,DUPLICATE_zbunjen
46,,,,confounded,DUPLICATE_zbunjen
47,,,,lost,izgubljen
48,,,,mazed,dezorijentiran
49,,,,mixed-up,zbrčkan
50,,,,,pogubljen
51,L08_9,synonyms - exact,dollars,,dolari
52,,,,bucks,DUPLICATE_dolari
54,L08_10,synonyms - exact,emphasis,,naglasak
55,,,,accent,DUPLICATE_naglasak
56,,,,accentuaion,isticanje
57,,,,importance,važnost
58,,,,stress,DUPLICATE_naglasak
59,,,,significance,značaj
61,L08_11,synonyms - exact,father,,otac
62,,,,dad,tata
63,,,,daddy,tatica
65,L08_12,synonyms - exact,flower,,cvijet
66,,,,blossom,DUPLICATE_cvijet
67,,,,bloom,cvat
69,L08_13,synonyms - exact,harbor,,luka
70,,,,seaport,pristanište
71,,,,haven,utočište
72,,,,harbour,DUPLICATE_luka
74,L08_14,synonyms - exact,help,,pomagati
75,,,,aid,DUPLICATE_pomagati
76,,,,assist,DUPLICATE_pomagati
77,,,,,pomoći
78,L08_15,synonyms - exact,hieroglyph,,hijeroglif
79,,,,hieroglyphic,DUPLICATE_hijeroglif
80,,,,pictogram,piktogram
82,L08_16,synonyms - exact,homogeneous,,homogen
83,,,,uniform,jednoobrazan
84,,,,unvarying,nepromjenjiv
86,L08_17,synonyms - exact,honest,,iskren
87,,,,sincere,DUPLICATE_iskren
88,,,,ingenuous,otvoren
89,,,,True,točan
90,,,,direct,izravan
91,,,,truthful,istinoljubiv
92,,,,,"istinit,vjeran"
93,L08_18,synonyms - exact,identical,,identičan
94,,,,same,jednak
95,,,,indistinguishable,neraspoznatljiv
97,L08_19,synonyms - exact,incorrect,,netočan
98,,,,wrong,pogrešan
99,,,,counterfactual,protučinjenični
100,,,,erroneous,DUPLICATE_pogrešan
101,,,,inaccurate,DUPLICATE_netočan
102,,,,specious,varljiv
103,,,,unsound,nepouzdan
104,,,,untrue,neistinit
105,,,,False,DUPLICATE_netočan
106,,,,,"neispravan,neosnovan"
107,L08_20,synonyms - exact,intelligent,,inteligentan
108,,,,clever,pametan
109,,,,smart,DUPLICATE_pametan
110,,,,,bistar
111,L08_21,synonyms - exact,jewel,,dragulj
112,,,,gem,dragi_kamen
113,,,,stone,kamen
115,L08_22,synonyms - exact,lad,,dečko
116,,,,chap,momak
117,,,,fellow,DUPLICATE_momak
118,,,,feller,DUPLICATE_tip
119,,,,fella,tip
120,,,,gent,DUPLICATE_tip
121,,,,blighter,klinac
122,,,,cuss,DUPLICATE_lik
123,,,,bloke,lik
124,,,,,mladić
125,L08_23,synonyms - exact,lady,,dama
126,,,,madam,gospođa
127,,,,dame,DUPLICATE_dama
128,,,,ma'am,DUPLICATE_gospođa
129,,,,gentlewoman,DUPLICATE_dama
130,,,,madame,NO_TRANSLATION
131,,,,woman,žena
133,L08_24,synonyms - exact,lazy,,lijen
134,,,,indolent,indolentan
135,,,,faineant,DUPLICATE_indolentan
136,,,,otiose,beskoristan
137,,,,slothful,DUPLICATE_lijen
138,,,,work-shy,DUPLICATE_lijen
140,L08_25,synonyms - exact,list,,popis
141,,,,listing,lista
142,,,,enumeration,nabrajanje
144,L08_26,synonyms - exact,loyal,,vjeran
145,,,,faithful,odan
146,,,,True,DUPLICATE_vjeran
147,,,,dependable,pouzdan
148,,,,devoted,DUPLICATE_odan
149,,,,reliable,DUPLICATE_pouzdan
151,L08_27,synonyms - exact,market,,plac
152,,,,marketplace,tržnica
153,,,,mart,pijaca
154,,,,bazaar,bazar
156,L08_28,synonyms - exact,mend,,popraviti
157,,,,repair,DUPLICATE_popraviti
