,ID,Relation,Source,Target,HR
0,L09_1,antonyms - gradable,able,,sposoban
1,,,,unable,nesposoban
2,,,,incapable,DUPLICATE_nesposoban
3,,,,incompetent,nekompetentan
4,,,,unequal,nejednak
5,,,,,nemoćan
6,L09_2,antonyms - gradable,abundant,,obilan
7,,,,scarce,oskudan
8,,,,rare,rijedak
9,,,,tight,tijesan
10,,,,meager,DUPLICATE_oskudan
11,,,,meagre,DUPLICATE_oskudan
12,,,,meagerly,oskudno
13,,,,stingy,škrt
14,,,,scrimpy,DUPLICATE_škrt
15,,,,insufficient,nedovoljan
16,,,,deficient,manjkav
17,,,,,"tanan,nedostatan"
18,L09_3,antonyms - gradable,aware,,svjestan
19,,,,unaware,nesvjestan
20,,,,oblivious,DUPLICATE_nesvjestan
21,,,,unmindful,nepažljiv
22,,,,unconscious,DUPLICATE_nesvjestan
23,,,,unsuspecting,bezazlen
24,,,,asleep,zaspao
25,,,,insensible,neosjetljiv
26,,,,unwitting,nesmotren
27,,,,ignorant,neuk
28,,,,indifferent,ravnodušan
29,,,,,"besvjestan,neupućen,nezainteresiran"
30,L09_4,antonyms - gradable,beautiful,,lijep
31,,,,ugly,ružan
32,,,,disfigured,unakažen
33,,,,evil-looking,zlobna_izgleda
34,,,,fugly,DUPLICATE_ružan
35,,,,grotesque,groteskan
36,,,,monstrous,monstruozan
37,,,,hideous,odvratan
38,,,,repulsive,odbojan
39,,,,ill-favored,neugledan
40,,,,ill-favoured,DUPLICATE_neugledan
41,,,,scrofulous,škrofulozan
42,,,,unlovely,neprijatan
43,,,,unpicturesque,DUPLICATE_neugledan
44,,,,unsightly,DUPLICATE_neugledan
45,,,,displeasing,neugodan
46,,,,unattractive,neprivlačan
47,,,,awkward,nezgrapan
48,,,,,"izobličen,gnusan"
49,L09_5,antonyms - gradable,big,,velik
50,,,,small,malen
51,,,,atomic,atomski
52,,,,subatomic,subatomski
53,,,,bantam,majušan
54,,,,diminutive,DUPLICATE_sićušan
55,,,,lilliputian,liliputanski
56,,,,midget,patuljast
57,,,,petite,sitan
58,,,,tiny,sićušan
59,,,,flyspeck,DUPLICATE_sitan
60,,,,bitty,minijaturan
61,,,,bittie,NO_TRANSLATION
62,,,,teensy,DUPLICATE_NO_TRANSLATION
63,,,,teentsy,DUPLICATE_NO_TRANSLATION
64,,,,teeny,DUPLICATE_majušan
65,,,,wee,malecki
66,,,,weeny,DUPLICATE_majušan
67,,,,weensy,DUPLICATE_NO_TRANSLATION
68,,,,teensy-weensy,DUPLICATE_NO_TRANSLATION
69,,,,teeny-weeny,DUPLICATE_NO_TRANSLATION
70,,,,itty-bitty,DUPLICATE_NO_TRANSLATION
71,,,,itsy-bitsy,DUPLICATE_NO_TRANSLATION
72,,,,dinky,DUPLICATE_malen
73,,,,dwarfish,DUPLICATE_patuljast
74,,,,elfin,DUPLICATE_patuljast
75,,,,elflike,DUPLICATE_patuljast
76,,,,gnomish,DUPLICATE_patuljast
77,,,,half-size,DUPLICATE_NO_TRANSLATION
78,,,,infinitesimal,beskrajno_mali
79,,,,minute,DUPLICATE_minijaturan
80,,,,lesser,manji
81,,,,microscopic,mikroskopski
82,,,,microscopical,DUPLICATE_mikroskopski
83,,,,micro,mikro
84,,,,miniature,DUPLICATE_minijaturan
85,,,,minuscule,DUPLICATE_minijaturan
86,,,,miniscule,DUPLICATE_minijaturan
87,,,,olive-sized,veličine_masline
88,,,,pocket-size,stane_u_džep
89,,,,pocket-sized,DUPLICATE_stane_u_džep
90,,,,pocketable,DUPLICATE_stane_u_džep
91,,,,puny,zakržljao
92,,,,runty,DUPLICATE_NO_TRANSLATION
93,,,,shrimpy,DUPLICATE_NO_TRANSLATION
94,,,,slender,tanak
95,,,,slim,mršav
96,,,,smaller,DUPLICATE_manji
97,,,,littler,DUPLICATE_manji
98,,,,smallish,nevelik
99,,,,small-scale,mala_razmjera
100,,,,undersize,ispod_minimalnog
101,,,,undersized,DUPLICATE_ispod_minimalnog
103,L09_6,antonyms - gradable,bright,,jasan_
104,,,,pale,blijed
105,,,,colorless,bezbojan
106,,,,colourless,DUPLICATE_bezbojan
107,,,,dull,prigušen
108,,,,neutral,neutralan
109,,,,white,bijel
110,,,,bleached,izbijeljen
111,,,,faded,izblijedio
112,,,,washed-out,ispran
113,,,,washy,DUPLICATE_ispran
114,,,,drab,jednoličan
115,,,,somber,tmuran
116,,,,sombre,DUPLICATE_tmuran
117,,,,dulled,DUPLICATE_prigušen
118,,,,greyed,posivio
119,,,,etiolate,NO_TRANSLATION
120,,,,etiolated,DUPLICATE_NO_TRANSLATION
121,,,,lurid,smrtno_blijed
122,,,,waxen,voštan
123,,,,waxlike,kao_vosak
124,,,,waxy,DUPLICATE_kao_vosak
125,,,,whitened,pobijeljen
127,L09_7,antonyms - gradable,cheap,,jeftin
128,,,,expensive,skup
129,,,,big-ticket,NO_TRANSLATION
130,,,,high-ticket,DUPLICATE_NO_TRANSLATION
131,,,,costly,DUPLICATE_skup
132,,,,dear,DUPLICATE_skup
133,,,,high-priced,precijenjen
134,,,,pricey,DUPLICATE_skup
135,,,,pricy,DUPLICATE_skup
136,,,,dearly-won,DUPLICATE_NO_TRANSLATION
137,,,,overpriced,DUPLICATE_precijenjen
138,,,,valuable,vrijedan
140,L09_8,antonyms - gradable,clean,,čist
141,,,,dirty,prljav
142,,,,soiled,onečišćen
143,,,,unclean,nečist
144,,,,augean,DUPLICATE_nečist
145,,,,bedraggled,otrcan
146,,,,draggled,DUPLICATE_otrcan
147,,,,befouled,uprljan
148,,,,fouled,zamazan
149,,,,begrimed,zamrljan
150,,,,dingy,pohaban
151,,,,grimy,DUPLICATE_prljav
152,,,,grubby,neuredan
153,,,,grungy,šlampav
154,,,,raunchy,nepriličan
155,,,,black,crn
156,,,,smutty,čađav
157,,,,buggy,NO_TRANSLATION
158,,,,cobwebby,paučinast
159,,,,dirty-faced,umrljan
160,,,,feculent,DUPLICATE_NO_TRANSLATION
161,,,,filthy,DUPLICATE_nečist
162,,,,foul,pogrešan
163,,,,nasty,gadan
164,,,,flyblown,DUPLICATE_NO_TRANSLATION
165,,,,squalid,sirotinjski
166,,,,sordid,odvratan
167,,,,greasy,masan
168,,,,oily,DUPLICATE_masan
169,,,,lousy,ušljiv
170,,,,maculate,ukaljan
171,,,,mucky,blatan
172,,,,muddy,blatnjav
173,,,,ratty,odrpan
174,,,,scummy,bijedan
175,,,,smudgy,DUPLICATE_zamrljan
176,,,,snotty,balav
177,,,,snot-nosed,šmrkav
178,,,,sooty,DUPLICATE_balav
179,,,,travel-soiled,DUPLICATE_NO_TRANSLATION
180,,,,travel-stained,DUPLICATE_NO_TRANSLATION
181,,,,uncleanly,DUPLICATE_nečist
182,,,,unswept,nepometen
183,,,,unwashed,neopran
185,L09_9,antonyms - gradable,clear,,jasan
186,,,,vague,nejasan
187,,,,obscure,DUPLICATE_nejasan
188,,,,unclear,DUPLICATE_nejasan
189,,,,undefined,nedefiniran
190,,,,indefinable,neodrediv
191,,,,undefinable,DUPLICATE_neodrediv
192,,,,,neopisiv
193,L09_10,antonyms - gradable,close,,blizak
194,,,,distant,dalek
195,,,,remote,udaljen
196,,,,removed,uklonjen
197,,,,far,DUPLICATE_dalek
198,,,,faraway,DUPLICATE_dalek
200,L09_11,antonyms - gradable,colorful,,šaren
201,,,,colorless,bezbojan
202,,,,colourless,DUPLICATE_bezbojan
203,,,,dull,tmuran
204,,,,neutral,neutralan
205,,,,pale,blijed
206,,,,white,bijel
207,,,,bleached,izbijeljen
208,,,,faded,izblijedio
209,,,,washed-out,ispran
210,,,,washy,DUPLICATE_ispran
211,,,,drab,jednoličan
212,,,,somber,mračan
213,,,,sombre,DUPLICATE_mračan
214,,,,dulled,DUPLICATE_tmuran
215,,,,greyed,posivio
216,,,,etiolate,NO_TRANSLATION
217,,,,etiolated,DUPLICATE_NO_TRANSLATION
218,,,,lurid,smrtno_blijed
219,,,,waxen,voštan
220,,,,waxlike,kao_vosak
221,,,,waxy,DUPLICATE_kao_vosak
222,,,,whitened,pobijeljen
224,L09_12,antonyms - gradable,common,,običan
225,,,,rare,rijedak
226,,,,infrequent,DUPLICATE_rijedak
227,,,,scarce,DUPLICATE_rijedak
228,,,,uncommon,neobičan
229,,,,extraordinary,izvanredan
231,L09_13,antonyms - gradable,competent,,sposoban
232,,,,incompetent,nesposoban
233,,,,unskilled,nevješt
234,,,,unqualified,nekvalificiran
235,,,,inefficient,nedovoljan
236,,,,,"neobrazovan,nestručan"
237,L09_14,antonyms - gradable,concerned,,zabrinut
238,,,,unconcerned,ravnodušan
239,,,,blase,blaziran
240,,,,blithe,DUPLICATE_ravnodušan
241,,,,casual,ležeran
242,,,,insouciant,bezbrižan
243,,,,nonchalant,nonšalantan
244,,,,degage,rezerviran
245,,,,detached,udaljen
246,,,,uninvolved,DUPLICATE_nezainteresiran
247,,,,indifferent,nezainteresiran
248,,,,careless,DUPLICATE_bezbrižan
249,,,,untroubled,bez_brige
250,,,,,flegmatičan
251,L09_15,antonyms - gradable,cooked,,skuhan
252,,,,raw,sirov
253,,,,half-baked,polukuhan
254,,,,fresh,svjež
255,,,,natural,prirodan
256,,,,underdone,NO_TRANSLATION
257,,,,rare,slabo_pečen
258,,,,uncooked,nekuhan
259,,,,untoasted,nepečen
261,L09_16,antonyms - gradable,dangerous,,opasan
262,,,,safe,siguran
263,,,,fail-safe,NO_TRANSLATION
264,,,,risk-free,bez_rizika
265,,,,riskless,DUPLICATE_bez_rizika
266,,,,unhazardous,nerizičan
267,,,,safe-and-sound,potpuno_siguran
268,,,,unhurt,neokrznjen
269,,,,harmless,bezopasan
270,,,,invulnerable,neranjiv
271,,,,secure,zajamčen
272,,,,uninjured,neoštećen
273,,,,,nepovrediv
274,L09_17,antonyms - gradable,decisive,,odlučan
275,,,,hesitating,koji_oklijeva
276,,,,indecisive,neodlučan
277,,,,hesitant,DUPLICATE_neodlučan
278,,,,inconclusive,neuvjerljiv
279,,,,irresolute,DUPLICATE_neodlučan
281,L09_18,antonyms - gradable,dry,,suh
282,,,,wet,mokar
283,,,,bedewed,DUPLICATE_rosan
284,,,,dewy,rosan
285,,,,besprent,poprskan
286,,,,boggy,močvaran
287,,,,marshy,DUPLICATE_močvaran
288,,,,miry,muljevit
289,,,,mucky,DUPLICATE_blatan
290,,,,muddy,blatan
291,,,,quaggy,DUPLICATE_močvaran
292,,,,sloppy,kaljav
293,,,,sloughy,NO_TRANSLATION
294,,,,soggy,gnjecav
295,,,,squashy,DUPLICATE_NO_TRANSLATION
296,,,,swampy,DUPLICATE_močvaran
297,,,,waterlogged,natopljen
298,,,,clammy,smolast
299,,,,dank,DUPLICATE_vlažan
300,,,,damp,vlažan
301,,,,dampish,malo_vlažan
302,,,,moist,DUPLICATE_vlažan
303,,,,sodden,nakvašen
304,,,,soppy,DUPLICATE_mokar
305,,,,drippy,koji_kaplje
306,,,,drizzly,kišovit
307,,,,humid,DUPLICATE_vlažan
308,,,,misty,oblačan
309,,,,muggy,DUPLICATE_vlažan
310,,,,steamy,parni
311,,,,sticky,ljepljiv
312,,,,reeking,zaudarajući
313,,,,watery,vodnjikav
314,,,,rheumy,DUPLICATE_NO_TRANSLATION
315,,,,showery,DUPLICATE_NO_TRANSLATION
316,,,,rainy,DUPLICATE_kišovit
317,,,,steaming,kipući
318,,,,tacky,DUPLICATE_ljepljiv
319,,,,undried,neosušen
320,,,,washed,opran
321,,,,,navlažen
322,L09_19,antonyms - gradable,energetic,,energetičan
323,,,,lethargic,letargičan
324,,,,unergetic,neenergičan
325,,,,dazed,omamljen
326,,,,foggy,smušen
327,,,,groggy,ošamućen
328,,,,logy,DUPLICATE_smušen
329,,,,stuporous,otupljen
330,,,,dreamy,sanjiv
331,,,,lackadaisical,mlitav
332,,,,languid,trom
333,,,,languorous,DUPLICATE_mlitav
334,,,,listless,bezvoljan
335,,,,inactive,neaktivan
337,L09_20,antonyms - gradable,familiar,,poznat
338,,,,unfamiliar,nepoznat
339,,,,strange,čudan
340,,,,unknown,neznan
341,,,,unacquainted,neupućen
342,,,,foreign,stran
344,L09_21,antonyms - gradable,fat,,debeo
345,,,,thin,tanak
346,,,,lean,mršav
347,,,,anorexic,anoreksičan
348,,,,anorectic,DUPLICATE_anoreksičan
349,,,,bony,košćat
350,,,,cadaverous,suhonjav
351,,,,emaciated,iznuren
352,,,,gaunt,ispijen
