,ID,Relation,Source,Target,IT
0,L01_1,hypernyms - animals,allosaurus,,allosauro
1,,,,dinosaur,dinosauro
2,,,,reptile,rettile
3,,,,bird,uccello
4,,,,archosaur,arcosauro
5,,,,archosaurian,arcosauria
6,,,,archosaurian_reptile,DUPLICATE_arcosauro
8,L01_2,hypernyms - animals,anaconda,,anaconda
9,,,,snake,serpente
10,,,,reptile,rettile
11,,,,boa,boa
12,,,,serpent,DUPLICATE_serpente
13,,,,ophidian,ofide
14,,,,,serpe
15,L01_3,hypernyms - animals,ant,,formica
16,,,,insect,insetto
17,,,,invertebrate,inverterbrato
18,,,,creature,creatura
19,,,,beast,bestia
20,,,,hymenopteran,imenottero
21,,,,being,essere
22,,,,animal,animale
23,,,,organism,organismo
24,,,,fauna,fauna
25,,,,arthropod,artropode
26,,,,hymenopterous_insect,insetto_imenottero
27,,,,animate_being,essere_vivente
28,,,,physical_hymenopteron,DUPLICATE_imenottero
29,,,,physical_entity,entità_fisica
30,,,,hymenopter,DUPLICATE_imenottero
31,,,,living_thing,DUPLICATE_essere_vivente
32,,,,,"organismo,organismo_vivente"
33,L01_4,hypernyms - animals,beaver,,castoro
34,,,,rodent,roditore
35,,,,vertebrate,vertebrato
36,,,,creature,creatura
37,,,,beast,bestia
38,,,,animal,animal
39,,,,organism,organismo
40,,,,fauna,fauna
41,,,,placental,placentare
42,,,,chordate,cordato
43,,,,eutherian,euteriano
44,,,,mammal,mammifero
45,,,,mammalian,DUPLICATE_mammifero
46,,,,eutherian_mammal,mammifero_euteriano
47,,,,gnawer,DUPLICATE_roditore
48,,,,animate_being,DUPLICATE_essere_vivente
49,,,,living_thing,DUPLICATE_essere_vivente
50,,,,placental_mammal,mammifero_placentare
51,,,,craniate,DUPLICATE_vertebrato
53,L01_5,hypernyms - animals,bee,,ape
54,,,,insect,insetto
55,,,,invertebrate,invertebrato
56,,,,creature,creatura
57,,,,beast,bestia
58,,,,hymenopteran,imenottero
59,,,,being,essere
60,,,,animal,animale
61,,,,organism,organismo
62,,,,fauna,fauna
63,,,,arthropod,artropode
64,,,,hymenopterous_insect,insetto_imenottero
65,,,,animate_being,DUPLICATE_essere_vivente
66,,,,hymenopteron,DUPLICATE_imenottero
67,,,,hymenopter,DUPLICATE_imenottero
68,,,,living_thing,DUPLICATE_essere_vivente
71,L01_6,hypernyms - animals,beetle,,coleottero
72,,,,insect,insetto
73,,,,invertebrate,invertebrato
74,,,,creature,creatura
75,,,,beast,bestia
76,,,,being,DUPLICATE_essere_vivente
77,,,,animal,animale
78,,,,organism,organismo
79,,,,fauna,fauna
80,,,,arthropod,artropode
81,,,,animate_being,DUPLICATE_essere_vivente
82,,,,living_thing,DUPLICATE_essere_vivente
83,,,,,"hexapoda,blattodea,"
84,L01_7,hypernyms - animals,buffalo,,bufalo
85,,,,bovid,bovide
86,,,,mammal,mammifero
87,,,,bison,bisonte
88,,,,cow,mucca
89,,,,vertebrate,vertebrato
90,,,,creature,creatura
91,,,,ungulate,ungulato
92,,,,beast,bestia
93,,,,being,essere_vivente
94,,,,animal,animale
95,,,,organism,organismo
96,,,,fauna,fauna
97,,,,placental,placentare
98,,,,artiodactyl,artiodattile
99,,,,ruminant,ruminante
100,,,,chordate,cordato
101,,,,eutherian,euteriano
102,,,,mammalian,DUPLICATE_mammifero
103,,,,bovine,bovino
104,,,,animate_being,DUPLICATE_essere_vivente
105,,,,eutherian_mammal,mammifero_euteriano
106,,,,placental_mammal,mammifero_placentare
107,,,,craniate,DUPLICATE_vertebrato
108,,,,physical_hoofed_mammal,DUPLICATE_ungulato
109,,,,physical_entity,entità_fisica
110,,,,even-toed_ungulate,DUPLICATE_artiodattile
111,,,,artiodactyl_mammal,mammifero_artiodattile
112,,,,living_thing,DUPLICATE_essere_vivente
114,L01_8,hypernyms - animals,butterfly,,farfalla
