,ID,Relation,Source,Target,IT
0,L02_1,hypernyms - misc,armchair,,poltrona
1,,,,chair,sedia
2,,,,seat,seduta
3,,,,piece_of_furniture,elemento_d'_arredamento
4,,,,article_of_furniture,complemento_d'_arredo
5,,,,furnishing,arredamento
6,,,,artifact,artefatto
7,,,,artefact,DUPLICATE_artefatto
8,,,,unit,unità
9,,,,object,oggetto
10,,,,physical_object,oggetto_fisico
11,,,,physical_entity,entità_fisica
12,,,,entity,entità
13,,,,,"manufatto,sedile,suppellettile,arredo,mobile,mobilio,mobilia,articolo_d'_arredamento,pezzo_d'_arredamento,oggetto_materiale,oggetto_concreto"
14,L02_2,hypernyms - misc,blender,,frullatore
15,,,,appliance,apparecchio
16,,,,mixer,miscelatore
17,,,,kitchen_utensil,utensile_da_cucina
18,,,,utensil,utensile
19,,,,implement,strumento
20,,,,artifact,artefatto
21,,,,artefact,DUPLICATE_artefatto
22,,,,unit,unità
23,,,,object,oggetto
24,,,,physical_object,oggetto_fisico
25,,,,physical_entity,entità_fisica
26,,,,entity,entità
27,,,,,"mixer,tritatutto,minipimer,attrezzo,congegno,meccanismo,apparecchio_elettrico,suppellettile,macchina,mercanzia,prodotto,manufatto"
28,L02_3,hypernyms - misc,bracelet,,bracciale
29,,,,jewelry,articolo_di_gioielleria
30,,,,band,cinturino
31,,,,strip,fascia
32,,,,slip,NO_TRANSLATION
33,,,,artifact,artefatto
34,,,,artefact,DUPLICATE_artefatto
35,,,,unit,unità
36,,,,object,oggetto
37,,,,physical_object,oggetto_fisico
38,,,,physical_entity,entità_fisica
39,,,,entity,entità
40,,,,jewellery,DUPLICATE_gioielleria
41,,,,adornment,adornamento
42,,,,decoration,decorazione
43,,,,ornament,ornamento
44,,,,ornamentation,decoro
45,,,,,"gioia,bijou,bigiotteria,gioiello,gioielleria,prodotto,manufatto,monile,oreficeria,nastro"
46,L02_4,hypernyms - misc,brooch,,spilla
47,,,,jewelry,articolo_di_gioielleria
48,,,,jewellery,DUPLICATE_articolo_di_gioielleria
49,,,,adornment,adornamento
50,,,,decoration,decorazione
51,,,,ornament,ornamento
52,,,,ornamentation,decoro
53,,,,artifact,artefatto
54,,,,artefact,DUPLICATE_artefatto
55,,,,unit,unità
56,,,,object,oggetto
57,,,,physical_object,oggetto_fisico
58,,,,,"gioia,bijou,bigiotteria,prodotto,manufatto,monile,oreficeria,gioielleria"
59,L02_5,hypernyms - misc,cake,,torta
60,,,,dessert,dolce
61,,,,baked_goods,prodotti_da_forno
62,,,,food,cibo
63,,,,solid_food,cibo_solido
64,,,,course,portata
65,,,,nutriment,nutrimento
66,,,,nourishment,DUPLICATE_nutrimento
67,,,,nutrition,nutrizione
68,,,,sustenance,sostentamento
69,,,,aliment,alimento
70,,,,alimentation,alimentazione
71,,,,victuals,viveri
72,,,,nutrient,nutriente
73,,,,substance,sostanza
74,,,,matter,materia
75,,,,physical_entity,entità_fisica
76,,,,entity,entità
77,,,,,"vettovaglie,vivande,dessert,mangiare,piatto"
78,L02_6,hypernyms - misc,computer,,computer
79,,,,device,dispositivo
80,,,,machine,macchina
81,,,,gadget,gadget
82,,,,artifact,artefatto
83,,,,artefact,DUPLICATE_artefatto
84,,,,unit,unità
85,,,,object,oggetto
86,,,,physical_object,oggetto_fisico
87,,,,physical_entity,entità_fisica
88,,,,entity,entità
89,,,,expert,esperto
90,,,,person,persona
91,,,,individual,individuo
92,,,,someone,qualcuno
93,,,,somebody,DUPLICATE_qualcuno
94,,,,mortal,mortale
95,,,,soul,anima
96,,,,causal_agent,agente_scatenante
97,,,,cause,causa
98,,,,causal_agency,agente_causale
99,,,,organism,organismo
100,,,,being,essere
101,,,,living_thing,cosa_vivente
102,,,,animate_thing,cosa_animata
103,,,,,"calcolatore,elaboratore,calcolatore_elettronico,strumento_di_calcolo,apparecchio,device,congegno,meccanismo,spirito"
104,L02_7,hypernyms - misc,croissant,,cornetto
105,,,,pastry,pasticceria
106,,,,bun,pagnotta
107,,,,roll,panino
108,,,,bread,pane
109,,,,breadstuff,prodotti_da_forno
110,,,,staff_of_life,alimento_base
111,,,,baked_goods,DUPLICATE_prodotti_da_forno
112,,,,starches,amidi
113,,,,food,cibo
114,,,,solid_food,cibo_solido
115,,,,foodstuff,alimento
116,,,,food_product,prodotto_alimentare
117,,,,solid,solido
118,,,,nutrient,nutriente
119,,,,matter,materia
120,,,,substance,sostanza
121,,,,physical_entity,entità_fisica
122,,,,entity,entità
123,,,,,"dolce,farinacei,rotolo,croissant,portata,piatto,panino,vivanda,viveri,sfoglia,pasta,impasto"
124,L02_8,hypernyms - misc,cup,,tazza
125,,,,tableware,vasellame
126,,,,crockery,terracotte
127,,,,dishware,stoviglie
128,,,,ware,merci
129,,,,article,articolo
130,,,,artifact,artefatto
131,,,,artefact,DUPLICATE_artefatto
132,,,,unit,unità
133,,,,object,oggetto
134,,,,physical_object,oggetto_fisico
135,,,,physical_entity,entità_fisica
136,,,,entity,entità
137,,,,container,contenitore
138,,,,,"bicchiere,porcellana,ceramica,recipiente"
139,L02_9,hypernyms - misc,denim,,denim
140,,,,fabric,tessuto
141,,,,cloth,stoffa
142,,,,material,materiale
143,,,,textile,tessile
144,,,,artifact,artefatto
145,,,,artefact,DUPLICATE_artefatto
146,,,,unit,unità
147,,,,object,oggetto
148,,,,physical_object,oggetto_fisico
149,,,,physical_entity,entità_fisica
150,,,,entity,entità
151,,,,garment,capo
152,,,,clothing,abbigliamento
153,,,,article_of_clothing,capo_d'_abbigliamento
154,,,,vesture,veste
155,,,,wear,indumento
156,,,,wearable,vestimento
157,,,,habiliment,vestiario
158,,,,consumer_goods,beni_di_consumo
159,,,,covering,copertura
160,,,,commodity,merce
161,,,,trade_good,prodotto_commerciale
162,,,,good,bene
163,,,,,"jeans,prodotto,moda,vestito,vestimento,capo_di_vestiario,materiale"
164,L02_10,hypernyms - misc,deodorant,,deodorante
165,,,,toiletry,toeletta
166,,,,toilet_articles,articolo_da_bagno
167,,,,artifact,artefatto
168,,,,artefact,DUPLICATE_artefatto
169,,,,unit,unità
170,,,,object,oggetto
171,,,,physical_object,oggetto_fisico
172,,,,physical_entity,entità_fisica
173,,,,entity,entità
174,,,,,"profumtore,liquido,sostanza"
175,L02_11,hypernyms - misc,desk,,scrivania
176,,,,furniture,mobili
177,,,,table,tavola
178,,,,piece_of_furniture,elemento_d'_arredamento
179,,,,article_of_furniture,complemento_d'_arredo
180,,,,furnishing,arredamento
181,,,,artifact,artefatto
182,,,,artefact,DUPLICATE_artefatto
183,,,,unit,unità
184,,,,object,oggetto
185,,,,physical_object,oggetto_fisico
186,,,,physical_entity,entità_fisica
187,,,,entity,entità
188,,,,,"manufatto,tavolo,suppellettile,arredo,mobile,mobilio,mobilia,articolo_d'_arredamento,pezzo_d'_arredamento,oggetto_materiale,oggetto_concreto"
189,L02_12,hypernyms - misc,diary,,diario
190,,,,journal,giornale
191,,,,writing,scrittura
192,,,,written_material,materiale_scritto
193,,,,piece_of_writing,uno_scritto
194,,,,written_communication,comunicazione_scritta
195,,,,written_language,parola_scritta
196,,,,black_and_white,nero_su_bianco
197,,,,communication,comunicazione
198,,,,abstraction,astrazione
199,,,,abstract_entity,entità_astratta
200,,,,entity,entità
201,,,,book,libro
202,,,,volume,volume
203,,,,product,prodotto
204,,,,production,produzione
205,,,,creation,creazione
206,,,,artifact,artefatto
207,,,,artefact,DUPLICATE_artefatto
208,,,,unit,unità
209,,,,object,oggetto
210,,,,physical_object,oggetto_fisico
211,,,,physical_entity,entità_fisica
212,,,,,"tomo,periodico,rivista,estratto,testo,messaggio,quaderno"
213,L02_13,hypernyms - misc,dishwasher,,lavastoviglie
214,,,,appliance,apparecchio
215,,,,machine,macchinario
216,,,,entity,entità
217,,,,unit,unità
218,,,,object,oggetto
219,,,,physical_object,oggetto_fisico
220,,,,white_goods,elettrodomestico
221,,,,home_appliance,DUPLICATE_elettrodomestico
222,,,,household_appliance,DUPLICATE_elettrodomestico
223,,,,durables,beni_durevoli
224,,,,durable_goods,DUPLICATE_beni_durevoli
225,,,,consumer_durables,beni_di_consumo_durevoli
226,,,,consumer_goods,beni_di_consumo
227,,,,commodity,merce
228,,,,trade_good,prodotto_commerciale
229,,,,good,bene
230,,,,artifact,artefatto
231,,,,artefact,DUPLICATE_artefatto
232,,,,physical_entity,DUPLICATE_entità_fisica
234,,,,,"congegno,meccanismo,strumento,apparecchio_elettrico,suppellettile,macchina,lavapiatti,arredamento,mercanzia,prodotto,manufatto"
235,L02_14,hypernyms - misc,dress,,abito
236,,,,clothes,vestiti
237,,,,garment,capo
238,,,,clothing,abbigliamento
239,,,,article_of_clothing,capo_d'_abbigliamento
240,,,,vesture,veste
241,,,,wear,indumento
242,,,,wearable,vestimento
243,,,,habiliment,vestiario
244,,,,consumer_goods,beni_di_consumo
245,,,,covering,copertura
246,,,,commodity,merce
247,,,,trade_good,prodotto_commerciale
248,,,,good,bene
249,,,,artifact,artefatto
250,,,,artefact,DUPLICATE_artefatto
251,,,,unit,unità
252,,,,object,oggetto
253,,,,physical_object,oggetto_fisico
254,,,,physical_entity,entità_fisica
255,,,,entity,entità
264,,,,,"vestito,indossabile"
265,L02_15,hypernyms - misc,fridge,,frigorifero
266,,,,appliance,apparecchio
267,,,,icebox,congelatore
268,,,,white_goods,elettrodomestico
269,,,,home_appliance,DUPLICATE_elettrodomestico
270,,,,household_appliance,DUPLICATE_elettrodomestico
271,,,,durables,beni_durevoli
272,,,,durable_goods,DUPLICATE_beni_durevoli
273,,,,consumer_durables,beni_di_consumo_durevoli
274,,,,consumer_goods,beni_di_consumo
275,,,,commodity,merce
276,,,,trade_good,prodotto_commerciale
277,,,,good,bene
278,,,,artifact,artefatto
279,,,,artefact,DUPLICATE_artefatto
280,,,,unit,unità
281,,,,object,oggetto
282,,,,physical_object,oggetto_fisico
283,,,,physical_entity,entità_fisica
284,,,,entity,entità
285,,,,,"frigo,freezer,ghiacciaia,congegno,meccanismo,strumento,apparecchio_elettrico,suppellettile,macchina,arredamento,mercanzia,prodotto,manufatto"
286,L02_16,hypernyms - misc,gasoline,,benzina
287,,,,fuel,carburante
288,,,,hydrocarbon,idrocarburo
