,ID,Relation,Source,Target,IT
0,L03_1,hyponyms - misc,backpack,,zaino
1,,,,daypack,zainetto
2,,,,kitbag,kit
3,,,,kit_bag,DUPLICATE_kit
4,,,,,bisaccia
5,L03_2,hyponyms - misc,bag,,borsa
6,,,,pouch,sacchetto
7,,,,backpack,zaino
8,,,,knapsack,bisaccia
9,,,,packsack,sacca
10,,,,rucksack,sacco_da_montagna
11,,,,haversack,DUPLICATE_bisaccia
12,,,,beanbag,pouf
13,,,,bladder,sacca_per_le_urine
14,,,,carryall,borsone
15,,,,holdall,portatutto
16,,,,tote,borsa_tote
17,,,,drawstring,sacca_con_coulisse
18,,,,dust,sacchetto_antipolvere
19,,,,vacuum,sacchetto_sottovuoto
20,,,,envelope,busta
21,,,,gasbag,sacca_da_benzina
22,,,,gamebag,carniere
23,,,,golf,sacca_da_golf
24,,,,gunnysack,sacco_di_iuta
25,,,,gunny,DUPLICATE_sacco_di_iuta
26,,,,burlap,borsa_di_iuta
27,,,,ice,borsa_del_ghiaccio
28,,,,mailbag,sacco_postale
29,,,,postbag,sacco_della_posta
30,,,,nosebag,borsa_per_fieno
31,,,,feedbag,borsa_per_mangime
32,,,,pannier,DUPLICATE_bisaccia
33,,,,plastic,busta_di_plastica
34,,,,purse,borsetta
35,,,,ragbag,sacco_di_avanzi_di_stoffa
36,,,,rosin,sacchetto_di_solofonia
37,,,,sachet,bustina
38,,,,sack,DUPLICATE_sacca
39,,,,poke,sacchetto_di_stoffa
40,,,,paper,busta_di_carta
41,,,,carrier,shopper
42,,,,saddlebag,DUPLICATE_bisaccia
43,,,,sandbag,borsa_zavorrata
44,,,,schoolbag,cartella
45,,,,shopping,borsa_della_spesa
46,,,,sick_bag,sacchetto_per_il_vomito
47,,,,sickbag,DUPLICATE_sacchetto_per_il_vomito
48,,,,skin,borsa_di_pelle
49,,,,sleeping,sacco_a_pelo
50,,,,sweat,borsa_da_palestra
51,,,,tea,bustina_di_té
52,,,,toilet,beauty_case
53,,,,sponge,necessaire
54,,,,tool,borsa_degli_attrezzi
55,,,,tucker-bag,borsa_portavivande
56,,,,,"gerla,bauletto,borsa_da_toletta,marsupio,sacca_per_mangime,sacca_di_faggioli,sacca_da_viaggio,borsa_da_marinaio,sacca_da_palestra,borsa_a_stringhe,"
57,L03_3,hyponyms - misc,bed,,letto
58,,,,bunk,letto_a_castello
59,,,,berth,cuccetta
60,,,,built,letto_su_misura
61,,,,built-in,letto_da_incasso
62,,,,cot,lettino
63,,,,camp,letto_da_viaggio
64,,,,couch,divano_letto
65,,,,deathbed,capezzale
66,,,,double,letto_a_due_piazze
67,,,,four-poster,letto_a_baldacchino
68,,,,hammock,amaca
69,,,,sack,letto_a_sacco
70,,,,marriage_bed,letto_matrimoniale
71,,,,murphy,letto_a_scomparsa
72,,,,plank-bed,letto_a_doghe
73,,,,platform,letto_a_piattaforma
74,,,,sickbed,DUPLICATE_capezzale
75,,,,single_bed,letto_singolo
76,,,,sleigh,letto_con_pediera
77,,,,trundle,letto_estraibile
78,,,,truckle,DUPLICATE_letto_estraibile
79,,,,twin,letti_gemelli
80,,,,water,letto_ad_acqua
81,,,,semi-double,letto_da_una_piazza_e_mezzo
82,,,,semidouble,DUPLICATE_letto_da_una_piazza_e_mezzo
83,,,,,"letto_alla_francese,letto_king_size,letto_queen_size,letto_contenitore,poltrona_letto,culla,letto_pieghevole,brandina,letto_a_sommier,letto_d'_ospedale,futon,lettino_da_viaggio"
84,L03_4,hyponyms - misc,boat,,imbarcazione
85,,,,ferry,traghetto
86,,,,ark,arca
87,,,,barge,chiatta
88,,,,flatboat,barca_a_fondo_piatto
89,,,,hoy,veliero
90,,,,lighter,nave_cargo_fluviale
91,,,,bumboat,gommone
92,,,,canal_boat,battello
93,,,,narrow_boat,barca_stretta
94,,,,narrowboat,DUPLICATE_barca_stretta
95,,,,ferryboat,DUPLICATE_traghetto
96,,,,fireboat,piroscafo
97,,,,gondola,gondola
98,,,,guard_boat,nave_vedetta
99,,,,gunboat,catamarano
100,,,,junk,giunca
101,,,,longboat,galea
102,,,,lugger,scialuppa
103,,,,mackinaw,barca_a_vela
104,,,,mailboat,battello_postale
105,,,,mail,DUPLICATE_battello_postale
106,,,,packet,battello_a_pacchetto
107,,,,motorboat,barca_a_motore
108,,,,powerboat,motoscafo
109,,,,pilot,pilotina
110,,,,police,pattugliatore
111,,,,punt,barca_punt
112,,,,river_boat,battello_fluviale
113,,,,scow,DUPLICATE_barca_a_motore
114,,,,sea_boat,nave
115,,,,small_boat,barchetta
116,,,,steamboat,vaporetto
117,,,,surfboat,barca_da_francente
118,,,,tender_boat,barca_tender
119,,,,pinnace,DUPLICATE_scialuppa
