,ID,Relation,Source,Target,IT
0,L06_1,meronyms - part,academia,,mondo_accademico
1,,,,college,college
2,,,,university,università
3,,,,institute,istituto
5,L06_2,meronyms - part,apartment,,appartamento
6,,,,bedroom,stanza_da_letto
7,,,,room,stanza
8,,,,bathroom,stanza_da_bagno
9,,,,kitchen,cucina
10,,,,kitchenette,cucinotto
11,,,,living_room,salotto
12,,,,pantry,ripostiglio
13,,,,toilet,bagno
14,,,,shower_room,docce
16,L06_3,meronyms - part,bird,,uccello
17,,,,feathers,piume
18,,,,plume,piuma
19,,,,preen,pulirsi
20,,,,croup,groppa
21,,,,calamus,calamo
22,,,,fowl,gallinacei
23,,,,drumstick,coscia
24,,,,syrinx,siringa
25,,,,bill,DUPLICATE_becco
26,,,,rump,DUPLICATE_groppa
27,,,,vane,barba
28,,,,barb,bargiglio
29,,,,quill,penna_di_oca
30,,,,shaft,rachide
31,,,,pecker,pisello
32,,,,pennon,DUPLICATE_ala
33,,,,feet,piedi
34,,,,giblets,rigaglie
35,,,,alula,aletta
36,,,,talon,artiglio
37,,,,foot,piede
38,,,,pinion,penne_remiganti
39,,,,wing,ala
40,,,,wishbone,osso_a_forchetta
41,,,,nib,pennino
42,,,,sac,sacca
43,,,,giblet,rigaglia
44,,,,furcula,furcula
45,,,,bird,DUPLICATE_uccello
46,,,,neb,DUPLICATE_becco
47,,,,feather,DUPLICATE_piuma
48,,,,gland,ghiandola
49,,,,oyster,ostrica
50,,,,thigh,DUPLICATE_coscia
51,,,,plumage,piumaggio
52,,,,web,ragnatela
53,,,,hindquarters,quarti_posteriori
54,,,,beak,becco
55,,,,parson's_nose,pigostilo
56,,,,wishing_bone,DUPLICATE_osso_a_forchetta
57,,,,pope's_nose,DUPLICATE_pigostilo
58,,,,spurious_wing,DUPLICATE_alula
59,,,,bastard_wing,DUPLICATE_alula
60,,,,croupe,DUPLICATE_groppa
61,,,,air_sac,sacco_aerifero
62,,,,quill_feather,DUPLICATE_penna_di_oca
63,,,,uropygium,uropigio
64,,,,bird's_foot,zampe_di_uccello
65,,,,uropygial,DUPLICATE_uropigio
66,,,,second_joint,secondo_giunto
67,,,,uropygial_gland,DUPLICATE_uropigio
68,,,,preen_gland,DUPLICATE_uropigio
69,,,,flight_feather,DUPLICATE_penne_remiganti
70,,,,dark_meat,carne_rossa
72,L06_4,meronyms - part,brush,,spazzola
73,,,,bristle,setola
74,,,,hold,stiva
75,,,,shank,gamba
76,,,,grip,presa
77,,,,handgrip,impugnatura
78,,,,handle,manico
79,,,,head,testa
80,,,,stem,gambo
82,L06_5,meronyms - part,bus,,autobus
83,,,,seats,posto_a_sedere
84,,,,conductor,conducente
85,,,,window,finestra
86,,,,driver,autista
87,,,,roof,tetto
89,L06_6,meronyms - part,byte,,byte
90,,,,bit,bit
92,L06_7,meronyms - part,car,,macchina
93,,,,engine,motore
94,,,,armrest,bracciolo
95,,,,headrest,poggiatesta
96,,,,grille,griglia
97,,,,hinge,cardine
98,,,,tailpipe,tubo_di_scarico
99,,,,suspension,sospensioni
100,,,,hood,cofano
101,,,,horn,clacson
102,,,,hooter,DUPLICATE_clacson
103,,,,petrol,benzina
104,,,,pintle,perno_di_agganciamento
105,,,,trunk,bagagliaio
106,,,,floorboard,pianale
107,,,,bar,bar
108,,,,gas,acceleratore
109,,,,buffer,lucidatrice
110,,,,door,sportello
111,,,,stabilizer,stabilizzatore
112,,,,seat,sedile
113,,,,window,finestra
114,,,,exhaust,DUPLICATE_tubo_di_scarico
115,,,,tailfin,pinna
116,,,,back,dietro
117,,,,luggage,bagaglio
118,,,,pedal,pedale
119,,,,cowling,cappottatura
120,,,,seatbelt,cintura_di_sicurezza
121,,,,high,alto
122,,,,wing,parafango
123,,,,gasoline,DUPLICATE_benzina
124,,,,fin,DUPLICATE_pinna
125,,,,cowl,DUPLICATE_cofano
126,,,,silencer,silenziatore
127,,,,gun,pistol
128,,,,compartment,compartimento
129,,,,rear,retro
130,,,,radiator,radiatore
131,,,,accessory,accessorio
132,,,,sunroof,tettuccio_apribile
133,,,,roof,tettuccio
134,,,,lights,luci
135,,,,bumper,paraurti
136,,,,glove,guanto
137,,,,bag,borsa
138,,,,cushion,cuscino
139,,,,backrest,schienale
140,,,,accelerator,DUPLICATE_acceleratore
141,,,,fender,DUPLICATE_parafango
142,,,,third,terzo
143,,,,throttle,DUPLICATE_acceleratore
144,,,,bonnet,DUPLICATE_cofano
145,,,,air,aria
146,,,,gear,marcia
147,,,,muffler,marmitta
148,,,,mirror,specchietto
149,,,,shock,shock
150,,,,reverse,marcia_indietro
151,,,,anti-sway_bar,barra_antirollio
152,,,,tail_fin,DUPLICATE_pinna
153,,,,accelerator_pedal,pedale_di_accelerazione
154,,,,car_seat,posto_auto
155,,,,automobile_horn,clacson_della_macchina
156,,,,anti-sway,anti_scivolo
157,,,,automobile_engine,motore_della_macchina
158,,,,gasoline_engine,motore_a_benzina
159,,,,car_door,portiera_della_macchina
160,,,,shock_absorber,ammortizzatore
161,,,,luggage_compartment,DUPLICATE_bagagliaio
162,,,,glove_compartment,vano_portaoggetti
163,,,,bumper_guard,DUPLICATE_paraurti
164,,,,exhaust_system,impianto_di_scarico
165,,,,first_gear,prima_marcia
166,,,,high_gear,marcia_alta
167,,,,rear_window,finestrino_posteriore
168,,,,sunshine-roof,DUPLICATE_tettuccio_apribile
169,,,,third_gear,terza_marcia
170,,,,air_bag,air_bag
171,,,,doorlock,serratura
172,,,,petrol_engine,DUPLICATE_motore_a_benzina
173,,,,automobile_trunk,bagagliaio_della_macchina
174,,,,auto_accessory,accessorio_della_macchina
175,,,,inlet_manifold,collettore_di_aspirazione
176,,,,horn_button,DUPLICATE_clacson
177,,,,running_board,predellino_per_auto
178,,,,stabilizer_bar,DUPLICATE_barra_antirollio
179,,,,motor_horn,DUPLICATE_clacson
180,,,,exhaust_manifold,collettore_di_scarico
181,,,,exhaust_pipe,DUPLICATE_tubo_di_scarico
182,,,,radiator_grille,griglia_del_radiatore
183,,,,low_gear,marcia_bassa
184,,,,flexible_joint,giunto_flessibile
185,,,,head_restraint,DUPLICATE_poggiatesta
186,,,,hood_ornament,ornamento_da_cofano
187,,,,exhaust_valve,valvola_a_fungo
188,,,,car_mirror,DUPLICATE_specchietto
189,,,,gas_pedal,DUPLICATE_pedale_di_accelerazione
190,,,,seat_belt,DUPLICATE_cintura_di_sicurezza
191,,,,reverse_gear,retromarcia
192,,,,car_horn,DUPLICATE_clacson
193,,,,car_window,finestrino_della_macchina
194,,,,suspension_system,DUPLICATE_sospensioni
197,L06_8,meronyms - part,castle,,castello
198,,,,donjon,mastio
199,,,,tower,torre
200,,,,turret,torretta
201,,,,gate,cancello
202,,,,dungeon,cella_sotterranea
203,,,,moat,fossato
204,,,,keep,fortezza
205,,,,great_hall,sala_grande
207,L06_9,meronyms - part,cat,,gatto
208,,,,whiskers,baffi
209,,,,coat,pelo
210,,,,paw,zampa
211,,,,paws,zampe
212,,,,fur,DUPLICATE_pelo
213,,,,eyes,occhi
214,,,,back,schiena
215,,,,claws,artigli
216,,,,tail,coda
217,,,,teeth,denti
219,L06_10,meronyms - part,chair,,sedia
220,,,,seat,sedile
221,,,,armrest,bracciolo
222,,,,headrest,poggiatesta
223,,,,armrests,braccioli
224,,,,rest,riposo
225,,,,pad,imbottitura
226,,,,back,schienale
227,,,,leg,gamba
228,,,,backrest,DUPLICATE_schienale
229,,,,legs,gambe
231,L06_11,meronyms - part,church,,chiesa
232,,,,altar,altare
233,,,,choir,coro
234,,,,vestry,sagrestia
235,,,,transept,transetto
236,,,,apse,abside
237,,,,sanctuary,santuario
238,,,,rood,crocifisso
239,,,,screen,schermo
240,,,,bema,DUPLICATE_altare
241,,,,nave,navata
242,,,,tower,torre
243,,,,sacristy,sacrestia
244,,,,corner,angolo
245,,,,chancel,DUPLICATE_presbiterio
246,,,,amen,amen
247,,,,chapel,cappella
248,,,,apsis,DUPLICATE_abside
249,,,,side,lato
250,,,,narthex,nartece
