,ID,Relation,Source,Target,IT
0,L08_1,synonyms - exact,airplane,,aeroplano
1,,,,aeroplane,DUPLICATE_aeroplano
2,,,,plane,aereo
4,L08_2,synonyms - exact,auto,,auto
5,,,,car,macchina
6,,,,automobile,automobile
7,,,,motorcar,autovettura
9,L08_3,synonyms - exact,baby,,bambino
10,,,,infant,infante
11,,,,babe,bimbo
13,L08_4,synonyms - exact,bicycle,,bicicletta
14,,,,bike,bici
15,,,,wheel,ruota
16,,,,cycle,DUPLICATE_bici
18,L08_5,synonyms - exact,child,,bambino
19,,,,kid,DUPLICATE_bambino
20,,,,youngster,giovane
21,,,,minor,minorenne
22,,,,shaver,rasoio_elettrico
23,,,,nipper,bambino
24,,,,small_fry,lattante
25,,,,tiddler,bambino_piccolo
26,,,,tike,bimbo
27,,,,tyke,DUPLICATE_bimbo
28,,,,fry,avannotto
29,,,,nestling,pulcino
31,L08_6,synonyms - exact,cloth,,stoffa
32,,,,fabric,tessuto
33,,,,material,materiale
34,,,,textile,tessile
36,L08_7,synonyms - exact,clothes,,vestiti
37,,,,clothing,vestiario
38,,,,apparel,abbigliamento
39,,,,dress,abito
41,L08_8,synonyms - exact,confused,,confuso
42,,,,baffled,perplesso
43,,,,befuddled,stranito
44,,,,bemused,disorientato
45,,,,bewildered,frastornato
46,,,,confounded,sopraffatto
47,,,,lost,perso
48,,,,mazed,DUPLICATE_confuso
49,,,,mixed-up,spaesato
51,L08_9,synonyms - exact,dollars,,dollari
52,,,,bucks,DUPLICATE_dollari
54,L08_10,synonyms - exact,emphasis,,enfasi
55,,,,accent,DUPLICATE_enfasi
56,,,,accentuaion,accentuazione
57,,,,importance,importanza
58,,,,stress,stress
59,,,,significance,significato
61,L08_11,synonyms - exact,father,,padre
62,,,,dad,papà
63,,,,daddy,papino
65,L08_12,synonyms - exact,flower,,fiore
66,,,,blossom,bocciolo
67,,,,bloom,fiorire
69,L08_13,synonyms - exact,harbor,,porto
70,,,,seaport,porto_marittimo
71,,,,haven,rifiugio
72,,,,harbour,DUPLICATE_porto
74,L08_14,synonyms - exact,help,,aiuto
75,,,,aid,sostegno
76,,,,assist,assistere
78,L08_15,synonyms - exact,hieroglyph,,geroglifico
79,,,,hieroglyphic,DUPLICATE_geroglifico
80,,,,pictogram,pittogramma
82,L08_16,synonyms - exact,homogeneous,,omogeneo
83,,,,uniform,uniforme
84,,,,unvarying,invariabile
86,L08_17,synonyms - exact,honest,,onesto
87,,,,sincere,sincero
88,,,,ingenuous,ingenuo
89,,,,True,?
90,,,,direct,diretto
91,,,,truthful,fidato
93,L08_18,synonyms - exact,identical,,identico
94,,,,same,uguale
95,,,,indistinguishable,indistinguibile
97,L08_19,synonyms - exact,incorrect,,sbagliato
98,,,,wrong,DUPLICATE_sbagliato
99,,,,counterfactual,controfattuale
100,,,,erroneous,errato
101,,,,inaccurate,inaccurato
102,,,,specious,apparente
103,,,,unsound,malsano
104,,,,untrue,falso
105,,,,False,?
107,L08_20,synonyms - exact,intelligent,,intelligente
108,,,,clever,DUPLICATE_intelligente
109,,,,smart,sveglio
111,L08_21,synonyms - exact,jewel,,gioiello
112,,,,gem,gemma
113,,,,stone,pietra
115,L08_22,synonyms - exact,lad,,giovanotto
116,,,,chap,ragazzo
117,,,,fellow,tizio
118,,,,feller,amico
119,,,,fella,DUPLICATE_amico
120,,,,gent,gentiluomo
121,,,,blighter,tipo
122,,,,cuss,persona_ostinata
123,,,,bloke,DUPLICATE_tizio
125,L08_23,synonyms - exact,lady,,signora
126,,,,madam,DUPLICATE_signora
127,,,,dame,dama
128,,,,ma'am,DUPLICATE_signora
129,,,,gentlewoman,gentildonna
