,ID,Relation,Source,Target,IT
0,L09_1,antonyms - gradable,able,,essere_in_grado
1,,,,unable,non_essere_in_grado
2,,,,incapable,incapace
3,,,,incompetent,incompetente
4,,,,unequal,disuguale
6,L09_2,antonyms - gradable,abundant,,abbondante
7,,,,scarce,scarso
8,,,,rare,raro
9,,,,tight,stretto
10,,,,meager,DUPLICATE_scarso
11,,,,meagre,DUPLICATE_scarso
12,,,,meagerly,in_modo_squallido
13,,,,stingy,avaro
14,,,,scrimpy,misero
15,,,,insufficient,insufficiente
16,,,,deficient,inadeguato
18,L09_3,antonyms - gradable,aware,,consapevole
19,,,,unaware,inconsapevole
20,,,,oblivious,DUPLICATE_inconsapevole
21,,,,unmindful,incurante
22,,,,unconscious,inconscio
23,,,,unsuspecting,ignaro
24,,,,asleep,addormentato
25,,,,insensible,insensibile
26,,,,unwitting,DUPLICATE_ignaro
27,,,,ignorant,ignorante
28,,,,indifferent,indifferente
30,L09_4,antonyms - gradable,beautiful,,bellissimo
31,,,,ugly,brutto
32,,,,disfigured,sfigurato
33,,,,evil-looking,dall'aspetto_sgradevole
34,,,,fugly,orrendo
35,,,,grotesque,grottesco
36,,,,monstrous,mostruoso
37,,,,hideous,odioso
38,,,,repulsive,ripugnante
39,,,,ill-favored,DUPLICATE_brutto
40,,,,ill-favoured,DUPLICATE_brutto
41,,,,scrofulous,scrofoloso
42,,,,unlovely,non_attraente
43,,,,unpicturesque,non_pittoresco
44,,,,unsightly,antiestetico
45,,,,displeasing,sgradevole
46,,,,unattractive,poco_attraente
47,,,,awkward,sgraziato
49,L09_5,antonyms - gradable,big,,grande
50,,,,small,piccolo
51,,,,atomic,atomico
52,,,,subatomic,subatomico
53,,,,bantam,polletto
54,,,,diminutive,diminutive
55,,,,lilliputian,lillipuziano
56,,,,midget,nano
57,,,,petite,minuto
58,,,,tiny,minuscolo
59,,,,flyspeck,caccola
60,,,,bitty,piccino
61,,,,bittie,DUPLICATE_piccino
62,,,,teensy,microscopico
63,,,,teentsy,molto_piccolo
64,,,,teeny,piccolino
65,,,,wee,DUPLICATE_minuscolo
66,,,,weeny,DUPLICATE_piccolino
67,,,,weensy,DUPLICATE_molto_piccolo
68,,,,teensy-weensy,piccolissimo
69,,,,teeny-weeny,DUPLICATE_piccolissimo
70,,,,itty-bitty,DUPLICATE_piccolissimo
71,,,,itsy-bitsy,DUPLICATE_piccolissimo
72,,,,dinky,DUPLICATE_minuscolo
73,,,,dwarfish,DUPLICATE_nano
74,,,,elfin,elfico
75,,,,elflike,DUPLICATE_elfico
76,,,,gnomish,gnomico
77,,,,half-size,di_dimensioni_dimezzate
78,,,,infinitesimal,infinitesimale
79,,,,minute,DUPLICATE_minuto
80,,,,lesser,minore
81,,,,microscopic,DUPLICATE_microscopico
82,,,,microscopical,DUPLICATE_microscopico
83,,,,micro,micro
84,,,,miniature,miniatura
85,,,,minuscule,DUPLICATE_minuscolo
86,,,,miniscule,DUPLICATE_minuscolo
87,,,,olive-sized,della_dimensione_di_un'oliva
88,,,,pocket-size,tascabile
89,,,,pocket-sized,DUPLICATE_tascabile
90,,,,pocketable,DUPLICATE_tascabile
91,,,,puny,mingherlino
92,,,,runty,piccolo_e_debole
93,,,,shrimpy,DUPLICATE_mingherlino
94,,,,slender,filiforme
95,,,,slim,snello
96,,,,smaller,più_piccolo
97,,,,littler,DUPLICATE_più_piccolo
98,,,,smallish,DUPLICATE_piccolino
99,,,,small-scale,in_scala_ridotta
100,,,,undersize,più_piccolo_del_normale
101,,,,undersized,DUPLICATE_più_piccolo_del_normale
103,L09_6,antonyms - gradable,bright,,luminoso
104,,,,pale,pallido
105,,,,colorless,senza_colore
106,,,,colourless,DUPLICATE_senza_colore
107,,,,dull,monotono
108,,,,neutral,neutrale
109,,,,white,bianco
110,,,,bleached,schiarito
111,,,,faded,sbiadito
112,,,,washed-out,DUPLICATE_sbiadito
113,,,,washy,allungato
114,,,,drab,scialbo
115,,,,somber,cupo
116,,,,sombre,DUPLICATE_cupo
117,,,,dulled,spento
118,,,,greyed,ingrigito
119,,,,etiolate,eziolato
120,,,,etiolated,DUPLICATE_eziolato
121,,,,lurid,vivace
122,,,,waxen,cereo
123,,,,waxlike,DUPLICATE_cereo
124,,,,waxy,DUPLICATE_pallido
125,,,,whitened,sbiancato
127,L09_7,antonyms - gradable,cheap,,economico
128,,,,expensive,costoso
129,,,,big-ticket,DUPLICATE_caro
130,,,,high-ticket,DUPLICATE_caro
131,,,,costly,DUPLICATE_costoso
132,,,,dear,caro
133,,,,high-priced,con_un_prezzo_alto
134,,,,pricey,DUPLICATE_costoso
135,,,,pricy,DUPLICATE_costoso
136,,,,dearly-won,sacrificato
137,,,,overpriced,troppo-costoso
138,,,,valuable,prezioso
140,L09_8,antonyms - gradable,clean,,pulito
141,,,,dirty,sporco
142,,,,soiled,DUPLICATE_sporco
143,,,,unclean,non_pulito
144,,,,augean,augeano
145,,,,bedraggled,inzaccherato
146,,,,draggled,macchiato
147,,,,befouled,deturpato
148,,,,fouled,marcio
149,,,,begrimed,infangato
150,,,,dingy,DUPLICATE_sporco
151,,,,grimy,lercio
152,,,,grubby,sudicio
153,,,,grungy,DUPLICATE_sudicio
154,,,,raunchy,indecente
155,,,,black,nero
156,,,,smutty,DUPLICATE_sudicio
157,,,,buggy,pieno_di_insetti
158,,,,cobwebby,coperto_di_ragnatele
159,,,,dirty-faced,DUPLICATE_sporco
160,,,,feculent,DUPLICATE_sporco
161,,,,filthy,DUPLICATE_sudicio
162,,,,foul,disgustoso
163,,,,nasty,nauseante
164,,,,flyblown,contaminato
165,,,,squalid,squallido
166,,,,sordid,DUPLICATE_indecente
167,,,,greasy,unto
168,,,,oily,DUPLICATE_unto
169,,,,lousy,schifoso
170,,,,maculate,a_macchie
171,,,,mucky,sozzo
172,,,,muddy,DUPLICATE_infangato
173,,,,ratty,fatiscente
174,,,,scummy,spregevole
