,ID,Relation,Source,Target,IT
0,L10_1,antonyms - binary,after,,dopo
1,,,,before,prima
2,,,,earlier,prima_di
3,,,,previously,precedentemente
5,L10_2,antonyms - binary,ahead,,davanti
6,,,,behind,dietro
7,,,,rear,posteriore
8,,,,after,dopo
9,,,,tail,coda
10,,,,beforehand,prima
12,L10_3,antonyms - binary,anterior,,anteriore
13,,,,posterior,posteriore
15,L10_4,antonyms - binary,backward,,all'indietro
16,,,,forward,in_avanti
17,,,,forwards,DUPLICATE_in_avanti
18,,,,frontward,anteriore
19,,,,frontwards,DUPLICATE_anteriore
20,,,,forrad,DUPLICATE_in_avanti
21,,,,forrard,DUPLICATE_in_avanti
22,,,,forth,avanti
23,,,,onward,DUPLICATE_avanti
25,L10_5,antonyms - binary,before,,prima
26,,,,after,dopo
27,,,,subsequently,successivamente
28,,,,later,DUPLICATE_dopo
29,,,,afterwards,poi
30,,,,afterward,DUPLICATE_poi
31,,,,ahead,davanti
33,L10_6,antonyms - binary,beginning,,inizio
34,,,,end,fine
35,,,,terminal,DUPLICATE_finale
36,,,,ending,DUPLICATE_fine
37,,,,last,ultimo
38,,,,final,finale
39,,,,finish,finire
40,,,,finale,DUPLICATE_conclusione
41,,,,conclusion,conclusione
43,L10_7,antonyms - binary,below,,sotto
44,,,,above,sopra
45,,,,higher,superiore
46,,,,up,su
48,L10_8,antonyms - binary,climb,,scalare
49,,,,descend,scendere
50,,,,declivitous,ripido
51,,,,downhill,in_discesa
52,,,,downward-sloping,in_pendenza_verso_il_basso
53,,,,degressive,decrescente
54,,,,descendant,discendente
55,,,,descendent,DUPLICATE_discendente
56,,,,down,giù
57,,,,downward,verso_il_basso
58,,,,downward-arching,inarcamento_verso_il_basso
59,,,,drizzling,pioggerella
60,,,,dropping,abbassamento
61,,,,falling,caduta
62,,,,raining,pioggia
64,L10_9,antonyms - binary,dead,,morto
65,,,,alive,vivo
66,,,,living,vivente
67,,,,live,essere_vivo
69,L10_10,antonyms - binary,decrement,,decremento
70,,,,increment,incremento
72,L10_11,antonyms - binary,descend,,scendere
73,,,,ascend,salire
74,,,,climb,scalare
75,,,,rise,DUPLICATE_salire
76,,,,upward,in_alto
77,,,,ascendent,ascendente
78,,,,ascendant,DUPLICATE_ascendente
80,L10_12,antonyms - binary,dive,,tuffarsi
81,,,,emerge,emergere
83,L10_13,antonyms - binary,down,,giù
84,,,,up,su
85,,,,above,sopra
86,,,,ahead,davanti
87,,,,lead,guidare
88,,,,leading,principale
89,,,,aweigh,staccato_dal_fondo
90,,,,dormie,dormie
91,,,,dormy,DUPLICATE_dormie
92,,,,heavenward,verso_il_cielo
93,,,,skyward,in_alto
94,,,,risen,alto
95,,,,sprouted,germogliato
96,,,,upbound,verso_l'alto
97,,,,upfield,in_avanti
98,,,,upward,DUPLICATE_verso_l'alto
100,L10_14,antonyms - binary,downslope,,pendio
101,,,,upslope,a_monte
102,,,,ascent,salita
104,L10_15,antonyms - binary,drop,,lasciare_cadere
105,,,,lift,sollevare
106,,,,pick_up,andare_a_prendere
108,L10_16,antonyms - binary,dynamic,,dinamico
109,,,,static,statico
110,,,,still,fermo
111,,,,unmoving,immobile
112,,,,unchanging,costante
114,L10_17,antonyms - binary,employ,,assumere
115,,,,dismiss,licenziare
116,,,,fire,DUPLICATE_licenziare
117,,,,sack,DUPLICATE_licenziare
118,,,,displace,sostituire
119,,,,terminate,interrompere
121,L10_18,antonyms - binary,exit,,uscita
122,,,,entrance,entrata
123,,,,entranceway,accesso
124,,,,entryway,ingresso
125,,,,entry,DUPLICATE_ingresso
126,,,,entree,DUPLICATE_ingresso
128,L10_19,antonyms - binary,fall,,cadere
129,,,,rise,salire
130,,,,upward,verso_l'alto
131,,,,climb,scalare
133,L10_20,antonyms - binary,first,,primo
134,,,,last,ultimo
135,,,,end,fine
136,,,,terminal,finale
137,,,,ending,DUPLICATE_fine
138,,,,final,DUPLICATE_finale
139,,,,finish,finire
140,,,,finale,DUPLICATE_conclusione
141,,,,conclusion,conclusione
143,L10_21,antonyms - binary,forget,,dimenticare
144,,,,remember,ricordare
145,,,,retrieve,recuperare
146,,,,recall,DUPLICATE_ricordare
147,,,,call_back,richiamare
148,,,,call_up,chiamare
149,,,,recollect,DUPLICATE_ricordare
151,L10_22,antonyms - binary,forward,,in_avanti
152,,,,backward,indietro
153,,,,back,retro
154,,,,backwards,DUPLICATE_indietro
155,,,,rearward,posteriore
156,,,,rearwards,DUPLICATE_posteriore
158,L10_23,antonyms - binary,front,,parte_anteriore
159,,,,back,retro
160,,,,rear,DUPLICATE_retro
161,,,,forepart,parte_anteriore
163,L10_24,antonyms - binary,in,,dentro
164,,,,out,fuori
165,,,,outer,esterno
166,,,,exterior,esteriore
167,,,,outside,DUPLICATE_fuori
169,L10_25,antonyms - binary,inbound,,in_arrivo
170,,,,outbound,in_partenza
172,L10_26,antonyms - binary,inhale,,inspirare
173,,,,exhale,espirare
175,L10_27,antonyms - binary,input,,input
176,,,,output,output
178,L10_28,antonyms - binary,inside,,dentro
179,,,,outside,fuori
180,,,,exterior,esteriore
181,,,,out,DUPLICATE_fuori
183,L10_29,antonyms - binary,interior,,interiore
184,,,,exterior,esteriore
185,,,,outdoor,all'aperto
186,,,,out-of-door,DUPLICATE_all'aperto
187,,,,outside,fuori
189,L10_30,antonyms - binary,internal,,interno
190,,,,external,esterno
191,,,,outer,DUPLICATE_esterno
192,,,,outside,fuori
194,L10_31,antonyms - binary,inverse,,inverso
195,,,,reverse,contrario
196,,,,reversion,annullamento
197,,,,reversal,capovolgimento
198,,,,turnabout,marcia_indietro
199,,,,turnaround,DUPLICATE_marcia_indietro
201,L10_32,antonyms - binary,mortal,,mortale
202,,,,immortal,immortale
204,L10_33,antonyms - binary,occupied,,occupato
205,,,,vacant,vuoto
206,,,,free,libero
208,L10_34,antonyms - binary,off,,off
209,,,,on,on
211,L10_35,antonyms - binary,out,,fuori
212,,,,in,dentro
213,,,,inside,DUPLICATE_dentro
215,L10_36,antonyms - binary,outward,,verso_l'esterno
216,,,,upward,verso_l'alto
217,,,,up,su
218,,,,upwards,DUPLICATE_verso_l'alto
220,L10_37,antonyms - binary,over,,sopra
221,,,,under,sotto
222,,,,below,al_di_sotto_di
223,,,,beneath,DUPLICATE_sotto
225,L10_38,antonyms - binary,previously,,precedente
226,,,,subsequently,successivamente
227,,,,later,dopo
228,,,,afterwards,DUPLICATE_dopo
229,,,,afterward,DUPLICATE_dopo
230,,,,after,DUPLICATE_dopo
231,,,,subsequent,successivo
233,L10_39,antonyms - binary,proceed,,procedere
234,,,,retreat,ritirata
235,,,,return,ritorno
237,L10_40,antonyms - binary,rise,,salire
238,,,,sink,affondare
239,,,,drop,goccia
240,,,,fall,cadere
242,L10_41,antonyms - binary,south,,sud
243,,,,north,nord
