,ID,Relation,Source,Target,LT
0,L01_1,hypernyms - animals,allosaurus,,alozauras
1,,,,dinosaur,dinozauras
2,,,,reptile,roplys
3,,,,bird,paukštis
4,,,,archosaur,archozauras
5,,,,archosaurian,DUPLICATE_archozauras
6,,,,archosaurian_reptile,archozaurų_roplys
7,,,,,reptilija
8,L01_2,hypernyms - animals,anaconda,,anakonda
9,,,,snake,gyvatė
10,,,,reptile,roplys
11,,,,boa,boa
12,,,,serpent,DUPLICATE_gyvatė
13,,,,ophidian,ofidijos
14,,,,,"žaltys,reptilija,smauglys"
15,L01_3,hypernyms - animals,ant,,skruzdėlė
16,,,,insect,vabzdys
17,,,,invertebrate,bestuburiai
18,,,,creature,būtybė
19,,,,beast,žvėris
20,,,,hymenopteran,DUPLICATE_plėviasparnis
21,,,,being,esybė
22,,,,animal,gyvūnas
23,,,,organism,organizmas
24,,,,fauna,fauna
25,,,,arthropod,nariuotakojis
26,,,,hymenopterous_insect,plėviasparnis_vabzdys
27,,,,animate_being,gyva_esybė
28,,,,physical_hymenopteron,fizinis_plėviasparnis
29,,,,physical_entity,fizinis_subjektas
30,,,,hymenopter,plėviasparnis
31,,,,living_thing,gyvas_daiktas
32,,,,,gyvūnija
33,L01_4,hypernyms - animals,beaver,,bebras
34,,,,rodent,graužikas
35,,,,vertebrate,stuburinis_gyvūnas
36,,,,creature,būtybė
37,,,,beast,žvėris
38,,,,animal,gyvūnas
39,,,,organism,organizmas
40,,,,fauna,fauna
41,,,,placental,placentiniai
42,,,,chordate,chordiniai
43,,,,eutherian,DUPLICATE_aukštesnysis_žinduolis
44,,,,mammal,žinduolis
45,,,,mammalian,DUPLICATE_žinduolis
46,,,,eutherian_mammal,aukštesnysis_žinduolis
47,,,,gnawer,graužėjas
48,,,,animate_being,gyva_esybė
49,,,,living_thing,gyvas_daiktas
50,,,,placental_mammal,placentinis_žinduolis
51,,,,craniate,kaukolinis_gyvūnas
52,,,,,gyvūnija
53,L01_5,hypernyms - animals,bee,,bitė
54,,,,insect,vabzdys
55,,,,invertebrate,bestuburiai
56,,,,creature,būtybė
57,,,,beast,žvėris
58,,,,hymenopteran,DUPLICATE_plėviasparnis
59,,,,being,esybė
60,,,,animal,gyvūnas
61,,,,organism,organizmas
62,,,,fauna,fauna
63,,,,arthropod,nariuotakojis
64,,,,hymenopterous_insect,plėviasparnis_vabzdys
65,,,,animate_being,gyva_esybė
66,,,,hymenopteron,DUPLICATE_plėviasparnis
67,,,,hymenopter,plėviasparnis
68,,,,living_thing,gyvas_daiktas
70,,,,,gyvūnija
71,L01_6,hypernyms - animals,beetle,,vabalas
72,,,,insect,vabzdys
73,,,,invertebrate,bestuburiai
74,,,,creature,būtybė
75,,,,beast,žvėris
76,,,,being,esybė
77,,,,animal,gyvūnas
78,,,,organism,organizmas
79,,,,fauna,fauna
80,,,,arthropod,nariuotakojis
81,,,,animate_being,gyva_esybė
82,,,,living_thing,gyvas_daiktas
83,,,,,gyvūnija
84,L01_7,hypernyms - animals,buffalo,,buivolas
85,,,,bovid,dykaraginiai
86,,,,mammal,žinduolis
87,,,,bison,bizonas
88,,,,cow,karvė
89,,,,vertebrate,stuburinis_gyvūnas
90,,,,creature,būtybė
91,,,,ungulate,kanopiniai
92,,,,beast,žvėris
93,,,,being,esybė
94,,,,animal,gyvūnas
95,,,,organism,organizmas
96,,,,fauna,fauna
97,,,,placental,placentiniai
98,,,,artiodactyl,porakanopiai
99,,,,ruminant,atrajotojas
100,,,,chordate,chordiniai
101,,,,eutherian,DUPLICATE_aukštesnysis_žinduolis
102,,,,mammalian,DUPLICATE_žinduolis
103,,,,bovine,galvijas
104,,,,animate_being,gyva_esybė
105,,,,eutherian_mammal,aukštesnysis_žinduolis
106,,,,placental_mammal,placentinis_žinduolis
107,,,,craniate,kaukolinis_gyvūnas
108,,,,physical_hoofed_mammal,fizinis_kanopinis_žinduolis
109,,,,physical_entity,fizinis_subjektas
110,,,,even-toed_ungulate,lygiapirštis_kanopinis
111,,,,artiodactyl_mammal,poraknopis_žinduolis
112,,,,living_thing,gyvas_daiktas
113,,,,,gyvūnija
114,L01_8,hypernyms - animals,butterfly,,drugys
115,,,,insect,vabzdys
116,,,,creature,būtybė
117,,,,beast,žvėris
118,,,,lepidopteran,DUPLICATE_kietasparnis
119,,,,animal,gyvūnas
120,,,,organism,organizmas
121,,,,fauna,fauna
122,,,,arthropod,nariuotakojis
123,,,,lepidopterous_insect,kietasparnis_vabzdys
124,,,,lepidopteron,kietasparnis
125,,,,animate_being,gyva_esybė
126,,,,living_thing,gyvas_daiktas
127,,,,,gyvūnija
128,L01_9,hypernyms - animals,cat,,katė
129,,,,feline,kačių_šeimos_žinduolis
130,,,,beast,žvėris
131,,,,animal,gyvūnas
132,,,,organism,organizmas
133,,,,fauna,fauna
134,,,,placental,placentiniai
135,,,,carnivore,mėsėdžiai
136,,,,chordate,chordiniai
137,,,,felid,katinių_šeimos_gyvūnas
138,,,,eutherian,DUPLICATE_aukštesnysis_žinduolis
139,,,,mammal,žinduolis
140,,,,mammalian,DUPLICATE_žinduolis
141,,,,eutherian_mammal,aukštesnysis_žinduolis
142,,,,animate_being,gyva_esybė
143,,,,placental_mammal,placentinis_žinduolis
144,,,,craniate,kaukolinis_gyvūnas
145,,,,,"gyvulys,gyvūnija,plėšrūnas"
146,L01_10,hypernyms - animals,chicken,,višta
147,,,,fowl,paukštiena
148,,,,bird,paukštis
149,,,,vertebrate,stuburinis_gyvūnas
150,,,,poultry,naminiai_paukščiai
151,,,,creature,būtybė
152,,,,beast,žvėris
153,,,,being,esybė
154,,,,animal,gyvūnas
155,,,,organism,organizmas
156,,,,fauna,fauna
157,,,,chordate,chordiniai
158,,,,domestic_fowl,naminė_višta
159,,,,animate_being,gyva_esybė
160,,,,gallinaceous_bird,vištinis_paukštis
161,,,,craniate,kaukolinis_gyvūnas
162,,,,gallinacean,vištiniai
163,,,,living_thing,gyvas_daiktas
165,,,,,gyvūnija
166,L01_11,hypernyms - animals,chimpanzee,,šimpanzė
167,,,,primate,primatas
168,,,,vertebrate,stuburinis_gyvūnas
169,,,,creature,būtybė
170,,,,beast,žvėris
171,,,,being,esybė
172,,,,animal,gyvūnas
173,,,,organism,organizmas
174,,,,fauna,fauna
175,,,,placental,placentiniai
176,,,,hominid,hominidas
177,,,,chordate,chordiniai
